health_cb_reference_year,health_cb_country_of_treatment_iso2,health_cb_country_of_affiliation_iso2,health_cb_treatment_type_code,health_cb_prior_authorisation_required_flag,health_cb_cases_count,health_cb_reimbursement_amount_eur,health_cb_out_of_pocket_amount_eur,health_cb_waiting_time_avoidance_days,health_cb_patient_satisfaction_score,health_cb_denied_cases_count,health_cb_denial_reason_code,health_cb_appeals_count,health_cb_successful_appeals_count,health_cb_ehds_ready_flag,health_cb_ehealth_interoperability_flag,health_cb_data_source,health_cb_methodology_version,health_cb_last_update_date,health_cb_data_extract_date
2017,BE,LU,CANCER_CARE,0,7273,3688469.27,1114713.5,149.78,4.95,892,NO_PRIOR_AUTHORISATION,244,187,0,0,PATIENT_SURVEY,CBHC_V3,2018-06-23,2025-06-18
2018,FI,BE,PLANNED_SURGERY,1,17064,53768627.9,5756873.49,295.62,3.17,2249,CAPACITY_LIMITS,666,184,0,0,NCP_REPORTING,CBHC_V2,2018-07-12,2025-09-30
2019,LV,HU,DENTAL,0,6561,2066033.5,219447.87,74.24,2.83,343,INCOMPLETE_DOCUMENTS,70,33,0,1,INSURANCE_FUND_ADMIN,CBHC_V1,2018-07-31,2024-11-05
2020,RO,SK,RARE_DISEASE_CARE,0,19320,63058479.69,22628811.87,186.65,3.93,2290,ALTERNATIVE_AVAILABLE,1171,903,0,0,EHDS_PILOT,CBHC_V3,2018-08-19,2024-12-02
2021,BG,EE,TELECONSULTATION,0,29400,15045800.66,1240114.18,192.64,5.0,2781,MEDICAL_JUSTIFICATION,846,641,0,1,PATIENT_SURVEY,CBHC_V2,2018-09-07,2025-08-12
2022,FR,MT,MATERNITY,0,10602,6629148.24,1739715.76,122.52,4.75,339,OTHER,162,53,0,1,NCP_REPORTING,CBHC_V1,2018-09-26,2025-02-20
2023,LT,BG,DIAGNOSTICS,0,23284,3595651.08,840497.81,242.34,5.01,3272,NOT_COVERED,636,207,1,1,INSURANCE_FUND_ADMIN,CBHC_V3,2018-10-15,2025-09-08
2024,SK,IE,REHABILITATION,1,8358,10851020.61,3786269.62,98.97,3.22,477,NO_PRIOR_AUTHORISATION,83,45,1,0,EHDS_PILOT,CBHC_V2,2018-11-03,2024-04-20
2025,HR,SI,CANCER_CARE,1,16344,42286946.2,8383353.84,21.28,2.49,3431,CAPACITY_LIMITS,1520,1115,1,1,PATIENT_SURVEY,CBHC_V1,2018-11-22,2025-06-03
2006,DE,FI,PLANNED_SURGERY,1,58905,131133462.57,18402874.1,167.6,3.38,10415,INCOMPLETE_DOCUMENTS,1501,775,0,1,NCP_REPORTING,CBHC_V3,2018-12-11,2024-07-18
2007,LU,NL,DENTAL,1,30654,59633300.86,14821278.73,43.7,4.34,1361,ALTERNATIVE_AVAILABLE,418,218,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2018-12-30,2024-01-22
2008,SI,HR,RARE_DISEASE_CARE,1,20032,51482266.94,12574375.41,186.0,4.26,1524,MEDICAL_JUSTIFICATION,757,286,0,0,EHDS_PILOT,CBHC_V1,2019-01-18,2025-08-14
2009,CY,IT,TELECONSULTATION,1,15317,9195785.86,552357.28,98.76,4.51,3273,OTHER,1439,634,0,1,PATIENT_SURVEY,CBHC_V3,2019-02-06,2025-02-16
2010,GR,ES,MATERNITY,1,2463,642686.85,64069.21,164.63,4.85,109,NOT_COVERED,49,15,0,0,NCP_REPORTING,CBHC_V2,2019-02-25,2025-03-12
2011,MT,FR,DIAGNOSTICS,0,27835,16728067.34,1598127.46,260.43,3.6,1405,NO_PRIOR_AUTHORISATION,659,413,1,0,INSURANCE_FUND_ADMIN,CBHC_V1,2019-03-16,2024-10-21
2012,ES,PL,REHABILITATION,1,39933,62000347.8,16023452.02,124.45,4.84,716,CAPACITY_LIMITS,276,174,0,0,EHDS_PILOT,CBHC_V3,2019-04-04,2026-01-21
2013,CZ,CY,CANCER_CARE,1,27454,80208767.45,29956260.06,69.57,3.29,2920,INCOMPLETE_DOCUMENTS,1457,864,0,0,PATIENT_SURVEY,CBHC_V2,2019-04-23,2024-10-24
2014,HU,LV,PLANNED_SURGERY,1,7223,8514664.67,1541706.89,76.39,4.56,1161,ALTERNATIVE_AVAILABLE,420,249,0,0,NCP_REPORTING,CBHC_V1,2019-05-12,2025-07-10
2015,NL,SE,DENTAL,0,46786,45270331.66,4066908.08,79.77,5.06,2498,MEDICAL_JUSTIFICATION,1346,342,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2019-05-31,2024-02-08
2016,SE,DE,RARE_DISEASE_CARE,1,35131,32409641.79,7158531.32,109.48,2.64,7246,OTHER,1062,722,0,0,EHDS_PILOT,CBHC_V2,2019-06-19,2025-08-11
2017,DK,PT,TELECONSULTATION,0,9332,17470538.45,1032618.25,118.83,3.4,562,NOT_COVERED,62,42,0,0,PATIENT_SURVEY,CBHC_V1,2019-07-08,2025-06-21
2018,IE,CZ,MATERNITY,0,17632,5470827.13,498432.38,30.54,4.25,508,NO_PRIOR_AUTHORISATION,150,59,0,0,NCP_REPORTING,CBHC_V3,2019-07-27,2025-06-11
2019,PL,LT,DIAGNOSTICS,0,29848,35809401.6,1902642.93,163.65,5.13,3251,CAPACITY_LIMITS,1676,1151,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2019-08-15,2024-06-01
2020,AT,AT,REHABILITATION,1,10330,5069804.21,1259175.32,169.83,2.85,482,INCOMPLETE_DOCUMENTS,168,108,0,1,EHDS_PILOT,CBHC_V1,2019-09-03,2024-03-10
2021,EE,GR,CANCER_CARE,0,20330,53623510.99,11002446.79,7.62,3.31,1342,ALTERNATIVE_AVAILABLE,152,84,1,1,PATIENT_SURVEY,CBHC_V3,2019-09-22,2024-08-19
2022,IT,RO,PLANNED_SURGERY,1,30786,26797158.35,6976248.58,225.44,4.33,1126,MEDICAL_JUSTIFICATION,597,160,1,1,NCP_REPORTING,CBHC_V2,2019-10-11,2024-01-21
2023,PT,DK,DENTAL,1,13237,13140875.24,663891.3,177.17,3.54,914,OTHER,143,82,1,0,INSURANCE_FUND_ADMIN,CBHC_V1,2019-10-30,2024-09-25
2024,BE,LU,RARE_DISEASE_CARE,0,25012,33718175.42,8992366.21,74.95,3.0,2172,NOT_COVERED,791,599,0,1,EHDS_PILOT,CBHC_V3,2019-11-18,2024-09-20
2025,FI,BE,TELECONSULTATION,0,25894,23436412.62,1710250.82,8.93,2.95,2312,NO_PRIOR_AUTHORISATION,460,277,1,0,PATIENT_SURVEY,CBHC_V2,2019-12-07,2026-01-25
2006,LV,HU,MATERNITY,0,6500,4758909.15,561778.8,30.26,2.71,516,CAPACITY_LIMITS,37,19,0,0,NCP_REPORTING,CBHC_V1,2019-12-26,2025-11-04
2007,RO,SK,DIAGNOSTICS,0,24576,36417348.01,11543512.98,211.62,2.91,2887,INCOMPLETE_DOCUMENTS,312,89,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2020-01-14,2024-04-21
2008,BG,EE,REHABILITATION,1,32162,16738088.0,1456580.57,75.79,3.52,2602,ALTERNATIVE_AVAILABLE,762,451,0,0,EHDS_PILOT,CBHC_V2,2020-02-02,2025-07-01
2009,FR,MT,CANCER_CARE,1,4619,7850692.69,2410964.55,200.02,4.93,751,MEDICAL_JUSTIFICATION,297,202,0,0,PATIENT_SURVEY,CBHC_V1,2020-02-21,2025-04-21
2010,LT,BG,PLANNED_SURGERY,1,19200,26999684.92,2046203.9,156.02,3.27,2811,OTHER,824,283,0,0,NCP_REPORTING,CBHC_V3,2020-03-11,2024-02-19
2011,SK,IE,DENTAL,0,29473,41626349.08,9808534.85,164.74,3.53,1888,NOT_COVERED,877,650,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2020-03-30,2025-09-23
2012,HR,SI,RARE_DISEASE_CARE,1,20526,4062179.56,350316.44,148.4,3.18,1482,NO_PRIOR_AUTHORISATION,162,102,1,0,EHDS_PILOT,CBHC_V1,2020-04-18,2024-07-01
2013,DE,FI,TELECONSULTATION,0,21742,36324086.45,4176973.27,142.85,2.76,1588,CAPACITY_LIMITS,806,302,0,0,PATIENT_SURVEY,CBHC_V3,2020-05-07,2024-02-11
2014,LU,NL,MATERNITY,0,4397,981013.34,163741.21,25.04,4.03,354,INCOMPLETE_DOCUMENTS,121,46,0,0,NCP_REPORTING,CBHC_V2,2020-05-26,2025-12-28
2015,SI,HR,DIAGNOSTICS,0,3157,1352601.03,305536.55,277.26,4.09,114,ALTERNATIVE_AVAILABLE,61,46,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2020-06-14,2024-05-03
2016,CY,IT,REHABILITATION,0,13410,14987612.11,1322841.46,140.76,4.31,1719,MEDICAL_JUSTIFICATION,613,194,0,0,EHDS_PILOT,CBHC_V3,2020-07-03,2024-08-14
2017,GR,ES,CANCER_CARE,1,29054,100932715.19,19816769.39,136.63,2.85,3515,OTHER,432,334,0,0,PATIENT_SURVEY,CBHC_V2,2020-07-22,2024-06-13
2018,MT,FR,PLANNED_SURGERY,1,5835,10750951.88,1797292.77,231.36,3.05,1006,NOT_COVERED,233,158,0,0,NCP_REPORTING,CBHC_V1,2020-08-10,2025-11-20
2019,ES,PL,DENTAL,0,20647,5910253.83,2097531.72,200.15,3.0,1393,NO_PRIOR_AUTHORISATION,484,224,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2020-08-29,2025-02-08
2020,CZ,CY,RARE_DISEASE_CARE,1,35059,72488743.31,7372276.86,80.48,3.56,2807,CAPACITY_LIMITS,895,340,0,0,EHDS_PILOT,CBHC_V2,2020-09-17,2024-05-22
2021,HU,LV,TELECONSULTATION,0,30218,61066200.3,5641839.71,51.71,5.09,2454,INCOMPLETE_DOCUMENTS,405,281,0,0,PATIENT_SURVEY,CBHC_V1,2020-10-06,2026-01-11
2022,NL,SE,MATERNITY,0,32707,44808763.3,14866405.25,73.12,4.64,2309,ALTERNATIVE_AVAILABLE,322,181,0,0,NCP_REPORTING,CBHC_V3,2020-10-25,2025-04-05
2023,SE,DE,DIAGNOSTICS,0,8608,18599455.93,3938721.87,119.01,4.01,1102,MEDICAL_JUSTIFICATION,227,80,1,1,INSURANCE_FUND_ADMIN,CBHC_V2,2020-11-13,2025-06-12
2024,DK,PT,REHABILITATION,1,24983,47448881.21,17314535.67,97.41,4.3,3712,OTHER,1430,527,1,0,EHDS_PILOT,CBHC_V1,2020-12-02,2024-12-19
2025,IE,CZ,CANCER_CARE,0,35947,40892764.34,5300639.73,87.78,3.77,623,NOT_COVERED,269,197,0,1,PATIENT_SURVEY,CBHC_V3,2020-12-21,2025-04-25
2006,PL,LT,PLANNED_SURGERY,1,2167,2091133.68,494747.15,72.17,4.36,184,NO_PRIOR_AUTHORISATION,77,35,0,0,NCP_REPORTING,CBHC_V2,2021-01-09,2025-11-12
2007,AT,AT,DENTAL,1,42249,91640876.6,18512604.4,85.68,2.67,4005,CAPACITY_LIMITS,1687,1123,1,0,INSURANCE_FUND_ADMIN,CBHC_V1,2021-01-28,2024-09-10
2008,EE,GR,RARE_DISEASE_CARE,0,9051,10144523.3,1464727.32,162.48,3.72,731,INCOMPLETE_DOCUMENTS,234,173,1,0,EHDS_PILOT,CBHC_V3,2021-02-16,2024-06-12
2009,IT,RO,TELECONSULTATION,0,45068,60892291.74,22947137.4,122.51,5.01,2329,ALTERNATIVE_AVAILABLE,1244,759,0,0,PATIENT_SURVEY,CBHC_V2,2021-03-07,2026-01-21
2010,PT,DK,MATERNITY,0,24962,5481466.47,1576814.67,76.61,4.1,1617,MEDICAL_JUSTIFICATION,735,209,0,0,NCP_REPORTING,CBHC_V1,2021-03-26,2024-02-19
2011,BE,LU,DIAGNOSTICS,0,35194,55072565.44,3572376.71,256.46,2.98,4557,OTHER,418,171,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2021-04-14,2024-05-26
2012,FI,BE,REHABILITATION,1,35800,28763212.35,1552020.44,146.49,4.86,7285,NOT_COVERED,1424,948,0,0,EHDS_PILOT,CBHC_V2,2021-05-03,2024-02-29
2013,LV,HU,CANCER_CARE,0,9850,31519621.8,6913480.96,54.63,3.79,1358,NO_PRIOR_AUTHORISATION,645,325,1,0,PATIENT_SURVEY,CBHC_V1,2021-05-22,2024-10-29
2014,RO,SK,PLANNED_SURGERY,1,12561,25289343.83,2601445.71,197.65,3.13,1647,CAPACITY_LIMITS,375,213,0,1,NCP_REPORTING,CBHC_V3,2021-06-10,2024-05-28
2015,BG,EE,DENTAL,0,15436,20505639.36,6594741.29,34.24,3.24,1124,INCOMPLETE_DOCUMENTS,191,60,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2021-06-29,2024-08-26
2016,FR,MT,RARE_DISEASE_CARE,1,41923,135527494.98,42722470.74,40.98,3.36,2368,ALTERNATIVE_AVAILABLE,207,59,0,0,EHDS_PILOT,CBHC_V1,2021-07-18,2025-10-20
2017,LT,BG,TELECONSULTATION,0,34665,47607242.87,13975906.82,118.22,3.45,4378,MEDICAL_JUSTIFICATION,714,332,0,0,PATIENT_SURVEY,CBHC_V3,2021-08-06,2024-03-29
2018,SK,IE,MATERNITY,0,33571,70030222.19,26018548.34,191.57,4.12,1276,OTHER,554,233,0,0,NCP_REPORTING,CBHC_V2,2021-08-25,2024-04-29
2019,HR,SI,DIAGNOSTICS,0,26691,40210993.4,10550002.34,128.36,3.66,406,NOT_COVERED,30,11,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2021-09-13,2026-02-18
2020,DE,FI,REHABILITATION,1,22219,18255243.92,4498796.69,24.37,3.11,765,NO_PRIOR_AUTHORISATION,204,61,0,0,EHDS_PILOT,CBHC_V3,2021-10-02,2024-11-23
2021,LU,NL,CANCER_CARE,1,21158,55109090.09,6192201.08,149.97,2.58,2549,CAPACITY_LIMITS,180,120,0,1,PATIENT_SURVEY,CBHC_V2,2021-10-21,2024-01-02
2022,SI,HR,PLANNED_SURGERY,1,9263,10638650.57,1494449.05,92.09,3.93,318,INCOMPLETE_DOCUMENTS,101,61,1,0,NCP_REPORTING,CBHC_V1,2021-11-09,2025-10-05
2023,CY,IT,DENTAL,0,20809,7187039.74,1199641.34,51.88,4.27,328,ALTERNATIVE_AVAILABLE,152,105,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2021-11-28,2026-02-05
2024,GR,ES,RARE_DISEASE_CARE,1,7599,8237405.23,3105462.9,160.07,4.25,780,MEDICAL_JUSTIFICATION,286,220,1,1,EHDS_PILOT,CBHC_V2,2021-12-17,2024-10-25
2025,MT,FR,TELECONSULTATION,1,9522,10151299.7,1287962.97,95.76,4.01,1963,OTHER,678,346,1,1,PATIENT_SURVEY,CBHC_V1,2022-01-05,2025-02-14
2006,ES,PL,MATERNITY,0,8209,13797999.51,3865110.05,97.42,2.73,526,NOT_COVERED,118,69,0,0,NCP_REPORTING,CBHC_V3,2022-01-24,2025-06-22
2007,CZ,CY,DIAGNOSTICS,1,16895,27960005.87,4107609.67,150.79,2.68,2103,NO_PRIOR_AUTHORISATION,1058,745,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2022-02-12,2025-07-09
2008,HU,LV,REHABILITATION,1,9706,15380885.33,1269110.68,163.67,3.09,135,CAPACITY_LIMITS,51,26,0,0,EHDS_PILOT,CBHC_V1,2022-03-03,2024-05-29
2009,NL,SE,CANCER_CARE,0,17489,13684377.79,788601.0,7.83,3.45,2080,INCOMPLETE_DOCUMENTS,758,388,0,0,PATIENT_SURVEY,CBHC_V3,2022-03-22,2024-12-24
2010,SE,DE,PLANNED_SURGERY,0,23790,6904028.74,2382552.93,228.99,2.62,1427,ALTERNATIVE_AVAILABLE,529,141,0,0,NCP_REPORTING,CBHC_V2,2022-04-10,2024-03-13
2011,DK,PT,DENTAL,0,14725,28396973.81,6701911.07,1.86,3.73,757,MEDICAL_JUSTIFICATION,308,123,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2022-04-29,2024-10-21
2012,IE,CZ,RARE_DISEASE_CARE,1,7828,3736871.45,954368.12,37.95,2.93,1475,OTHER,112,82,0,0,EHDS_PILOT,CBHC_V3,2022-05-18,2024-10-08
2013,PL,LT,TELECONSULTATION,1,20949,13251002.98,2038633.22,29.28,3.3,1289,NOT_COVERED,672,278,0,0,PATIENT_SURVEY,CBHC_V2,2022-06-06,2024-11-30
2014,AT,AT,MATERNITY,0,40566,45952542.64,8215598.65,184.25,4.6,3241,NO_PRIOR_AUTHORISATION,1240,881,1,0,NCP_REPORTING,CBHC_V1,2022-06-25,2025-07-19
2015,EE,GR,DIAGNOSTICS,0,34082,42547722.21,7567417.94,212.8,5.13,1043,CAPACITY_LIMITS,381,266,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2022-07-14,2024-07-01
2016,IT,RO,REHABILITATION,0,55892,83147838.97,23202348.91,30.65,2.45,4151,INCOMPLETE_DOCUMENTS,527,303,0,0,EHDS_PILOT,CBHC_V2,2022-08-02,2025-03-28
2017,PT,DK,CANCER_CARE,1,16646,9244280.59,2220953.44,154.28,4.31,2752,ALTERNATIVE_AVAILABLE,1005,521,0,0,PATIENT_SURVEY,CBHC_V1,2022-08-21,2025-03-13
2018,BE,LU,PLANNED_SURGERY,1,654,1173903.99,122571.95,69.63,4.91,36,MEDICAL_JUSTIFICATION,11,5,0,0,NCP_REPORTING,CBHC_V3,2022-09-09,2025-04-23
2019,FI,BE,DENTAL,0,29347,5196707.36,1228839.28,135.33,2.66,1881,OTHER,955,314,0,1,INSURANCE_FUND_ADMIN,CBHC_V2,2022-09-28,2025-10-08
2020,LV,HU,RARE_DISEASE_CARE,0,24368,66170227.05,6752620.49,17.25,2.36,3406,NOT_COVERED,761,397,0,1,EHDS_PILOT,CBHC_V1,2022-10-17,2025-04-09
2021,RO,SK,TELECONSULTATION,0,1485,992163.19,334517.8,62.76,5.03,33,NO_PRIOR_AUTHORISATION,5,1,0,0,PATIENT_SURVEY,CBHC_V3,2022-11-05,2025-12-11
2022,BG,EE,MATERNITY,0,20416,28735906.17,8811159.76,178.18,4.72,1479,CAPACITY_LIMITS,344,87,1,1,NCP_REPORTING,CBHC_V2,2022-11-24,2025-04-01
2023,FR,MT,DIAGNOSTICS,0,36987,68742813.15,9955120.34,181.05,4.79,400,INCOMPLETE_DOCUMENTS,125,58,1,1,INSURANCE_FUND_ADMIN,CBHC_V1,2022-12-13,2024-08-20
2024,LT,BG,REHABILITATION,0,6627,8153745.96,473285.46,92.87,5.03,138,ALTERNATIVE_AVAILABLE,43,13,1,0,EHDS_PILOT,CBHC_V3,2023-01-01,2025-08-29
2025,SK,IE,CANCER_CARE,1,25741,55230854.53,4579118.14,18.0,3.51,1170,MEDICAL_JUSTIFICATION,129,58,0,0,PATIENT_SURVEY,CBHC_V2,2023-01-20,2024-07-15
2006,HR,SI,PLANNED_SURGERY,1,27586,11078839.61,3775151.56,44.53,2.56,3178,OTHER,225,172,0,1,NCP_REPORTING,CBHC_V1,2023-02-08,2025-01-02
2007,DE,FI,DENTAL,0,10947,6472916.62,2013981.78,196.93,3.89,1575,NOT_COVERED,857,544,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2023-02-27,2024-09-15
2008,LU,NL,RARE_DISEASE_CARE,1,16140,47511545.79,7984787.44,174.05,3.17,1350,NO_PRIOR_AUTHORISATION,139,72,0,0,EHDS_PILOT,CBHC_V2,2023-03-18,2025-07-31
2009,SI,HR,TELECONSULTATION,1,19311,25801016.25,8252678.51,37.33,4.3,550,CAPACITY_LIMITS,43,12,1,0,PATIENT_SURVEY,CBHC_V1,2023-04-06,2026-01-06
2010,CY,IT,MATERNITY,0,2075,1150086.02,108108.69,149.41,3.59,222,INCOMPLETE_DOCUMENTS,99,30,0,0,NCP_REPORTING,CBHC_V3,2023-04-25,2024-01-29
2011,GR,ES,DIAGNOSTICS,1,19961,32797211.15,4400667.67,128.26,3.56,4043,ALTERNATIVE_AVAILABLE,1724,996,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2023-05-14,2025-12-10
2012,MT,FR,REHABILITATION,1,2674,4625708.93,452327.94,134.31,2.88,508,MEDICAL_JUSTIFICATION,100,65,0,0,EHDS_PILOT,CBHC_V1,2023-06-02,2025-01-17
2013,ES,PL,CANCER_CARE,1,1196,2982907.88,931273.63,167.82,2.76,218,OTHER,101,34,0,0,PATIENT_SURVEY,CBHC_V3,2023-06-21,2024-08-01
2014,CZ,CY,PLANNED_SURGERY,1,5153,8554695.15,1858556.96,203.78,2.69,851,NOT_COVERED,131,86,0,0,NCP_REPORTING,CBHC_V2,2023-07-10,2024-10-27
2015,HU,LV,DENTAL,0,28132,20990715.68,7393026.79,11.59,3.48,417,NO_PRIOR_AUTHORISATION,181,139,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2023-07-29,2024-05-24
2016,NL,SE,RARE_DISEASE_CARE,1,13824,24827331.36,2657870.27,27.93,3.05,1829,CAPACITY_LIMITS,210,161,0,0,EHDS_PILOT,CBHC_V3,2023-08-17,2025-10-30
2017,SE,DE,TELECONSULTATION,0,35449,10438468.83,1055546.74,117.56,2.94,3298,INCOMPLETE_DOCUMENTS,546,265,0,0,PATIENT_SURVEY,CBHC_V2,2023-09-05,2025-06-23
2018,DK,PT,MATERNITY,0,16319,10942571.35,1970639.92,130.8,4.93,1226,ALTERNATIVE_AVAILABLE,426,207,0,0,NCP_REPORTING,CBHC_V1,2023-09-24,2024-12-12
2019,IE,CZ,DIAGNOSTICS,1,30484,51829181.8,2684324.51,293.79,4.53,2589,MEDICAL_JUSTIFICATION,243,130,0,1,INSURANCE_FUND_ADMIN,CBHC_V3,2023-10-13,2024-02-06
2020,PL,LT,REHABILITATION,0,12872,2196150.02,491862.32,6.02,2.83,1643,OTHER,742,443,0,0,EHDS_PILOT,CBHC_V2,2023-11-01,2025-10-22
2021,AT,AT,CANCER_CARE,1,3250,5355102.71,1994154.53,169.47,3.5,446,NOT_COVERED,168,129,0,0,PATIENT_SURVEY,CBHC_V1,2023-11-20,2025-06-17
2022,EE,GR,PLANNED_SURGERY,0,1120,2017187.91,517240.59,13.26,2.3,76,NO_PRIOR_AUTHORISATION,32,11,1,0,NCP_REPORTING,CBHC_V3,2023-12-09,2024-03-21
2023,IT,RO,DENTAL,0,4545,3975533.08,919025.37,123.48,4.27,226,CAPACITY_LIMITS,73,30,1,1,INSURANCE_FUND_ADMIN,CBHC_V2,2023-12-28,2025-01-29
2024,PT,DK,RARE_DISEASE_CARE,1,17336,48202282.16,12008073.94,168.79,5.0,2052,INCOMPLETE_DOCUMENTS,862,252,1,0,EHDS_PILOT,CBHC_V1,2024-01-16,2024-02-24
2025,BE,LU,TELECONSULTATION,1,38384,27395669.82,5601398.39,138.3,3.17,2875,ALTERNATIVE_AVAILABLE,566,238,0,0,PATIENT_SURVEY,CBHC_V3,2024-02-04,2024-08-08
2006,FI,BE,MATERNITY,0,6123,4366301.34,256220.98,59.59,4.38,299,MEDICAL_JUSTIFICATION,59,18,0,0,NCP_REPORTING,CBHC_V2,2024-02-23,2024-06-04
2007,LV,HU,DIAGNOSTICS,0,8194,1508882.67,506477.37,74.62,4.56,1017,OTHER,455,288,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2024-03-13,2025-03-04
2008,RO,SK,REHABILITATION,1,31105,20673780.71,7410704.56,104.59,4.61,5133,NOT_COVERED,481,175,0,0,EHDS_PILOT,CBHC_V3,2024-04-01,2025-01-29
2009,BG,EE,CANCER_CARE,1,141,115186.03,20843.99,45.88,2.83,11,NO_PRIOR_AUTHORISATION,2,1,0,0,PATIENT_SURVEY,CBHC_V2,2024-04-20,2025-04-12
2010,FR,MT,PLANNED_SURGERY,0,28928,45963616.98,10838213.14,205.02,4.95,2289,CAPACITY_LIMITS,755,567,1,0,NCP_REPORTING,CBHC_V1,2024-05-09,2024-03-20
2011,LT,BG,DENTAL,0,3326,1071532.08,139037.23,177.89,3.85,186,INCOMPLETE_DOCUMENTS,101,78,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2024-05-28,2024-12-05
2012,SK,IE,RARE_DISEASE_CARE,1,3059,3276645.02,652820.96,196.51,2.58,139,ALTERNATIVE_AVAILABLE,23,7,0,0,EHDS_PILOT,CBHC_V2,2024-06-16,2025-10-09
2013,HR,SI,TELECONSULTATION,0,28021,6899298.73,1058071.3,114.16,4.61,334,MEDICAL_JUSTIFICATION,116,74,0,0,PATIENT_SURVEY,CBHC_V1,2024-07-05,2025-04-02
2014,DE,FI,MATERNITY,1,11942,11784896.5,4150705.22,7.56,4.31,1066,OTHER,465,118,1,0,NCP_REPORTING,CBHC_V3,2024-07-24,2024-04-19
2015,LU,NL,DIAGNOSTICS,0,14760,25388092.22,8015656.46,37.1,4.49,1876,NOT_COVERED,216,162,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2024-08-12,2025-08-09
2016,SI,HR,REHABILITATION,1,23657,28533074.44,2640105.8,65.03,3.99,737,NO_PRIOR_AUTHORISATION,381,135,0,1,EHDS_PILOT,CBHC_V1,2024-08-31,2025-05-11
2017,CY,IT,CANCER_CARE,1,19487,31659989.07,11855047.56,6.87,4.48,2179,CAPACITY_LIMITS,325,215,0,0,PATIENT_SURVEY,CBHC_V3,2024-09-19,2024-01-21
2018,GR,ES,PLANNED_SURGERY,1,13948,25963670.18,6284820.83,187.25,3.13,882,INCOMPLETE_DOCUMENTS,93,50,0,0,NCP_REPORTING,CBHC_V2,2024-10-08,2025-09-22
2019,MT,FR,DENTAL,0,32476,56241787.16,18835459.65,10.05,2.45,1714,ALTERNATIVE_AVAILABLE,500,313,0,1,INSURANCE_FUND_ADMIN,CBHC_V1,2024-10-27,2025-06-09
2020,ES,PL,RARE_DISEASE_CARE,0,13516,12410798.96,3518806.56,53.44,2.71,1592,MEDICAL_JUSTIFICATION,260,191,0,0,EHDS_PILOT,CBHC_V3,2024-11-15,2025-11-06
2021,CZ,CY,TELECONSULTATION,0,6363,7286296.51,1827428.2,60.46,3.02,496,OTHER,58,14,0,1,PATIENT_SURVEY,CBHC_V2,2024-12-04,2025-02-26
2022,HU,LV,MATERNITY,0,33297,34191289.43,10739921.76,136.62,3.72,958,NOT_COVERED,432,266,0,1,NCP_REPORTING,CBHC_V1,2024-12-23,2024-01-24
2023,NL,SE,DIAGNOSTICS,0,16122,14327632.74,2966646.85,234.22,3.27,1250,NO_PRIOR_AUTHORISATION,636,230,0,1,INSURANCE_FUND_ADMIN,CBHC_V3,2025-01-11,2025-10-06
2024,SE,DE,REHABILITATION,1,18857,19940322.8,4499459.25,169.49,2.83,2198,CAPACITY_LIMITS,1057,371,1,1,EHDS_PILOT,CBHC_V2,2025-01-30,2026-02-01
2025,DK,PT,CANCER_CARE,0,34128,51214550.65,17601662.75,79.71,3.16,1767,INCOMPLETE_DOCUMENTS,289,130,0,1,PATIENT_SURVEY,CBHC_V1,2025-02-18,2024-01-07
2006,IE,CZ,PLANNED_SURGERY,0,19292,23467380.81,5143711.95,162.24,4.84,1870,ALTERNATIVE_AVAILABLE,462,198,0,0,NCP_REPORTING,CBHC_V3,2025-03-09,2024-04-22
2007,PL,LT,DENTAL,0,30685,47281925.6,3794622.84,103.89,3.55,2497,MEDICAL_JUSTIFICATION,1205,494,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2025-03-28,2025-10-23
2008,AT,AT,RARE_DISEASE_CARE,0,43900,77067991.98,25063252.56,74.8,4.14,5045,OTHER,2061,922,0,1,EHDS_PILOT,CBHC_V1,2025-04-16,2024-04-03
2009,EE,GR,TELECONSULTATION,0,34715,47474330.01,13247180.23,68.09,5.14,5263,NOT_COVERED,2824,1371,0,1,PATIENT_SURVEY,CBHC_V3,2025-05-05,2026-01-25
