demo_popproj_projection_year,demo_popproj_geography_lgd_code,demo_popproj_age_cohort_5yr,demo_popproj_sex_at_birth,demo_popproj_race_ethnicity_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_net_births_assumption,demo_popproj_net_deaths_assumption,demo_popproj_domestic_migration_assumption,demo_popproj_international_migration_assumption,demo_popproj_housing_units_baseline,demo_popproj_group_quarters_population,demo_popproj_cohort_survival_rate,demo_popproj_fertility_rate_assumption,demo_popproj_migration_rate_assumption,demo_popproj_release_vintage,demo_popproj_methodology_code
2027,78162930,55-59,X,ST,79359,76590,67581,82443,57403,46945,-2443,751,263315,14793,0.9745,1.75,-0.0081,2024-Q%q,TREND
2028,48884577,15-19,F,Other,1030438,1084412,974795,1186255,62057,10987,49291,974,514085,10909,0.9097,1.42,-0.0111,2018-Q%q,COHORTCOMP
2021,67360739,20-24,F,ST,1584707,1708461,1600730,1871553,22570,20200,-22919,-5461,273016,28789,0.9448,1.66,0.0364,2021-Q%q,HYBRID
2041,16825219,55-59,M,ST,826610,807529,722716,901737,2687,24097,20060,-4318,107842,18507,0.9429,2.75,0.0032,2024-Q%q,CENSUS_ADJ
2029,99208065,05-09,F,OBC,705083,779833,704303,846122,47612,30754,-48759,-9124,96660,5337,0.9783,3.31,0.049,2019-Q%q,TREND
2035,77503418,30-34,M,General,1088857,1267565,1191075,1348095,5957,35718,47397,3027,293633,516,0.9674,2.92,0.0182,2018-Q%q,HYBRID
2025,97159933,65-69,F,ST,1596128,1871070,1710477,1962957,14894,32296,23323,5317,314229,42067,0.8812,1.44,0.0283,2018-Q%q,BAYES
2031,86723169,25-29,M,ST,330810,395219,370400,429557,68202,17967,-25109,-9429,41598,6809,0.9206,3.59,0.001,2018-Q%q,CENSUS_ADJ
2028,27671700,55-59,F,SC,1655074,1754443,1590050,1947039,70046,41140,1966,1059,466559,13045,0.9572,3.67,0.0385,2025-Q%q,BAYES
2037,59603302,55-59,X,Other,588683,541291,505802,574390,68303,6093,5066,8468,196729,36579,0.9585,3.2,0.0385,2021-Q%q,BAYES
2028,21376601,50-54,F,OBC,657072,691244,636568,733812,70017,36771,5834,-2869,567760,32738,0.9084,2.98,0.0308,2018-Q%q,BAYES
2041,70355487,05-09,F,Other,775042,742420,672142,795514,13054,45889,18549,2211,279232,10398,0.9053,2.95,-0.0102,2024-Q%q,CENSUS_ADJ
2026,52976657,00-04,X,General,144593,175695,161902,188276,72629,15668,41941,-1457,456849,48339,0.9285,2.78,0.0221,2024-Q%q,HYBRID
2034,58662718,60-64,F,General,490890,565657,528903,613896,15053,34384,-19156,2250,92084,22832,0.9094,2.98,0.0267,2023-Q%q,COHORTCOMP
2036,41341849,45-49,M,OBC,992673,851714,754735,961069,3127,52576,48632,2096,478733,12362,0.9411,1.64,-0.0008,2025-Q%q,COHORTCOMP
2031,74521235,45-49,M,ST,311276,318877,297383,341814,47813,46971,-10914,1860,567992,14317,0.9823,2.79,0.0005,2019-Q%q,CENSUS_ADJ
2022,39197898,75-79,M,General,1727813,1527369,1381787,1621628,12434,34038,-238,1774,533413,19089,0.9207,3.16,-0.018,2023-Q%q,TREND
2025,84731033,40-44,F,SC,468558,567396,539514,592470,16301,51688,-25738,1873,30935,30364,0.8855,2.14,0.0068,2019-Q%q,BAYES
2029,86797606,10-14,F,SC,1223572,1480540,1363649,1618655,22299,37276,-22658,4807,197519,46817,0.8839,3.2,-0.0134,2024-Q%q,CENSUS_ADJ
2023,97427735,80-84,F,Other,1544522,1482448,1394640,1601697,44044,49314,-33602,-5451,220573,43207,0.8997,1.26,-0.0161,2023-Q%q,TREND
2023,62679677,55-59,F,Other,1051271,960634,881172,1069205,73497,24337,-36803,4766,393267,5343,0.8914,2.05,0.0119,2018-Q%q,CENSUS_ADJ
2025,46822502,60-64,X,ST,1270996,1465524,1398857,1607269,24680,52793,18720,-2893,145411,43297,0.9885,2.42,0.0469,2025-Q%q,HYBRID
2035,22705168,40-44,F,Other,973065,975249,920843,1031311,23569,31342,-28288,9067,225139,290,0.9884,2.77,0.0471,2025-Q%q,BAYES
2037,59336472,50-54,F,SC,629728,653747,595336,729213,5113,1440,-44667,2879,584765,11827,0.9483,1.98,0.0039,2024-Q%q,COHORTCOMP
2023,68856657,80-84,X,ST,815274,741278,676047,829406,61688,37810,-29949,3004,89042,22406,0.9916,2.79,-0.0152,2021-Q%q,TREND
2039,33122046,15-19,X,Other,15064,16722,15495,18005,46555,41962,-42907,1420,541575,5354,0.9256,3.18,0.0057,2023-Q%q,CENSUS_ADJ
2027,58039404,65-69,X,SC,191852,180255,168277,195762,46089,59233,5786,-5653,266779,34024,0.9763,1.66,0.0133,2025-Q%q,COHORTCOMP
2034,13971142,45-49,F,General,168693,146775,127663,161806,8411,5530,6559,-8358,206718,23511,0.9329,2.55,-0.014,2018-Q%q,CENSUS_ADJ
2034,53841650,50-54,F,ST,1320423,1504946,1374406,1637670,28944,19122,-19949,1588,99390,37847,0.9163,3.35,0.0278,2024-Q%q,BAYES
2027,50653671,65-69,X,SC,1024097,1021159,949602,1124132,9287,42851,47072,-5467,139415,41814,0.9694,2.05,0.019,2018-Q%q,CENSUS_ADJ
2033,99873035,35-39,X,SC,999424,884643,808495,959780,51909,22979,-30213,6490,146753,34337,0.9668,1.38,0.0373,2025-Q%q,HYBRID
2041,48547498,25-29,X,Other,1508837,1552911,1433482,1705901,33734,53931,11723,-1913,26015,48589,0.9835,3.55,-0.0003,2020-Q%q,TREND
2038,98300705,75-79,X,General,1316837,1589483,1460706,1702250,57144,55222,-5297,-9022,181611,9894,0.9275,2.87,0.0236,2021-Q%q,BAYES
2032,31596472,30-34,M,Other,1159461,1301880,1185041,1419740,37576,37549,43264,-9666,292886,8639,0.9817,2.04,-0.0189,2022-Q%q,BAYES
2035,78828035,70-74,F,Other,933409,889794,798623,947924,56185,15076,-40686,891,304930,13509,0.914,1.21,0.0011,2020-Q%q,BAYES
2037,57997006,65-69,F,General,240069,233965,214410,249496,23693,7005,-898,2758,108907,12629,0.9231,1.62,0.0425,2022-Q%q,COHORTCOMP
2026,91289295,05-09,M,Other,127126,122840,109412,131323,3816,53685,-1034,4765,560102,6255,0.9242,1.89,-0.0158,2023-Q%q,BAYES
2035,86080487,00-04,M,Other,394636,345359,298607,389309,58085,18328,-18649,-5606,131495,37414,0.9078,1.36,0.0024,2024-Q%q,HYBRID
2023,90939842,10-14,X,Other,1387267,1347524,1224151,1435460,16231,34952,-44307,5159,492907,49976,0.9863,2.86,0.0299,2018-Q%q,CENSUS_ADJ
2033,52062144,55-59,F,Other,1501023,1293237,1181126,1420876,51134,39377,30907,6103,38050,17512,0.9936,3.6,0.042,2018-Q%q,HYBRID
2030,24127531,45-49,F,OBC,497151,475795,424181,512353,37173,46537,34549,-6242,514629,9198,0.9594,1.72,0.0299,2020-Q%q,TREND
2027,94693051,80-84,M,General,865107,1069825,978964,1114045,72643,37323,21755,-2497,164668,37727,0.9062,1.69,0.0361,2018-Q%q,TREND
2021,91846151,20-24,X,OBC,1085515,1226061,1105051,1318337,73954,6290,48364,6912,315775,8864,0.9117,2.97,-0.0169,2018-Q%q,BAYES
2023,88463908,60-64,X,OBC,1045631,1164457,1049765,1223277,50421,55470,26794,4134,50651,19598,0.9847,2.33,-0.0017,2024-Q%q,TREND
2031,25398472,65-69,M,General,1272042,1400725,1251742,1466050,65826,24670,136,-3825,262366,10463,0.9,3.15,0.03,2020-Q%q,TREND
2023,52763755,65-69,F,General,1871713,1922266,1815444,2055839,64450,11963,2141,-3120,91079,30306,0.974,1.48,0.0219,2025-Q%q,TREND
2041,76968620,75-79,X,General,108039,106210,95444,112308,50434,9476,-11154,-7617,80232,8579,0.8951,1.41,0.0209,2025-Q%q,COHORTCOMP
2035,77353013,50-54,X,General,1766360,1837229,1743671,2028474,71941,15294,-23832,1560,430865,44811,0.9821,2.94,-0.0145,2021-Q%q,BAYES
2022,59093444,35-39,F,ST,1379597,1264424,1185552,1334659,11962,15670,-14163,4107,494719,5977,0.9466,3.6,0.0269,2022-Q%q,HYBRID
2035,37762468,60-64,F,General,504832,528571,488480,561207,26313,47623,-18690,-5494,489607,16693,0.931,3.36,0.0253,2026-Q%q,BAYES
2023,42382682,50-54,X,General,1086627,998345,884767,1120643,22367,42346,32721,165,591698,7678,0.9692,2.17,0.0382,2019-Q%q,BAYES
2036,42719638,85+,F,OBC,371890,363977,343802,397925,49482,46143,13980,-2214,58802,838,0.9022,1.46,0.0128,2025-Q%q,TREND
2040,69166230,10-14,F,OBC,1550477,1600728,1481865,1757792,76849,28748,42577,-1835,313550,29333,0.9367,2.33,-0.0151,2025-Q%q,HYBRID
2026,43542177,35-39,X,SC,1695564,1727994,1615160,1826405,42728,17379,-20577,925,156481,41110,0.9708,2.15,0.0097,2025-Q%q,HYBRID
2037,82798834,50-54,F,General,119882,103642,93214,115622,25446,45306,-30945,7653,279722,37201,0.9157,2.72,0.043,2022-Q%q,BAYES
2026,24214817,20-24,M,General,1726567,1649289,1452170,1749480,73001,22768,804,6439,251982,10574,0.9854,3.58,0.0223,2024-Q%q,COHORTCOMP
2037,91148556,55-59,M,OBC,1979191,1840693,1662441,2037196,4790,1749,9128,-1641,330747,27578,0.9138,2.82,0.0498,2018-Q%q,TREND
2027,24388690,10-14,X,General,1435957,1775243,1692132,1874524,68045,25613,-2978,-1846,473204,47762,0.9039,2.7,0.0042,2024-Q%q,TREND
2039,30046944,55-59,X,General,457073,419998,396494,452005,45509,5877,-11868,2950,538155,45950,0.8968,3.5,0.0135,2020-Q%q,BAYES
2022,97643010,65-69,M,OBC,704793,691884,611954,729308,7981,19252,34137,-1662,440811,602,0.9384,2.9,-0.0159,2018-Q%q,TREND
2040,23974873,25-29,X,General,838488,990175,917489,1052396,1019,4022,29503,-6351,139863,45577,0.9598,1.38,-0.011,2025-Q%q,BAYES
2027,70002773,50-54,M,OBC,1212266,1162740,1092568,1233969,11588,720,33181,8944,591967,4649,0.968,2.41,0.0225,2022-Q%q,CENSUS_ADJ
2022,38354240,25-29,F,OBC,1738844,1823264,1675242,1929618,79759,52327,-11214,-181,24910,27617,0.9211,2.05,0.0364,2019-Q%q,HYBRID
2027,53832919,85+,M,ST,963029,897376,824955,966777,41921,36878,28284,8886,480246,5704,0.9909,2.78,0.0427,2022-Q%q,CENSUS_ADJ
2022,63014188,15-19,F,SC,994601,1188715,1116414,1302730,16276,4421,5122,136,95743,47965,0.972,3.67,-0.0013,2022-Q%q,HYBRID
2029,92113565,35-39,M,ST,1147676,1184715,1099251,1300964,39749,16828,-14173,17,242715,30843,0.9116,3.06,-0.0004,2022-Q%q,TREND
2028,34415739,25-29,X,OBC,1309061,1173367,1072231,1329808,76844,13859,35570,41,480417,13058,0.9207,3.0,0.0001,2022-Q%q,TREND
2021,82557802,80-84,M,OBC,129838,149196,134770,160603,65728,49486,-9151,-8763,309260,1143,0.9672,1.23,0.0359,2023-Q%q,TREND
2025,53544559,55-59,X,SC,1924897,1765182,1602798,1882171,25047,37285,-47328,-6470,231033,40973,0.9379,3.32,-0.0048,2025-Q%q,TREND
2038,52956242,60-64,M,ST,1155543,1009400,874448,1119612,52087,46481,-44144,920,588367,11479,0.9581,1.46,0.0459,2020-Q%q,BAYES
2024,63553457,60-64,M,Other,38263,35745,31406,38953,16735,52436,-8946,3403,326140,47717,0.9597,2.08,0.0332,2024-Q%q,TREND
2041,40090052,55-59,F,ST,252819,293568,278124,307186,41057,1114,-3879,-4916,272661,7918,0.9652,1.65,0.0467,2022-Q%q,BAYES
2035,73038025,80-84,F,General,128292,138670,124780,153833,7912,30925,18084,-3349,197193,37328,0.964,3.28,0.0377,2018-Q%q,BAYES
2022,42556584,55-59,F,Other,55891,49296,45098,53999,44543,20863,-42756,79,321565,31179,0.8891,1.72,0.0433,2019-Q%q,COHORTCOMP
2025,82281939,55-59,F,ST,1412616,1667857,1566408,1791882,27270,39952,20827,8558,522620,26917,0.892,2.13,0.0339,2024-Q%q,BAYES
2035,68708949,85+,F,SC,1451287,1529689,1420736,1605927,2826,22041,5972,-9852,465071,46775,0.908,1.83,-0.0133,2020-Q%q,COHORTCOMP
2029,33106825,55-59,X,OBC,734277,765154,695998,805129,31623,912,39996,-3869,68384,32327,0.9648,2.25,0.0002,2021-Q%q,BAYES
2030,58401302,50-54,F,General,1322350,1452484,1294261,1530270,2551,10845,33231,7126,250454,37774,0.8956,1.26,0.019,2021-Q%q,CENSUS_ADJ
2028,39878817,80-84,F,Other,267077,264459,248985,283157,73949,55771,1889,5996,141552,44793,0.9112,3.32,-0.0193,2021-Q%q,HYBRID
2028,70315137,35-39,X,ST,182491,225910,207313,242178,44138,10430,38056,3054,143379,11139,0.9144,3.62,0.0295,2019-Q%q,HYBRID
2032,31714014,00-04,X,General,1663180,1974281,1820871,2134873,7513,27794,-32775,7387,265934,42718,0.9949,3.66,0.004,2022-Q%q,TREND
2028,47563046,50-54,X,SC,1456654,1262754,1160944,1400280,19009,43986,-7788,5543,532977,5240,0.9323,3.18,0.0247,2018-Q%q,TREND
2034,46347527,65-69,X,OBC,1080864,1333602,1246117,1463217,51781,50572,26877,5945,152827,33804,0.958,2.63,0.0321,2025-Q%q,COHORTCOMP
2021,66000727,50-54,M,General,1524828,1734275,1649052,1834277,34895,3345,-28332,-426,55447,3632,0.9545,2.54,0.0264,2018-Q%q,COHORTCOMP
2032,66336897,20-24,M,ST,116158,101928,94607,111040,11058,37895,46739,1236,234637,35710,0.9891,1.49,0.0089,2019-Q%q,COHORTCOMP
2028,54543776,25-29,X,ST,734233,820503,741274,867046,32867,20354,-18561,-5433,292075,45795,0.9723,3.22,-0.0161,2022-Q%q,BAYES
2022,79004235,85+,F,OBC,1212933,1402975,1334574,1470672,67189,38436,-43101,6056,61285,32890,0.9008,2.52,0.0208,2022-Q%q,TREND
2025,86162647,80-84,X,General,1781553,2004208,1825083,2108351,58348,47712,-10627,-7322,241599,39717,0.9048,3.24,0.0139,2024-Q%q,CENSUS_ADJ
2027,36408308,25-29,X,Other,519623,472423,435511,506199,32412,32815,-48758,8897,212248,15401,0.9832,2.67,0.0058,2023-Q%q,CENSUS_ADJ
2039,44508263,35-39,F,SC,306197,271954,243086,303234,42851,58149,-33390,3713,311168,34970,0.9641,2.27,0.0395,2022-Q%q,COHORTCOMP
2031,52871283,45-49,F,ST,1868336,2054308,1868917,2232082,60553,59505,-34503,2421,74671,3408,0.9925,1.64,0.031,2021-Q%q,BAYES
2028,24072696,65-69,F,OBC,400637,458335,423814,493844,23720,10968,32608,2703,408074,2721,0.9455,3.73,0.0025,2021-Q%q,TREND
2034,29595330,50-54,F,Other,475432,589259,541177,614669,59817,14954,21325,7376,329579,4875,0.9289,3.75,-0.0138,2024-Q%q,CENSUS_ADJ
2024,40856228,60-64,M,Other,1515519,1489245,1399412,1611757,39449,25542,10539,8040,113758,30297,0.97,1.84,-0.0168,2019-Q%q,TREND
2023,15038619,05-09,F,Other,1540922,1867238,1732413,1991467,5849,5287,-6306,-7359,298465,27525,0.9543,2.23,0.019,2021-Q%q,CENSUS_ADJ
2033,97293482,20-24,F,SC,1782635,1959231,1865345,2100865,10895,26243,-24793,775,158714,449,0.9576,3.26,0.0318,2020-Q%q,TREND
2038,49334068,15-19,X,OBC,1754163,1795724,1633562,1938230,29902,33526,14863,900,522497,46674,0.9588,3.4,-0.0069,2021-Q%q,TREND
2025,74962163,30-34,F,Other,1764390,2162397,1965381,2259387,35787,29735,-28731,3979,205960,4693,0.957,1.45,0.0132,2019-Q%q,BAYES
2033,98097757,50-54,X,Other,1691989,1523967,1418608,1618648,33947,16103,-38458,936,400074,3547,0.9554,3.51,0.0254,2024-Q%q,TREND
2037,36401926,10-14,M,OBC,1215689,1228281,1114147,1305167,55907,40688,-26652,-2076,75034,46224,0.894,1.3,-0.019,2020-Q%q,COHORTCOMP
2032,53410272,60-64,M,Other,1420690,1233338,1143874,1350206,4120,58871,16292,-4818,156639,15129,0.887,2.06,0.0063,2025-Q%q,COHORTCOMP
2022,65628513,40-44,X,General,134802,143043,131997,156196,8492,56000,-26335,7557,462245,5723,0.923,3.77,0.0307,2023-Q%q,CENSUS_ADJ
2025,47631639,35-39,F,General,1197662,1245025,1156645,1387441,7093,51695,-18673,2496,398641,11483,0.9855,3.47,0.0223,2024-Q%q,TREND
2032,99719646,20-24,F,Other,300557,329815,295758,365143,44945,15850,34063,-7687,221920,38886,0.9627,2.13,-0.0045,2023-Q%q,CENSUS_ADJ
2035,11449016,85+,M,ST,1683871,1551883,1438785,1646599,68935,51268,-21707,-4304,584314,14947,0.9846,2.07,0.0291,2021-Q%q,HYBRID
2036,72911601,80-84,X,ST,1366553,1363901,1232388,1443404,13713,16246,-12191,5192,497670,46799,0.9268,3.3,0.0278,2023-Q%q,HYBRID
2022,62791754,80-84,F,SC,961465,982490,911048,1044417,11896,56658,-34892,9340,487499,37472,0.9797,3.71,0.0348,2025-Q%q,COHORTCOMP
2041,81378474,55-59,F,SC,338447,328593,305730,348996,77010,12524,21298,-9247,391516,30577,0.9656,1.99,0.0471,2020-Q%q,BAYES
2025,33293841,25-29,X,ST,1040736,1247533,1169425,1320129,32407,26167,18470,5454,522185,12498,0.9391,2.89,0.0194,2019-Q%q,COHORTCOMP
2032,89563155,05-09,M,Other,1066840,1121664,1016625,1234700,2069,23151,25018,-2072,407288,7333,0.91,2.7,0.039,2020-Q%q,TREND
2032,69277391,50-54,M,OBC,1904495,2233699,2041437,2383117,48619,17057,41752,1618,39434,36765,0.9297,3.7,0.0448,2024-Q%q,COHORTCOMP
2021,97985528,25-29,X,SC,1454188,1612715,1499654,1764031,73092,7855,28425,1310,207496,26968,0.9437,2.49,0.0005,2019-Q%q,BAYES
2026,43911523,20-24,F,SC,1686669,1540008,1367806,1714917,18836,54278,2706,-3462,378803,10944,0.9293,2.34,0.0241,2022-Q%q,CENSUS_ADJ
2030,52994057,70-74,F,Other,1950912,1996788,1874868,2133896,38959,54490,-9523,4486,530327,46505,0.913,2.91,-0.0005,2020-Q%q,COHORTCOMP
2040,33936475,55-59,M,Other,338867,322608,289412,359156,65101,57545,25509,1433,456049,15393,0.9194,2.23,0.0461,2025-Q%q,CENSUS_ADJ
2029,17096899,80-84,M,OBC,1299096,1495324,1347014,1635303,6265,44169,-31116,5827,210729,42206,0.9941,1.71,0.0134,2018-Q%q,CENSUS_ADJ
2034,53032930,45-49,X,ST,1553796,1681730,1541947,1773450,11843,36975,-32931,2298,553229,35337,0.9457,3.73,-0.0106,2023-Q%q,CENSUS_ADJ
2036,40646760,10-14,F,Other,1091510,1011181,933189,1089653,38105,28418,22503,-9693,180923,28997,0.9842,2.31,0.0245,2022-Q%q,COHORTCOMP
2028,20847093,20-24,M,General,1620645,1693350,1538463,1818996,69544,20677,46562,3622,581921,32095,0.9914,3.71,0.0296,2021-Q%q,CENSUS_ADJ
2038,85006824,10-14,F,SC,331014,382669,349269,410779,41062,49071,36811,-6667,8276,15248,0.9524,3.38,-0.004,2025-Q%q,CENSUS_ADJ
2036,80203715,45-49,X,OBC,895360,1078709,978857,1151917,70895,22125,43817,-7521,460448,13356,0.9691,1.99,0.0231,2024-Q%q,BAYES
2033,60273921,20-24,X,Other,1001174,1095918,1041959,1191357,59751,12144,41757,9541,272424,14282,0.8823,1.93,-0.0079,2020-Q%q,TREND
2034,65369360,25-29,X,ST,1695652,1945042,1806024,2050737,48547,20682,-33037,-1077,374382,3377,0.9278,2.74,-0.0092,2019-Q%q,TREND
2029,65507454,85+,F,General,1209966,1373729,1269655,1456890,28261,24860,26988,-63,406696,49201,0.8854,3.55,0.0122,2020-Q%q,COHORTCOMP
2025,76034715,25-29,M,SC,789219,817806,765190,911126,40666,50080,-38719,3929,341206,42983,0.892,2.53,0.034,2023-Q%q,CENSUS_ADJ
2030,44319282,75-79,X,General,1454457,1762185,1596158,1891243,66328,25364,-44680,3234,474047,36174,0.9897,3.02,-0.0042,2024-Q%q,BAYES
2031,75482124,85+,M,General,1980517,1828574,1653755,2031870,18697,14248,31958,6094,569138,45946,0.9251,3.58,0.0327,2019-Q%q,TREND
2025,25411317,20-24,M,General,509975,542519,482809,601441,3151,46548,31351,363,280601,11565,0.9867,1.25,-0.0191,2022-Q%q,TREND
2035,85196082,55-59,F,OBC,1773477,1575963,1388538,1788206,78908,56162,-20704,2770,403625,21067,0.9617,2.63,0.0339,2025-Q%q,BAYES
2036,68797886,50-54,M,ST,332171,313366,289560,351606,31567,40207,-10222,-9874,342964,3899,0.9456,1.91,0.0345,2019-Q%q,HYBRID
2021,82446763,40-44,F,ST,225241,230570,218522,256290,50182,22620,-40381,8645,409534,29765,0.9042,1.54,0.047,2025-Q%q,CENSUS_ADJ
2023,30226605,15-19,F,SC,312660,363281,334359,388325,51200,37323,38480,-5644,431847,15288,0.9081,2.19,-0.004,2021-Q%q,CENSUS_ADJ
2022,76512227,30-34,F,OBC,1841183,2134828,2006580,2256134,43783,41273,20713,9794,407146,64,0.9358,1.6,0.0372,2022-Q%q,COHORTCOMP
2026,60186209,75-79,M,OBC,1223958,1216783,1119674,1311049,60348,37418,45032,-6091,593516,26887,0.9711,1.65,0.0121,2022-Q%q,CENSUS_ADJ
2034,37875647,05-09,X,OBC,468299,425830,376010,455701,31811,18063,47965,-2014,430264,20786,0.9406,2.09,0.0241,2025-Q%q,TREND
2030,53894841,00-04,M,ST,229378,249517,223959,275383,3735,39086,-22007,-1099,286517,10598,0.9535,2.58,0.0414,2018-Q%q,CENSUS_ADJ
2031,83291035,85+,X,General,1524238,1602291,1454804,1783493,21215,54423,15309,-9878,352720,25226,0.8881,1.49,0.0037,2023-Q%q,TREND
2038,97971533,20-24,M,General,297410,348565,316440,363863,71106,4489,17978,3380,517069,39115,0.9391,2.92,0.0271,2024-Q%q,COHORTCOMP
2033,29416300,60-64,M,General,1227584,1468096,1363325,1562450,19538,14920,34529,-6997,321500,15513,0.9844,2.59,0.0137,2021-Q%q,HYBRID
2028,40305860,25-29,M,SC,567697,651726,594199,718847,78181,9857,-48021,9833,283256,31055,0.9344,3.04,0.0231,2024-Q%q,HYBRID
2026,18527735,55-59,X,SC,1817750,2244118,2077720,2401782,59944,22123,21056,6509,380365,28469,0.9819,2.65,0.0297,2020-Q%q,BAYES
2032,98974500,55-59,X,ST,769709,724866,652224,808280,49758,10406,-36772,-7776,561701,14220,0.9764,2.98,0.0109,2020-Q%q,BAYES
2031,11151969,00-04,F,SC,539150,651337,592674,689485,34887,10475,-2764,7469,12121,47590,0.9415,1.38,0.0198,2018-Q%q,HYBRID
2032,57376355,05-09,X,SC,1810603,1683236,1588261,1799241,51566,55376,-5055,3432,341318,46122,0.984,3.18,-0.0053,2020-Q%q,HYBRID
2028,20308368,40-44,M,Other,574638,681025,637413,725665,31898,40225,22426,8343,15934,32522,0.9189,1.28,0.0261,2023-Q%q,HYBRID
2033,70973256,65-69,X,ST,1225194,1522695,1411754,1643254,66805,35209,30334,-4924,210970,1856,0.8832,3.46,-0.0112,2024-Q%q,COHORTCOMP
2022,20681203,60-64,F,Other,1628056,1553550,1459693,1700601,19105,37394,-20872,-1258,393940,28185,0.949,3.33,0.0459,2025-Q%q,HYBRID
2030,14808370,65-69,F,SC,800169,733750,662342,795943,70200,5444,-5276,9108,119917,14831,0.9589,3.04,0.0396,2023-Q%q,BAYES
2041,72827238,00-04,M,General,434891,436777,395423,474662,1819,50251,-24242,345,491827,25542,0.8856,3.04,0.0349,2024-Q%q,TREND
2040,26710314,10-14,M,Other,208563,188466,167608,203107,44902,39630,24239,-7110,48824,36984,0.9198,2.02,0.0373,2019-Q%q,CENSUS_ADJ
2039,17990661,85+,F,SC,1615336,1621380,1518144,1760916,66466,1088,22559,3869,275073,7843,0.9463,1.64,0.0215,2025-Q%q,BAYES
2037,23065765,55-59,M,OBC,532171,556596,526982,587982,24427,19946,-44045,218,116806,44669,0.9365,1.35,0.005,2023-Q%q,COHORTCOMP
2031,95932096,35-39,X,General,1246114,1549968,1418836,1634992,6942,3461,-7612,-1733,34671,12854,0.8938,1.46,-0.0013,2025-Q%q,CENSUS_ADJ
2039,80356689,75-79,X,ST,739634,923149,851927,969950,69671,43667,-47178,1006,557591,9464,0.9184,2.26,0.0163,2020-Q%q,COHORTCOMP
2025,31414515,80-84,F,Other,183296,216739,203273,233859,5065,24303,14555,692,323397,16021,0.8985,1.61,0.0358,2024-Q%q,HYBRID
2041,87997017,40-44,F,ST,755408,691807,607900,743512,79431,47622,2623,5603,183280,21784,0.954,2.65,0.0421,2020-Q%q,COHORTCOMP
2022,43916111,45-49,F,SC,288460,256465,241494,281405,67224,56813,-48509,2837,196426,25129,0.9937,3.3,-0.003,2020-Q%q,BAYES
2024,65454342,70-74,M,General,1868710,1740113,1595345,1946179,38808,33737,8447,5032,557192,25256,0.9109,1.3,0.0154,2021-Q%q,HYBRID
2040,41481882,20-24,F,ST,289967,287148,264754,321403,74892,45534,36149,-3902,178021,33191,0.976,2.63,-0.0003,2023-Q%q,TREND
2033,73172749,80-84,M,General,1248497,1250360,1133755,1317285,72289,19332,-13403,-8604,597033,35625,0.9682,1.65,0.0177,2021-Q%q,COHORTCOMP
2037,57032865,15-19,M,ST,1298706,1608632,1508000,1756144,52782,29415,-40544,5307,338711,27210,0.9255,1.61,-0.0072,2021-Q%q,HYBRID
2033,54309100,10-14,X,OBC,897250,803532,705951,862172,66203,40426,11201,2335,128526,32141,0.9825,2.77,0.0261,2023-Q%q,COHORTCOMP
2037,56398653,70-74,M,General,1526460,1904415,1810718,2002107,65187,3347,38195,-2173,52384,6506,0.9282,2.26,-0.0163,2023-Q%q,CENSUS_ADJ
2025,54653287,65-69,X,OBC,1016503,1002872,924210,1063349,50921,34435,38439,-9679,400105,38314,0.9843,2.95,0.006,2022-Q%q,TREND
2027,42566862,70-74,F,ST,755525,806127,717403,884151,1275,22859,-6010,-3362,333840,12921,0.9072,2.0,0.0089,2025-Q%q,TREND
2034,94727729,45-49,M,ST,1678339,1844043,1725354,1972796,41473,59986,-4959,4997,52300,38033,0.9837,2.2,0.0477,2025-Q%q,BAYES
2041,92645943,60-64,M,OBC,646054,715624,664904,760860,50945,19432,-30454,-7673,21966,15463,0.9832,2.67,0.0135,2025-Q%q,CENSUS_ADJ
2028,40719648,00-04,F,Other,1512435,1457712,1331502,1580135,75223,3909,15101,9427,537473,3907,0.9674,2.49,-0.0175,2023-Q%q,TREND
2024,70974663,85+,X,General,211251,192377,180792,203312,65774,46994,-46045,8835,4862,30311,0.979,1.64,0.0109,2021-Q%q,HYBRID
2035,52392207,00-04,M,OBC,106121,126457,118891,134209,12017,19841,10113,2176,118588,39803,0.9129,1.88,0.025,2019-Q%q,CENSUS_ADJ
2032,48937445,80-84,M,OBC,369095,387477,364989,428371,15452,12314,-20270,6114,495522,26778,0.9374,2.33,-0.0073,2019-Q%q,BAYES
2021,67394044,00-04,X,Other,1524678,1664353,1568340,1779461,74739,734,42723,1348,484055,17842,0.8961,3.06,0.0469,2024-Q%q,CENSUS_ADJ
2024,83569466,40-44,F,Other,1550290,1705531,1534751,1873286,44270,25128,-39620,9457,40956,37562,0.8896,1.33,0.0267,2018-Q%q,COHORTCOMP
2025,33612031,60-64,F,General,741302,755199,678310,818948,35085,45819,-31437,3587,523385,21177,0.8904,3.36,-0.0136,2023-Q%q,HYBRID
2033,59385268,15-19,X,ST,306872,312852,284764,342002,58201,58687,-44205,-1523,424063,20623,0.9048,3.06,0.0165,2022-Q%q,BAYES
2023,33643134,55-59,M,Other,426737,427607,400275,457002,3133,11014,16589,8574,148596,36561,0.8825,1.6,0.0183,2022-Q%q,HYBRID
