lab_dialogue_reference_year,lab_dialogue_country_iso2,lab_dialogue_sector_nace_section,lab_dialogue_collective_bargaining_coverage_pct,lab_dialogue_union_density_pct,lab_dialogue_employer_organisation_density_pct,lab_dialogue_wage_setting_level_code,lab_dialogue_minimum_wage_directive_alignment_flag,lab_dialogue_agreements_signed_count,lab_dialogue_disputes_count,lab_dialogue_strike_days_lost_per_1k,lab_dialogue_mediation_cases_count,lab_dialogue_social_partner_consultations_count,lab_dialogue_tripartite_body_flag,lab_dialogue_gender_equality_clause_share_pct,lab_dialogue_platform_work_clause_share_pct,lab_dialogue_telework_clause_share_pct,lab_dialogue_training_clause_share_pct,lab_dialogue_data_source,lab_dialogue_last_update_date
2018,CZ,N,9.28,43.19,11.47,COMPANY,0,110,48,39.26,15,275,0,72.32,1.31,18.18,18.73,EUROFOUND_EWCS,2024-03-06
2019,HU,D,46.92,49.01,30.88,SECTOR,0,81,1,24.2,58,359,1,30.07,10.21,39.27,19.09,NATIONAL_LABOUR_MINISTRY,2024-04-04
2020,NL,O,64.84,37.35,21.32,NATIONAL,0,536,96,28.01,116,1,1,17.81,44.15,24.53,13.09,SOCIAL_PARTNER_REGISTRY,2024-05-03
2021,SE,E,85.27,60.85,75.97,MIXED,0,192,27,0.9,15,227,0,72.83,9.44,20.73,40.65,ILO_EXPORT,2024-06-01
2022,DK,P,48.28,92.07,22.91,COMPANY,1,185,84,30.54,5,235,0,34.86,16.76,31.61,68.09,EUROFOUND_EWCS,2024-06-30
2023,IE,F,40.6,43.06,37.14,SECTOR,0,101,30,42.93,110,178,0,78.85,42.34,23.29,70.56,NATIONAL_LABOUR_MINISTRY,2024-07-29
2024,PL,Q,67.44,12.05,16.62,NATIONAL,0,276,3,17.36,49,278,0,73.87,7.2,43.27,49.94,SOCIAL_PARTNER_REGISTRY,2024-08-27
2025,AT,G,14.22,28.9,42.44,MIXED,1,84,89,1.44,90,182,1,56.03,34.08,63.21,61.9,ILO_EXPORT,2024-09-25
2006,EE,R,21.71,16.03,58.59,COMPANY,1,48,70,50.19,81,182,1,26.94,18.03,22.74,65.24,EUROFOUND_EWCS,2024-10-24
2007,IT,H,93.73,12.9,32.42,SECTOR,0,307,40,14.28,79,212,0,4.36,0.97,32.83,77.27,NATIONAL_LABOUR_MINISTRY,2024-11-22
2008,PT,S,66.91,14.13,42.34,NATIONAL,0,389,11,25.36,100,486,0,4.7,7.73,32.78,31.5,SOCIAL_PARTNER_REGISTRY,2024-12-21
2009,BE,I,55.91,6.6,33.79,MIXED,0,411,20,2.16,95,19,1,45.75,6.1,32.69,69.41,ILO_EXPORT,2025-01-19
2010,FI,T,83.58,9.76,49.0,COMPANY,1,247,38,44.79,33,270,1,51.23,10.66,17.8,18.26,EUROFOUND_EWCS,2025-02-17
2011,LV,J,76.55,9.83,52.1,SECTOR,0,42,32,12.58,22,161,1,14.69,2.65,14.52,41.36,NATIONAL_LABOUR_MINISTRY,2025-03-18
2012,RO,U,45.87,53.09,24.77,NATIONAL,0,315,29,47.71,137,269,1,32.23,16.82,32.47,46.48,SOCIAL_PARTNER_REGISTRY,2025-04-16
2013,BG,K,66.63,43.58,71.24,MIXED,1,416,9,23.69,25,389,1,24.63,5.84,38.19,87.12,ILO_EXPORT,2025-05-15
2014,FR,A,40.61,13.12,14.2,COMPANY,0,331,28,47.49,83,183,1,33.89,13.48,44.97,19.66,EUROFOUND_EWCS,2025-06-13
2015,LT,L,45.77,53.14,10.86,SECTOR,0,59,67,28.33,99,157,1,48.01,7.07,17.05,73.51,NATIONAL_LABOUR_MINISTRY,2025-07-12
2016,SK,B,75.17,46.64,48.73,NATIONAL,0,11,11,10.81,76,369,1,69.76,15.83,27.53,43.45,SOCIAL_PARTNER_REGISTRY,2025-08-10
2017,HR,M,30.09,7.34,7.76,MIXED,0,97,52,44.72,133,290,1,53.09,1.11,36.71,42.96,ILO_EXPORT,2025-09-08
2018,DE,C,31.55,26.6,58.56,COMPANY,0,68,9,10.51,57,345,1,33.11,16.81,35.83,69.09,EUROFOUND_EWCS,2025-10-07
2019,LU,N,64.74,41.46,38.21,SECTOR,1,2,67,14.02,54,376,1,15.88,0.98,17.0,72.18,NATIONAL_LABOUR_MINISTRY,2025-11-05
2020,SI,D,70.14,10.6,49.3,NATIONAL,1,403,40,3.01,132,377,1,45.91,20.12,38.88,67.61,SOCIAL_PARTNER_REGISTRY,2025-12-04
2021,CY,O,40.16,37.22,34.17,MIXED,0,328,79,8.5,85,252,1,17.98,23.11,18.24,72.62,ILO_EXPORT,2026-01-02
2022,GR,E,35.48,29.29,16.9,COMPANY,1,198,10,12.13,53,389,1,7.08,40.49,19.99,16.6,EUROFOUND_EWCS,2026-01-31
2023,MT,P,26.38,33.77,16.99,SECTOR,0,65,37,53.85,74,312,1,43.63,47.21,34.21,51.39,NATIONAL_LABOUR_MINISTRY,2010-01-04
2024,ES,F,19.2,54.52,36.22,NATIONAL,0,192,79,21.04,69,121,1,76.01,16.48,62.47,34.81,SOCIAL_PARTNER_REGISTRY,2010-02-02
2025,CZ,Q,64.45,19.4,34.46,MIXED,1,398,37,52.43,85,105,1,75.82,38.99,42.92,38.59,ILO_EXPORT,2010-03-03
2006,HU,G,74.46,13.54,68.54,COMPANY,0,148,55,21.06,45,122,1,30.0,4.87,39.2,81.84,EUROFOUND_EWCS,2010-04-01
2007,NL,R,17.14,46.21,17.54,SECTOR,0,324,79,2.42,127,275,1,37.68,8.63,4.34,53.68,NATIONAL_LABOUR_MINISTRY,2010-04-30
2008,SE,H,100.0,25.34,48.91,NATIONAL,0,141,43,6.2,106,197,1,22.44,6.43,18.56,89.05,SOCIAL_PARTNER_REGISTRY,2010-05-29
2009,DK,S,52.88,43.97,58.35,MIXED,1,254,6,25.96,12,40,0,47.74,10.23,42.17,69.99,ILO_EXPORT,2010-06-27
2010,IE,I,65.04,15.63,69.68,COMPANY,0,377,83,8.55,60,118,1,10.62,16.68,16.79,56.55,EUROFOUND_EWCS,2010-07-26
2011,PL,T,50.48,8.69,44.96,SECTOR,1,121,60,30.83,29,205,1,32.9,15.93,42.69,54.3,NATIONAL_LABOUR_MINISTRY,2010-08-24
2012,AT,J,16.53,5.85,8.8,NATIONAL,0,302,88,1.65,43,199,0,46.69,7.4,23.49,14.76,SOCIAL_PARTNER_REGISTRY,2010-09-22
2013,EE,U,26.37,13.37,33.09,MIXED,0,84,59,18.65,8,305,1,37.18,18.61,19.89,13.75,ILO_EXPORT,2010-10-21
2014,IT,K,28.03,11.27,35.68,COMPANY,0,141,22,14.62,39,355,0,18.3,0.97,31.57,39.75,EUROFOUND_EWCS,2010-11-19
2015,PT,A,19.34,25.86,30.38,SECTOR,0,121,33,29.88,10,375,1,9.77,1.76,11.92,73.08,NATIONAL_LABOUR_MINISTRY,2010-12-18
2016,BE,L,99.92,21.31,46.68,NATIONAL,0,479,88,28.99,100,11,1,25.16,16.06,31.02,50.14,SOCIAL_PARTNER_REGISTRY,2011-01-16
2017,FI,B,94.46,88.96,61.59,MIXED,0,345,40,38.79,59,524,1,28.47,6.53,26.51,11.27,ILO_EXPORT,2011-02-14
2018,LV,M,28.46,29.56,46.08,COMPANY,0,33,10,19.62,22,184,1,46.57,16.84,39.67,60.57,EUROFOUND_EWCS,2011-03-15
2019,RO,C,37.88,26.85,55.99,SECTOR,0,226,52,55.41,23,283,0,41.06,8.65,36.05,26.91,NATIONAL_LABOUR_MINISTRY,2011-04-13
2020,BG,N,11.09,58.08,30.16,NATIONAL,0,368,25,44.46,76,80,1,16.92,18.48,4.85,28.91,SOCIAL_PARTNER_REGISTRY,2011-05-12
2021,FR,D,80.53,9.76,46.05,MIXED,1,199,3,4.08,67,383,1,28.55,41.68,38.47,66.43,ILO_EXPORT,2011-06-10
2022,LT,O,66.12,28.71,73.2,COMPANY,0,349,46,15.13,8,17,1,11.39,25.91,70.16,74.78,EUROFOUND_EWCS,2011-07-09
2023,SK,E,73.21,48.45,64.61,SECTOR,1,407,21,6.05,27,547,1,43.26,40.38,51.03,50.89,NATIONAL_LABOUR_MINISTRY,2011-08-07
2024,HR,P,15.62,52.22,9.29,NATIONAL,1,123,26,12.6,57,152,1,41.49,2.38,53.24,25.28,SOCIAL_PARTNER_REGISTRY,2011-09-05
2025,DE,F,27.7,35.36,14.8,MIXED,0,272,74,13.45,41,293,0,67.33,42.12,29.95,10.42,ILO_EXPORT,2011-10-04
2006,LU,Q,45.88,39.39,13.74,COMPANY,0,287,50,44.99,23,379,1,31.0,15.74,40.34,51.81,EUROFOUND_EWCS,2011-11-02
2007,SI,G,47.26,50.67,47.68,SECTOR,0,240,73,25.65,99,278,0,54.99,1.72,12.33,57.95,NATIONAL_LABOUR_MINISTRY,2011-12-01
2008,CY,R,27.7,30.29,49.44,NATIONAL,0,116,8,0.82,85,207,1,39.87,0.93,16.06,48.21,SOCIAL_PARTNER_REGISTRY,2011-12-30
2009,GR,H,26.58,24.93,51.21,MIXED,0,79,20,11.02,107,405,1,55.8,0.7,9.16,28.66,ILO_EXPORT,2012-01-28
2010,MT,S,11.97,44.81,18.37,COMPANY,0,327,1,37.72,39,123,1,40.56,0.07,44.2,44.98,EUROFOUND_EWCS,2012-02-26
2011,ES,I,58.69,12.64,77.3,SECTOR,0,520,67,22.95,54,247,1,14.8,5.51,16.72,42.92,NATIONAL_LABOUR_MINISTRY,2012-03-26
2012,CZ,T,69.35,36.53,65.96,NATIONAL,0,60,58,13.98,8,52,0,5.53,18.32,7.63,47.35,SOCIAL_PARTNER_REGISTRY,2012-04-24
2013,HU,J,62.19,30.09,17.74,MIXED,1,238,44,52.0,8,337,1,48.24,17.23,17.2,22.73,ILO_EXPORT,2012-05-23
2014,NL,U,60.42,16.24,30.51,COMPANY,0,487,28,12.79,57,367,1,11.46,13.86,5.45,48.0,EUROFOUND_EWCS,2012-06-21
2015,SE,K,20.7,53.81,38.91,SECTOR,0,119,29,2.97,96,344,1,54.97,12.66,21.88,30.36,NATIONAL_LABOUR_MINISTRY,2012-07-20
2016,DK,A,50.37,55.49,7.43,NATIONAL,0,292,21,36.42,69,158,0,52.67,11.45,8.79,41.57,SOCIAL_PARTNER_REGISTRY,2012-08-18
2017,IE,L,25.53,27.58,11.28,MIXED,0,29,0,35.52,17,322,0,57.6,18.07,8.31,66.33,ILO_EXPORT,2012-09-16
2018,PL,B,66.51,30.02,60.87,COMPANY,0,401,8,19.28,58,519,0,13.61,8.96,13.15,72.43,EUROFOUND_EWCS,2012-10-15
2019,AT,M,77.92,10.85,44.18,SECTOR,1,268,15,30.09,22,52,1,13.27,9.11,29.22,16.75,NATIONAL_LABOUR_MINISTRY,2012-11-13
2020,EE,C,46.47,5.31,35.07,NATIONAL,1,220,38,46.98,130,320,1,47.41,7.53,4.44,27.97,SOCIAL_PARTNER_REGISTRY,2012-12-12
2021,IT,N,100.0,45.76,78.32,MIXED,0,19,52,3.98,10,524,1,63.6,42.92,24.35,80.32,ILO_EXPORT,2013-01-10
2022,PT,D,32.29,59.41,52.13,COMPANY,0,193,81,20.72,17,243,1,48.66,36.89,7.49,41.33,EUROFOUND_EWCS,2013-02-08
2023,BE,O,31.52,26.93,43.32,SECTOR,0,360,62,42.33,55,143,1,25.58,27.96,72.52,73.82,NATIONAL_LABOUR_MINISTRY,2013-03-09
2024,FI,E,28.82,71.12,10.49,NATIONAL,1,213,26,37.62,68,390,0,72.35,27.17,20.51,42.66,SOCIAL_PARTNER_REGISTRY,2013-04-07
2025,LV,P,34.72,4.97,28.73,MIXED,1,43,52,35.96,43,264,0,26.71,23.39,46.83,33.98,ILO_EXPORT,2013-05-06
2006,RO,F,65.05,49.31,38.48,COMPANY,0,330,22,4.53,3,393,0,46.29,16.02,25.89,69.8,EUROFOUND_EWCS,2013-06-04
2007,BG,Q,34.64,30.69,30.37,SECTOR,1,22,27,52.07,35,184,1,36.55,15.39,35.7,10.6,NATIONAL_LABOUR_MINISTRY,2013-07-03
2008,FR,G,94.79,53.61,49.96,NATIONAL,0,435,85,39.17,117,545,1,22.82,6.59,16.16,63.85,SOCIAL_PARTNER_REGISTRY,2013-08-01
2009,LT,R,39.44,13.99,28.4,MIXED,0,38,81,18.72,50,439,0,26.37,2.75,10.1,53.52,ILO_EXPORT,2013-08-30
2010,SK,H,62.92,45.94,24.08,COMPANY,0,132,6,9.09,53,325,1,33.68,9.96,33.43,88.43,EUROFOUND_EWCS,2013-09-28
2011,HR,S,35.31,41.0,19.93,SECTOR,0,279,0,14.06,57,59,1,33.6,16.4,37.01,64.38,NATIONAL_LABOUR_MINISTRY,2013-10-27
2012,DE,I,50.17,39.36,54.66,NATIONAL,0,295,26,13.41,98,304,0,27.12,1.92,4.47,81.63,SOCIAL_PARTNER_REGISTRY,2013-11-25
2013,LU,T,59.52,28.28,49.28,MIXED,0,439,84,6.5,28,8,0,32.23,10.92,28.2,52.75,ILO_EXPORT,2013-12-24
2014,SI,J,55.61,7.27,55.55,COMPANY,0,23,78,5.6,46,420,1,51.2,9.79,34.74,37.11,EUROFOUND_EWCS,2014-01-22
2015,CY,U,25.13,40.69,58.03,SECTOR,0,122,56,10.58,86,395,1,21.48,6.36,18.68,73.35,NATIONAL_LABOUR_MINISTRY,2014-02-20
2016,GR,K,42.07,34.87,44.76,NATIONAL,0,318,26,34.26,12,95,1,52.02,19.04,24.68,30.37,SOCIAL_PARTNER_REGISTRY,2014-03-21
2017,MT,A,59.74,29.07,27.73,MIXED,0,435,61,38.22,44,132,0,60.46,11.61,41.12,19.69,ILO_EXPORT,2014-04-19
2018,ES,L,37.84,45.51,10.4,COMPANY,1,92,32,40.97,109,122,1,75.07,8.95,19.81,21.53,EUROFOUND_EWCS,2014-05-18
2019,CZ,B,40.31,25.2,34.26,SECTOR,0,288,85,22.31,38,150,1,45.14,16.48,34.47,17.16,NATIONAL_LABOUR_MINISTRY,2014-06-16
2020,HU,M,51.2,52.44,41.79,NATIONAL,0,204,52,34.31,49,447,1,42.22,27.88,70.86,47.78,SOCIAL_PARTNER_REGISTRY,2014-07-15
2021,NL,C,51.28,53.12,50.68,MIXED,0,308,101,0.03,128,320,0,28.04,19.27,31.32,33.37,ILO_EXPORT,2014-08-13
2022,SE,N,100.0,8.83,39.36,COMPANY,1,5,35,48.35,137,67,1,14.8,43.51,15.64,33.34,EUROFOUND_EWCS,2014-09-11
2023,DK,D,49.16,81.5,32.34,SECTOR,1,355,52,24.26,91,566,1,44.06,1.7,10.31,38.74,NATIONAL_LABOUR_MINISTRY,2014-10-10
2024,IE,O,64.53,27.06,68.01,NATIONAL,1,31,58,15.59,109,142,1,28.59,27.73,63.07,38.26,SOCIAL_PARTNER_REGISTRY,2014-11-08
2025,PL,E,14.37,39.5,22.66,MIXED,1,211,25,25.22,83,324,0,25.86,19.8,40.52,61.4,ILO_EXPORT,2014-12-07
2006,AT,P,61.06,6.96,43.65,COMPANY,0,386,63,24.76,77,4,1,27.26,11.43,14.9,83.46,EUROFOUND_EWCS,2015-01-05
2007,EE,F,29.95,47.19,37.37,SECTOR,0,293,72,39.81,70,152,1,31.19,3.45,6.92,64.64,NATIONAL_LABOUR_MINISTRY,2015-02-03
2008,IT,Q,100.0,15.33,13.84,NATIONAL,1,412,72,8.43,63,300,1,26.16,1.61,9.13,74.55,SOCIAL_PARTNER_REGISTRY,2015-03-04
2009,PT,G,47.14,30.9,17.04,MIXED,0,75,77,47.71,3,299,0,24.37,13.31,40.24,23.61,ILO_EXPORT,2015-04-02
2010,BE,R,58.59,44.99,27.0,COMPANY,0,176,31,21.07,27,107,1,23.53,13.74,9.53,51.43,EUROFOUND_EWCS,2015-05-01
2011,FI,H,42.36,44.06,34.32,SECTOR,0,140,70,14.48,15,427,1,51.4,2.72,3.33,69.49,NATIONAL_LABOUR_MINISTRY,2015-05-30
2012,LV,S,71.25,9.7,30.95,NATIONAL,0,525,66,4.52,46,213,1,16.25,14.24,29.73,29.23,SOCIAL_PARTNER_REGISTRY,2015-06-28
2013,RO,I,22.29,36.5,15.57,MIXED,0,73,68,26.81,107,151,1,28.04,12.25,8.37,36.54,ILO_EXPORT,2015-07-27
2014,BG,T,28.77,33.04,39.33,COMPANY,0,187,62,53.72,129,294,1,45.16,18.96,27.33,23.27,EUROFOUND_EWCS,2015-08-25
2015,FR,J,100.0,16.61,21.81,SECTOR,0,264,25,27.7,111,355,1,6.41,12.86,3.73,65.44,NATIONAL_LABOUR_MINISTRY,2015-09-23
2016,LT,U,32.71,25.92,45.02,NATIONAL,0,15,13,1.97,97,61,1,78.44,9.8,42.49,52.17,SOCIAL_PARTNER_REGISTRY,2015-10-22
2017,SK,K,72.09,42.01,41.86,MIXED,0,408,79,28.23,81,69,1,58.24,16.2,15.09,53.12,ILO_EXPORT,2015-11-20
2018,HR,A,15.19,14.16,31.71,COMPANY,0,233,33,3.33,55,59,1,37.25,2.22,1.59,9.24,EUROFOUND_EWCS,2015-12-19
2019,DE,L,15.09,42.99,57.9,SECTOR,0,132,36,24.39,36,175,1,79.62,18.25,4.78,21.83,NATIONAL_LABOUR_MINISTRY,2016-01-17
2020,LU,B,34.54,52.7,58.38,NATIONAL,1,62,86,24.3,60,286,1,69.46,42.43,25.8,9.39,SOCIAL_PARTNER_REGISTRY,2016-02-15
2021,SI,M,59.42,53.33,31.45,MIXED,0,446,57,16.95,93,570,1,36.19,22.84,42.82,63.66,ILO_EXPORT,2016-03-15
2022,CY,C,13.17,51.16,10.71,COMPANY,0,264,32,25.99,46,333,1,41.32,4.56,53.33,71.44,EUROFOUND_EWCS,2016-04-13
2023,GR,N,74.07,30.77,22.72,SECTOR,1,519,51,23.88,93,304,1,47.25,4.55,40.43,71.48,NATIONAL_LABOUR_MINISTRY,2016-05-12
2024,MT,D,66.7,12.55,45.33,NATIONAL,0,299,26,42.65,114,446,1,58.93,18.51,9.79,48.56,SOCIAL_PARTNER_REGISTRY,2016-06-10
2025,ES,O,20.15,57.34,45.56,MIXED,1,94,30,41.98,57,231,1,62.6,5.51,32.36,72.15,ILO_EXPORT,2016-07-09
2006,CZ,E,12.23,46.31,48.71,COMPANY,0,136,82,51.91,93,14,1,55.7,2.73,13.58,17.5,EUROFOUND_EWCS,2016-08-07
2007,HU,P,16.6,34.19,30.03,SECTOR,1,38,9,7.42,79,400,1,9.32,17.22,19.18,65.22,NATIONAL_LABOUR_MINISTRY,2016-09-05
2008,NL,F,29.8,10.32,35.55,NATIONAL,0,35,77,38.08,77,83,1,23.18,0.06,7.23,52.08,SOCIAL_PARTNER_REGISTRY,2016-10-04
2009,SE,Q,100.0,77.31,47.94,MIXED,0,198,78,52.72,101,150,1,43.46,14.4,26.54,35.51,ILO_EXPORT,2016-11-02
2010,DK,G,100.0,79.7,35.3,COMPANY,0,240,62,5.22,0,430,1,55.6,10.44,35.84,10.72,EUROFOUND_EWCS,2016-12-01
2011,IE,R,17.41,50.95,27.93,SECTOR,0,156,43,27.11,45,36,0,29.62,19.16,39.02,27.37,NATIONAL_LABOUR_MINISTRY,2016-12-30
2012,PL,H,32.79,35.7,46.51,NATIONAL,0,31,26,22.95,97,427,1,37.82,6.6,38.93,9.69,SOCIAL_PARTNER_REGISTRY,2017-01-28
2013,AT,S,31.3,58.41,26.52,MIXED,1,209,5,16.75,66,101,0,26.62,17.28,1.6,16.37,ILO_EXPORT,2017-02-26
2014,EE,I,77.71,35.67,45.62,COMPANY,0,435,48,32.34,30,475,0,7.97,6.78,28.18,50.52,EUROFOUND_EWCS,2017-03-27
2015,IT,T,16.85,20.62,18.29,SECTOR,1,0,9,7.92,36,90,1,55.27,11.86,23.71,30.49,NATIONAL_LABOUR_MINISTRY,2017-04-25
2016,PT,J,54.07,45.93,10.28,NATIONAL,0,454,5,6.39,5,360,1,26.26,4.13,37.64,81.78,SOCIAL_PARTNER_REGISTRY,2017-05-24
2017,BE,U,98.91,16.16,76.59,MIXED,0,292,85,8.36,124,321,1,46.51,9.75,44.22,55.74,ILO_EXPORT,2017-06-22
2018,FI,K,100.0,74.29,31.09,COMPANY,0,255,84,12.82,112,261,1,73.81,17.74,8.36,50.4,EUROFOUND_EWCS,2017-07-21
2019,LV,A,73.46,24.6,31.9,SECTOR,0,43,34,21.65,57,254,1,28.93,6.34,18.62,70.63,NATIONAL_LABOUR_MINISTRY,2017-08-19
2020,RO,L,55.8,50.24,57.14,NATIONAL,0,317,21,14.19,72,558,1,60.8,8.07,71.77,79.99,SOCIAL_PARTNER_REGISTRY,2017-09-17
2021,BG,B,68.49,32.68,26.01,MIXED,0,126,41,53.49,103,542,0,55.9,37.54,16.86,12.55,ILO_EXPORT,2017-10-16
2022,FR,M,25.61,4.67,46.82,COMPANY,0,338,82,33.06,83,25,1,8.72,38.07,40.05,11.57,EUROFOUND_EWCS,2017-11-14
2023,LT,C,69.97,33.5,14.47,SECTOR,0,449,42,32.71,82,222,1,80.42,22.11,30.61,88.49,NATIONAL_LABOUR_MINISTRY,2017-12-13
2024,SK,N,18.03,45.19,32.57,NATIONAL,0,299,5,3.35,81,415,1,58.92,7.98,26.25,26.59,SOCIAL_PARTNER_REGISTRY,2018-01-11
2025,HR,D,52.9,11.24,58.13,MIXED,0,42,71,3.89,43,272,1,44.43,14.45,53.5,38.46,ILO_EXPORT,2018-02-09
2006,DE,O,25.43,53.87,61.32,COMPANY,0,0,13,13.85,125,250,0,48.64,3.05,20.34,74.05,EUROFOUND_EWCS,2018-03-10
2007,LU,E,12.64,40.52,9.46,SECTOR,0,80,78,51.21,76,243,1,20.73,3.2,25.52,72.3,NATIONAL_LABOUR_MINISTRY,2018-04-08
2008,SI,P,29.25,41.96,31.84,NATIONAL,0,67,88,32.36,20,396,1,38.95,8.5,16.5,75.45,SOCIAL_PARTNER_REGISTRY,2018-05-07
2009,CY,F,28.33,28.38,36.57,MIXED,0,133,18,18.12,88,271,1,27.12,4.62,16.92,41.95,ILO_EXPORT,2018-06-05
2010,GR,Q,48.55,9.77,17.22,COMPANY,0,230,5,6.26,16,458,0,12.98,7.42,2.0,18.6,EUROFOUND_EWCS,2018-07-04
2011,MT,G,59.52,26.64,11.07,SECTOR,1,276,51,42.31,97,456,0,42.68,3.98,24.39,55.34,NATIONAL_LABOUR_MINISTRY,2018-08-02
2012,ES,R,28.51,19.6,27.67,NATIONAL,0,50,11,23.71,35,330,1,10.85,18.88,14.06,72.05,SOCIAL_PARTNER_REGISTRY,2018-08-31
2013,CZ,H,13.39,41.37,48.58,MIXED,0,137,21,7.3,78,343,0,50.92,10.23,13.82,68.62,ILO_EXPORT,2018-09-29
2014,HU,S,53.28,46.09,14.45,COMPANY,0,123,6,16.34,39,76,1,24.86,9.86,39.49,58.19,EUROFOUND_EWCS,2018-10-28
2015,NL,I,60.03,11.23,69.51,SECTOR,0,17,54,12.54,10,1,1,26.13,5.97,40.73,46.73,NATIONAL_LABOUR_MINISTRY,2018-11-26
2016,SE,T,100.0,22.95,30.44,NATIONAL,0,8,44,43.91,43,589,0,40.99,3.8,25.0,22.61,SOCIAL_PARTNER_REGISTRY,2018-12-25
2017,DK,J,33.94,21.98,37.29,MIXED,0,68,52,54.27,31,225,1,60.34,0.74,33.98,65.4,ILO_EXPORT,2019-01-23
2018,IE,U,11.91,7.94,34.01,COMPANY,0,240,75,46.91,22,337,1,46.01,16.75,22.52,12.41,EUROFOUND_EWCS,2019-02-21
2019,PL,K,41.06,46.98,49.75,SECTOR,0,44,26,19.58,53,169,1,70.53,5.54,43.95,65.58,NATIONAL_LABOUR_MINISTRY,2019-03-22
2020,AT,A,19.69,51.08,40.67,NATIONAL,0,165,19,34.75,36,269,1,58.85,22.05,29.03,17.7,SOCIAL_PARTNER_REGISTRY,2019-04-20
2021,EE,L,37.43,6.43,53.46,MIXED,0,209,82,37.42,86,270,1,20.15,41.44,23.94,37.58,ILO_EXPORT,2019-05-19
2022,IT,B,45.39,59.04,27.45,COMPANY,0,248,72,46.87,74,437,1,47.35,23.41,51.15,20.05,EUROFOUND_EWCS,2019-06-17
2023,PT,M,47.89,5.12,62.58,SECTOR,0,327,8,12.72,35,32,0,73.93,16.87,28.31,29.82,NATIONAL_LABOUR_MINISTRY,2019-07-16
2024,BE,C,23.58,38.38,60.02,NATIONAL,1,68,66,20.04,127,213,1,53.67,5.84,19.23,35.67,SOCIAL_PARTNER_REGISTRY,2019-08-14
2025,FI,N,61.39,27.26,63.99,MIXED,0,88,30,4.07,67,382,1,22.57,17.41,7.25,64.36,ILO_EXPORT,2019-09-12
2006,LV,D,55.65,40.82,54.55,COMPANY,0,305,88,26.98,9,69,0,17.39,6.74,12.4,14.47,EUROFOUND_EWCS,2019-10-11
2007,RO,O,20.1,5.89,61.03,SECTOR,0,226,12,8.56,28,347,0,43.75,7.91,35.04,27.46,NATIONAL_LABOUR_MINISTRY,2019-11-09
2008,BG,E,76.22,40.5,31.27,NATIONAL,0,75,70,8.98,6,291,1,26.84,18.05,25.0,12.2,SOCIAL_PARTNER_REGISTRY,2019-12-08
2009,FR,P,32.54,42.34,49.7,MIXED,0,208,3,28.77,47,142,0,19.19,11.89,31.04,74.78,ILO_EXPORT,2020-01-06
2010,LT,F,9.99,17.43,36.54,COMPANY,0,266,62,22.13,101,345,0,46.97,0.51,18.71,22.76,EUROFOUND_EWCS,2020-02-04
2011,SK,Q,12.28,46.56,47.65,SECTOR,0,261,22,38.47,73,334,1,19.99,14.59,5.15,54.8,NATIONAL_LABOUR_MINISTRY,2020-03-04
2012,HR,G,53.16,19.81,36.07,NATIONAL,0,316,2,3.53,77,254,1,52.81,3.33,26.63,57.71,SOCIAL_PARTNER_REGISTRY,2020-04-02
2013,DE,R,66.38,43.93,16.0,MIXED,0,362,24,43.59,42,180,0,25.3,11.64,3.89,41.69,ILO_EXPORT,2020-05-01
2014,LU,H,58.58,22.16,28.6,COMPANY,1,361,4,25.56,47,369,1,18.53,14.38,18.29,68.04,EUROFOUND_EWCS,2020-05-30
2015,SI,S,45.2,36.43,36.23,SECTOR,0,241,16,35.42,19,156,0,25.96,5.62,39.68,49.92,NATIONAL_LABOUR_MINISTRY,2020-06-28
2016,CY,I,23.44,9.49,62.84,NATIONAL,0,31,21,49.6,87,132,1,13.63,17.78,37.16,69.44,SOCIAL_PARTNER_REGISTRY,2020-07-27
2017,GR,T,58.65,37.06,13.94,MIXED,0,207,11,31.86,79,455,1,60.81,2.11,14.15,68.11,ILO_EXPORT,2020-08-25
2018,MT,J,32.08,57.42,10.08,COMPANY,0,223,47,13.5,46,94,1,7.43,15.89,18.62,73.56,EUROFOUND_EWCS,2020-09-23
2019,ES,U,61.48,55.42,51.39,SECTOR,0,282,30,23.37,114,42,1,51.62,1.6,25.74,65.25,NATIONAL_LABOUR_MINISTRY,2020-10-22
2020,CZ,K,27.4,55.14,9.15,NATIONAL,0,113,7,31.86,30,416,1,77.14,45.52,72.62,16.36,SOCIAL_PARTNER_REGISTRY,2020-11-20
2021,HU,A,39.09,49.01,18.76,MIXED,0,184,102,45.92,51,233,0,43.87,8.4,32.49,17.91,ILO_EXPORT,2020-12-19
2022,NL,L,69.95,25.49,29.1,COMPANY,0,282,72,34.3,64,21,1,65.78,0.98,26.19,20.04,EUROFOUND_EWCS,2021-01-17
2023,SE,B,100.0,25.33,73.79,SECTOR,0,208,59,31.67,98,371,1,33.08,23.95,43.09,61.45,NATIONAL_LABOUR_MINISTRY,2021-02-15
2024,DK,M,81.38,60.32,58.63,NATIONAL,1,40,67,4.39,61,432,1,28.9,4.97,10.25,61.16,SOCIAL_PARTNER_REGISTRY,2021-03-16
2025,IE,C,42.81,17.39,35.02,MIXED,1,114,18,26.25,63,235,1,21.58,37.63,32.71,64.87,ILO_EXPORT,2021-04-14
