civic_engage_measurement_year,civic_engage_community_area_id,civic_engage_volunteering_rate_pct,civic_engage_charitable_giving_rate_pct,civic_engage_civic_meeting_attendance_rate,civic_engage_contacted_official_rate,civic_engage_petition_signed_rate,civic_engage_protest_participation_rate,civic_engage_news_consumption_frequency,civic_engage_local_news_availability_index,civic_engage_library_membership_rate,civic_engage_public_hearing_participation,civic_engage_school_board_turnout_rate,civic_engage_trust_in_government_score,civic_engage_ncoial_capital_index,civic_engage_neighbor_helpfulness_score,civic_engage_cross_partisan_contact_rate,civic_engage_community_org_density,civic_engage_broadband_access_for_civic,civic_engage_civic_tech_usage_rate
2020,PB-CA1974,19.97,18.92,15.72,13.83,33.69,7.05,3X_WEEK,73.6,9.8,11.01,35.79,7.94,72.1,7.14,11.93,4.55,92.78,26.26
2023,AP-CA1314,33.78,10.52,12.1,15.93,6.24,8.28,RARE,67.3,42.43,9.83,39.35,3.85,41.3,3.42,15.97,10.16,50.48,25.39
2025,HR-CA1929,24.41,2.89,1.48,10.83,16.2,1.04,RARE,37.5,33.94,7.91,57.22,7.09,28.8,8.72,13.73,12.11,38.14,16.18
2019,HR-CA1903,15.16,16.41,4.14,17.19,15.18,8.08,MONTHLY,32.0,48.57,6.23,31.3,7.09,89.2,3.59,21.86,12.06,45.09,29.49
2018,JK-CA0630,10.22,16.04,16.77,9.87,30.73,2.7,RARE,24.6,40.65,9.45,60.97,3.74,86.3,4.11,19.8,5.26,74.04,17.99
2020,NL-CA1314,7.36,8.05,8.73,11.83,13.97,5.99,WEEKLY,86.6,8.65,4.11,70.14,6.22,28.4,4.47,15.99,9.98,72.47,21.65
2016,GA-CA0855,18.44,16.28,14.25,8.87,25.64,7.47,WEEKLY,75.0,45.6,9.7,62.84,4.1,71.4,8.72,20.08,7.72,53.32,13.91
2021,GJ-CA1725,31.2,8.62,15.41,3.82,9.38,6.16,MONTHLY,28.6,24.3,4.1,47.23,4.72,82.2,6.23,11.05,8.45,86.25,24.08
2024,OD-CA1521,16.82,12.6,16.49,19.8,23.07,2.6,DAILY,25.6,22.25,5.67,36.42,4.84,28.7,4.28,25.5,14.21,84.12,8.03
2024,TN-CA0952,37.92,7.71,3.87,8.75,22.78,3.27,WEEKLY,21.5,50.0,10.11,42.06,8.02,66.9,4.34,8.84,8.09,57.2,23.73
2022,DN-CA0236,10.47,19.39,17.58,3.29,5.45,6.58,WEEKLY,33.4,37.65,8.17,36.78,7.76,66.5,4.21,11.67,7.26,66.55,28.91
2014,PB-CA0318,27.05,12.73,3.35,13.57,18.11,4.07,WEEKLY,73.5,24.4,9.65,59.6,2.56,74.6,7.55,10.75,13.79,56.72,2.32
2014,KL-CA0974,22.54,16.05,4.48,3.94,27.58,7.02,DAILY,92.7,44.78,2.7,56.05,5.35,54.0,6.61,5.84,8.64,64.03,17.13
2022,GA-CA1164,22.53,14.28,11.35,3.14,25.18,6.32,MONTHLY,62.6,30.13,7.02,30.22,5.05,55.8,9.1,10.45,12.56,96.19,15.93
2022,DN-CA0843,27.42,19.61,14.96,9.74,28.77,6.87,3X_WEEK,80.6,35.19,8.3,25.98,4.06,70.6,7.1,20.81,3.7,59.33,25.99
2024,MN-CA0412,23.16,3.06,2.73,15.3,12.84,0.89,3X_WEEK,65.2,38.69,10.12,47.41,7.89,49.8,6.17,24.72,8.36,53.68,10.97
2024,LA-CA1901,29.24,18.69,17.26,10.47,32.36,2.04,3X_WEEK,41.6,17.28,3.53,48.99,2.67,74.9,4.31,26.36,0.6,73.88,10.11
2019,MH-CA1825,11.82,20.56,12.37,7.47,4.82,3.73,WEEKLY,85.0,7.31,9.68,52.29,3.36,90.1,3.29,6.12,4.47,86.19,32.79
2020,ML-CA0537,29.13,8.64,16.05,7.13,9.21,2.17,MONTHLY,26.3,54.55,0.83,49.67,3.28,61.6,5.4,4.04,6.86,85.62,33.06
2014,CH-CA0424,20.16,19.34,9.3,3.48,26.3,8.51,RARE,34.1,53.9,3.37,37.87,2.47,73.2,4.11,27.51,8.63,68.27,39.08
2022,HR-CA1485,16.53,15.36,7.7,4.56,13.92,6.29,3X_WEEK,82.0,53.75,3.32,53.54,5.28,56.4,4.06,18.33,14.43,57.16,21.75
2018,PB-CA0122,36.41,8.32,4.14,14.41,13.06,3.74,3X_WEEK,90.1,39.73,8.52,49.46,2.41,42.0,4.2,10.91,11.06,37.02,11.52
2014,CH-CA0238,21.71,12.65,11.32,8.64,12.36,8.63,3X_WEEK,37.5,22.84,8.01,55.17,5.64,56.5,7.7,6.98,6.64,76.97,26.69
2023,UK-CA0129,8.94,9.05,17.58,12.35,19.6,2.74,WEEKLY,70.5,53.6,3.52,36.06,8.54,82.1,5.67,16.89,12.22,61.51,32.16
2021,DN-CA0464,14.21,12.43,4.64,16.88,5.93,2.42,WEEKLY,74.2,30.92,0.83,47.64,3.09,50.0,7.02,8.94,6.15,49.31,16.75
2017,MN-CA1380,22.3,6.25,15.17,14.51,3.95,6.83,DAILY,20.8,8.68,11.35,61.33,5.05,20.5,8.55,16.82,14.46,72.09,2.73
2018,AN-CA0264,7.99,4.39,10.53,2.24,24.58,6.03,RARE,89.8,25.12,7.96,55.12,5.82,58.6,7.2,4.77,4.04,43.13,26.56
2015,MN-CA1870,29.98,20.82,9.71,1.77,24.06,2.1,WEEKLY,51.4,32.38,7.82,45.82,8.43,21.6,8.34,22.15,1.25,62.47,4.22
2020,DD-CA0258,17.32,17.88,10.62,17.38,11.37,2.86,WEEKLY,51.3,15.08,7.79,35.77,4.04,28.0,8.81,10.85,3.14,62.53,7.86
2019,DL-CA0693,27.15,5.15,8.18,5.54,18.91,4.39,MONTHLY,82.6,50.7,8.39,32.0,3.02,42.8,8.45,24.12,6.04,53.55,18.31
2020,ML-CA1832,32.17,19.95,11.68,16.74,19.69,6.81,DAILY,24.4,43.02,5.41,25.38,5.31,55.5,8.22,5.81,10.6,65.68,34.03
2023,MP-CA0815,6.15,18.68,5.39,17.67,9.16,2.42,MONTHLY,67.3,48.24,11.5,52.61,4.09,55.8,6.95,16.68,14.04,78.67,39.33
2021,UK-CA1479,29.83,10.97,7.24,7.58,20.06,7.05,RARE,47.3,32.01,5.2,55.03,3.34,32.8,7.92,5.9,11.73,50.8,16.8
2023,AS-CA0304,36.61,17.91,8.4,12.76,34.88,4.8,RARE,22.1,7.7,7.15,38.25,4.12,83.2,6.23,7.79,2.58,82.4,15.71
2017,KL-CA1269,28.6,11.04,7.17,1.64,25.79,1.54,RARE,84.3,46.7,5.61,29.56,3.63,18.6,5.44,26.55,6.82,94.35,34.09
2017,GJ-CA0411,37.24,17.54,17.88,9.94,13.72,6.97,DAILY,83.4,35.53,5.77,59.34,4.51,64.7,5.26,20.38,2.56,95.57,28.69
2022,PY-CA0536,37.01,10.85,5.45,6.02,9.35,0.85,3X_WEEK,48.7,13.27,1.06,60.63,2.97,53.7,4.24,6.33,7.56,86.26,8.95
2025,SK-CA1281,22.02,13.53,3.81,10.53,5.42,9.09,DAILY,94.8,53.63,7.1,71.63,5.86,86.7,5.73,27.53,14.06,92.82,22.06
2022,DL-CA1323,35.93,10.19,7.47,8.91,22.14,7.37,MONTHLY,53.8,35.43,6.52,74.58,3.36,90.7,5.05,5.46,3.96,39.95,22.82
2018,HR-CA1371,24.06,4.18,13.04,8.19,25.98,2.77,3X_WEEK,80.4,54.54,3.45,28.15,3.81,18.3,4.83,27.12,7.45,94.63,12.88
2022,LD-CA0983,36.09,12.91,13.85,10.82,11.23,1.77,DAILY,67.1,16.47,11.35,46.33,8.54,80.5,8.87,21.71,1.61,86.73,22.56
2014,GJ-CA1704,28.07,6.1,13.79,12.5,14.36,9.27,RARE,26.7,28.59,2.21,54.14,5.92,91.8,5.38,26.92,13.84,65.05,34.87
2023,HP-CA1093,12.37,19.16,10.25,2.77,5.64,6.18,MONTHLY,63.4,52.42,3.51,37.14,6.65,19.1,5.43,17.95,12.32,93.8,29.76
2014,TR-CA1588,12.96,19.67,17.34,1.63,4.22,3.21,DAILY,59.8,35.66,10.51,38.48,6.41,18.6,5.35,5.79,3.59,63.13,15.78
2025,JK-CA0731,5.81,3.17,10.03,10.33,12.36,6.22,3X_WEEK,37.9,42.04,11.09,43.28,7.05,52.2,5.77,26.43,7.22,89.79,6.6
2025,OD-CA0436,36.02,19.76,16.03,3.02,27.46,0.4,MONTHLY,25.2,43.78,1.93,59.33,6.96,54.5,4.75,20.79,13.55,52.09,32.44
2017,GA-CA1965,13.26,5.96,16.24,9.76,3.77,0.97,MONTHLY,32.7,18.57,5.53,29.07,3.89,25.5,8.99,7.38,2.52,44.57,12.03
2023,JK-CA1006,12.64,4.03,8.93,5.8,29.88,8.84,3X_WEEK,30.7,5.91,7.9,36.71,6.42,74.3,6.74,22.74,6.59,63.7,8.74
2023,DL-CA0686,15.0,20.72,14.92,10.83,3.78,7.67,MONTHLY,36.6,27.05,11.69,60.35,8.35,84.0,7.98,9.37,11.74,40.82,4.68
2014,DD-CA1722,37.52,11.03,5.88,4.27,9.1,9.65,MONTHLY,61.5,19.35,4.94,65.54,3.84,75.1,5.15,16.9,12.36,57.76,12.96
2018,PY-CA1020,33.48,18.07,1.18,3.56,34.45,3.9,MONTHLY,33.7,22.94,11.34,64.18,2.24,42.3,6.81,6.62,2.02,76.62,20.18
2023,PY-CA1691,13.59,12.17,4.84,6.52,27.24,7.92,WEEKLY,43.6,7.98,4.85,58.88,8.18,72.7,4.1,15.9,4.93,78.89,38.87
2018,PB-CA0493,20.84,21.37,12.68,4.83,5.17,7.65,RARE,82.2,28.75,3.61,27.49,6.11,43.4,5.84,11.75,6.82,54.86,33.97
2022,ML-CA0716,27.2,13.68,14.52,4.76,28.12,0.44,RARE,60.3,44.92,8.04,53.66,2.24,32.0,4.44,22.06,13.39,44.11,3.9
2016,TS-CA0840,15.08,8.26,12.26,16.16,12.27,9.86,DAILY,79.0,8.62,8.4,69.96,2.35,57.8,6.34,21.71,6.54,50.39,14.51
2015,LA-CA1328,34.83,21.63,8.68,17.39,31.62,5.77,MONTHLY,42.1,37.03,9.28,63.7,5.41,69.6,8.35,23.27,3.64,68.48,17.78
2021,UK-CA0352,20.15,5.08,5.24,5.97,18.58,1.49,MONTHLY,71.8,49.58,7.91,46.8,7.16,30.0,8.66,13.87,11.46,61.37,6.91
2020,RJ-CA0140,23.82,18.31,11.15,15.74,28.93,9.96,WEEKLY,71.2,9.19,10.01,57.0,3.57,55.8,8.38,8.57,9.52,94.8,23.57
2021,DL-CA0694,8.18,2.84,12.84,5.61,32.11,2.25,RARE,79.6,27.14,7.86,26.65,2.01,73.2,4.88,15.04,12.24,93.33,17.84
2025,LA-CA0806,26.67,7.98,3.02,12.12,33.38,0.46,WEEKLY,39.7,42.53,11.71,36.22,5.29,45.0,7.95,14.76,4.03,84.81,8.75
2024,HR-CA0313,32.54,5.95,4.72,6.96,24.65,1.38,DAILY,59.3,40.36,11.94,31.57,4.23,30.8,6.24,8.07,8.43,60.88,16.12
2023,HR-CA0956,29.71,7.06,1.01,19.89,30.21,9.15,MONTHLY,59.6,31.1,5.74,50.99,7.22,43.6,7.29,27.04,2.1,95.93,31.74
2018,TN-CA1531,18.08,15.71,17.87,19.81,5.74,2.88,WEEKLY,55.6,28.14,9.62,61.06,2.12,48.5,5.56,23.53,3.0,65.5,29.31
2019,TN-CA1913,31.62,12.55,15.75,14.87,6.3,0.47,3X_WEEK,62.0,39.06,3.42,55.36,5.45,27.9,3.67,14.66,2.93,61.16,33.87
2025,NL-CA0729,5.21,8.57,17.34,19.97,12.78,8.54,MONTHLY,23.8,27.32,4.44,54.52,7.9,26.3,7.48,20.5,11.3,67.5,10.91
2022,TS-CA1569,37.03,3.05,10.87,6.64,26.04,0.64,WEEKLY,74.2,18.39,7.26,43.85,3.35,42.5,7.28,4.27,7.61,46.0,24.42
2025,AN-CA0426,21.74,10.17,11.13,5.65,3.01,7.35,WEEKLY,81.9,39.78,11.32,29.56,2.57,51.8,7.08,16.95,5.53,57.23,18.35
2023,JH-CA0670,32.21,2.3,14.79,14.45,24.31,7.55,MONTHLY,83.5,25.19,1.29,71.08,8.33,18.7,5.58,9.01,9.13,60.5,10.75
2025,PB-CA1444,24.29,2.38,10.06,6.94,19.95,1.8,MONTHLY,43.1,48.95,10.99,28.43,3.32,57.4,6.95,13.82,14.27,80.67,38.13
2025,TS-CA0572,11.18,10.18,1.78,16.54,15.41,8.83,3X_WEEK,68.8,30.99,9.46,41.05,5.82,33.0,5.6,13.61,13.81,81.57,20.74
2017,GJ-CA1182,37.98,21.21,12.89,5.47,9.56,0.42,DAILY,30.0,43.6,8.74,45.67,4.68,79.0,9.17,20.37,10.11,66.68,13.58
2015,HR-CA0295,15.21,10.93,1.34,19.83,28.09,1.16,DAILY,93.7,43.48,11.98,47.63,8.57,57.8,4.55,11.81,6.39,59.7,30.74
2025,NL-CA1563,32.79,14.76,12.0,10.35,33.69,0.96,DAILY,88.7,5.76,9.73,69.83,2.32,87.6,6.43,11.9,8.9,58.85,28.49
2018,HP-CA0753,15.51,21.47,13.05,3.13,20.87,9.17,DAILY,50.1,32.39,3.37,57.21,5.32,78.9,6.21,8.32,10.2,59.68,16.64
2019,SK-CA0416,24.89,4.18,17.96,16.0,29.5,7.85,MONTHLY,20.0,32.04,7.87,29.2,4.97,59.0,3.75,24.38,12.95,46.3,17.32
2016,AN-CA1216,9.16,21.49,7.59,7.74,21.3,3.24,WEEKLY,46.2,44.35,9.46,37.52,8.47,21.2,8.73,26.25,2.38,77.57,23.71
2020,JK-CA1781,15.41,8.96,10.2,4.51,32.79,9.02,WEEKLY,58.7,25.52,0.84,65.83,2.43,67.3,6.06,6.09,13.57,84.0,26.16
2018,AR-CA0484,5.8,13.65,14.5,15.36,25.37,0.48,3X_WEEK,43.8,20.49,1.29,63.07,3.59,89.0,7.22,19.15,1.82,47.75,14.72
2024,UP-CA1143,14.33,7.75,13.02,13.54,3.24,1.99,RARE,77.0,32.61,4.18,68.0,5.39,58.9,7.81,15.93,2.55,45.24,33.29
2016,JH-CA1919,4.61,13.17,7.93,3.08,18.82,9.41,3X_WEEK,55.5,35.6,11.03,35.71,4.97,35.8,9.35,4.52,12.4,60.25,39.22
2021,HR-CA1593,25.61,13.38,2.82,19.04,23.05,3.0,DAILY,44.9,6.6,3.02,46.31,3.77,32.9,6.95,17.6,12.97,67.19,22.99
2015,MH-CA1094,34.59,21.43,9.25,2.4,11.71,0.31,DAILY,34.1,5.66,7.92,66.43,7.9,37.3,6.53,20.84,10.69,37.24,10.62
2017,TS-CA1280,13.17,17.6,3.58,18.47,30.5,5.27,DAILY,81.7,24.18,2.41,40.7,2.04,90.2,7.95,4.03,12.08,46.14,37.27
2016,CG-CA1142,11.06,3.93,16.12,15.58,18.13,2.04,MONTHLY,70.7,23.86,9.4,50.49,8.3,32.6,3.55,12.26,6.67,81.44,15.59
2025,NL-CA1196,6.46,14.94,7.1,15.52,3.02,7.45,WEEKLY,28.7,24.32,4.22,55.51,7.97,49.5,7.41,10.47,3.64,51.93,26.63
2023,UK-CA0262,21.35,13.14,11.77,12.12,30.96,5.97,DAILY,48.7,47.57,8.28,50.93,7.23,87.2,3.84,16.25,11.58,39.58,23.01
2019,GA-CA1755,11.71,19.62,7.18,15.28,18.27,9.74,3X_WEEK,30.7,24.52,10.47,39.81,5.68,42.7,8.58,20.0,3.64,54.65,39.18
2025,PB-CA0626,9.64,11.63,13.29,3.82,24.31,7.04,3X_WEEK,27.9,37.18,5.35,42.22,5.0,59.5,7.01,5.97,13.27,79.67,15.69
2022,UK-CA1169,22.19,8.53,7.39,9.39,33.73,2.51,DAILY,38.3,40.4,11.61,27.11,8.55,49.6,3.72,5.44,1.53,49.38,17.44
2025,DN-CA0341,18.41,11.04,8.55,2.2,14.14,4.33,RARE,72.2,23.83,6.22,72.78,8.32,36.1,9.08,16.07,7.23,67.38,24.23
2019,JH-CA0013,31.98,4.54,8.48,8.66,10.01,0.53,RARE,23.9,34.64,11.17,33.94,3.28,43.7,4.09,14.61,1.57,89.75,2.67
2018,TR-CA1033,12.74,19.95,7.16,2.09,33.88,2.62,RARE,60.8,47.72,11.71,64.54,3.33,62.1,8.33,8.78,5.15,87.26,5.95
2019,MP-CA1504,12.07,16.83,11.56,5.58,31.81,3.85,3X_WEEK,89.2,33.42,10.49,51.69,2.08,58.1,6.43,11.92,10.81,37.19,3.91
2018,BR-CA1648,11.95,12.06,2.02,6.2,13.94,6.38,DAILY,57.4,52.08,3.28,35.85,8.2,84.8,8.09,18.97,6.0,55.36,24.99
2021,MN-CA0152,35.78,7.49,14.24,2.41,25.05,6.51,WEEKLY,87.1,25.27,10.85,59.4,4.45,32.1,7.55,13.29,13.18,91.8,33.0
2016,JK-CA1934,19.52,19.14,2.59,2.74,8.09,7.5,RARE,74.8,5.65,7.21,35.7,4.25,91.7,5.64,12.32,11.39,74.8,33.72
2023,SK-CA0384,8.82,7.3,7.56,5.68,23.63,3.52,RARE,91.3,31.87,3.16,58.89,4.87,18.5,6.21,13.06,7.79,57.46,6.95
2018,CG-CA0057,19.03,3.61,17.46,14.35,8.65,8.22,WEEKLY,43.6,34.42,2.09,36.05,8.28,87.4,7.2,6.56,12.94,58.14,23.86
2015,TN-CA0119,19.76,7.1,15.0,12.99,27.33,5.27,3X_WEEK,80.7,13.78,7.17,41.68,5.16,82.8,9.25,8.97,14.25,79.53,6.15
2016,KA-CA0733,29.5,13.61,6.74,6.94,9.76,6.09,DAILY,33.7,41.87,8.58,44.5,7.56,72.2,5.71,21.69,12.08,36.67,29.77
2020,MH-CA1746,12.31,16.59,15.21,3.33,10.19,2.05,RARE,59.2,35.77,4.66,46.47,2.54,30.1,5.59,26.96,9.35,80.61,22.45
2014,CH-CA1664,9.76,10.36,4.64,14.35,15.13,2.71,DAILY,21.3,54.92,1.66,34.5,3.83,74.2,9.37,5.09,9.68,60.18,38.84
2022,MZ-CA1965,11.73,9.81,7.31,2.57,23.75,7.93,MONTHLY,61.3,16.61,1.57,74.39,7.31,42.2,8.5,15.12,13.59,91.97,28.5
2024,AN-CA1644,37.61,14.81,14.56,11.02,31.92,1.44,RARE,65.7,27.34,10.69,56.62,7.13,60.4,4.65,11.62,6.5,92.46,3.34
2015,OD-CA1383,9.68,3.86,14.63,13.4,31.54,4.36,3X_WEEK,23.4,11.52,8.22,58.59,3.44,25.7,7.76,18.69,8.29,67.45,18.73
2017,JK-CA0111,22.61,2.19,4.03,2.06,31.2,7.48,MONTHLY,85.7,44.17,6.42,60.76,7.21,45.2,7.33,14.08,11.27,54.48,27.27
2015,MN-CA0198,18.57,16.3,7.14,5.16,34.38,1.65,DAILY,54.3,20.2,4.97,59.85,8.21,74.7,5.58,12.46,7.35,74.19,25.06
2023,LA-CA1867,17.87,5.77,7.95,7.02,34.53,6.8,MONTHLY,33.8,28.27,8.23,65.84,6.95,37.4,7.75,18.17,10.22,43.97,18.48
2021,AR-CA0681,12.21,4.05,1.07,6.85,23.88,1.01,3X_WEEK,47.5,30.71,2.92,74.65,7.84,57.0,8.53,20.91,5.17,73.36,9.48
2022,OD-CA0911,7.36,10.31,11.36,8.13,7.43,1.34,3X_WEEK,42.9,53.75,10.92,69.88,6.75,87.6,4.42,23.38,10.45,96.99,23.23
2025,DL-CA0219,4.06,20.26,16.68,16.45,18.3,2.68,WEEKLY,58.6,8.86,2.42,35.17,2.95,65.3,4.67,12.65,7.41,63.38,19.1
2018,TN-CA0046,21.82,16.75,16.72,7.48,15.65,9.88,RARE,67.5,30.19,8.61,70.9,5.74,71.2,8.97,27.26,2.9,55.93,39.85
2021,DD-CA1676,35.16,18.11,13.74,5.28,23.1,7.81,3X_WEEK,84.0,13.66,8.93,29.72,8.06,38.7,5.26,5.1,9.35,35.39,10.27
2024,ML-CA1017,28.98,19.83,14.46,13.36,33.59,8.08,DAILY,89.1,9.82,3.57,40.37,8.39,62.2,5.85,7.91,7.42,95.56,10.62
2024,UP-CA1824,15.6,2.93,4.37,14.18,11.69,4.73,3X_WEEK,84.3,44.95,10.01,63.88,4.91,63.4,4.26,24.34,1.55,93.79,33.5
2023,PB-CA1071,29.88,8.54,12.98,4.08,30.49,6.72,DAILY,40.7,49.4,7.17,62.64,8.72,51.2,4.57,24.01,3.0,49.76,18.6
2016,JK-CA0537,15.56,19.22,12.51,8.39,12.42,3.28,WEEKLY,35.5,25.0,9.04,41.4,3.25,43.8,5.54,26.55,9.19,87.87,16.02
2016,AR-CA1017,11.41,9.36,5.78,16.59,14.26,8.58,MONTHLY,53.5,23.42,5.63,56.97,2.96,35.9,4.05,14.25,2.88,63.63,22.94
2015,DD-CA1838,37.99,14.74,7.66,14.51,22.42,9.5,DAILY,74.2,30.66,1.05,35.77,3.75,83.6,8.46,13.37,11.82,69.73,37.59
2025,AS-CA1905,6.0,9.13,16.93,16.05,6.09,4.71,RARE,29.0,14.65,7.5,25.49,6.29,33.4,8.88,4.82,0.58,70.24,5.78
2017,LA-CA1005,22.88,13.36,10.36,7.48,27.41,4.97,DAILY,84.2,9.54,3.38,28.05,3.95,83.8,8.84,23.91,6.14,79.04,35.53
2017,BR-CA0079,13.16,17.1,2.97,1.05,32.42,6.8,WEEKLY,93.0,39.52,4.55,60.32,7.38,21.1,8.29,14.92,4.21,65.52,2.44
2016,SK-CA0323,23.28,4.99,15.85,19.74,7.7,7.21,RARE,76.8,24.68,9.04,73.4,7.15,78.2,6.86,25.01,13.2,50.4,7.5
2021,TN-CA1702,14.87,11.69,8.42,4.38,19.9,3.62,DAILY,85.8,48.6,6.04,32.76,7.56,28.9,5.4,11.6,7.88,87.37,4.78
2018,NL-CA0850,14.19,21.98,6.37,18.9,7.41,2.35,3X_WEEK,34.4,15.69,5.24,37.83,6.24,38.3,6.97,5.93,2.53,67.35,20.24
2024,TR-CA1218,20.71,6.43,3.49,3.42,30.39,8.99,DAILY,20.2,38.91,3.9,34.39,3.52,86.0,3.38,13.3,12.64,89.82,19.37
2017,AR-CA1096,11.61,19.64,10.44,19.21,22.06,2.24,RARE,46.6,20.4,6.88,41.35,6.3,78.1,6.69,15.63,3.32,83.42,5.04
2018,SK-CA1676,32.51,18.47,10.72,15.99,31.58,5.67,WEEKLY,55.0,37.13,11.86,50.88,3.2,83.0,9.14,27.22,11.29,40.54,2.58
2015,GJ-CA1962,11.75,13.69,1.41,12.83,29.66,9.43,MONTHLY,84.1,51.09,1.4,44.39,6.13,32.3,7.12,7.39,13.89,81.64,16.72
2023,TR-CA0520,31.18,10.62,12.63,4.35,6.45,8.91,MONTHLY,72.7,39.39,1.65,64.0,4.34,84.4,5.68,8.44,4.97,37.46,32.91
2024,OD-CA0745,25.97,3.82,9.22,13.52,19.67,0.75,WEEKLY,53.7,18.86,4.81,39.36,3.94,75.0,4.61,27.98,13.82,61.12,3.09
2024,AS-CA0399,16.04,5.51,12.95,5.24,13.76,5.89,RARE,61.4,26.32,9.38,41.78,8.01,52.1,3.82,10.16,3.64,92.05,21.38
2025,HP-CA1729,34.17,13.48,1.76,2.2,8.21,3.64,MONTHLY,36.0,8.78,5.05,69.48,7.0,59.5,8.02,11.86,13.45,66.81,21.7
2020,UP-CA1902,18.73,12.74,5.89,16.3,23.8,5.27,DAILY,73.2,15.3,4.47,47.41,5.64,60.6,5.87,4.84,2.17,56.1,18.21
2014,NL-CA1621,4.37,15.27,2.75,3.12,14.27,7.38,RARE,21.8,9.25,8.78,69.08,2.66,37.3,8.44,21.92,7.13,56.82,4.3
2023,GA-CA1424,20.76,12.9,1.95,2.94,9.65,1.0,DAILY,48.4,47.99,9.21,67.38,6.69,54.0,3.86,23.32,11.06,43.25,39.31
2014,LA-CA1636,26.42,14.14,7.31,4.3,6.85,3.09,DAILY,47.5,45.27,6.5,26.88,7.23,87.0,5.93,11.65,10.7,35.5,4.57
2023,PY-CA0696,24.3,13.76,7.67,17.78,21.7,4.55,3X_WEEK,89.2,10.27,6.16,50.31,5.11,83.3,3.14,25.42,7.61,73.06,31.03
2023,SK-CA0813,17.06,11.07,5.15,10.1,11.9,5.09,3X_WEEK,35.4,38.59,2.88,50.73,4.69,37.8,3.51,27.8,0.87,52.98,9.75
2024,AS-CA1310,31.19,12.46,7.81,16.45,5.77,5.38,RARE,64.9,33.55,2.79,69.97,4.68,87.8,4.18,10.17,2.72,95.32,4.39
2015,RJ-CA1319,19.86,10.02,12.14,16.47,6.77,1.51,DAILY,38.6,54.42,10.23,28.97,7.74,88.3,6.95,20.42,8.64,52.65,3.7
2022,KL-CA0531,7.16,15.99,6.88,13.64,15.42,3.62,3X_WEEK,42.7,32.23,5.21,37.26,7.29,23.1,7.97,6.1,6.71,80.0,19.24
2014,AP-CA1757,19.92,5.12,7.1,9.17,15.66,5.83,3X_WEEK,47.6,33.83,9.65,70.14,7.24,34.4,8.48,21.48,13.85,85.62,12.35
2017,AN-CA1340,16.13,4.47,8.3,13.35,17.23,5.84,RARE,62.8,29.08,7.38,39.59,8.75,49.8,8.1,22.86,5.72,47.89,21.0
2019,DL-CA1647,20.02,20.59,11.07,12.68,23.71,0.29,DAILY,76.4,29.23,8.32,44.96,2.02,60.2,5.73,19.88,5.67,68.72,11.73
2015,AS-CA1842,10.0,17.58,3.29,6.99,11.62,5.9,WEEKLY,50.4,34.38,2.9,39.24,5.06,46.8,4.33,4.95,10.77,35.6,21.79
2025,NL-CA0338,33.71,15.87,1.35,2.89,26.12,2.44,3X_WEEK,29.7,23.28,11.34,44.4,6.33,37.9,7.96,13.04,12.37,80.84,6.27
2025,NL-CA0694,13.41,8.07,14.03,7.42,20.62,8.32,DAILY,25.6,19.82,11.63,69.04,7.38,33.7,8.31,27.02,9.43,41.02,38.3
2020,SK-CA0219,10.59,21.5,17.59,4.23,16.49,2.93,DAILY,63.4,9.94,1.69,67.27,7.29,55.8,9.06,16.19,7.58,57.85,7.89
2022,GJ-CA0524,20.76,17.23,4.66,9.17,21.12,4.77,WEEKLY,68.2,17.33,9.8,37.74,6.95,28.8,4.82,13.81,6.1,70.48,3.84
2021,TN-CA1469,26.41,9.49,2.67,5.02,23.73,5.9,WEEKLY,33.2,50.33,10.77,41.17,8.27,25.9,4.61,24.62,10.83,40.14,33.24
2024,TS-CA1266,23.62,21.36,2.08,7.24,11.65,0.46,WEEKLY,46.2,24.63,1.84,26.89,7.5,35.6,3.9,5.24,6.6,57.61,3.03
2017,PY-CA0096,34.39,7.34,13.56,14.99,13.91,7.47,RARE,33.7,27.85,2.11,37.8,3.69,36.5,5.13,21.95,10.56,86.46,10.54
2023,TR-CA0699,9.24,21.59,16.14,13.87,23.8,4.63,RARE,68.8,32.19,2.82,51.46,7.27,26.0,6.83,23.88,4.68,57.4,29.6
2021,TR-CA0958,10.95,5.21,12.23,6.2,18.71,8.47,RARE,83.5,53.5,7.81,61.35,7.93,72.5,7.24,9.87,7.5,84.55,11.94
2021,GA-CA0474,21.0,19.32,14.35,3.56,11.07,9.31,DAILY,86.0,48.04,3.35,55.81,5.09,68.5,8.13,11.78,1.15,42.57,34.22
2023,JH-CA0316,35.72,18.07,7.43,11.12,20.06,1.17,3X_WEEK,57.6,11.25,4.22,73.07,3.33,38.6,4.29,17.78,12.59,82.94,33.11
2024,RJ-CA0967,27.27,17.09,1.12,17.74,25.85,3.32,3X_WEEK,89.5,53.97,3.42,29.53,7.6,35.4,3.96,26.62,7.6,81.61,24.81
2023,UK-CA1580,5.4,4.39,12.22,17.6,10.85,9.11,DAILY,36.3,44.04,9.37,47.88,2.25,61.5,4.83,19.9,7.58,54.02,18.12
2014,ML-CA0090,11.56,12.02,17.36,15.29,29.4,0.31,3X_WEEK,62.9,20.22,8.67,52.88,7.36,30.0,9.1,15.75,2.75,76.52,34.04
