env_bio_reference_year,env_bio_member_state_iso2,env_bio_site_id,env_bio_natura2000_designation_code,env_bio_nuts_code,env_bio_habitat_code,env_bio_species_code,env_bio_site_area_ha,env_bio_conservation_status_code,env_bio_pressure_threat_code,env_bio_management_plan_flag,env_bio_restoration_actions_count,env_bio_invasive_species_presence_flag,env_bio_land_cover_corine_class,env_bio_water_body_status_code,env_bio_protected_area_connectivity_index,env_bio_ecosystem_services_index,env_bio_funding_eu_life_programme_eur,env_bio_data_source,env_bio_last_assessment_date
2001,SI,SI_N2K_001042,SPA,CZ1,HAB_082,SP_1042,7946.96,U1,URBANISATION,1,15,0,321_NATURAL_GRASS,POOR,0.9662,0.6156,31923458.08,EEA_NATURA2000,2024-12-11
2002,CY,CY_N2K_001043,SPA,DK854,HAB_083,SP_1043,209888.3,U2,POLLUTION,1,32,0,411_INLAND_WETLAND,MODERATE,0.4918,0.6206,11758973.21,LIFE_PROJECT_DATABASE,2024-12-24
2003,GR,GR_N2K_001044,SPA,LT86,HAB_084,SP_1044,138342.51,XX,INVASIVE_SPECIES,1,6,0,512_WATER,GOOD,0.4715,0.3484,23030914.71,NATIONAL_HABITAT_REPORTING,2025-01-06
2004,MT,MT_N2K_001045,SPA,HR691,HAB_085,SP_1045,209605.04,FV,FORESTRY,1,12,1,111_URBAN,HIGH,0.515,0.4223,18810388.47,EEA_NATURA2000,2025-01-19
2005,ES,ES_N2K_001046,SPA,LV27,HAB_086,SP_1046,107656.51,U1,WATER_ABSTRACTION,1,21,0,211_ARABLE,UNKNOWN,0.8054,0.3721,8161569.01,LIFE_PROJECT_DATABASE,2025-02-01
2006,CZ,CZ_N2K_001047,SPA,SE227,HAB_087,SP_1047,132899.32,U2,TOURISM_PRESSURE,1,5,0,231_PASTURES,BAD,0.7326,0.9372,14734615.26,NATIONAL_HABITAT_REPORTING,2025-02-14
2007,HU,HU_N2K_001048,SPA,HU6,HAB_088,SP_1048,217825.24,XX,CLIMATE_CHANGE,0,21,0,311_BROADLEAVED,POOR,0.4696,0.8448,19278956.15,EEA_NATURA2000,2025-02-27
2008,NL,NL_N2K_001049,SPA,FR6,HAB_089,SP_1049,51284.48,FV,AGRI_INTENSIFICATION,0,12,1,312_CONIFEROUS,MODERATE,0.873,0.2312,6013337.1,LIFE_PROJECT_DATABASE,2025-03-12
2009,SE,SE_N2K_001050,SPA,LT2,HAB_090,SP_1050,231781.01,U1,URBANISATION,1,12,1,313_MIXED,GOOD,0.1667,0.934,4486963.36,NATIONAL_HABITAT_REPORTING,2025-03-25
2010,DK,DK_N2K_001051,SPA,PL64,HAB_091,SP_1051,116183.96,U2,POLLUTION,1,26,0,321_NATURAL_GRASS,HIGH,0.0632,0.5437,1078166.53,EEA_NATURA2000,2025-04-07
2011,IE,IE_N2K_001052,SPA,NL87,HAB_092,SP_1052,144214.81,XX,INVASIVE_SPECIES,0,22,0,411_INLAND_WETLAND,UNKNOWN,0.1906,0.9176,13601532.58,LIFE_PROJECT_DATABASE,2025-04-20
2012,PL,PL_N2K_001053,SPA,LV20,HAB_093,SP_1053,166151.57,FV,FORESTRY,1,20,0,512_WATER,BAD,0.6317,0.8431,17998774.81,NATIONAL_HABITAT_REPORTING,2025-05-03
2013,AT,AT_N2K_001054,SPA,SI4,HAB_094,SP_1054,173164.66,U1,WATER_ABSTRACTION,1,1,0,111_URBAN,POOR,0.8224,0.1419,18512762.59,EEA_NATURA2000,2025-05-16
2014,EE,EE_N2K_001055,SPA,LT74,HAB_095,SP_1055,148263.44,U2,TOURISM_PRESSURE,0,21,0,211_ARABLE,MODERATE,0.2775,0.3815,15204446.66,LIFE_PROJECT_DATABASE,2025-05-29
2015,IT,IT_N2K_001056,SPA,FI115,HAB_096,SP_1056,156409.52,XX,CLIMATE_CHANGE,1,8,0,231_PASTURES,GOOD,0.1813,0.2704,24063558.26,NATIONAL_HABITAT_REPORTING,2025-06-11
2016,PT,PT_N2K_001057,SPA,LT989,HAB_097,SP_1057,219587.15,FV,AGRI_INTENSIFICATION,1,16,0,311_BROADLEAVED,HIGH,0.6759,0.4216,7195606.26,EEA_NATURA2000,2025-06-24
2017,BE,BE_N2K_001058,SPA,EE18,HAB_098,SP_1058,75132.72,U1,URBANISATION,0,9,1,312_CONIFEROUS,UNKNOWN,0.9384,0.4911,18694293.03,LIFE_PROJECT_DATABASE,2025-07-07
2018,FI,FI_N2K_001059,SPA,HU577,HAB_099,SP_1059,117717.4,U2,POLLUTION,0,29,0,313_MIXED,BAD,0.9003,0.7974,437000.32,NATIONAL_HABITAT_REPORTING,2025-07-20
2019,LV,LV_N2K_001060,SPA,ES55,HAB_100,SP_1060,49834.94,XX,INVASIVE_SPECIES,0,7,0,321_NATURAL_GRASS,POOR,0.7568,0.1197,11491685.38,EEA_NATURA2000,2025-08-02
2020,RO,RO_N2K_001061,SPA,AT379,HAB_101,SP_1061,70698.45,FV,FORESTRY,0,23,0,411_INLAND_WETLAND,MODERATE,0.2955,0.107,17283931.06,LIFE_PROJECT_DATABASE,2025-08-15
2021,BG,BG_N2K_001062,SPA,LV660,HAB_102,SP_1062,146942.35,U1,WATER_ABSTRACTION,1,21,1,512_WATER,GOOD,0.648,0.4289,19605626.8,NATIONAL_HABITAT_REPORTING,2025-08-28
2022,FR,FR_N2K_001063,SPA,GR912,HAB_103,SP_1063,130298.15,U2,TOURISM_PRESSURE,1,14,1,111_URBAN,HIGH,0.0706,0.7568,4836857.31,EEA_NATURA2000,2025-09-10
2023,LT,LT_N2K_001064,SPA,PT510,HAB_104,SP_1064,247119.05,XX,CLIMATE_CHANGE,1,25,1,211_ARABLE,UNKNOWN,0.4339,0.1579,17768741.85,LIFE_PROJECT_DATABASE,2025-09-23
2024,SK,SK_N2K_001065,SPA,ES2,HAB_105,SP_1065,32049.72,FV,AGRI_INTENSIFICATION,0,25,1,231_PASTURES,BAD,0.6435,0.3001,16969781.21,NATIONAL_HABITAT_REPORTING,2025-10-06
2025,HR,HR_N2K_001066,SPA,DE166,HAB_106,SP_1066,118289.11,U1,URBANISATION,1,1,1,311_BROADLEAVED,POOR,0.1588,0.1309,26319750.85,EEA_NATURA2000,2025-10-19
2000,DE,DE_N2K_001067,SPA,ES275,HAB_107,SP_1067,227669.16,U2,POLLUTION,1,7,1,312_CONIFEROUS,MODERATE,0.8475,0.3186,6803634.67,LIFE_PROJECT_DATABASE,2025-11-01
2001,LU,LU_N2K_001068,SPA,IT723,HAB_108,SP_1068,98375.56,XX,INVASIVE_SPECIES,0,20,1,313_MIXED,GOOD,0.4576,0.1168,15890481.66,NATIONAL_HABITAT_REPORTING,2025-11-14
2002,SI,SI_N2K_001069,SPA,BE40,HAB_109,SP_1069,59258.6,FV,FORESTRY,1,15,0,321_NATURAL_GRASS,HIGH,0.122,0.5202,29697877.56,EEA_NATURA2000,2025-11-27
2003,CY,CY_N2K_001070,SPA,AT492,HAB_110,SP_1070,187081.73,U1,WATER_ABSTRACTION,0,33,0,411_INLAND_WETLAND,UNKNOWN,0.1076,0.437,9748344.24,LIFE_PROJECT_DATABASE,2025-12-10
2004,GR,GR_N2K_001071,SPA,IT895,HAB_111,SP_1071,158787.99,U2,TOURISM_PRESSURE,1,24,1,512_WATER,BAD,0.4053,0.4927,31972110.79,NATIONAL_HABITAT_REPORTING,2025-12-23
2005,MT,MT_N2K_001072,SPA,SE22,HAB_112,SP_1072,153078.94,XX,CLIMATE_CHANGE,1,7,1,111_URBAN,POOR,0.431,0.6786,28062884.63,EEA_NATURA2000,2026-01-05
2006,ES,ES_N2K_001073,SPA,ES589,HAB_113,SP_1073,33217.08,FV,AGRI_INTENSIFICATION,0,27,0,211_ARABLE,MODERATE,0.4173,0.586,7970909.56,LIFE_PROJECT_DATABASE,2026-01-18
2007,CZ,CZ_N2K_001074,SPA,CY91,HAB_114,SP_1074,69048.99,U1,URBANISATION,1,26,0,231_PASTURES,GOOD,0.8528,0.1468,23153367.64,NATIONAL_HABITAT_REPORTING,2026-01-31
2008,HU,HU_N2K_001075,SPA,LV88,HAB_115,SP_1075,178028.18,U2,POLLUTION,0,25,0,311_BROADLEAVED,HIGH,0.0792,0.6574,6022184.6,EEA_NATURA2000,2026-02-13
2009,NL,NL_N2K_001076,SPA,SI869,HAB_116,SP_1076,152705.8,XX,INVASIVE_SPECIES,1,10,1,312_CONIFEROUS,UNKNOWN,0.9004,0.8901,32426608.5,LIFE_PROJECT_DATABASE,2007-01-01
2010,SE,SE_N2K_001077,SPA,SI63,HAB_117,SP_1077,199755.73,FV,FORESTRY,1,3,0,313_MIXED,BAD,0.7407,0.1504,6408403.39,NATIONAL_HABITAT_REPORTING,2007-01-14
2011,DK,DK_N2K_001078,SPA,LV77,HAB_118,SP_1078,76096.03,U1,WATER_ABSTRACTION,1,19,1,321_NATURAL_GRASS,POOR,0.8129,0.6069,17308988.44,EEA_NATURA2000,2007-01-27
2012,IE,IE_N2K_001079,SPA,AT90,HAB_119,SP_1079,241904.19,U2,TOURISM_PRESSURE,1,21,1,411_INLAND_WETLAND,MODERATE,0.438,0.53,4131995.72,LIFE_PROJECT_DATABASE,2007-02-09
2013,PL,PL_N2K_001080,SPA,HR98,HAB_120,SP_1080,106119.62,XX,CLIMATE_CHANGE,1,12,0,512_WATER,GOOD,0.1154,0.4952,22431772.97,NATIONAL_HABITAT_REPORTING,2007-02-22
2014,AT,AT_N2K_001081,SPA,SK367,HAB_121,SP_1081,140856.83,FV,AGRI_INTENSIFICATION,1,1,1,111_URBAN,HIGH,0.2886,0.3055,7395295.34,EEA_NATURA2000,2007-03-07
2015,EE,EE_N2K_001082,SPA,LV6,HAB_122,SP_1082,222382.33,U1,URBANISATION,1,21,0,211_ARABLE,UNKNOWN,0.3893,0.6059,29840838.82,LIFE_PROJECT_DATABASE,2007-03-20
2016,IT,IT_N2K_001083,SPA,GR30,HAB_123,SP_1083,42785.92,U2,POLLUTION,1,5,1,231_PASTURES,BAD,0.3034,0.9372,11543389.55,NATIONAL_HABITAT_REPORTING,2007-04-02
2017,PT,PT_N2K_001084,SPA,IE385,HAB_124,SP_1084,59571.21,XX,INVASIVE_SPECIES,1,26,0,311_BROADLEAVED,POOR,0.1531,0.5237,26686189.91,EEA_NATURA2000,2007-04-15
2018,BE,BE_N2K_001085,SPA,DE33,HAB_125,SP_1085,156897.4,FV,FORESTRY,1,25,0,312_CONIFEROUS,MODERATE,0.8624,0.7434,31420861.68,LIFE_PROJECT_DATABASE,2007-04-28
2019,FI,FI_N2K_001086,SPA,HU460,HAB_126,SP_1086,160537.93,U1,WATER_ABSTRACTION,1,5,0,313_MIXED,GOOD,0.0879,0.5625,13651999.64,NATIONAL_HABITAT_REPORTING,2007-05-11
2020,LV,LV_N2K_001087,SPA,IT659,HAB_127,SP_1087,52644.57,U2,TOURISM_PRESSURE,1,26,0,321_NATURAL_GRASS,HIGH,0.353,0.6134,16588284.86,EEA_NATURA2000,2007-05-24
2021,RO,RO_N2K_001088,SPA,IE476,HAB_128,SP_1088,16773.7,XX,CLIMATE_CHANGE,0,6,1,411_INLAND_WETLAND,UNKNOWN,0.4678,0.8624,12313290.12,LIFE_PROJECT_DATABASE,2007-06-06
2022,BG,BG_N2K_001089,SPA,FR78,HAB_129,SP_1089,226419.96,FV,AGRI_INTENSIFICATION,1,21,0,512_WATER,BAD,0.1296,0.9171,3760287.44,NATIONAL_HABITAT_REPORTING,2007-06-19
2023,FR,FR_N2K_001090,SPA,PT14,HAB_130,SP_1090,17272.71,U1,URBANISATION,0,10,0,111_URBAN,POOR,0.7572,0.2843,7754728.2,EEA_NATURA2000,2007-07-02
2024,LT,LT_N2K_001091,SPA,LV5,HAB_131,SP_1091,102617.92,U2,POLLUTION,1,13,0,211_ARABLE,MODERATE,0.6737,0.5215,4371521.44,LIFE_PROJECT_DATABASE,2007-07-15
2025,SK,SK_N2K_001092,SPA,SK8,HAB_132,SP_1092,157257.97,XX,INVASIVE_SPECIES,0,15,0,231_PASTURES,GOOD,0.8528,0.6137,18877710.53,NATIONAL_HABITAT_REPORTING,2007-07-28
2000,HR,HR_N2K_001093,SPA,ES63,HAB_133,SP_1093,144209.52,FV,FORESTRY,0,20,1,311_BROADLEAVED,HIGH,0.846,0.7587,10881471.19,EEA_NATURA2000,2007-08-10
2001,DE,DE_N2K_001094,SPA,BE385,HAB_134,SP_1094,55284.5,U1,WATER_ABSTRACTION,1,13,0,312_CONIFEROUS,UNKNOWN,0.0532,0.6518,19545968.23,LIFE_PROJECT_DATABASE,2007-08-23
2002,LU,LU_N2K_001095,SPA,HU4,HAB_135,SP_1095,202412.85,U2,TOURISM_PRESSURE,1,4,1,313_MIXED,BAD,0.9621,0.493,30968754.15,NATIONAL_HABITAT_REPORTING,2007-09-05
2003,SI,SI_N2K_001096,SPA,RO131,HAB_136,SP_1096,64124.0,XX,CLIMATE_CHANGE,1,1,1,321_NATURAL_GRASS,POOR,0.7046,0.4572,19123610.58,EEA_NATURA2000,2007-09-18
2004,CY,CY_N2K_001097,SPA,MT362,HAB_137,SP_1097,196280.54,FV,AGRI_INTENSIFICATION,1,27,0,411_INLAND_WETLAND,MODERATE,0.9643,0.1546,20040909.21,LIFE_PROJECT_DATABASE,2007-10-01
2005,GR,GR_N2K_001098,SPA,CZ6,HAB_138,SP_1098,7646.96,U1,URBANISATION,1,22,0,512_WATER,GOOD,0.8398,0.1244,16541639.26,NATIONAL_HABITAT_REPORTING,2007-10-14
2006,MT,MT_N2K_001099,SPA,HR75,HAB_139,SP_1099,119017.22,U2,POLLUTION,0,18,0,111_URBAN,HIGH,0.6924,0.3614,8502315.47,EEA_NATURA2000,2007-10-27
2007,ES,ES_N2K_001100,SPA,PT841,HAB_140,SP_1100,88006.62,XX,INVASIVE_SPECIES,1,15,0,211_ARABLE,UNKNOWN,0.7979,0.1904,8060656.44,LIFE_PROJECT_DATABASE,2007-11-09
2008,CZ,CZ_N2K_001101,SPA,AT32,HAB_141,SP_1101,199198.91,FV,FORESTRY,1,0,1,231_PASTURES,BAD,0.5169,0.5615,4576920.66,NATIONAL_HABITAT_REPORTING,2007-11-22
2009,HU,HU_N2K_001102,SPA,LT3,HAB_142,SP_1102,155394.43,U1,WATER_ABSTRACTION,1,25,1,311_BROADLEAVED,POOR,0.7032,0.8987,15559195.93,EEA_NATURA2000,2007-12-05
2010,NL,NL_N2K_001103,SPA,LU989,HAB_143,SP_1103,89615.04,U2,TOURISM_PRESSURE,0,15,0,312_CONIFEROUS,MODERATE,0.1356,0.847,11604598.87,LIFE_PROJECT_DATABASE,2007-12-18
2011,SE,SE_N2K_001104,SPA,BE629,HAB_144,SP_1104,75963.92,XX,CLIMATE_CHANGE,1,23,0,313_MIXED,GOOD,0.1527,0.5944,16620750.06,NATIONAL_HABITAT_REPORTING,2007-12-31
2012,DK,DK_N2K_001105,SPA,LU14,HAB_145,SP_1105,110648.34,FV,AGRI_INTENSIFICATION,1,26,0,321_NATURAL_GRASS,HIGH,0.9204,0.1357,11275562.21,EEA_NATURA2000,2008-01-13
2013,IE,IE_N2K_001106,SPA,CZ9,HAB_146,SP_1106,101691.82,U1,URBANISATION,1,6,0,411_INLAND_WETLAND,UNKNOWN,0.2827,0.8142,9325382.96,LIFE_PROJECT_DATABASE,2008-01-26
2014,PL,PL_N2K_001107,SPA,GR6,HAB_147,SP_1107,88481.78,U2,POLLUTION,1,17,0,512_WATER,BAD,0.1965,0.7422,26935693.23,NATIONAL_HABITAT_REPORTING,2008-02-08
2015,AT,AT_N2K_001108,SPA,BE29,HAB_148,SP_1108,95588.62,XX,INVASIVE_SPECIES,1,10,0,111_URBAN,POOR,0.6303,0.7588,30637251.61,EEA_NATURA2000,2008-02-21
2016,EE,EE_N2K_001109,SPA,DE846,HAB_149,SP_1109,13167.46,FV,FORESTRY,1,15,1,211_ARABLE,MODERATE,0.403,0.4496,24602515.26,LIFE_PROJECT_DATABASE,2008-03-05
2017,IT,IT_N2K_001110,SPA,AT5,HAB_150,SP_1110,81867.51,U1,WATER_ABSTRACTION,0,2,1,231_PASTURES,GOOD,0.7825,0.1434,7636429.85,NATIONAL_HABITAT_REPORTING,2008-03-18
2018,PT,PT_N2K_001111,SPA,BE60,HAB_151,SP_1111,14236.83,U2,TOURISM_PRESSURE,0,14,1,311_BROADLEAVED,HIGH,0.7519,0.8225,8772183.0,EEA_NATURA2000,2008-03-31
2019,BE,BE_N2K_001112,SPA,PT719,HAB_152,SP_1112,8703.39,XX,CLIMATE_CHANGE,0,10,0,312_CONIFEROUS,UNKNOWN,0.9219,0.3347,19581274.14,LIFE_PROJECT_DATABASE,2008-04-13
2020,FI,FI_N2K_001113,SPA,HR963,HAB_153,SP_1113,35902.02,FV,AGRI_INTENSIFICATION,0,17,1,313_MIXED,BAD,0.0845,0.901,13308385.24,NATIONAL_HABITAT_REPORTING,2008-04-26
2021,LV,LV_N2K_001114,SPA,LV747,HAB_154,SP_1114,27743.28,U1,URBANISATION,1,5,1,321_NATURAL_GRASS,POOR,0.2529,0.4541,4321206.52,EEA_NATURA2000,2008-05-09
2022,RO,RO_N2K_001115,SPA,NL386,HAB_155,SP_1115,232267.72,U2,POLLUTION,0,11,0,411_INLAND_WETLAND,MODERATE,0.7905,0.5365,3271172.32,LIFE_PROJECT_DATABASE,2008-05-22
2023,BG,BG_N2K_001116,SPA,SE311,HAB_156,SP_1116,120278.84,XX,INVASIVE_SPECIES,1,21,0,512_WATER,GOOD,0.7957,0.757,28258558.72,NATIONAL_HABITAT_REPORTING,2008-06-04
2024,FR,FR_N2K_001117,SPA,SE75,HAB_157,SP_1117,35745.72,FV,FORESTRY,1,3,0,111_URBAN,HIGH,0.4592,0.1867,12787143.04,EEA_NATURA2000,2008-06-17
2025,LT,LT_N2K_001118,SPA,SK605,HAB_158,SP_1118,208780.68,U1,WATER_ABSTRACTION,1,1,0,211_ARABLE,UNKNOWN,0.365,0.9165,23043732.41,LIFE_PROJECT_DATABASE,2008-06-30
2000,SK,SK_N2K_001119,SPA,PL52,HAB_159,SP_1119,130089.63,U2,TOURISM_PRESSURE,1,13,0,231_PASTURES,BAD,0.3266,0.7186,19928067.45,NATIONAL_HABITAT_REPORTING,2008-07-13
2001,HR,HR_N2K_001120,SPA,LV96,HAB_160,SP_1120,140277.5,XX,CLIMATE_CHANGE,1,3,1,311_BROADLEAVED,POOR,0.2922,0.1907,16732118.12,EEA_NATURA2000,2008-07-26
2002,DE,DE_N2K_001121,SPA,CY953,HAB_161,SP_1121,141910.61,FV,AGRI_INTENSIFICATION,1,2,0,312_CONIFEROUS,MODERATE,0.8533,0.1546,19786775.02,LIFE_PROJECT_DATABASE,2008-08-08
2003,LU,LU_N2K_001122,SPA,LU5,HAB_162,SP_1122,345.32,U1,URBANISATION,0,18,1,313_MIXED,GOOD,0.6202,0.1489,15425936.03,NATIONAL_HABITAT_REPORTING,2008-08-21
2004,SI,SI_N2K_001123,SPA,IT18,HAB_163,SP_1123,158328.22,U2,POLLUTION,1,27,0,321_NATURAL_GRASS,HIGH,0.1668,0.8156,28035073.14,EEA_NATURA2000,2008-09-03
2005,CY,CY_N2K_001124,SPA,LT91,HAB_164,SP_1124,105674.3,XX,INVASIVE_SPECIES,1,10,0,411_INLAND_WETLAND,UNKNOWN,0.8624,0.5056,21152877.94,LIFE_PROJECT_DATABASE,2008-09-16
2006,GR,GR_N2K_001125,SPA,HU44,HAB_165,SP_1125,121750.2,FV,FORESTRY,0,16,1,512_WATER,BAD,0.6755,0.3609,7108098.61,NATIONAL_HABITAT_REPORTING,2008-09-29
2007,MT,MT_N2K_001126,SPA,LT85,HAB_166,SP_1126,14123.28,U1,WATER_ABSTRACTION,0,6,0,111_URBAN,POOR,0.5329,0.5075,6752309.47,EEA_NATURA2000,2008-10-12
2008,ES,ES_N2K_001127,SPA,IE151,HAB_167,SP_1127,105304.25,U2,TOURISM_PRESSURE,1,10,0,211_ARABLE,MODERATE,0.3172,0.4543,6682104.5,LIFE_PROJECT_DATABASE,2008-10-25
2009,CZ,CZ_N2K_001128,SPA,SE579,HAB_168,SP_1128,67586.71,XX,CLIMATE_CHANGE,0,24,1,231_PASTURES,GOOD,0.8286,0.2613,10624212.02,NATIONAL_HABITAT_REPORTING,2008-11-07
2010,HU,HU_N2K_001129,SPA,IT4,HAB_169,SP_1129,80004.11,FV,AGRI_INTENSIFICATION,1,1,1,311_BROADLEAVED,HIGH,0.9754,0.1167,16595650.75,EEA_NATURA2000,2008-11-20
2011,NL,NL_N2K_001130,SPA,HU751,HAB_170,SP_1130,137822.64,U1,URBANISATION,1,10,1,312_CONIFEROUS,UNKNOWN,0.1647,0.4236,25520204.22,LIFE_PROJECT_DATABASE,2008-12-03
2012,SE,SE_N2K_001131,SPA,LT690,HAB_171,SP_1131,177347.4,U2,POLLUTION,1,10,0,313_MIXED,BAD,0.8674,0.3841,27988614.43,NATIONAL_HABITAT_REPORTING,2008-12-16
2013,DK,DK_N2K_001132,SPA,BG73,HAB_172,SP_1132,83196.14,XX,INVASIVE_SPECIES,0,7,1,321_NATURAL_GRASS,POOR,0.8842,0.6067,7995905.54,EEA_NATURA2000,2008-12-29
2014,IE,IE_N2K_001133,SPA,SE56,HAB_173,SP_1133,151965.84,FV,FORESTRY,1,17,1,411_INLAND_WETLAND,MODERATE,0.1014,0.1835,30438665.0,LIFE_PROJECT_DATABASE,2009-01-11
2015,PL,PL_N2K_001134,SPA,BG260,HAB_174,SP_1134,19736.61,U1,WATER_ABSTRACTION,0,28,0,512_WATER,GOOD,0.8713,0.9069,4870208.57,NATIONAL_HABITAT_REPORTING,2009-01-24
2016,AT,AT_N2K_001135,SPA,FI34,HAB_175,SP_1135,83189.2,U2,TOURISM_PRESSURE,0,21,0,111_URBAN,HIGH,0.246,0.7666,14153762.06,EEA_NATURA2000,2009-02-06
2017,EE,EE_N2K_001136,SPA,AT166,HAB_176,SP_1136,158383.91,XX,CLIMATE_CHANGE,1,15,0,211_ARABLE,UNKNOWN,0.6026,0.8802,5882443.78,LIFE_PROJECT_DATABASE,2009-02-19
2018,IT,IT_N2K_001137,SPA,BE6,HAB_177,SP_1137,177724.92,FV,AGRI_INTENSIFICATION,1,23,1,231_PASTURES,BAD,0.2096,0.1637,17053334.11,NATIONAL_HABITAT_REPORTING,2009-03-04
2019,PT,PT_N2K_001138,SPA,AT17,HAB_178,SP_1138,71637.49,U1,URBANISATION,1,14,0,311_BROADLEAVED,POOR,0.6061,0.7872,27154734.18,EEA_NATURA2000,2009-03-17
2020,BE,BE_N2K_001139,SPA,RO577,HAB_179,SP_1139,190801.35,U2,POLLUTION,1,20,1,312_CONIFEROUS,MODERATE,0.1309,0.8078,24330348.31,LIFE_PROJECT_DATABASE,2009-03-30
2021,FI,FI_N2K_001140,SPA,PL43,HAB_180,SP_1140,168486.46,XX,INVASIVE_SPECIES,0,20,0,313_MIXED,GOOD,0.487,0.2458,13858138.97,NATIONAL_HABITAT_REPORTING,2009-04-12
2022,LV,LV_N2K_001141,SPA,FR4,HAB_181,SP_1141,181995.17,FV,FORESTRY,1,16,1,321_NATURAL_GRASS,HIGH,0.4251,0.767,1607102.57,EEA_NATURA2000,2009-04-25
2023,RO,RO_N2K_001142,SPA,LV86,HAB_182,SP_1142,118627.51,U1,WATER_ABSTRACTION,0,9,0,411_INLAND_WETLAND,UNKNOWN,0.9527,0.8502,6266640.62,LIFE_PROJECT_DATABASE,2009-05-08
2024,BG,BG_N2K_001143,SPA,LU370,HAB_183,SP_1143,94300.35,U2,TOURISM_PRESSURE,1,4,0,512_WATER,BAD,0.7354,0.8104,7588015.24,NATIONAL_HABITAT_REPORTING,2009-05-21
2025,FR,FR_N2K_001144,SPA,DK43,HAB_184,SP_1144,163899.96,XX,CLIMATE_CHANGE,1,27,0,111_URBAN,POOR,0.4844,0.2728,26151653.1,EEA_NATURA2000,2009-06-03
2000,LT,LT_N2K_001145,SPA,NL1,HAB_185,SP_1145,229755.24,FV,AGRI_INTENSIFICATION,0,25,0,211_ARABLE,MODERATE,0.8864,0.3962,15798145.39,LIFE_PROJECT_DATABASE,2009-06-16
2001,SK,SK_N2K_001146,SPA,IT94,HAB_186,SP_1146,137196.34,U1,URBANISATION,1,21,0,231_PASTURES,GOOD,0.7886,0.8479,20209264.34,NATIONAL_HABITAT_REPORTING,2009-06-29
2002,HR,HR_N2K_001147,SPA,HR78,HAB_187,SP_1147,218422.49,U2,POLLUTION,1,12,1,311_BROADLEAVED,HIGH,0.4235,0.1495,26590980.1,EEA_NATURA2000,2009-07-12
2003,DE,DE_N2K_001148,SPA,BE99,HAB_188,SP_1148,242871.12,XX,INVASIVE_SPECIES,0,9,1,312_CONIFEROUS,UNKNOWN,0.1406,0.3415,12075718.78,LIFE_PROJECT_DATABASE,2009-07-25
2004,LU,LU_N2K_001149,SPA,DK5,HAB_189,SP_1149,248589.73,FV,FORESTRY,0,27,1,313_MIXED,BAD,0.4836,0.8404,15831873.76,NATIONAL_HABITAT_REPORTING,2009-08-07
2005,SI,SI_N2K_001150,SPA,DK880,HAB_190,SP_1150,203662.34,U1,WATER_ABSTRACTION,0,21,0,321_NATURAL_GRASS,POOR,0.8875,0.4418,5047933.09,EEA_NATURA2000,2009-08-20
2006,CY,CY_N2K_001151,SPA,MT196,HAB_191,SP_1151,20374.09,U2,TOURISM_PRESSURE,0,2,0,411_INLAND_WETLAND,MODERATE,0.0658,0.9085,18714112.58,LIFE_PROJECT_DATABASE,2009-09-02
2007,GR,GR_N2K_001152,SPA,FI75,HAB_192,SP_1152,131076.08,XX,CLIMATE_CHANGE,1,16,0,512_WATER,GOOD,0.6144,0.2404,2036681.97,NATIONAL_HABITAT_REPORTING,2009-09-15
2008,MT,MT_N2K_001153,SPA,LU90,HAB_193,SP_1153,35308.16,FV,AGRI_INTENSIFICATION,1,23,1,111_URBAN,HIGH,0.7814,0.2935,13512014.84,EEA_NATURA2000,2009-09-28
2009,ES,ES_N2K_001154,SPA,GR817,HAB_194,SP_1154,177988.7,U1,URBANISATION,0,15,0,211_ARABLE,UNKNOWN,0.8527,0.6475,4972991.28,LIFE_PROJECT_DATABASE,2009-10-11
2010,CZ,CZ_N2K_001155,SPA,AT8,HAB_195,SP_1155,33836.85,U2,POLLUTION,1,18,0,231_PASTURES,BAD,0.374,0.5566,18326277.11,NATIONAL_HABITAT_REPORTING,2009-10-24
2011,HU,HU_N2K_001156,SPA,RO64,HAB_196,SP_1156,50044.46,XX,INVASIVE_SPECIES,1,8,0,311_BROADLEAVED,POOR,0.449,0.1821,27546622.52,EEA_NATURA2000,2009-11-06
2012,NL,NL_N2K_001157,SPA,SK75,HAB_197,SP_1157,94266.12,FV,FORESTRY,1,6,0,312_CONIFEROUS,MODERATE,0.8725,0.5472,16790540.28,LIFE_PROJECT_DATABASE,2009-11-19
2013,SE,SE_N2K_001158,SPA,MT21,HAB_198,SP_1158,14335.69,U1,WATER_ABSTRACTION,1,29,1,313_MIXED,GOOD,0.5114,0.8219,29740411.6,NATIONAL_HABITAT_REPORTING,2009-12-02
2014,DK,DK_N2K_001159,SPA,DK97,HAB_199,SP_1159,24561.37,U2,TOURISM_PRESSURE,1,16,1,321_NATURAL_GRASS,HIGH,0.158,0.2458,11564278.02,EEA_NATURA2000,2009-12-15
2015,IE,IE_N2K_001160,SPA,IE440,HAB_200,SP_1160,248973.28,XX,CLIMATE_CHANGE,1,15,1,411_INLAND_WETLAND,UNKNOWN,0.3505,0.5958,28251895.06,LIFE_PROJECT_DATABASE,2009-12-28
2016,PL,PL_N2K_001161,SPA,DE787,HAB_201,SP_1161,98708.47,FV,AGRI_INTENSIFICATION,1,12,1,512_WATER,BAD,0.9698,0.5395,24569434.54,NATIONAL_HABITAT_REPORTING,2010-01-10
