ag_econ_fiscal_year_farm,ag_econ_farm_business_type,ag_econ_gross_cash_income_inr,ag_econ_operating_expenses_inr,ag_econ_net_farm_income_inr,ag_econ_debt_to_asset_ratio,ag_econ_interest_paid_inr,ag_econ_land_rent_paid_inr,ag_econ_machinery_depreciation_inr,ag_econ_labor_hired_cost_inr,ag_econ_input_price_fuel_index,ag_econ_input_price_fertilizer_index,ag_econ_input_price_seed_index,ag_econ_input_price_feed_index,ag_econ_government_payments_inr,ag_econ_crop_insurance_indemnities_inr,ag_econ_working_capital_ratio,ag_econ_return_on_assets_pct,ag_econ_financial_stress_score,ag_econ_succession_plan_flag
2012,COOPERATIVE,7149391.62,4772039.43,2377363.66,0.098,1831714.78,972896.63,187941.85,2917238.38,149.57,168.29,113.09,200.64,1079543.62,137191.03,3.741,0.155,45.6,0
2024,FPO,18580494.53,16648681.53,1931824.48,0.449,965896.6,1348575.28,1097356.93,2166822.91,182.18,114.51,70.15,170.38,2126720.89,1767357.06,3.507,-0.228,23.25,0
2025,COOPERATIVE,12020523.87,7861288.87,4159246.49,0.382,889104.86,819468.38,469427.43,1383523.92,143.08,198.98,84.9,127.96,2430628.84,1206093.54,3.324,0.128,8.08,0
2013,AGRI_STARTUP,23409852.99,18753132.8,4656731.69,0.358,1204674.74,2456561.89,1181451.08,928948.7,165.75,74.78,172.36,193.25,2655803.26,1497192.13,3.954,0.315,85.17,0
2015,LARGE,2608905.27,1863115.23,745801.55,0.475,1779468.09,850625.34,128759.73,4826549.97,148.06,162.55,118.04,202.8,204387.94,656788.82,0.275,0.117,30.75,0
2025,MEDIUM,14818331.23,13427469.38,1390873.37,0.077,1990445.68,2583110.58,75470.53,4094072.61,142.56,102.56,162.73,126.73,1209065.58,553282.52,1.513,-0.052,7.13,1
2019,LARGE,19376528.14,14989726.91,4386812.76,0.245,84546.88,1631121.72,859855.19,1505928.25,79.89,109.2,148.76,181.44,1382989.73,1173282.44,3.541,0.363,39.94,1
2014,MEDIUM,24488574.93,16016637.45,8471949.02,0.403,1443278.75,1609637.39,90971.6,2468696.09,177.75,187.61,145.33,167.68,1925979.16,1541367.35,1.295,0.448,66.37,0
2013,SMALLHOLDER,11296884.13,6501613.27,4795282.41,0.455,1431103.39,2766573.43,1007536.54,4735037.87,143.94,102.09,118.42,98.37,822660.77,758984.49,3.824,0.332,17.2,0
2012,SMALLHOLDER,18154435.6,8590577.06,9563870.1,0.571,1170973.71,1226798.99,858711.33,4055522.1,173.43,82.63,124.45,124.83,2966165.52,1850459.18,1.175,0.216,87.57,1
2012,LARGE,11485958.23,5671723.87,5814245.93,0.472,741887.21,3440733.6,1124056.31,4016975.54,87.39,125.05,126.12,70.68,105154.52,299142.08,3.305,0.183,62.83,1
2019,AGRI_STARTUP,23919481.61,16998514.82,6920978.37,0.278,1202400.8,1575998.29,1060007.47,3931088.9,99.98,128.14,167.63,160.71,1911141.14,1482465.13,0.21,0.154,51.39,0
2012,AGRI_STARTUP,692458.52,630669.16,61800.95,0.755,485122.34,137503.49,351605.33,3069540.75,91.38,134.7,194.29,69.49,1677828.64,1439575.84,2.716,0.208,97.71,0
2026,SMALLHOLDER,23513191.39,17989174.74,5524028.25,0.326,46236.16,3305716.9,969091.95,848656.57,137.74,112.49,112.32,151.1,982889.44,1206274.51,2.528,0.147,97.24,0
2018,FPO,16089872.49,7309378.69,8780505.41,0.291,674062.36,1344296.43,271846.01,2886249.03,170.28,72.14,107.79,183.32,1747405.93,813368.93,3.05,-0.063,76.05,1
2021,AGRI_STARTUP,3503003.24,2817112.44,685902.42,0.284,371893.39,3431069.61,624823.46,638244.71,128.98,111.61,198.03,211.19,2217184.63,69546.75,3.813,-0.221,1.81,0
2024,AGRI_STARTUP,4866609.21,3633635.19,1232985.65,0.395,729013.58,1322105.15,589239.73,2294354.64,187.42,148.27,170.89,134.14,217111.9,578549.5,1.26,0.248,6.51,0
2014,FPO,10085753.64,5730515.24,4355250.04,0.616,357106.0,299949.14,1191877.42,3731147.67,116.16,172.95,154.91,102.39,2193731.52,1268188.14,2.413,-0.036,25.73,1
2017,LEASED,23482848.53,13643046.22,9839813.96,0.409,1686521.91,2157807.12,514802.32,1356647.31,112.47,80.75,75.88,71.78,258362.36,203388.11,1.451,0.11,62.01,0
2026,AGRI_STARTUP,14377584.1,8724570.13,5653025.63,0.151,762884.38,864033.3,27033.28,4259023.52,162.88,181.91,194.67,138.88,2731585.75,226887.18,2.584,0.436,59.49,1
2025,COOPERATIVE,10049583.63,6268403.12,3781192.18,0.17,823139.84,1257851.67,21396.05,4964670.94,105.47,171.87,66.44,170.61,2128688.07,802364.04,3.062,0.317,73.07,0
2012,MEDIUM,6997288.16,4558682.18,2438617.66,0.427,1503908.24,976779.48,429467.46,629829.26,137.57,75.96,130.88,96.35,374624.73,520576.53,3.959,0.29,24.07,0
2026,AGRI_STARTUP,6570299.64,4588951.31,1981360.02,0.092,1287397.59,2141661.37,806318.11,2011963.36,81.14,85.78,68.84,113.45,1168556.22,770083.27,0.68,0.335,96.04,0
2021,SMALLHOLDER,15930197.59,8036715.81,7893493.48,0.596,935148.1,656392.98,325486.37,2794495.92,153.4,157.93,86.3,77.91,251409.27,1183438.03,3.728,0.401,57.26,0
2021,LARGE,9060894.26,8080796.39,980109.58,0.579,1024766.26,1548435.08,896701.31,2025122.83,128.66,140.09,174.67,63.35,1788427.52,885162.04,1.678,0.294,92.99,1
2024,MEDIUM,23972916.56,21842788.96,2130139.32,0.6,1126061.17,2507672.67,929063.12,2320678.16,98.62,173.52,89.66,147.11,1812010.2,636740.1,2.42,0.228,98.79,1
2017,FPO,7556959.65,5151972.8,2404998.58,0.68,1468735.44,3222391.8,561631.71,456611.48,107.49,187.55,140.91,192.31,736775.93,773216.38,1.897,0.015,33.62,0
2019,LEASED,18907701.42,16160240.75,2747472.41,0.949,796262.14,1310562.88,469967.3,4095326.84,131.28,122.34,161.45,102.56,1057781.02,1063063.36,3.446,0.179,3.52,0
2026,LEASED,24758245.33,11709649.13,13048607.95,0.814,1275555.89,2782514.28,253966.44,760106.13,95.38,174.6,141.64,105.55,254124.78,1325416.47,3.401,0.363,63.63,0
2012,SMALLHOLDER,1375632.76,991263.84,384380.68,0.667,1429346.08,2286009.58,896698.76,1295406.39,138.57,207.53,152.81,214.39,1362875.5,383261.27,0.281,0.287,75.0,1
2015,LARGE,12646654.14,7749644.61,4897021.3,0.862,42291.24,625965.49,679893.27,2558690.42,189.63,152.1,105.93,114.13,100183.44,353315.47,0.479,0.018,97.71,0
2026,LEASED,10952846.77,6725421.58,4227436.97,0.497,13621.49,2030482.22,1045855.83,524140.25,177.39,143.31,117.29,129.21,1124147.9,784516.79,3.086,0.373,54.66,0
2013,COOPERATIVE,2305062.13,2033214.08,271859.84,0.882,1772358.92,2019797.49,625981.87,2586834.61,185.65,88.42,78.91,166.35,1950659.37,1721767.56,2.49,-0.203,85.26,1
2015,SMALLHOLDER,1565976.48,726667.26,839321.02,0.8,482194.35,3153050.63,1036540.78,4796798.38,168.12,89.25,126.1,155.1,137774.32,484418.12,0.919,0.371,27.42,1
2025,MEDIUM,24765077.24,16448916.6,8316172.45,0.763,1043767.58,1249761.57,310012.34,3801383.36,85.45,120.32,168.45,137.7,1374195.12,895958.53,0.277,-0.156,92.01,1
2013,COOPERATIVE,9122474.68,6308001.91,2814484.59,0.455,743338.5,3415786.57,598949.29,4115596.32,142.55,84.26,65.05,205.57,2520032.71,143424.7,2.286,0.209,8.57,0
2026,COOPERATIVE,6439619.07,3671938.74,2767692.16,0.851,353886.76,421955.22,621592.61,606731.66,103.55,159.48,155.42,215.69,291076.49,1244988.01,3.225,0.221,72.92,0
2017,LEASED,24149174.5,15580165.39,8569020.95,0.523,350959.41,2866447.6,579037.0,1338334.19,111.36,198.61,142.58,149.67,1347050.05,840296.99,3.927,0.112,84.19,0
2019,LEASED,17871971.66,14729869.0,3142114.51,0.169,416127.74,187615.31,39093.79,2605847.36,182.52,97.43,184.87,148.63,109256.6,1882424.5,2.287,0.11,15.63,1
2016,COOPERATIVE,22687940.98,20506087.45,2181865.39,0.207,1750134.11,854679.08,167092.85,2193467.58,135.85,139.3,71.45,149.63,1515565.06,1575953.37,4.135,-0.207,30.73,0
2022,SMALLHOLDER,22331229.03,14921294.08,7409946.82,0.476,1520712.52,3305535.14,275362.81,1450445.93,92.67,112.06,91.07,154.7,1654799.95,634462.59,1.912,0.101,19.29,0
2012,LARGE,1288511.4,674648.12,613875.16,0.409,1017416.13,1435612.66,586731.11,1837520.06,102.33,122.89,61.57,212.4,1700781.16,55650.24,2.212,0.368,75.24,0
2012,AGRI_STARTUP,18334033.66,15810971.54,2523074.01,0.627,447172.79,484437.6,721633.85,4471807.96,136.04,103.72,92.73,75.98,1929859.16,1041641.33,2.237,0.312,46.76,1
2026,LARGE,4443343.84,3102702.95,1340652.79,0.342,877970.36,1731287.93,438883.53,1643153.33,168.84,142.99,158.03,125.62,2075114.05,1091235.0,1.87,0.402,82.02,0
2018,MEDIUM,9552563.98,7565488.88,1987087.01,0.371,512508.47,1576440.08,732246.41,1693481.25,122.63,119.47,100.3,117.99,2300385.67,992432.32,0.566,-0.005,24.6,0
2014,AGRI_STARTUP,16530280.14,10830904.91,5699387.15,0.207,1379211.66,3135479.97,89214.74,2901553.65,179.09,127.49,73.22,214.03,2776115.9,1486593.16,4.238,0.041,23.93,0
2017,LEASED,21577684.5,14562377.54,7015318.89,0.348,1516196.8,2620045.54,932701.41,2518705.15,128.54,124.08,89.86,88.91,2423446.84,405152.5,1.093,0.268,66.39,1
2018,MEDIUM,12273837.11,9613753.25,2660095.8,0.473,174391.61,289647.53,612497.96,766646.89,174.44,65.75,164.3,60.44,1059378.76,1630339.76,2.797,0.295,84.5,1
2015,AGRI_STARTUP,17990071.69,8617328.11,9372755.53,0.745,415507.98,1903096.87,209721.21,1841767.16,109.86,84.71,190.06,163.02,1321382.59,1540041.42,1.028,-0.056,74.5,0
2026,LARGE,12033176.28,7178135.07,4855053.17,0.697,468388.97,1666986.92,731751.85,977602.5,169.22,178.22,108.78,176.81,1878173.92,906854.35,0.429,0.032,2.9,0
2014,COOPERATIVE,6128442.09,4277133.29,1851320.77,0.234,1164488.68,1664317.2,504607.89,3110228.28,81.32,81.03,183.01,75.02,2307049.01,493032.61,1.841,0.248,60.48,1
2024,LEASED,4017278.48,2657087.17,1360203.29,0.906,1115410.94,274227.75,1035355.58,1513044.1,97.24,122.89,75.32,77.36,2561287.99,109506.98,4.336,0.093,99.02,0
2020,COOPERATIVE,2171813.73,1398318.77,773506.95,0.497,610594.66,455220.1,870077.04,1833357.64,81.55,149.92,174.44,132.27,1228762.38,669129.95,3.272,-0.148,40.92,0
2013,MEDIUM,6852750.98,3955755.93,2897007.05,0.261,1017482.95,1129126.52,320848.09,136849.42,162.53,146.97,148.05,128.11,50622.27,1143267.33,2.369,0.239,50.83,0
2015,FPO,4785187.0,2836422.02,1948776.99,0.644,1572754.66,3409080.89,109039.61,3272676.25,145.3,87.94,185.29,94.68,2460858.77,1930046.38,2.377,0.067,48.82,0
2025,COOPERATIVE,5207653.97,4720757.0,486908.99,0.334,26779.76,1216817.53,575075.63,1237937.07,182.13,166.43,183.66,64.29,2462705.47,1881482.0,1.017,0.16,52.91,0
2018,MEDIUM,249145.73,142776.17,106381.59,0.075,580617.61,2080101.68,603265.74,2621338.4,183.67,123.63,74.13,175.47,612520.06,950647.52,1.964,-0.109,67.09,0
2015,LARGE,21868874.31,12624623.23,9244263.12,0.467,1598962.95,3447667.34,962517.53,4557704.24,128.6,145.64,149.51,135.05,789220.26,96237.32,2.501,-0.046,71.63,0
2012,COOPERATIVE,15553233.68,13874740.26,1678505.47,0.755,633405.03,3312435.38,456643.08,3595639.17,116.33,196.66,67.18,61.25,1690061.27,295582.83,4.253,0.142,52.48,1
2014,COOPERATIVE,5594904.7,2555914.21,3039002.55,0.814,1588494.29,3454448.45,613436.77,245771.69,151.91,88.32,149.79,170.94,1906151.03,343004.37,0.839,-0.168,10.47,1
2018,COOPERATIVE,11159667.74,6982481.27,4177198.54,0.25,1082632.38,1652935.67,253190.92,4481713.11,127.2,174.94,158.88,141.23,2016125.32,1998616.81,1.219,0.364,39.84,0
2026,LEASED,19619498.63,17221439.8,2398070.91,0.603,1103946.01,2967378.4,1071632.62,689245.21,189.45,177.51,95.73,132.79,2359403.92,1213274.79,1.049,0.044,21.21,1
2022,SMALLHOLDER,19317319.95,16797722.04,2519610.0,0.773,737869.27,2858836.8,548477.34,772938.67,138.95,119.29,153.12,100.29,414810.65,248447.16,1.363,-0.009,98.1,0
2013,FPO,12217021.78,10720668.4,1496365.48,0.074,1994391.25,3084520.54,973279.38,2793852.49,81.84,137.86,149.76,192.3,2280558.45,311261.28,0.368,0.118,87.58,0
2025,LARGE,1086227.99,819214.08,267026.02,0.918,1135446.78,1935809.39,643120.09,4709103.56,77.93,74.37,65.04,195.42,2014183.92,1759179.51,4.103,0.229,99.54,0
2019,COOPERATIVE,6387085.9,3478557.11,2908540.91,0.732,1820431.25,2897400.22,123784.59,4331109.6,141.18,122.22,142.57,105.95,2289595.43,1561037.43,0.973,0.35,19.83,0
2016,LARGE,1150583.82,960275.77,190320.18,0.275,1620781.16,2483134.86,850570.67,2185674.19,99.56,186.1,155.67,70.03,2302377.17,497348.93,3.666,0.005,78.27,0
2012,COOPERATIVE,11926092.22,9657825.52,2268278.84,0.78,454930.82,899625.69,276975.05,1419544.21,117.44,160.96,133.06,105.72,1166954.96,1845966.83,1.533,0.023,89.75,1
2022,MEDIUM,11268454.43,10075294.27,1193172.31,0.346,1934644.99,182781.71,327817.95,3291644.08,128.96,196.83,142.1,201.34,2648771.57,1531151.13,2.372,-0.158,69.1,1
2022,FPO,23237421.04,13484805.51,9752627.69,0.422,647645.97,3110382.69,325336.68,613891.15,180.16,123.53,132.41,101.18,1913600.93,824412.53,0.689,0.111,74.04,0
2022,SMALLHOLDER,22367756.39,13408969.75,8958798.81,0.663,1503949.88,1152680.24,223112.22,4604176.79,158.72,75.26,77.59,189.97,439446.34,1365443.93,2.937,-0.135,25.46,0
2022,FPO,10477453.3,8748017.09,1729448.39,0.915,25165.01,2785682.25,407932.62,2252337.06,128.29,69.41,112.26,166.86,2192774.39,897628.58,0.693,-0.101,93.0,0
2026,AGRI_STARTUP,10939068.02,8736270.52,2202809.69,0.88,134103.0,2129745.13,107290.42,650921.28,103.86,119.96,101.28,124.81,1409480.5,135711.64,4.2,0.415,48.56,0
2018,FPO,14271582.81,7969555.19,6302039.82,0.693,1554663.26,2085698.71,956678.32,3437777.89,107.71,65.38,185.02,181.35,1665134.33,1946313.64,1.059,0.214,6.79,1
2015,LEASED,16037697.49,7921041.49,8116668.21,0.187,1298307.49,1505883.07,573997.45,733258.55,110.73,126.87,179.9,198.14,2261340.66,56516.19,4.032,0.129,0.0,0
2021,COOPERATIVE,4185032.07,2583854.77,1601189.52,0.466,490847.51,236947.05,134443.71,2252782.78,160.49,176.53,175.67,84.12,2889403.66,372917.95,0.474,-0.223,68.03,0
2016,COOPERATIVE,12312860.21,6028024.74,6284847.7,0.885,418386.72,969571.1,960668.24,2186353.19,185.16,152.76,102.94,143.62,977938.01,971993.52,4.004,-0.189,55.85,0
2013,LEASED,12199806.45,10939706.97,1260111.72,0.594,785551.25,652248.57,1131082.72,743908.89,123.42,84.32,194.9,115.91,2637446.57,1557326.41,3.374,0.273,71.85,0
2026,LARGE,7511361.41,4242369.72,3269003.94,0.308,1043305.48,1394526.28,168846.37,1001979.71,122.14,173.91,194.2,121.24,1591217.35,1992063.98,4.481,0.082,0.2,0
2018,AGRI_STARTUP,20463758.33,12725212.86,7738557.73,0.087,325292.26,2562013.43,267053.53,242367.03,74.94,121.22,138.62,95.63,1904346.61,1465306.13,2.244,0.196,13.68,0
2016,FPO,21678046.21,15804021.0,5874037.48,0.545,237880.43,2602547.04,673273.55,2757559.8,148.21,137.64,159.75,87.02,1250975.02,1469295.37,3.291,-0.045,12.46,0
2024,LEASED,21584908.16,13777007.9,7807912.54,0.48,202198.65,80385.6,1073199.37,2602907.41,132.07,102.57,139.69,156.77,1129374.68,1209669.74,1.603,-0.001,65.64,0
2015,LEASED,5010777.25,2614984.0,2395805.54,0.873,841791.68,1109841.32,660019.54,932281.03,131.67,78.9,67.35,110.74,2635681.29,852236.59,1.666,0.05,54.79,1
2018,SMALLHOLDER,4374275.66,2619553.74,1754734.22,0.839,1811059.99,800875.08,774843.69,2395664.35,149.65,84.15,173.16,89.09,1822693.62,1884972.53,0.211,0.234,49.32,0
2021,AGRI_STARTUP,6523568.43,3904834.68,2618746.06,0.765,1787302.1,1762591.03,654346.74,4060156.7,170.85,181.87,65.76,175.12,140564.69,1254761.55,0.908,0.358,38.2,0
2016,LARGE,6910316.7,4450183.21,2460145.81,0.897,724880.74,636593.8,419083.48,4253789.53,82.25,149.34,114.86,110.32,1480562.73,162807.08,1.347,0.284,89.06,1
2016,MEDIUM,19236318.85,14430458.17,4805873.01,0.154,21376.01,2193153.21,15280.69,2140500.39,85.03,165.86,136.82,93.68,1106436.2,851552.8,1.902,0.263,54.47,0
2015,SMALLHOLDER,16163519.56,12630603.6,3532928.3,0.778,1202059.69,1057739.11,681920.7,1698859.63,91.83,119.92,114.6,104.24,1402027.51,1322886.03,3.854,0.415,88.9,0
2026,AGRI_STARTUP,21240931.63,10749668.39,10491275.59,0.33,1912854.54,2385667.09,312490.9,1859603.24,82.27,135.28,89.06,214.25,141491.68,1542423.62,1.759,0.018,18.83,1
2024,AGRI_STARTUP,13344870.37,11309899.7,2034983.03,0.84,830797.15,745657.38,173778.28,2605171.37,88.18,164.33,112.71,69.16,367785.73,636394.44,2.229,0.211,38.25,0
2023,FPO,7561763.17,4558464.58,3003310.96,0.594,715235.32,3095170.16,1087894.65,507600.86,97.49,108.21,189.31,155.11,690575.73,1223278.35,4.481,0.072,56.16,0
2019,SMALLHOLDER,16707557.13,8958497.68,7749071.83,0.687,394067.34,3445516.08,783810.66,257376.28,179.02,85.1,176.69,210.84,427576.44,1268737.61,0.578,0.191,32.55,0
2024,LARGE,20814147.19,14120760.48,6693399.1,0.707,337652.62,1698510.31,508533.45,274956.88,159.01,192.8,76.64,100.45,83317.04,513889.35,4.276,0.429,0.64,0
2022,MEDIUM,11018053.64,5184029.52,5834036.52,0.209,216760.96,3255241.09,269145.16,2912063.49,175.09,126.81,82.16,140.61,1031213.53,422587.95,1.847,0.354,39.38,0
2015,AGRI_STARTUP,21226387.26,11556612.89,9669786.78,0.393,1730158.16,2459916.49,55357.17,4872390.26,149.79,76.12,157.84,129.14,946264.93,277625.02,1.141,-0.045,0.34,1
2018,COOPERATIVE,8166898.36,6051479.17,2115431.61,0.879,1198085.71,335154.09,1147300.43,2816770.36,124.27,203.71,104.58,164.58,2079192.12,1511132.96,3.716,-0.24,48.89,0
2018,MEDIUM,14843383.86,13627853.28,1215543.01,0.671,698499.56,2031841.74,1073706.98,889048.11,93.44,151.2,98.9,206.72,397577.49,57982.06,1.701,0.08,39.38,1
2012,MEDIUM,625262.5,400949.03,224325.91,0.055,1183932.44,1348207.94,592961.48,459965.31,133.95,105.42,169.21,102.6,1613483.9,395078.72,1.851,0.436,14.45,0
2012,AGRI_STARTUP,8705863.08,6975368.46,1730507.07,0.314,404381.51,247652.14,675337.98,1786651.82,135.04,150.93,89.59,146.28,2669927.83,367233.48,1.532,0.247,40.47,0
2012,MEDIUM,8461291.99,7496384.58,964919.87,0.213,1278040.42,2204159.52,984716.44,2794848.51,172.67,191.29,103.9,214.66,116530.38,1984692.07,1.011,0.023,29.84,1
2024,FPO,23709727.68,13527348.35,10182391.8,0.078,1787084.81,2291856.25,637098.82,3505695.98,119.29,166.78,89.64,210.21,522941.77,1319583.93,2.987,0.012,17.12,0
2025,LEASED,15125426.96,8221207.72,6904231.72,0.405,689575.92,1763556.63,798702.44,3227155.88,83.88,164.81,91.84,73.5,1369723.69,503139.41,3.016,0.386,2.9,1
2020,AGRI_STARTUP,11725017.26,10734812.68,990217.07,0.446,1708436.12,3402196.77,947586.32,2277371.38,77.79,68.91,108.11,214.12,1367513.97,436314.38,2.477,-0.186,66.04,1
2026,AGRI_STARTUP,24998586.24,18244793.28,6753805.46,0.231,1393447.17,715195.13,1109583.24,408862.91,111.05,118.07,80.71,74.13,2188210.32,890725.67,0.925,-0.02,62.83,0
2026,LEASED,828103.97,595892.04,232224.44,0.88,1619752.2,497538.75,526133.13,4403681.51,113.78,157.95,78.23,210.45,1949691.46,1795779.77,4.108,0.102,88.51,1
2024,FPO,4929652.77,3499289.98,1430375.31,0.753,678486.28,2108043.1,621664.1,282674.63,92.69,94.69,162.18,182.1,2278997.06,1296074.23,4.353,0.319,15.28,0
2017,AGRI_STARTUP,15550266.63,12771690.36,2778588.8,0.634,543454.16,214182.74,999187.89,2165073.67,83.6,107.38,171.28,184.41,2266620.44,1611254.16,3.801,0.409,38.05,0
2017,COOPERATIVE,1792034.27,1028412.34,763634.47,0.857,550212.77,2329311.09,221935.76,2959795.31,96.78,143.96,78.0,169.35,245542.7,866096.41,2.923,-0.08,60.67,1
2024,MEDIUM,20219513.79,15070418.69,5149107.65,0.24,1790816.79,1535054.54,578806.05,57922.3,147.49,107.41,132.89,64.56,1488568.2,1027210.29,3.605,0.069,95.07,0
2013,AGRI_STARTUP,16748382.76,10681035.85,6067359.47,0.078,1979436.7,1695692.77,1064105.27,2894641.23,137.16,138.64,107.68,95.17,1772368.55,181419.81,1.062,0.309,8.51,1
2020,AGRI_STARTUP,3744953.71,2586878.8,1158087.48,0.421,1209580.9,2450842.29,138553.69,695194.37,71.06,187.24,128.8,117.84,1474002.91,1246178.22,1.031,-0.177,11.3,0
2022,FPO,7522765.23,6150784.01,1371993.8,0.594,1379368.55,178280.64,595075.89,1419235.39,184.75,100.41,181.15,210.75,2947045.41,1475585.4,1.259,-0.129,65.47,0
2017,LARGE,5581581.63,2598957.55,2982636.67,0.786,258294.73,3113305.79,977799.42,2844787.47,95.14,115.7,186.04,183.75,1578548.24,207449.13,2.061,-0.014,72.64,0
2014,MEDIUM,10786014.82,5164431.1,5621596.32,0.207,964293.56,1265125.8,335437.06,4047339.3,81.34,209.04,176.02,129.31,2864761.82,879127.52,4.146,0.266,78.44,1
2015,COOPERATIVE,3406848.46,1646191.35,1760669.72,0.901,1565582.26,2363570.33,1129171.48,1029852.66,132.33,149.45,67.88,122.23,1895127.01,1173415.01,2.666,0.201,39.07,0
2021,MEDIUM,21829058.7,9904571.31,11924500.01,0.553,1780974.75,3245744.99,534518.59,4395150.74,180.13,188.79,114.99,73.25,1931010.89,904939.44,3.451,-0.215,47.89,1
2021,AGRI_STARTUP,1996391.63,1697998.65,298405.61,0.814,1660538.28,693071.41,39417.68,621887.42,139.25,189.72,121.5,124.0,871584.85,456136.18,1.605,0.416,64.62,1
2013,AGRI_STARTUP,20250905.79,10616826.15,9634092.28,0.891,749099.05,2239409.16,1023364.44,4078836.24,120.55,179.51,71.03,202.25,320505.67,1379212.39,1.753,-0.051,63.8,0
2021,AGRI_STARTUP,17560286.2,8327562.23,9232736.62,0.363,604761.03,1076042.53,109228.35,2621405.55,187.47,203.98,67.64,214.28,1160086.55,291689.48,4.442,0.276,21.96,0
2018,LARGE,6230432.06,4462401.38,1768043.34,0.629,5679.34,1564914.83,1150816.4,722369.88,108.62,89.05,101.65,171.04,2580909.63,1419213.43,0.771,0.345,8.21,0
2020,FPO,24888252.68,11668031.6,13220233.75,0.829,1438643.0,502641.9,403535.09,37431.98,128.55,144.06,146.41,111.76,1940899.48,236403.18,2.555,-0.246,67.13,0
2012,LEASED,19530938.58,9862323.23,9668628.03,0.787,159833.66,3357244.02,1157432.88,423574.44,154.87,110.91,103.6,74.83,1097545.48,1407644.44,0.791,-0.147,50.44,0
2019,LEASED,415837.41,297077.49,118772.61,0.623,1946057.55,2475943.99,144632.64,3833043.41,114.18,69.08,190.03,81.15,2521777.43,1864192.3,3.232,0.227,37.6,0
2022,FPO,2131496.07,1711547.63,419961.14,0.268,833570.6,1328271.01,1107494.64,3871472.16,182.37,69.81,146.31,185.38,1373249.78,550065.84,1.787,0.306,60.35,0
2014,SMALLHOLDER,22816839.69,19364500.18,3452352.22,0.172,1717926.61,1293683.63,819876.72,533374.72,103.29,102.89,63.96,111.78,1309060.64,1607756.34,1.329,0.34,88.2,0
2025,COOPERATIVE,4206579.21,3120927.33,1085664.6,0.309,1449129.46,2259035.37,700280.53,2282487.2,70.51,181.25,194.26,124.95,1339943.52,1463923.08,1.646,0.113,81.33,1
2020,LEASED,2801909.23,1514063.98,1287857.98,0.879,1204373.56,2873153.53,261724.5,1456733.44,110.13,162.56,76.35,211.22,976606.04,1046485.21,0.57,0.269,75.8,0
2020,AGRI_STARTUP,16675008.13,11216374.07,5458646.8,0.305,1663378.93,1437510.34,1126826.4,547855.13,77.27,68.4,93.18,115.53,437300.18,1259440.28,0.569,0.382,1.35,0
2019,MEDIUM,16916348.81,12856099.06,4060262.5,0.895,748199.77,1641443.41,19403.29,345282.8,146.27,88.24,193.88,74.53,2065279.42,100361.97,1.657,0.215,97.74,0
2017,SMALLHOLDER,15075772.93,9345392.12,5730393.57,0.25,958562.24,491590.87,101701.34,4179236.38,134.06,206.56,89.97,157.82,1044488.9,868442.41,0.857,-0.115,33.91,1
2014,LARGE,11298640.23,6268812.66,5029840.34,0.295,1793379.98,1097908.43,302929.1,3999353.86,179.57,66.2,152.74,127.35,1819962.24,869641.59,1.928,-0.235,56.6,1
2019,MEDIUM,23807443.45,11214468.25,12592987.98,0.139,392933.39,1903651.19,89144.79,2444922.0,150.57,87.06,172.94,73.98,1889814.39,1848326.1,1.011,0.446,51.55,1
2013,SMALLHOLDER,23776047.55,20444044.27,3332016.07,0.6,924063.12,1660779.5,1156523.59,4012225.41,165.51,151.69,112.13,172.2,866327.47,846969.73,2.668,0.195,48.94,0
2015,AGRI_STARTUP,1263635.31,839636.72,424011.39,0.754,1835314.77,1473244.54,13075.14,2523338.45,98.99,148.0,149.4,186.89,1877166.62,1312635.59,1.87,-0.056,69.93,1
2014,MEDIUM,979095.04,674361.76,304746.09,0.206,638269.91,1775583.65,571474.98,4253313.92,147.26,195.05,154.33,187.47,1030330.74,977801.79,4.018,0.328,63.86,1
2018,LEASED,1093378.8,707149.81,386241.81,0.136,1464238.54,876161.14,662782.21,1361749.99,105.57,172.8,131.59,96.24,601435.59,1393177.67,3.563,-0.135,94.2,0
2015,MEDIUM,5170086.17,3396712.36,1773386.64,0.91,932734.37,1292400.17,375366.17,1357074.36,103.32,120.01,61.61,90.89,44828.97,1651802.49,1.725,-0.035,8.1,1
2016,MEDIUM,13103384.57,7201947.26,5901450.15,0.733,1194203.4,890375.11,1109775.54,297400.19,119.47,195.61,198.85,79.0,842896.81,483810.89,1.857,0.049,71.12,1
2017,AGRI_STARTUP,20180333.58,14519156.81,5661189.62,0.772,20113.87,657075.55,121384.92,4496079.66,155.32,118.82,159.35,178.89,26596.5,355804.91,2.312,0.366,96.58,0
2020,COOPERATIVE,11350305.11,8743165.73,2607152.24,0.349,593458.89,2493319.49,79907.02,4976005.96,188.75,119.15,130.45,110.68,2761850.32,1714738.56,3.564,0.095,68.39,0
2026,LEASED,7026440.82,5018477.94,2007975.75,0.9,1484526.68,3381301.08,805835.42,435269.88,128.94,173.27,109.66,125.43,1765394.61,855782.99,2.159,0.388,27.14,0
2015,SMALLHOLDER,7466354.31,5711033.02,1755334.17,0.716,572017.04,3490813.13,539584.73,55246.17,126.65,65.0,145.77,166.53,1714807.73,1655585.64,3.095,-0.059,10.04,0
