demo_nativity_estimate_year,demo_nativity_country_iso2,demo_nativity_region_nuts_code,demo_nativity_nativity_category,demo_nativity_country_of_birth_iso2,demo_nativity_year_of_arrival,demo_nativity_citizenship_class,demo_nativity_second_citizenship_iso2,demo_nativity_language_main_home,demo_nativity_language_secondary_home,demo_nativity_language_proficiency_level,demo_nativity_education_level_isc,demo_nativity_employment_status,demo_nativity_refugee_or_protection_flag,demo_nativity_family_reunification_flag,demo_nativity_remittance_sending_flag,demo_nativity_translation_need_indicator,demo_nativity_integration_policy_index_score,demo_nativity_eurostat_table_code,demo_nativity_cultural_linguistic_diversity_index
2023,EE,SK47,SECOND_GEN,DE,2008,NATIONAL,,RO,SK,B2,ISCED0_2,EMPLOYED,0,0,0,0,75.75,ilc_lvps08,0.2046
2024,HU,ES27,NATIVE_BORN,HU,,EU,,SL,LT,A2,ISCED7_8,UNEMPLOYED,0,0,0,0,42.22,migr_imm8,0.1602
2025,LU,CZ196,FOREIGN_BORN,CZ,2010,NON_EU,,HR,EL,NATIVE,ISCED5_6,STUDENT,0,0,0,0,33.74,migr_pop1ctz,0.8525
2026,RO,RO475,SECOND_GEN,LT,2011,DUAL,,NL,HR,C1,ISCED3_4,INACTIVE,0,0,0,0,27.3,migr_pop3ctb,0.6124
2018,AT,HR354,NATIVE_BORN,AT,,NATIONAL,,CY,GA,B1,ISCED0_2,EMPLOYED,0,0,0,0,32.97,edat_lfse_03,0.891
2019,CZ,FR2,FOREIGN_BORN,GR,2013,EU,,DA,PT,A1,ISCED7_8,UNEMPLOYED,0,0,0,1,85.24,ilc_lvps08,0.263
2020,DE,IE836,SECOND_GEN,RO,2014,NON_EU,,SV,PL,C2,ISCED5_6,STUDENT,0,0,0,0,63.92,migr_imm8,0.0813
2021,LV,SI291,NATIVE_BORN,LV,,DUAL,SE,EN,GA,B2,ISCED3_4,INACTIVE,0,0,0,0,57.92,migr_pop1ctz,0.1032
2022,PL,NL796,FOREIGN_BORN,LU,2016,NATIONAL,,ET,MT,A2,ISCED0_2,EMPLOYED,0,0,0,0,38.11,migr_pop3ctb,0.4896
2023,ES,HR441,SECOND_GEN,BE,2017,EU,,FI,IT,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,87.85,edat_lfse_03,0.0811
2024,HR,LV928,NATIVE_BORN,HR,,NON_EU,,DE,,C1,ISCED5_6,STUDENT,0,0,0,0,48.5,ilc_lvps08,0.8312
2025,FI,LT867,FOREIGN_BORN,SK,2019,DUAL,GR,LV,GA,B1,ISCED3_4,INACTIVE,0,1,0,0,33.81,migr_imm8,0.6428
2026,IE,FR379,SECOND_GEN,EE,2020,NATIONAL,,EL,SL,A1,ISCED0_2,EMPLOYED,0,0,0,1,89.89,migr_pop1ctz,0.0986
2018,MT,SI883,NATIVE_BORN,MT,,EU,,FR,CY,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,40.68,migr_pop3ctb,0.4973
2019,SK,SI439,FOREIGN_BORN,BG,2022,NON_EU,,LT,PT,B2,ISCED5_6,STUDENT,0,1,0,0,77.22,edat_lfse_03,0.4125
2020,BE,LU598,SECOND_GEN,IE,2023,DUAL,,HU,GA,A2,ISCED3_4,INACTIVE,0,0,0,0,65.87,ilc_lvps08,0.5319
2021,DK,PL323,NATIVE_BORN,DK,,NATIONAL,,ES,SK,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,36.12,migr_imm8,0.2209
2022,GR,BG268,FOREIGN_BORN,FI,2025,EU,,GA,MT,C1,ISCED7_8,UNEMPLOYED,0,1,1,0,61.14,migr_pop1ctz,0.6009
2023,LT,BG963,SECOND_GEN,NL,2026,NON_EU,,CS,,B1,ISCED5_6,STUDENT,0,0,0,0,49.91,migr_pop3ctb,0.2665
2024,PT,ES600,NATIVE_BORN,PT,,DUAL,BG,IT,EN,A1,ISCED3_4,INACTIVE,0,0,0,0,82.54,edat_lfse_03,0.7042
2025,SE,CZ515,FOREIGN_BORN,IT,1981,NATIONAL,,MT,DE,C2,ISCED0_2,EMPLOYED,0,0,0,0,28.71,ilc_lvps08,0.4631
2026,CY,DK812,SECOND_GEN,ES,1982,EU,,PT,BG,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,84.77,migr_imm8,0.5413
2018,FR,EE711,NATIVE_BORN,FR,,NON_EU,,PL,,A2,ISCED5_6,STUDENT,0,0,0,0,80.38,migr_pop1ctz,0.8934
2019,IT,NL375,FOREIGN_BORN,PL,1984,DUAL,EE,SK,,NATIVE,ISCED3_4,INACTIVE,0,0,1,0,34.78,migr_pop3ctb,0.71
2020,NL,SK756,SECOND_GEN,CY,1985,NATIONAL,,BG,FR,C1,ISCED0_2,EMPLOYED,0,0,0,0,75.1,edat_lfse_03,0.6624
2021,SI,DK998,NATIVE_BORN,SI,,EU,,RO,CS,B1,ISCED7_8,UNEMPLOYED,0,0,0,0,36.91,ilc_lvps08,0.1506
2022,BG,BG905,FOREIGN_BORN,SE,1987,NON_EU,,SL,PL,A1,ISCED5_6,STUDENT,0,0,0,1,26.44,migr_imm8,0.4317
2023,EE,MT204,SECOND_GEN,DE,1988,DUAL,,HR,ES,C2,ISCED3_4,INACTIVE,0,0,0,0,52.38,migr_pop1ctz,0.8285
2024,HU,LU341,NATIVE_BORN,HU,,NATIONAL,,NL,,B2,ISCED0_2,EMPLOYED,0,0,0,0,34.32,migr_pop3ctb,0.3054
2025,LU,SK403,FOREIGN_BORN,CZ,1990,EU,,CY,,A2,ISCED7_8,UNEMPLOYED,1,0,1,1,29.64,edat_lfse_03,0.092
2026,RO,CZ858,SECOND_GEN,LT,1991,NON_EU,,DA,FI,NATIVE,ISCED5_6,STUDENT,0,0,0,0,46.55,ilc_lvps08,0.905
2018,AT,BG591,NATIVE_BORN,AT,,DUAL,,SV,,C1,ISCED3_4,INACTIVE,0,0,0,0,63.37,migr_imm8,0.7309
2019,CZ,PL1,FOREIGN_BORN,GR,1993,NATIONAL,,EN,SV,B1,ISCED0_2,EMPLOYED,0,1,1,0,79.56,migr_pop1ctz,0.3494
2020,DE,BG4,SECOND_GEN,RO,1994,EU,,ET,EN,A1,ISCED7_8,UNEMPLOYED,0,0,0,0,39.59,migr_pop3ctb,0.5104
2021,LV,RO64,NATIVE_BORN,LV,,NON_EU,,FI,DA,C2,ISCED5_6,STUDENT,0,0,0,0,80.07,edat_lfse_03,0.7736
2022,PL,FI8,FOREIGN_BORN,LU,1996,DUAL,,DE,,B2,ISCED3_4,INACTIVE,0,0,0,0,90.31,ilc_lvps08,0.4455
2023,ES,BE441,SECOND_GEN,BE,1997,NATIONAL,,LV,,A2,ISCED0_2,EMPLOYED,0,0,0,0,79.93,migr_imm8,0.2333
2024,HR,RO292,NATIVE_BORN,HR,,EU,,EL,IT,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,48.72,migr_pop1ctz,0.7468
2025,FI,SE6,FOREIGN_BORN,SK,1999,NON_EU,,FR,ES,C1,ISCED5_6,STUDENT,0,0,0,0,82.21,migr_pop3ctb,0.6605
2026,IE,CY9,SECOND_GEN,EE,2000,DUAL,,LT,CY,B1,ISCED3_4,INACTIVE,0,0,0,0,91.75,edat_lfse_03,0.2877
2018,MT,HR3,NATIVE_BORN,MT,,NATIONAL,,HU,NL,A1,ISCED0_2,EMPLOYED,0,0,0,0,82.69,ilc_lvps08,0.8376
2019,SK,SI61,FOREIGN_BORN,BG,2002,EU,,ES,ES,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,83.58,migr_imm8,0.5205
2020,BE,SE993,SECOND_GEN,IE,2003,NON_EU,,GA,,B2,ISCED5_6,STUDENT,0,0,0,0,76.6,migr_pop1ctz,0.7288
2021,DK,GR40,NATIVE_BORN,DK,,DUAL,,CS,PL,A2,ISCED3_4,INACTIVE,0,0,0,0,84.44,migr_pop3ctb,0.1089
2022,GR,PT92,FOREIGN_BORN,FI,2005,NATIONAL,,IT,,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,25.3,edat_lfse_03,0.6708
2023,LT,IT4,SECOND_GEN,NL,2006,EU,,MT,,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,77.75,ilc_lvps08,0.703
2024,PT,RO131,NATIVE_BORN,PT,,NON_EU,,PT,CS,B1,ISCED5_6,STUDENT,0,0,0,0,56.6,migr_imm8,0.8963
2025,SE,EE73,FOREIGN_BORN,IT,2008,DUAL,NL,PL,DA,A1,ISCED3_4,INACTIVE,1,0,0,1,78.53,migr_pop1ctz,0.6996
2026,CY,EE4,SECOND_GEN,ES,2009,NATIONAL,,SK,SK,C2,ISCED0_2,EMPLOYED,0,0,0,0,81.22,migr_pop3ctb,0.5394
2018,FR,BE901,NATIVE_BORN,FR,,EU,,BG,BG,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,45.9,edat_lfse_03,0.0766
2019,IT,FI56,FOREIGN_BORN,PL,2011,NON_EU,,RO,FI,A2,ISCED5_6,STUDENT,0,0,0,1,47.4,ilc_lvps08,0.3126
2020,NL,BE8,SECOND_GEN,CY,2012,DUAL,HU,SL,IT,NATIVE,ISCED3_4,INACTIVE,0,0,0,0,35.12,migr_imm8,0.2856
2021,SI,HU4,NATIVE_BORN,SI,,NATIONAL,,HR,CS,C1,ISCED0_2,EMPLOYED,0,0,0,0,40.59,migr_pop1ctz,0.779
2022,BG,HU5,FOREIGN_BORN,SE,2014,EU,,NL,ES,B1,ISCED7_8,UNEMPLOYED,0,0,0,1,66.31,migr_pop3ctb,0.683
2023,EE,BG6,SECOND_GEN,DE,2015,NON_EU,,CY,PL,A1,ISCED5_6,STUDENT,0,0,0,1,41.85,edat_lfse_03,0.0968
2024,HU,CY21,NATIVE_BORN,HU,,DUAL,,DA,,C2,ISCED3_4,INACTIVE,0,0,0,0,79.46,ilc_lvps08,0.5112
2025,LU,FI2,FOREIGN_BORN,CZ,2017,NATIONAL,,SV,ES,B2,ISCED0_2,EMPLOYED,0,0,1,0,76.4,migr_imm8,0.5357
2026,RO,LU2,SECOND_GEN,LT,2018,EU,,EN,,A2,ISCED7_8,UNEMPLOYED,0,0,0,0,79.94,migr_pop1ctz,0.9278
2018,AT,FR15,NATIVE_BORN,AT,,NON_EU,,ET,,NATIVE,ISCED5_6,STUDENT,0,0,0,0,38.78,migr_pop3ctb,0.6128
2019,CZ,IE3,FOREIGN_BORN,GR,2020,DUAL,,FI,EL,C1,ISCED3_4,INACTIVE,0,0,0,0,91.2,edat_lfse_03,0.5769
2020,DE,GR43,SECOND_GEN,RO,2021,NATIONAL,,DE,LT,B1,ISCED0_2,EMPLOYED,0,0,0,0,51.7,ilc_lvps08,0.478
2021,LV,DE2,NATIVE_BORN,LV,,EU,,LV,LT,A1,ISCED7_8,UNEMPLOYED,0,0,0,0,29.05,migr_imm8,0.1428
2022,PL,MT5,FOREIGN_BORN,LU,2023,NON_EU,,EL,BG,C2,ISCED5_6,STUDENT,0,0,1,0,61.14,migr_pop1ctz,0.7482
2023,ES,PT5,SECOND_GEN,BE,2024,DUAL,LU,FR,BG,B2,ISCED3_4,INACTIVE,0,0,0,0,41.2,migr_pop3ctb,0.8222
2024,HR,NL568,NATIVE_BORN,HR,,NATIONAL,,LT,,A2,ISCED0_2,EMPLOYED,0,0,0,0,63.3,edat_lfse_03,0.87
2025,FI,IT487,FOREIGN_BORN,SK,2026,EU,,HU,ET,NATIVE,ISCED7_8,UNEMPLOYED,0,0,1,0,51.43,ilc_lvps08,0.9219
2026,IE,CY1,SECOND_GEN,EE,1980,NON_EU,,ES,DA,C1,ISCED5_6,STUDENT,0,0,0,0,83.88,migr_imm8,0.4418
2018,MT,EE9,NATIVE_BORN,MT,,DUAL,PT,GA,LT,B1,ISCED3_4,INACTIVE,0,0,0,0,56.74,migr_pop1ctz,0.1338
2019,SK,SE968,FOREIGN_BORN,BG,1982,NATIONAL,,CS,SK,A1,ISCED0_2,EMPLOYED,0,0,0,1,69.32,migr_pop3ctb,0.4938
2020,BE,IT5,SECOND_GEN,IE,1983,EU,,IT,SL,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,82.36,edat_lfse_03,0.3868
2021,DK,RO4,NATIVE_BORN,DK,,NON_EU,,MT,GA,B2,ISCED5_6,STUDENT,0,0,0,0,79.18,ilc_lvps08,0.191
2022,GR,RO7,FOREIGN_BORN,FI,1985,DUAL,BE,PT,SK,A2,ISCED3_4,INACTIVE,0,0,0,0,64.92,migr_imm8,0.5486
2023,LT,LV5,SECOND_GEN,NL,1986,NATIONAL,,PL,NL,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,46.0,migr_pop1ctz,0.6931
2024,PT,MT116,NATIVE_BORN,PT,,EU,,SK,ET,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,36.81,migr_pop3ctb,0.1421
2025,SE,FI51,FOREIGN_BORN,IT,1988,NON_EU,,BG,PT,B1,ISCED5_6,STUDENT,0,1,0,0,86.91,edat_lfse_03,0.9319
2026,CY,DK3,SECOND_GEN,ES,1989,DUAL,BG,RO,GA,A1,ISCED3_4,INACTIVE,0,0,0,1,66.25,ilc_lvps08,0.1847
2018,FR,HR149,NATIVE_BORN,FR,,NATIONAL,,SL,DE,C2,ISCED0_2,EMPLOYED,0,0,0,0,78.93,migr_imm8,0.224
2019,IT,GR751,FOREIGN_BORN,PL,1991,EU,,HR,PL,B2,ISCED7_8,UNEMPLOYED,1,0,0,0,76.46,migr_pop1ctz,0.1862
2020,NL,CZ949,SECOND_GEN,CY,1992,NON_EU,,NL,,A2,ISCED5_6,STUDENT,0,0,0,0,43.66,migr_pop3ctb,0.8881
2021,SI,LV37,NATIVE_BORN,SI,,DUAL,MT,CY,PT,NATIVE,ISCED3_4,INACTIVE,0,0,0,0,56.53,edat_lfse_03,0.3782
2022,BG,EE778,FOREIGN_BORN,SE,1994,NATIONAL,,DA,PT,C1,ISCED0_2,EMPLOYED,0,0,0,0,48.89,ilc_lvps08,0.4415
2023,EE,RO5,SECOND_GEN,DE,1995,EU,,SV,HU,B1,ISCED7_8,UNEMPLOYED,0,0,0,1,67.37,migr_imm8,0.9011
2024,HU,SK6,NATIVE_BORN,HU,,NON_EU,,EN,PT,A1,ISCED5_6,STUDENT,0,0,0,0,84.65,migr_pop1ctz,0.5125
2025,LU,FR6,FOREIGN_BORN,CZ,1997,DUAL,,ET,EN,C2,ISCED3_4,INACTIVE,1,0,0,0,70.99,migr_pop3ctb,0.3613
2026,RO,HR5,SECOND_GEN,LT,1998,NATIONAL,,FI,,B2,ISCED0_2,EMPLOYED,0,0,0,0,75.22,edat_lfse_03,0.2768
2018,AT,PL122,NATIVE_BORN,AT,,EU,,DE,SL,A2,ISCED7_8,UNEMPLOYED,0,0,0,0,43.64,ilc_lvps08,0.6144
2019,CZ,IT59,FOREIGN_BORN,GR,2000,NON_EU,,LV,DA,NATIVE,ISCED5_6,STUDENT,0,0,0,0,25.65,migr_imm8,0.6381
2020,DE,PT3,SECOND_GEN,RO,2001,DUAL,RO,EL,,C1,ISCED3_4,INACTIVE,0,0,0,0,48.58,migr_pop1ctz,0.6381
2021,LV,RO81,NATIVE_BORN,LV,,NATIONAL,,FR,,B1,ISCED0_2,EMPLOYED,0,0,0,0,36.2,migr_pop3ctb,0.5527
2022,PL,LT871,FOREIGN_BORN,LU,2003,EU,,LT,IT,A1,ISCED7_8,UNEMPLOYED,0,1,0,1,56.59,edat_lfse_03,0.083
2023,ES,LT842,SECOND_GEN,BE,2004,NON_EU,,HU,,C2,ISCED5_6,STUDENT,0,0,0,0,60.18,ilc_lvps08,0.1181
2024,HR,IE846,NATIVE_BORN,HR,,DUAL,HR,ES,DA,B2,ISCED3_4,INACTIVE,0,0,0,0,79.26,migr_imm8,0.7787
2025,FI,PT860,FOREIGN_BORN,SK,2006,NATIONAL,,GA,LV,A2,ISCED0_2,EMPLOYED,0,0,0,0,37.79,migr_pop1ctz,0.6147
2026,IE,RO20,SECOND_GEN,EE,2007,EU,,CS,HR,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,71.58,migr_pop3ctb,0.12
2018,MT,SE8,NATIVE_BORN,MT,,NON_EU,,IT,FI,C1,ISCED5_6,STUDENT,0,0,0,0,28.71,edat_lfse_03,0.2463
2019,SK,DK921,FOREIGN_BORN,BG,2009,DUAL,SI,MT,,B1,ISCED3_4,INACTIVE,0,0,0,1,83.2,ilc_lvps08,0.7118
2020,BE,LU775,SECOND_GEN,IE,2010,NATIONAL,,PT,LV,A1,ISCED0_2,EMPLOYED,0,0,0,1,32.63,migr_imm8,0.6367
2021,DK,PT370,NATIVE_BORN,DK,,EU,,PL,,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,40.62,migr_pop1ctz,0.2229
2022,GR,ES69,FOREIGN_BORN,FI,2012,NON_EU,,SK,,B2,ISCED5_6,STUDENT,0,1,0,0,34.41,migr_pop3ctb,0.8072
2023,LT,IE2,SECOND_GEN,NL,2013,DUAL,,BG,,A2,ISCED3_4,INACTIVE,0,0,0,1,82.55,edat_lfse_03,0.7054
2024,PT,EE792,NATIVE_BORN,PT,,NATIONAL,,RO,SL,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,73.24,ilc_lvps08,0.2699
2025,SE,IT574,FOREIGN_BORN,IT,2015,EU,,SL,SL,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,39.07,migr_imm8,0.6616
2026,CY,RO84,SECOND_GEN,ES,2016,NON_EU,,HR,MT,B1,ISCED5_6,STUDENT,0,0,0,0,46.87,migr_pop1ctz,0.5219
2018,FR,FI1,NATIVE_BORN,FR,,DUAL,,NL,PL,A1,ISCED3_4,INACTIVE,0,0,0,0,66.04,migr_pop3ctb,0.7981
2019,IT,PL147,FOREIGN_BORN,PL,2018,NATIONAL,,CY,DA,C2,ISCED0_2,EMPLOYED,0,0,0,0,29.54,edat_lfse_03,0.9087
2020,NL,GR942,SECOND_GEN,CY,2019,EU,,DA,EL,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,88.3,ilc_lvps08,0.3509
2021,SI,BG14,NATIVE_BORN,SI,,NON_EU,,SV,PT,A2,ISCED5_6,STUDENT,0,0,0,0,57.71,migr_imm8,0.413
2022,BG,RO71,FOREIGN_BORN,SE,2021,DUAL,,EN,PL,NATIVE,ISCED3_4,INACTIVE,0,1,0,0,51.23,migr_pop1ctz,0.4669
2023,EE,SK361,SECOND_GEN,DE,2022,NATIONAL,,ET,DA,C1,ISCED0_2,EMPLOYED,0,0,0,0,57.08,migr_pop3ctb,0.3144
2024,HU,HR685,NATIVE_BORN,HU,,EU,,FI,,B1,ISCED7_8,UNEMPLOYED,0,0,0,0,86.17,edat_lfse_03,0.0904
2025,LU,BG493,FOREIGN_BORN,CZ,2024,NON_EU,,DE,MT,A1,ISCED5_6,STUDENT,0,0,1,1,44.53,ilc_lvps08,0.6165
2026,RO,AT49,SECOND_GEN,LT,2025,DUAL,DK,LV,,C2,ISCED3_4,INACTIVE,0,0,0,0,69.13,migr_imm8,0.4897
2018,AT,IT99,NATIVE_BORN,AT,,NATIONAL,,EL,NL,B2,ISCED0_2,EMPLOYED,0,0,0,0,59.19,migr_pop1ctz,0.8868
2019,CZ,LV71,FOREIGN_BORN,GR,1980,EU,,FR,DE,A2,ISCED7_8,UNEMPLOYED,0,0,1,1,82.68,migr_pop3ctb,0.8748
2020,DE,NL578,SECOND_GEN,RO,1981,NON_EU,,LT,LV,NATIVE,ISCED5_6,STUDENT,0,0,0,0,85.05,edat_lfse_03,0.7136
2021,LV,DE76,NATIVE_BORN,LV,,DUAL,IT,HU,,C1,ISCED3_4,INACTIVE,0,0,0,0,47.23,ilc_lvps08,0.5716
2022,PL,IE6,FOREIGN_BORN,LU,1983,NATIONAL,,ES,BG,B1,ISCED0_2,EMPLOYED,0,1,1,1,74.82,migr_imm8,0.9302
2023,ES,GR704,SECOND_GEN,BE,1984,EU,,GA,PL,A1,ISCED7_8,UNEMPLOYED,0,0,0,0,37.2,migr_pop1ctz,0.3358
2024,HR,MT7,NATIVE_BORN,HR,,NON_EU,,CS,FI,C2,ISCED5_6,STUDENT,0,0,0,0,29.81,migr_pop3ctb,0.5575
2025,FI,AT3,FOREIGN_BORN,SK,1986,DUAL,,IT,,B2,ISCED3_4,INACTIVE,0,0,0,0,59.05,edat_lfse_03,0.6046
2026,IE,DE6,SECOND_GEN,EE,1987,NATIONAL,,MT,FR,A2,ISCED0_2,EMPLOYED,0,0,0,0,54.04,ilc_lvps08,0.0772
2018,MT,IT779,NATIVE_BORN,MT,,EU,,PT,LT,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,78.25,migr_imm8,0.1218
2019,SK,HU103,FOREIGN_BORN,BG,1989,NON_EU,,PL,EL,C1,ISCED5_6,STUDENT,0,0,0,0,30.94,migr_pop1ctz,0.4199
2020,BE,SK32,SECOND_GEN,IE,1990,DUAL,,SK,MT,B1,ISCED3_4,INACTIVE,0,0,0,0,48.47,migr_pop3ctb,0.7658
2021,DK,AT25,NATIVE_BORN,DK,,NATIONAL,,BG,LV,A1,ISCED0_2,EMPLOYED,0,0,0,0,89.68,edat_lfse_03,0.9299
2022,GR,MT91,FOREIGN_BORN,FI,1992,EU,,RO,,C2,ISCED7_8,UNEMPLOYED,1,0,1,0,83.44,ilc_lvps08,0.0584
2023,LT,NL2,SECOND_GEN,NL,1993,NON_EU,,SL,,B2,ISCED5_6,STUDENT,0,0,0,0,58.29,migr_imm8,0.3073
2024,PT,BG84,NATIVE_BORN,PT,,DUAL,,HR,RO,A2,ISCED3_4,INACTIVE,0,0,0,0,27.79,migr_pop1ctz,0.5358
2025,SE,NL967,FOREIGN_BORN,IT,1995,NATIONAL,,NL,HR,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,40.57,migr_pop3ctb,0.3687
2026,CY,BE25,SECOND_GEN,ES,1996,EU,,CY,NL,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,64.51,edat_lfse_03,0.0737
2018,FR,FR75,NATIVE_BORN,FR,,NON_EU,,DA,MT,B1,ISCED5_6,STUDENT,0,0,0,0,36.29,ilc_lvps08,0.4593
2019,IT,SK351,FOREIGN_BORN,PL,1998,DUAL,,SV,EL,A1,ISCED3_4,INACTIVE,0,0,0,1,73.74,migr_imm8,0.584
2020,NL,PT916,SECOND_GEN,CY,1999,NATIONAL,,EN,,C2,ISCED0_2,EMPLOYED,0,0,0,0,83.37,migr_pop1ctz,0.8082
2021,SI,CY2,NATIVE_BORN,SI,,EU,,ET,PL,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,57.22,migr_pop3ctb,0.3356
2022,BG,CY3,FOREIGN_BORN,SE,2001,NON_EU,,FI,BG,A2,ISCED5_6,STUDENT,0,0,0,0,86.02,edat_lfse_03,0.2296
2023,EE,LU5,SECOND_GEN,DE,2002,DUAL,LT,DE,ES,NATIVE,ISCED3_4,INACTIVE,0,0,0,0,87.64,ilc_lvps08,0.471
2024,HU,ES340,NATIVE_BORN,HU,,NATIONAL,,LV,FR,C1,ISCED0_2,EMPLOYED,0,0,0,0,37.92,migr_imm8,0.9357
2025,LU,IT361,FOREIGN_BORN,CZ,2004,EU,,EL,EL,B1,ISCED7_8,UNEMPLOYED,0,0,0,1,49.05,migr_pop1ctz,0.3183
2026,RO,BG40,SECOND_GEN,LT,2005,NON_EU,,FR,EN,A1,ISCED5_6,STUDENT,0,0,0,1,55.39,migr_pop3ctb,0.629
2018,AT,AT1,NATIVE_BORN,AT,,DUAL,,LT,FR,C2,ISCED3_4,INACTIVE,0,0,0,0,75.3,edat_lfse_03,0.8915
2019,CZ,IE811,FOREIGN_BORN,GR,2007,NATIONAL,,HU,GA,B2,ISCED0_2,EMPLOYED,0,0,0,0,51.46,ilc_lvps08,0.3289
2020,DE,LU980,SECOND_GEN,RO,2008,EU,,ES,EN,A2,ISCED7_8,UNEMPLOYED,0,0,0,1,55.67,migr_imm8,0.5621
2021,LV,EE295,NATIVE_BORN,LV,,NON_EU,,GA,FI,NATIVE,ISCED5_6,STUDENT,0,0,0,0,39.78,migr_pop1ctz,0.8435
2022,PL,BE58,FOREIGN_BORN,LU,2010,DUAL,,CS,LT,C1,ISCED3_4,INACTIVE,0,1,0,0,54.13,migr_pop3ctb,0.3569
2023,ES,FI6,SECOND_GEN,BE,2011,NATIONAL,,IT,,B1,ISCED0_2,EMPLOYED,0,0,0,1,80.44,edat_lfse_03,0.0587
2024,HR,FI7,NATIVE_BORN,HR,,EU,,MT,EN,A1,ISCED7_8,UNEMPLOYED,0,0,0,0,26.71,ilc_lvps08,0.5336
2025,FI,NL50,FOREIGN_BORN,SK,2013,NON_EU,,PT,HU,C2,ISCED5_6,STUDENT,0,0,1,0,34.11,migr_imm8,0.0699
2026,IE,GR19,SECOND_GEN,EE,2014,DUAL,,PL,,B2,ISCED3_4,INACTIVE,0,0,0,0,43.66,migr_pop1ctz,0.8606
2018,MT,AT378,NATIVE_BORN,MT,,NATIONAL,,SK,,A2,ISCED0_2,EMPLOYED,0,0,0,0,35.49,migr_pop3ctb,0.8943
2019,SK,CY8,FOREIGN_BORN,BG,2016,EU,,BG,DA,NATIVE,ISCED7_8,UNEMPLOYED,0,1,1,0,52.03,edat_lfse_03,0.174
2020,BE,RO358,SECOND_GEN,IE,2017,NON_EU,,RO,ET,C1,ISCED5_6,STUDENT,0,0,0,0,66.23,ilc_lvps08,0.1767
2021,DK,HU886,NATIVE_BORN,DK,,DUAL,,SL,,B1,ISCED3_4,INACTIVE,0,0,0,0,46.25,migr_imm8,0.7174
2022,GR,PL326,FOREIGN_BORN,FI,2019,NATIONAL,,HR,BG,A1,ISCED0_2,EMPLOYED,0,1,0,1,65.6,migr_pop1ctz,0.2991
2023,LT,DK942,SECOND_GEN,NL,2020,EU,,NL,NL,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,31.63,migr_pop3ctb,0.1633
2024,PT,BE539,NATIVE_BORN,PT,,NON_EU,,CY,,B2,ISCED5_6,STUDENT,0,0,0,0,84.13,edat_lfse_03,0.1712
2025,SE,BG127,FOREIGN_BORN,IT,2022,DUAL,IE,DA,DA,A2,ISCED3_4,INACTIVE,0,0,1,0,89.59,ilc_lvps08,0.4732
2026,CY,HR83,SECOND_GEN,ES,2023,NATIONAL,,SV,PT,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,34.11,migr_imm8,0.5188
2018,FR,HU833,NATIVE_BORN,FR,,EU,,EN,BG,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,63.78,migr_pop1ctz,0.4954
2019,IT,BE19,FOREIGN_BORN,PL,2025,NON_EU,,ET,,B1,ISCED5_6,STUDENT,0,1,0,1,42.77,migr_pop3ctb,0.4119
2020,NL,SE221,SECOND_GEN,CY,2026,DUAL,HR,FI,DE,A1,ISCED3_4,INACTIVE,0,0,0,1,57.02,edat_lfse_03,0.3
2021,SI,BE3,NATIVE_BORN,SI,,NATIONAL,,DE,DE,C2,ISCED0_2,EMPLOYED,0,0,0,0,39.77,ilc_lvps08,0.1185
2022,BG,LT979,FOREIGN_BORN,SE,1981,EU,,LV,GA,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,48.96,migr_imm8,0.2222
2023,EE,PL723,SECOND_GEN,DE,1982,NON_EU,,EL,SL,A2,ISCED5_6,STUDENT,0,0,0,1,91.33,migr_pop1ctz,0.7141
2024,HU,SI802,NATIVE_BORN,HU,,DUAL,HR,FR,,NATIVE,ISCED3_4,INACTIVE,0,0,0,0,26.27,migr_pop3ctb,0.5596
2025,LU,PT597,FOREIGN_BORN,CZ,1984,NATIONAL,,LT,DA,C1,ISCED0_2,EMPLOYED,0,1,0,0,73.86,edat_lfse_03,0.6539
