civic_district_plan_id,civic_district_plan_effective_year,civic_district_district_number,civic_district_district_type_code,civic_district_population_total_ideal,civic_district_population_deviation_pct,civic_district_voting_age_population,civic_district_citizen_vap,civic_district_minority_vap_share_pct,civic_district_compactness_polsby_popper,civic_district_compactness_reock,civic_district_contiguity_flag,civic_district_split_count_county,civic_district_split_count_tract,civic_district_incumbent_residence_flag,civic_district_communities_of_interest_index,civic_district_partisan_lean_metric,civic_district_election_competitiveness_score,civic_district_public_comment_count,civic_district_litigation_risk_flag
PLAN000000986,1998,18,SCHOOL,135189,-0.033,93899,88869,45.13,0.1165,0.5952,1,20,31,0,0.3725,-25.529,21.13,19124,0
PLAN000000987,2004,34,CONGRESSIONAL,549316,-7.131,408448,355542,18.17,0.4197,0.0559,1,14,40,0,0.4696,-19.655,0.94,9474,1
PLAN000000988,2011,37,SCHOOL,332733,0.346,252952,228180,10.11,0.7909,0.5411,0,9,48,0,0.1708,16.409,62.37,17069,0
PLAN000000989,2004,15,CONGRESSIONAL,866474,7.762,667757,533318,12.4,0.3774,0.565,1,8,31,0,0.8522,16.886,15.97,15187,0
PLAN000000990,2003,36,JUDICIAL,252430,-6.977,174223,162614,89.95,0.7028,0.4642,1,0,11,0,0.4716,4.358,4.22,3734,0
PLAN000000991,2004,28,STATE_HOUSE,436895,7.402,355680,310719,40.98,0.5549,0.7623,1,3,45,0,0.259,36.773,38.87,22867,0
PLAN000000992,2006,27,STATE_SENATE,911492,-1.734,735071,598310,61.83,0.1538,0.7673,1,19,71,0,0.3588,36.283,90.11,7451,1
PLAN000000993,2012,9,CONGRESSIONAL,870158,-2.678,652952,553762,34.04,0.3998,0.473,1,13,21,0,0.77,29.374,65.22,21231,0
PLAN000000994,1996,21,STATE_HOUSE,446861,-3.045,307946,290787,68.12,0.7786,0.7708,1,14,31,0,0.9488,32.967,85.8,7578,0
PLAN000000995,2004,14,JUDICIAL,605760,-5.753,483386,400093,62.99,0.605,0.3177,1,8,43,0,0.3633,34.468,63.37,21828,0
PLAN000000996,2022,8,STATE_HOUSE,282012,-2.193,194333,161932,67.96,0.1742,0.7573,1,12,3,0,0.8934,-30.543,32.73,17670,0
PLAN000000997,1996,28,SCHOOL,646003,-2.575,445176,397543,38.36,0.3054,0.0262,1,5,67,0,0.1991,1.514,1.65,24275,0
PLAN000000998,2001,5,JUDICIAL,447274,-2.61,331660,293526,19.12,0.0465,0.4502,1,18,31,0,0.7972,-9.68,84.65,20610,0
PLAN000000999,2018,20,STATE_SENATE,128575,6.608,98950,87364,76.76,0.3282,0.2176,1,18,0,0,0.595,-15.405,96.75,4691,0
PLAN000001000,1996,49,CITY,32281,-1.16,23915,20891,72.04,0.3915,0.2436,1,0,6,0,0.1511,31.391,14.29,9181,1
PLAN000001001,1995,35,SCHOOL,840054,-7.254,652064,577476,91.73,0.7678,0.3503,1,13,80,0,0.1551,-30.977,4.12,18628,0
PLAN000001002,2021,44,CONGRESSIONAL,769715,-3.423,556448,494351,75.35,0.3577,0.7717,1,1,67,0,0.6379,18.68,31.68,12263,0
PLAN000001003,2018,11,STATE_SENATE,93848,3.702,75768,68039,58.04,0.4495,0.2959,1,5,5,0,0.8308,28.29,64.21,5186,0
PLAN000001004,2010,27,CONGRESSIONAL,370572,-4.377,259514,243951,49.22,0.1143,0.2023,1,13,18,0,0.794,2.108,1.36,11924,0
PLAN000001005,2014,17,STATE_SENATE,152760,-3.128,109417,103498,62.55,0.1223,0.0449,1,10,53,0,0.2769,6.211,78.9,4111,0
PLAN000001006,2016,8,JUDICIAL,732431,6.544,512145,430468,34.99,0.4706,0.5531,1,5,73,1,0.0191,27.561,90.78,13354,0
PLAN000001007,2002,40,STATE_HOUSE,466098,-7.439,365362,345708,90.55,0.1462,0.799,1,12,9,1,0.0215,20.066,58.99,7084,1
PLAN000001008,2007,18,STATE_SENATE,614595,-0.452,450414,402961,71.28,0.104,0.1453,1,8,65,0,0.3944,-6.196,39.92,13207,1
PLAN000001009,2021,35,CONGRESSIONAL,63566,2.171,49468,46757,12.62,0.0262,0.5302,1,2,1,1,0.8665,-12.661,53.46,17824,0
PLAN000001010,2006,52,CONGRESSIONAL,481881,-5.806,368832,314183,62.42,0.7508,0.2808,1,9,5,0,0.4816,15.633,41.48,23572,0
PLAN000001011,1993,24,CONGRESSIONAL,650099,2.411,448204,407978,60.57,0.0934,0.5222,1,9,9,0,0.6426,-7.519,49.35,14235,0
PLAN000001012,1992,32,CONGRESSIONAL,790659,-2.939,637662,605799,63.33,0.3008,0.2032,1,9,46,0,0.5428,18.047,62.17,4300,0
PLAN000001013,2011,36,CITY,823996,-0.195,656452,598858,19.17,0.036,0.5314,0,9,72,0,0.8009,16.829,24.75,10261,0
PLAN000001014,2025,25,STATE_SENATE,375821,-0.626,293340,272671,53.07,0.0877,0.4619,1,16,7,0,0.578,-16.386,42.22,8380,0
PLAN000001015,2025,23,CITY,72202,0.86,53417,43695,51.87,0.1119,0.1096,1,20,34,0,0.7223,-28.12,27.48,18238,0
PLAN000001016,2005,23,CONGRESSIONAL,140018,-4.57,101375,95659,72.7,0.4453,0.7027,1,20,26,1,0.6252,-11.172,4.92,3982,0
PLAN000001017,2004,52,CITY,520786,1.436,408188,325574,23.55,0.5962,0.6911,1,13,79,1,0.7031,-34.396,37.8,19474,0
PLAN000001018,2010,11,JUDICIAL,629447,1.519,478321,456856,59.92,0.7685,0.6789,1,17,70,0,0.9915,2.951,74.53,10762,0
PLAN000001019,2017,32,STATE_SENATE,567560,-2.479,463284,429478,12.46,0.7554,0.7358,1,16,42,0,0.5296,-38.84,10.82,9119,0
PLAN000001020,2015,42,STATE_HOUSE,273216,-1.999,205785,190856,37.97,0.0644,0.4631,1,14,76,1,0.154,-2.973,9.78,8503,0
PLAN000001021,2023,8,STATE_SENATE,368161,-4.128,273877,223327,27.57,0.1853,0.2089,1,20,64,0,0.7494,1.469,53.6,18717,0
PLAN000001022,2016,51,CONGRESSIONAL,685656,-3.128,499265,463319,28.32,0.1267,0.6331,1,15,61,0,0.6357,-38.151,28.9,3323,0
PLAN000001023,2007,44,SCHOOL,905154,3.283,669226,564108,70.75,0.1512,0.1693,1,19,3,0,0.4467,13.419,18.09,19672,0
PLAN000001024,2018,45,CONGRESSIONAL,867315,-6.968,618071,558632,25.34,0.717,0.5592,1,11,67,0,0.8064,26.144,97.32,21789,1
PLAN000001025,2014,49,STATE_SENATE,12849,6.022,8898,8445,26.95,0.1399,0.4173,1,17,70,0,0.0229,39.544,67.04,11942,0
PLAN000001026,1996,26,CONGRESSIONAL,333136,-7.053,245782,211465,83.9,0.6478,0.1945,1,17,61,1,0.9285,26.64,85.81,13875,1
PLAN000001027,2006,1,CONGRESSIONAL,564848,2.139,391619,362786,20.22,0.7108,0.456,1,9,37,0,0.5657,39.852,32.66,22817,0
PLAN000001028,1990,22,CITY,615162,-7.511,486279,386232,39.32,0.3681,0.7601,1,12,19,1,0.707,34.123,97.56,15653,0
PLAN000001029,2023,1,CONGRESSIONAL,405606,4.604,297971,235630,59.56,0.7852,0.2006,1,15,76,0,0.873,-16.313,37.66,928,1
PLAN000001030,2001,16,CONGRESSIONAL,842478,3.28,683187,626776,36.69,0.2193,0.8315,1,12,33,1,0.1476,20.31,84.22,17655,0
PLAN000001031,2004,14,CONGRESSIONAL,925877,-0.67,641585,603677,86.66,0.3002,0.3584,1,12,13,0,0.944,-16.139,58.35,15760,0
PLAN000001032,2010,3,STATE_HOUSE,871481,-6.939,656313,611861,83.93,0.3414,0.4468,1,19,30,0,0.9921,-37.196,29.3,12558,0
PLAN000001033,1995,9,STATE_SENATE,682939,-7.85,477897,458148,1.85,0.6199,0.749,1,7,80,0,0.6883,17.097,47.82,20368,0
PLAN000001034,2024,50,CITY,46968,-2.131,32921,30064,87.23,0.3865,0.117,1,20,47,0,0.4512,12.838,66.71,5352,0
PLAN000001035,2019,26,CONGRESSIONAL,67432,-5.287,48089,39869,85.66,0.1591,0.8487,1,16,41,0,0.1833,36.358,61.44,3129,0
PLAN000001036,2001,56,SCHOOL,244111,-1.91,171640,146961,54.18,0.3908,0.6681,1,9,22,0,0.4612,-32.474,68.71,11592,0
PLAN000001037,2002,19,SCHOOL,158141,1.816,119422,94292,16.64,0.3632,0.2126,1,4,21,1,0.4069,0.792,13.83,10123,0
PLAN000001038,1996,40,CONGRESSIONAL,64888,-5.464,44805,37548,4.94,0.3974,0.8098,1,18,65,1,0.6451,-11.159,8.07,15767,0
PLAN000001039,2003,41,CONGRESSIONAL,316098,1.553,235923,216392,12.04,0.7282,0.7041,1,11,55,0,0.0144,9.35,59.02,18499,0
PLAN000001040,2010,19,CONGRESSIONAL,684683,0.889,517364,463028,50.78,0.2636,0.4322,1,9,18,0,0.4513,27.382,32.94,7518,0
PLAN000001041,2010,8,STATE_SENATE,582035,0.646,465649,440730,46.68,0.7162,0.0628,1,3,20,0,0.5398,-36.923,95.39,11356,0
PLAN000001042,2018,21,STATE_HOUSE,255957,1.005,185059,158515,23.25,0.7733,0.7791,1,1,35,0,0.8057,-2.934,66.92,18762,0
PLAN000001043,2005,40,SCHOOL,439170,-7.228,345488,311522,55.48,0.1193,0.4592,1,20,62,0,0.4653,15.955,10.92,1022,0
PLAN000001044,2021,42,SCHOOL,560329,-2.959,404553,385661,35.84,0.3761,0.5801,0,6,23,0,0.5961,32.61,20.54,8091,0
PLAN000001045,2011,21,CONGRESSIONAL,63573,-6.089,48242,45923,82.53,0.0704,0.337,1,14,33,0,0.7465,-23.318,0.63,702,0
PLAN000001046,1992,38,CITY,153168,2.236,113980,106714,76.05,0.1872,0.5812,1,18,0,0,0.2417,-32.687,84.0,2624,0
PLAN000001047,2018,55,JUDICIAL,99201,-2.382,81023,77550,52.4,0.4569,0.7681,1,2,55,0,0.581,35.783,86.6,9146,0
PLAN000001048,2000,26,CITY,571978,2.508,458679,403065,39.07,0.2997,0.2809,1,11,66,0,0.4167,9.614,59.75,11700,1
PLAN000001049,2016,55,STATE_HOUSE,918994,-2.87,646364,523954,40.45,0.1933,0.114,1,17,20,0,0.7706,23.445,58.23,23442,0
PLAN000001050,2002,52,CONGRESSIONAL,772891,-0.853,552034,460904,33.97,0.6306,0.7403,1,4,45,0,0.568,-1.307,8.98,19854,0
PLAN000001051,2011,11,CONGRESSIONAL,382940,4.332,312406,272073,19.63,0.5694,0.2875,1,5,36,1,0.4531,-37.99,15.3,21543,0
PLAN000001052,2017,8,CONGRESSIONAL,774944,4.208,541375,449991,67.94,0.0848,0.0845,1,16,0,0,0.0895,20.948,2.64,21936,0
PLAN000001053,1993,56,CITY,342661,-3.24,266934,254790,53.57,0.5284,0.6242,1,16,55,0,0.4313,28.197,69.76,15409,0
PLAN000001054,2025,48,JUDICIAL,479999,-2.255,335848,269694,72.3,0.5401,0.3918,1,15,6,0,0.1632,19.046,16.26,11358,1
PLAN000001055,1991,46,SCHOOL,342739,7.034,269178,216916,16.22,0.6193,0.5595,1,18,6,0,0.2946,8.682,63.79,15024,0
PLAN000001056,2000,6,CONGRESSIONAL,689984,2.36,491430,442049,3.43,0.1598,0.1571,1,4,63,0,0.9986,-13.664,46.74,3611,0
PLAN000001057,2015,38,STATE_HOUSE,521688,5.269,381039,313846,18.15,0.1665,0.5409,1,7,62,0,0.9617,-17.57,20.6,9194,0
PLAN000001058,2005,5,STATE_SENATE,553988,-5.875,387045,342111,84.77,0.3373,0.8364,1,6,22,0,0.2367,-16.081,62.14,3198,0
PLAN000001059,1997,33,CONGRESSIONAL,546325,-0.073,388993,307949,30.77,0.6939,0.82,1,17,74,0,0.8952,-20.917,36.28,1202,0
PLAN000001060,2016,38,CONGRESSIONAL,735236,4.74,559993,533839,74.59,0.2808,0.4192,1,10,63,1,0.9402,39.685,38.44,12248,0
PLAN000001061,2005,50,CITY,817492,-3.613,596980,506681,55.33,0.4605,0.6728,1,13,45,0,0.3701,23.343,91.74,3939,0
PLAN000001062,2008,29,CONGRESSIONAL,923337,5.908,654012,587127,43.17,0.2096,0.5844,1,16,0,1,0.2596,-27.307,52.59,14564,0
PLAN000001063,2001,55,CONGRESSIONAL,135015,5.257,99291,92924,1.86,0.6894,0.5729,0,10,3,1,0.5553,-10.769,63.39,19305,0
PLAN000001064,2008,58,STATE_HOUSE,665486,-2.035,483930,458414,40.76,0.5889,0.4585,1,18,11,0,0.8523,-39.56,59.98,4521,0
PLAN000001065,1996,28,STATE_HOUSE,278873,-2.089,216732,182623,26.26,0.4085,0.537,1,16,65,0,0.7446,-28.597,4.89,18873,0
PLAN000001066,2014,31,STATE_HOUSE,646384,-4.721,462920,399034,36.8,0.2792,0.1612,1,16,14,1,0.8069,-39.659,19.37,11209,1
PLAN000001067,1999,60,SCHOOL,937311,-3.259,679463,600859,70.7,0.6335,0.6965,1,1,79,1,0.4434,9.462,48.83,14968,0
PLAN000001068,2017,51,CONGRESSIONAL,83250,-2.217,65284,54137,58.55,0.6922,0.471,1,8,51,1,0.1228,8.157,71.68,6848,0
PLAN000001069,2002,25,STATE_SENATE,922853,4.053,670957,583885,77.92,0.6519,0.3849,1,4,26,0,0.1625,13.75,42.75,24974,0
PLAN000001070,2011,7,SCHOOL,301170,3.76,219270,186020,56.48,0.6047,0.8345,0,14,76,0,0.929,37.266,76.81,22026,1
PLAN000001071,2017,16,CITY,927633,0.031,736858,700409,39.51,0.77,0.0892,0,2,37,1,0.0696,-24.957,9.16,14944,0
PLAN000001072,2023,5,STATE_HOUSE,680350,6.866,478591,424029,25.83,0.2765,0.6908,1,4,5,0,0.6968,24.888,61.99,24511,0
PLAN000001073,2021,3,SCHOOL,90524,-3.913,69541,66176,8.37,0.7394,0.4557,1,20,6,0,0.5344,8.194,38.02,21925,0
PLAN000001074,2013,21,STATE_SENATE,436508,-6.823,324845,287997,37.94,0.4443,0.5091,1,20,22,1,0.9928,4.067,36.29,24839,0
PLAN000001075,2024,22,STATE_HOUSE,531619,-7.804,374711,324356,50.59,0.6012,0.3979,1,7,17,0,0.4138,29.075,83.35,5743,0
PLAN000001076,2024,8,STATE_SENATE,420550,1.416,319788,295871,71.34,0.0823,0.1675,1,10,69,0,0.8157,20.949,77.96,10371,0
PLAN000001077,2008,54,JUDICIAL,232850,-0.357,165749,157851,76.37,0.7843,0.1551,1,4,5,1,0.256,-13.726,19.84,8337,0
PLAN000001078,1992,24,STATE_HOUSE,498388,-6.16,344230,312741,50.71,0.1539,0.187,1,3,31,0,0.6054,9.844,54.36,8404,0
PLAN000001079,2017,1,CITY,508475,0.349,350903,301228,20.98,0.4613,0.8159,1,16,61,1,0.5648,19.472,50.12,7111,0
PLAN000001080,2005,33,STATE_SENATE,648430,-0.308,445868,424938,71.09,0.3037,0.7989,1,10,12,0,0.3893,39.756,72.97,14310,0
PLAN000001081,2024,29,CONGRESSIONAL,460132,0.696,365205,347254,50.44,0.0393,0.8151,1,11,5,1,0.8467,11.446,31.64,6830,1
PLAN000001082,1993,21,STATE_HOUSE,623139,2.364,488298,411323,35.74,0.1899,0.7437,0,16,7,0,0.6053,-0.579,57.8,19299,0
PLAN000001083,2004,29,SCHOOL,286151,3.844,216726,177609,77.86,0.3211,0.0852,1,6,23,1,0.9739,18.053,20.01,21255,0
PLAN000001084,1999,11,STATE_HOUSE,129679,-7.672,96023,89492,62.68,0.2567,0.7862,1,3,59,0,0.6531,32.171,92.32,2586,0
PLAN000001085,2017,28,STATE_HOUSE,675415,-0.216,536630,474513,76.87,0.4884,0.5561,1,10,3,0,0.4988,8.226,81.47,8207,1
PLAN000001086,1994,54,SCHOOL,264802,2.122,208657,174398,36.51,0.0727,0.8497,1,16,78,0,0.1223,-29.269,29.87,9224,0
PLAN000001087,1993,43,JUDICIAL,556564,2.396,383208,352794,52.53,0.7301,0.7764,1,0,17,1,0.8109,-6.406,2.36,22710,0
PLAN000001088,2005,9,STATE_HOUSE,638126,-2.824,443970,375372,10.89,0.3538,0.3421,1,3,67,0,0.3832,-23.07,88.6,12465,0
PLAN000001089,2008,20,JUDICIAL,678309,1.238,549019,450881,83.51,0.7696,0.2752,1,1,19,1,0.1138,26.745,18.25,328,0
PLAN000001090,2002,22,SCHOOL,458215,4.394,320867,270635,80.57,0.09,0.4853,1,11,19,0,0.5619,4.343,52.69,8775,0
PLAN000001091,2016,28,STATE_HOUSE,244172,7.323,177773,150420,68.99,0.7276,0.8284,1,20,68,0,0.3813,-27.333,70.37,14497,0
PLAN000001092,2012,60,STATE_HOUSE,552777,4.672,405699,354124,93.17,0.7313,0.196,1,13,47,1,0.9864,34.04,32.55,6012,0
PLAN000001093,1993,6,CONGRESSIONAL,921966,-4.109,685151,534809,73.93,0.177,0.2407,1,17,0,0,0.3707,28.661,35.76,9723,0
PLAN000001094,1997,31,STATE_HOUSE,580297,0.652,475003,447409,81.11,0.5545,0.3598,1,7,8,0,0.8235,-39.011,40.06,19363,0
PLAN000001095,1993,18,STATE_HOUSE,348150,-0.229,251802,220886,54.81,0.5551,0.7848,1,11,0,0,0.4651,25.792,56.3,915,1
PLAN000001096,1990,14,JUDICIAL,777940,0.344,617308,546574,6.01,0.3758,0.0293,1,8,43,1,0.4443,9.939,17.28,17037,0
PLAN000001097,1992,44,CONGRESSIONAL,917393,7.021,638862,610876,12.26,0.259,0.7832,1,2,69,1,0.7512,9.444,12.54,435,1
PLAN000001098,2025,8,STATE_HOUSE,853375,4.749,583372,506608,46.26,0.3029,0.844,1,1,60,0,0.2073,5.477,4.3,6637,0
PLAN000001099,2008,27,CONGRESSIONAL,410498,4.823,279695,236299,21.73,0.6584,0.4306,1,17,5,1,0.8174,13.251,79.04,22917,0
PLAN000001100,1993,14,STATE_SENATE,483092,1.417,354555,293301,23.3,0.2338,0.5216,0,6,27,0,0.0008,-18.489,62.86,821,0
PLAN000001101,2007,45,CONGRESSIONAL,458466,-2.809,320111,263428,88.31,0.1038,0.5462,1,3,75,0,0.3213,11.251,62.07,24427,0
PLAN000001102,2012,51,JUDICIAL,926552,3.283,681501,617282,63.68,0.5158,0.6104,1,7,25,1,0.77,27.164,90.52,23299,0
PLAN000001103,2011,46,JUDICIAL,761891,-1.409,608991,476025,55.8,0.5892,0.4865,0,5,53,0,0.9021,-32.13,23.38,12212,0
PLAN000001104,1992,13,STATE_SENATE,792912,5.689,606226,550364,92.65,0.4711,0.8196,1,3,17,0,0.4568,-25.882,24.47,1931,0
PLAN000001105,2023,59,SCHOOL,485473,3.508,347912,316335,55.24,0.1806,0.0703,1,10,18,0,0.465,-26.482,68.12,9991,0
PLAN000001106,2016,1,SCHOOL,772684,3.904,560410,532417,43.5,0.2125,0.5345,1,2,23,1,0.2628,-0.726,97.67,4675,0
PLAN000001107,2011,42,SCHOOL,624840,-3.171,448395,355286,91.6,0.2104,0.7993,1,9,56,1,0.9219,4.777,91.45,18856,0
PLAN000001108,2019,44,JUDICIAL,248415,-2.811,180107,158645,74.71,0.5538,0.5211,1,11,41,0,0.2742,-20.392,25.68,23108,0
PLAN000001109,2019,34,CONGRESSIONAL,415100,-1.647,299640,247893,42.92,0.5259,0.2618,1,9,17,1,0.8949,12.558,38.28,350,0
PLAN000001110,1994,30,STATE_SENATE,388903,-2.075,266375,250722,20.07,0.0633,0.5297,1,11,52,0,0.0789,24.344,46.11,14871,0
PLAN000001111,1995,55,STATE_SENATE,567243,2.571,419364,335739,30.44,0.6569,0.3087,1,2,35,1,0.3243,13.581,70.7,15306,0
PLAN000001112,2014,14,CONGRESSIONAL,214047,-2.911,156150,147832,30.96,0.5244,0.4935,1,7,64,1,0.6139,-34.884,90.27,7678,0
PLAN000001113,1994,47,STATE_SENATE,15763,6.814,10835,9675,82.68,0.2323,0.1523,1,13,46,0,0.447,24.926,54.9,19677,0
PLAN000001114,1990,1,CITY,749161,4.081,542663,428557,41.77,0.2587,0.4051,1,17,10,0,0.1306,5.844,43.77,20400,0
PLAN000001115,2017,2,CITY,533737,-7.198,405278,327450,79.4,0.1896,0.6819,1,4,47,1,0.4408,-8.418,23.97,14978,1
PLAN000001116,2006,17,STATE_HOUSE,872439,4.655,600499,486056,22.37,0.6595,0.6646,1,19,63,0,0.5358,-2.983,14.68,10635,0
PLAN000001117,1996,19,STATE_SENATE,298335,-2.627,241972,193133,41.81,0.3431,0.4992,1,16,74,1,0.2257,-30.24,1.2,22915,1
PLAN000001118,2000,41,STATE_HOUSE,259920,4.046,177074,142149,5.29,0.7774,0.6887,1,16,21,0,0.4445,-5.0,80.59,17221,0
PLAN000001119,2003,4,SCHOOL,849045,2.115,582404,508698,18.08,0.2795,0.5963,1,10,6,0,0.2567,35.12,40.87,8965,0
PLAN000001120,2010,33,JUDICIAL,170851,-4.118,117881,111095,75.17,0.351,0.7026,1,8,11,0,0.6184,10.139,18.31,14758,0
PLAN000001121,2005,19,SCHOOL,561631,-0.743,451600,403012,56.66,0.4679,0.2524,1,16,72,1,0.6784,-5.195,55.94,5683,0
PLAN000001122,2017,35,SCHOOL,323174,6.514,251533,228788,26.28,0.6606,0.6822,1,5,32,0,0.792,-0.246,70.98,21527,0
PLAN000001123,1993,6,JUDICIAL,621055,7.26,505312,449501,1.47,0.7757,0.264,1,20,48,0,0.0236,-38.987,81.72,16652,0
PLAN000001124,2022,42,CONGRESSIONAL,922836,6.061,668949,634201,37.65,0.3085,0.6075,1,0,0,1,0.4602,-29.007,93.68,4340,0
PLAN000001125,1996,21,SCHOOL,399500,3.068,321340,277908,63.88,0.0564,0.5255,0,16,40,1,0.3184,-34.89,99.74,8404,1
PLAN000001126,1998,40,SCHOOL,689189,6.588,560895,492383,59.69,0.5134,0.6641,1,18,11,0,0.4157,-39.939,9.58,15379,0
PLAN000001127,2025,4,STATE_SENATE,89042,-6.79,63094,50436,56.93,0.2876,0.6742,1,8,66,0,0.379,30.107,55.41,5328,0
PLAN000001128,2021,17,STATE_HOUSE,918671,7.21,649731,613148,2.03,0.548,0.1452,1,16,35,1,0.9538,16.372,9.96,20015,0
PLAN000001129,2007,18,SCHOOL,626991,3.736,450010,407165,79.41,0.4214,0.3759,0,20,28,0,0.6242,-1.865,92.65,1638,0
PLAN000001130,1992,50,SCHOOL,390296,1.889,298083,238158,81.73,0.7413,0.5418,1,19,42,1,0.4601,23.249,98.65,15127,0
PLAN000001131,2008,41,SCHOOL,655918,-2.131,498489,412550,28.75,0.4557,0.8378,1,8,16,0,0.439,-33.031,51.57,810,0
PLAN000001132,1992,56,CITY,464032,5.119,340924,299852,65.9,0.7405,0.3846,0,11,29,1,0.631,-22.379,80.22,19110,0
PLAN000001133,2010,16,CITY,886020,-1.939,672353,557183,68.95,0.306,0.5411,1,3,7,0,0.7824,6.156,93.88,20973,1
PLAN000001134,2023,5,STATE_HOUSE,219534,5.977,167068,143540,92.24,0.0589,0.8101,1,7,54,0,0.7842,21.714,95.47,9957,0
PLAN000001135,2005,15,STATE_HOUSE,250780,-1.413,191544,169573,90.06,0.2627,0.2969,0,15,24,0,0.7457,22.476,75.53,2389,0
PLAN000001136,2024,47,STATE_HOUSE,151122,3.785,104562,85280,29.4,0.4411,0.7236,1,0,45,0,0.7331,30.935,94.86,21309,0
PLAN000001137,1994,41,STATE_SENATE,553470,4.827,385567,308773,85.39,0.5728,0.1026,1,17,77,1,0.3088,30.057,72.84,3527,0
PLAN000001138,2010,7,CONGRESSIONAL,555816,-3.22,429796,357959,3.65,0.0475,0.6953,1,3,79,0,0.2187,8.979,23.14,17285,0
PLAN000001139,2021,37,CONGRESSIONAL,357004,4.551,263386,242073,16.14,0.0586,0.33,1,18,64,0,0.6065,25.218,60.12,3581,0
PLAN000001140,2001,1,CONGRESSIONAL,938651,4.397,737995,704886,88.57,0.6385,0.839,1,3,64,0,0.6576,21.891,19.04,19902,0
PLAN000001141,2017,50,CONGRESSIONAL,761560,6.417,619294,513030,58.57,0.5506,0.6641,1,2,56,0,0.7754,20.346,12.79,12464,0
PLAN000001142,1990,31,STATE_SENATE,485301,-5.583,376537,293714,71.44,0.6264,0.2914,1,10,13,1,0.5449,6.204,45.87,18806,0
PLAN000001143,2014,28,CONGRESSIONAL,171316,-6.56,138115,109360,72.51,0.4755,0.2767,1,10,43,0,0.2545,-16.581,35.08,17779,0
PLAN000001144,2020,11,STATE_HOUSE,763005,1.92,609548,486337,5.09,0.1306,0.5883,1,6,56,0,0.7042,-39.408,6.57,2075,0
PLAN000001145,2008,54,STATE_SENATE,60355,-3.596,45991,41292,10.16,0.3138,0.5679,1,19,79,0,0.9655,-36.845,25.43,19027,0
PLAN000001146,1999,11,CONGRESSIONAL,190356,1.646,144326,122520,64.23,0.1224,0.2997,1,4,74,1,0.6795,-33.412,48.16,22297,0
PLAN000001147,2012,60,JUDICIAL,80846,0.336,56587,45724,12.04,0.2996,0.4421,0,13,36,1,0.0202,34.103,97.34,21963,0
PLAN000001148,1996,42,CONGRESSIONAL,204426,6.626,163678,147746,27.38,0.4023,0.3118,1,13,63,0,0.2962,-6.751,58.54,22450,1
PLAN000001149,2007,1,STATE_SENATE,274103,2.21,204408,169858,9.15,0.3156,0.7806,1,12,58,1,0.0545,21.546,52.96,19503,0
PLAN000001150,2019,51,SCHOOL,150370,-3.361,118725,105222,47.02,0.4043,0.0474,1,14,37,1,0.2525,10.109,84.49,24185,0
PLAN000001151,2008,28,STATE_SENATE,760767,0.632,520538,478564,15.83,0.3006,0.6817,1,4,45,1,0.8255,6.58,57.55,4993,0
PLAN000001152,1994,46,CONGRESSIONAL,324676,0.686,260620,216090,57.62,0.2422,0.4963,1,5,9,0,0.7882,28.944,9.99,10720,0
PLAN000001153,1999,12,STATE_SENATE,222204,4.19,174674,142328,59.42,0.5903,0.0263,1,7,2,1,0.9619,26.304,11.84,19069,0
PLAN000001154,2025,30,CITY,739822,-7.25,586578,552113,2.68,0.4081,0.3293,1,18,54,0,0.5874,-35.809,31.13,18754,0
PLAN000001155,2008,19,CITY,45381,1.69,31243,29355,66.91,0.6913,0.0699,0,17,10,0,0.5133,30.847,75.01,7259,0
PLAN000001156,1998,51,STATE_HOUSE,505805,-1.964,363728,313574,87.08,0.0349,0.0835,1,1,9,1,0.7863,-12.028,7.92,15771,0
PLAN000001157,2017,41,CONGRESSIONAL,66114,-3.046,49027,42913,56.94,0.6519,0.1766,1,10,38,1,0.7387,-24.72,24.98,99,0
PLAN000001158,2003,16,CONGRESSIONAL,31476,1.475,22154,19482,92.3,0.7989,0.5806,1,15,72,0,0.5144,-39.012,68.13,15011,1
PLAN000001159,1996,26,STATE_SENATE,371107,3.647,256293,238479,88.68,0.6156,0.0311,1,13,55,0,0.5184,-24.898,36.82,16811,0
PLAN000001160,2004,54,CONGRESSIONAL,791868,6.003,561647,519979,66.03,0.4023,0.6726,1,8,37,0,0.8774,-5.939,4.41,10888,0
PLAN000001161,1992,5,CONGRESSIONAL,515909,-5.487,407400,363003,27.02,0.0291,0.4848,1,1,8,0,0.7668,-0.82,56.33,22212,1
PLAN000001162,2000,24,STATE_SENATE,289631,-1.882,224690,185561,52.59,0.6242,0.1949,1,5,33,1,0.6603,-35.8,16.38,13703,0
PLAN000001163,2025,19,STATE_HOUSE,178351,-2.706,132532,121750,13.43,0.1414,0.3258,0,2,68,1,0.3525,-29.933,76.47,13859,0
PLAN000001164,1995,2,CONGRESSIONAL,562611,7.798,392249,318137,56.08,0.4616,0.6808,1,4,31,1,0.4047,-25.36,64.9,5680,0
PLAN000001165,2024,15,STATE_HOUSE,405383,-7.49,322445,276056,14.67,0.2496,0.6838,1,3,9,1,0.1016,-23.825,10.08,16449,0
PLAN000001166,1998,52,SCHOOL,918052,-3.1,716758,686012,40.49,0.2956,0.4334,1,20,69,1,0.3514,19.346,74.35,1347,0
PLAN000001167,2007,2,STATE_SENATE,708238,3.422,502083,415900,48.98,0.7691,0.3142,0,14,42,0,0.0844,25.009,85.28,6467,0
