trans_road_reference_year,trans_road_country_iso2,trans_road_region_nuts_code,trans_road_vehicle_type_code,trans_road_vehicle_stock_count,trans_road_new_registrations_count,trans_road_ev_share_new_registrations_pct,trans_road_avg_vehicle_age_years,trans_road_vkt_million_km,trans_road_congestion_index,trans_road_road_fatalities_count,trans_road_serious_injuries_count,trans_road_speeding_infractions_count,trans_road_alcohol_infractions_count,trans_road_seatbelt_noncompliance_count,trans_road_co2e_emissions_tonnes,trans_road_low_emission_zone_coverage_pct,trans_road_data_source,trans_road_revision_round,trans_road_data_extract_date
2011,AT,SI5,PASSENGER_CAR,4983747,748985,12.27,5.42,11686.24,1.8717,28,269,119698,534,25256,1995182.54,52.24,CARE_ROAD_SAFETY_DB,FLASH,2025-01-29
2012,CZ,SE225,MOPED,5870536,321145,10.89,10.42,7342.07,0.2678,398,4245,65810,16482,7227,1334273.54,14.08,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-09-23
2013,DE,EE86,MOTORCYCLE,7005021,981309,33.64,14.19,60154.18,0.7479,1501,11772,23417,9617,45520,15613452.21,1.75,EEA_TRANSPORT_EMISSIONS,SECOND,2024-08-10
2014,LV,ES17,BUS_COACH,6408204,408864,38.35,5.94,60903.36,0.3496,737,2871,15023,9168,20114,8479782.68,54.67,POLICE_ADMIN_DATA,BENCHMARK,2024-02-22
2015,PL,PT141,HEAVY_TRUCK,2562473,217320,7.87,15.94,38577.59,1.979,1607,8316,34541,9848,37575,7540523.0,14.11,CARE_ROAD_SAFETY_DB,FLASH,2025-01-09
2016,ES,LT703,LIGHT_COMMERCIAL,7052966,572326,32.68,15.91,16189.32,1.4076,442,2621,43199,7700,48583,3961073.67,31.5,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-12-08
2017,HR,MT20,PASSENGER_CAR,4323462,584474,4.69,13.87,21831.86,1.4399,696,5156,94693,30593,39160,6183399.3,16.65,EEA_TRANSPORT_EMISSIONS,SECOND,2025-04-25
2018,FI,CZ941,MOPED,990570,97360,10.51,16.4,6575.11,0.3543,353,1254,79443,11441,35770,1116601.16,40.7,POLICE_ADMIN_DATA,BENCHMARK,2024-11-02
2019,IE,SI546,MOTORCYCLE,13403726,495392,35.4,7.81,60332.08,1.1197,800,8442,84628,11458,5190,9687603.69,18.62,CARE_ROAD_SAFETY_DB,FLASH,2024-12-24
2020,MT,IE7,BUS_COACH,3935218,372253,75.51,10.51,26404.53,1.4609,1056,9417,161150,9448,4729,1314426.62,8.11,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-04-25
2021,SK,EE170,HEAVY_TRUCK,3806622,111029,48.03,11.72,6590.87,1.0828,116,769,89115,2383,7886,1304983.96,13.68,EEA_TRANSPORT_EMISSIONS,SECOND,2025-01-12
2022,BE,PT312,LIGHT_COMMERCIAL,9369581,1447599,24.6,10.23,58140.23,1.5421,605,3054,11963,11709,55266,11673081.38,11.99,POLICE_ADMIN_DATA,BENCHMARK,2024-06-18
2023,DK,IE2,PASSENGER_CAR,2749400,187348,44.62,8.81,7066.72,1.3477,167,1921,40237,11284,6975,584552.95,75.68,CARE_ROAD_SAFETY_DB,FLASH,2025-01-22
2024,GR,LV57,MOPED,6520777,966343,36.55,8.51,81138.64,1.7473,2630,31471,2663,15459,31255,19258004.18,43.3,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-05-20
2025,LT,HR14,MOTORCYCLE,1144122,168691,52.5,17.08,15435.45,1.4743,646,2107,976,4818,42096,3214992.49,22.35,EEA_TRANSPORT_EMISSIONS,SECOND,2025-10-16
2005,PT,GR654,BUS_COACH,2102751,350474,29.61,15.69,65179.85,2.0821,1128,11730,109344,9801,38952,13549389.43,39.42,POLICE_ADMIN_DATA,BENCHMARK,2024-11-25
2006,SE,FR7,HEAVY_TRUCK,2407606,273038,7.16,8.15,8089.94,1.9945,39,297,150078,1838,17274,919021.98,0.64,CARE_ROAD_SAFETY_DB,FLASH,2024-05-01
2007,CY,MT18,LIGHT_COMMERCIAL,8601442,1409904,12.46,13.88,41931.14,1.0089,1430,15395,80865,27831,25242,12608736.56,49.02,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-10-06
2008,FR,HR985,PASSENGER_CAR,8419594,1139136,40.41,14.84,63646.84,2.2937,2329,16903,5607,24157,11111,5938835.45,40.97,EEA_TRANSPORT_EMISSIONS,SECOND,2024-06-27
2009,IT,NL4,MOPED,9496205,619392,34.75,6.4,22537.28,1.5053,420,3192,153332,427,12460,3525708.34,12.1,POLICE_ADMIN_DATA,BENCHMARK,2026-01-01
2010,NL,DK42,MOTORCYCLE,2623302,437869,42.22,16.02,8221.98,1.6249,12,94,61559,13914,26406,1485326.66,50.05,CARE_ROAD_SAFETY_DB,FLASH,2024-09-12
2011,SI,FR335,BUS_COACH,8325046,1496114,23.03,17.06,47209.62,0.519,2041,7592,53876,3568,46810,5989427.78,16.76,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-05-18
2012,BG,DE90,HEAVY_TRUCK,3416424,473988,41.3,12.91,24487.03,0.6744,266,1388,46417,25063,10582,5888896.27,2.13,EEA_TRANSPORT_EMISSIONS,SECOND,2025-05-31
2013,EE,AT355,LIGHT_COMMERCIAL,4379828,511427,16.89,10.35,59537.69,2.2696,375,3876,132561,10236,50256,5749603.06,48.34,POLICE_ADMIN_DATA,BENCHMARK,2024-09-05
2014,HU,HR610,PASSENGER_CAR,1712608,198471,18.88,14.51,12922.78,2.1291,553,4019,81444,11227,77774,1297952.78,45.55,CARE_ROAD_SAFETY_DB,FLASH,2024-04-24
2015,LU,LU56,MOPED,2781425,389245,17.23,15.38,24836.77,1.2365,1402,9195,14938,8912,33190,4121759.4,33.68,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-06-19
2016,RO,PT777,MOTORCYCLE,5462866,381801,4.18,9.58,8605.89,0.6481,557,2054,86830,10667,34832,1740044.46,18.62,EEA_TRANSPORT_EMISSIONS,SECOND,2024-06-16
2017,AT,LV497,BUS_COACH,3503185,295013,16.34,6.72,70328.88,2.3454,2447,25198,24380,16627,49031,16653608.06,12.02,POLICE_ADMIN_DATA,BENCHMARK,2025-06-24
2018,CZ,FI828,HEAVY_TRUCK,5787500,1024980,39.19,7.99,49258.04,0.5624,879,3675,41804,12338,7795,10914211.89,46.9,CARE_ROAD_SAFETY_DB,FLASH,2024-03-16
2019,DE,FI71,LIGHT_COMMERCIAL,1420778,163297,29.3,14.71,61861.37,1.6685,2144,12583,56927,24390,8999,16916721.36,79.2,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-05-04
2020,LV,LT884,PASSENGER_CAR,7328949,986705,71.27,5.41,91679.1,1.7707,2139,9515,76153,1628,47798,3945284.65,35.82,EEA_TRANSPORT_EMISSIONS,SECOND,2025-07-13
2021,PL,DE9,MOPED,6194041,213135,89.89,5.89,61994.99,1.2382,1678,11343,10899,1824,29585,5874535.34,47.32,POLICE_ADMIN_DATA,BENCHMARK,2024-05-22
2022,ES,SK36,MOTORCYCLE,547509,56203,29.06,5.2,19747.85,1.4729,495,5009,47558,8118,43953,3397732.84,64.96,CARE_ROAD_SAFETY_DB,FLASH,2025-02-21
2023,HR,FI32,BUS_COACH,3920930,274404,97.42,9.29,40639.54,1.7934,1454,15166,145065,9590,12867,6344862.46,60.0,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-06-15
2024,FI,PL56,HEAVY_TRUCK,5936760,333831,66.33,6.81,29453.54,0.3074,990,3179,17180,13707,6437,5785499.28,10.67,EEA_TRANSPORT_EMISSIONS,SECOND,2025-10-28
2025,IE,SE514,LIGHT_COMMERCIAL,10143589,1711565,77.69,11.11,41619.95,2.3207,1121,8570,122921,14970,69235,2908549.71,56.84,POLICE_ADMIN_DATA,BENCHMARK,2024-04-25
2005,MT,IE389,PASSENGER_CAR,12530383,1249349,24.25,7.45,50760.71,1.9649,823,3612,57987,11268,19287,8561461.06,22.28,CARE_ROAD_SAFETY_DB,FLASH,2025-03-13
2006,SK,IT13,MOPED,1687655,196760,4.26,16.43,46135.03,1.3055,1789,7073,53775,1056,32040,10769611.33,26.42,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-06-06
2007,BE,HR925,MOTORCYCLE,625721,53372,41.97,14.07,54541.28,1.7848,2927,14100,114885,16830,4100,13617146.63,44.26,EEA_TRANSPORT_EMISSIONS,SECOND,2025-11-26
2008,DK,HU120,BUS_COACH,3632977,241873,35.77,6.64,1273.71,1.185,55,625,86913,4746,30830,145610.43,0.75,POLICE_ADMIN_DATA,BENCHMARK,2024-04-17
2009,GR,NL2,HEAVY_TRUCK,10661969,563131,19.19,5.16,16001.02,0.2973,158,501,93785,9973,38524,1252392.66,3.28,CARE_ROAD_SAFETY_DB,FLASH,2024-03-05
2010,LT,AT162,LIGHT_COMMERCIAL,10355630,555135,20.37,17.05,84722.3,0.625,3763,31005,59632,11633,74541,18941207.6,0.85,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-03-24
2011,PT,FI18,PASSENGER_CAR,255552,32316,31.4,11.3,14157.31,1.9762,481,1794,96093,19129,29460,2728295.39,50.92,EEA_TRANSPORT_EMISSIONS,SECOND,2024-05-27
2012,SE,DK777,MOPED,5782973,382420,39.69,11.64,14855.78,1.0985,70,254,71126,7705,8039,3610951.03,39.65,POLICE_ADMIN_DATA,BENCHMARK,2026-02-08
2013,CY,IE909,MOTORCYCLE,10457657,839619,34.22,16.51,71401.62,1.3834,1967,20843,459,13954,23102,13034466.21,42.87,CARE_ROAD_SAFETY_DB,FLASH,2024-07-18
2014,FR,EE5,BUS_COACH,1605067,194294,22.93,5.95,54427.35,1.2079,1445,9035,14544,14364,17654,9072901.45,15.23,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-01-17
2015,IT,LT617,HEAVY_TRUCK,6560266,1031187,41.26,7.91,24895.17,2.1013,506,3419,110771,3740,19595,2793850.65,18.14,EEA_TRANSPORT_EMISSIONS,SECOND,2024-04-17
2016,NL,GR95,LIGHT_COMMERCIAL,9840738,504094,34.64,13.83,67900.24,1.2821,762,2791,90503,9153,18650,13288735.63,4.21,POLICE_ADMIN_DATA,BENCHMARK,2025-08-16
2017,SI,SK393,PASSENGER_CAR,4988552,347265,25.96,15.65,40987.89,1.0794,728,5967,77997,1201,49449,7453413.29,42.25,CARE_ROAD_SAFETY_DB,FLASH,2024-03-24
2018,BG,HR7,MOPED,3659048,641176,42.63,7.96,53372.83,2.1419,1346,13402,11275,5612,25716,8797346.02,81.15,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-12-08
2019,EE,BE30,MOTORCYCLE,10811498,889807,8.06,6.1,66612.42,1.9994,4241,36130,36330,1505,48898,12177466.74,77.39,EEA_TRANSPORT_EMISSIONS,SECOND,2024-07-06
2020,HU,EE50,BUS_COACH,7695513,529685,59.61,14.95,42775.01,1.9268,64,758,92688,9070,42031,3129578.88,41.76,POLICE_ADMIN_DATA,BENCHMARK,2024-06-17
2021,LU,BG9,HEAVY_TRUCK,10007231,1718041,49.47,8.69,15093.66,0.3274,353,2382,51469,4106,38035,1653359.59,56.35,CARE_ROAD_SAFETY_DB,FLASH,2024-04-14
2022,RO,FR714,LIGHT_COMMERCIAL,3489950,318873,93.85,14.79,20592.09,1.7375,339,3767,47673,13438,75239,3498985.96,82.88,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-11-17
2023,AT,RO40,PASSENGER_CAR,202633,23615,43.79,7.6,2972.19,1.1036,150,941,10873,1645,61174,544913.0,27.72,EEA_TRANSPORT_EMISSIONS,SECOND,2024-02-20
2024,CZ,AT11,MOPED,6701060,135269,22.99,8.14,55194.8,2.3446,2586,19524,69354,8453,38154,14359693.19,48.73,POLICE_ADMIN_DATA,BENCHMARK,2024-08-12
2025,DE,MT518,MOTORCYCLE,9178697,1324879,35.25,13.09,4101.91,2.2941,162,1146,78108,1164,18516,648328.32,3.96,CARE_ROAD_SAFETY_DB,FLASH,2025-03-05
2005,LV,BE53,BUS_COACH,1474432,257243,8.46,12.48,10624.06,0.4599,69,297,42777,6310,31909,2001691.09,12.92,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-12-05
2006,PL,LT2,HEAVY_TRUCK,11559906,765939,39.63,15.58,33766.37,0.9571,1667,5857,62107,814,9980,6727330.53,33.48,EEA_TRANSPORT_EMISSIONS,SECOND,2025-09-18
2007,ES,DE2,LIGHT_COMMERCIAL,12062961,1665631,24.31,8.58,60396.93,2.0889,749,4481,40610,13615,13547,5814534.65,24.46,POLICE_ADMIN_DATA,BENCHMARK,2025-02-22
2008,HR,MT5,PASSENGER_CAR,9110448,1617338,0.23,13.69,3570.89,1.9104,20,186,86732,665,63593,786217.03,19.76,CARE_ROAD_SAFETY_DB,FLASH,2024-01-15
2009,FI,SK55,MOPED,97584,15951,41.55,11.82,75340.21,1.1128,4851,31982,75673,18518,39739,7845887.07,15.27,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-04-05
2010,IE,EE517,MOTORCYCLE,12045682,1054534,31.77,5.93,54424.5,1.1091,552,5500,98573,11587,29039,9864022.96,1.04,EEA_TRANSPORT_EMISSIONS,SECOND,2025-01-10
2011,MT,FR6,BUS_COACH,94342,16896,37.29,6.75,10861.99,1.646,19,111,82400,4349,7012,702617.24,15.33,POLICE_ADMIN_DATA,BENCHMARK,2024-04-25
2012,SK,GR65,HEAVY_TRUCK,2214141,216279,38.59,10.86,83288.27,1.6048,528,5391,123291,15678,51211,17975803.9,54.43,CARE_ROAD_SAFETY_DB,FLASH,2025-11-07
2013,BE,BE303,LIGHT_COMMERCIAL,8439040,1125393,41.34,8.54,33828.68,1.7719,1169,11864,81901,21511,46373,2785941.63,30.09,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-05-22
2014,DK,LU59,PASSENGER_CAR,6515274,177035,17.76,15.03,47666.79,0.7828,1732,11303,36966,18533,71295,7497531.87,18.49,EEA_TRANSPORT_EMISSIONS,SECOND,2025-09-14
2015,GR,CZ962,MOPED,5531092,468005,27.54,5.88,11440.34,1.5116,306,2569,143359,6908,40406,1533410.7,15.19,POLICE_ADMIN_DATA,BENCHMARK,2024-05-27
2016,LT,FR444,MOTORCYCLE,3805510,224077,10.45,6.22,39848.84,2.0584,510,5511,108494,14752,24940,7307510.69,48.91,CARE_ROAD_SAFETY_DB,FLASH,2025-04-15
2017,PT,SI39,BUS_COACH,4863405,99630,30.54,7.69,23318.41,0.638,917,8710,585,1794,25884,5371202.16,28.37,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-10-18
2018,SE,LT123,HEAVY_TRUCK,1781833,315096,1.74,16.85,24105.03,0.4283,1163,7481,76723,18523,7016,4515647.64,3.83,EEA_TRANSPORT_EMISSIONS,SECOND,2025-02-20
2019,CY,MT676,LIGHT_COMMERCIAL,11169609,904317,41.05,7.66,58218.62,1.3569,1414,7037,132874,10864,49112,9621469.87,69.39,POLICE_ADMIN_DATA,BENCHMARK,2024-04-29
2020,FR,CZ91,PASSENGER_CAR,10716592,1206915,70.86,7.67,21507.06,1.4956,184,621,57497,8006,70204,2806848.44,53.26,CARE_ROAD_SAFETY_DB,FLASH,2025-10-07
2021,IT,IE647,MOPED,2724840,473647,91.28,9.51,33782.91,1.4808,441,1842,78420,4106,12020,2786596.03,19.09,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-12-19
2022,NL,FR74,MOTORCYCLE,2131463,298359,67.77,6.37,45166.75,0.7202,1354,4632,53218,7245,16069,6721953.52,62.58,EEA_TRANSPORT_EMISSIONS,SECOND,2024-10-13
2023,SI,SI21,BUS_COACH,15594119,2157955,87.76,14.28,14662.88,2.3017,591,4517,55666,20918,37038,1425404.45,32.44,POLICE_ADMIN_DATA,BENCHMARK,2024-07-24
2024,BG,SE65,HEAVY_TRUCK,2240145,59561,96.23,10.71,32724.42,1.4761,1377,7950,72871,27516,34292,3611583.36,41.23,CARE_ROAD_SAFETY_DB,FLASH,2024-06-18
2025,EE,LU993,LIGHT_COMMERCIAL,1933855,171073,61.4,7.71,2646.17,0.1559,101,627,12669,3609,50644,313676.96,66.31,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-05-10
2005,HU,PL945,PASSENGER_CAR,7013950,924249,37.38,10.47,67588.77,1.9995,589,3609,98356,4478,46175,12069581.54,17.11,EEA_TRANSPORT_EMISSIONS,SECOND,2025-03-10
2006,LU,BE15,MOPED,4710934,217233,20.53,13.27,23626.3,1.9054,38,394,120623,3141,42538,5324476.09,36.72,POLICE_ADMIN_DATA,BENCHMARK,2025-04-03
2007,RO,SE88,MOTORCYCLE,9983839,344703,14.07,13.74,36050.44,1.3961,1388,16393,2911,4885,25107,5091256.05,26.32,CARE_ROAD_SAFETY_DB,FLASH,2024-06-09
2008,AT,HU934,BUS_COACH,6638547,517280,10.79,12.75,50369.54,1.5511,408,3486,14754,8891,24774,9667316.82,52.07,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-11-13
2009,CZ,LU89,HEAVY_TRUCK,13182979,2110054,18.11,13.29,13673.48,1.7486,244,1271,141670,16588,771,948314.43,10.54,EEA_TRANSPORT_EMISSIONS,SECOND,2025-05-15
2010,DE,DK82,LIGHT_COMMERCIAL,12571053,2219147,13.11,10.43,83431.65,0.5868,477,1834,69998,17876,15786,25842802.8,50.27,POLICE_ADMIN_DATA,BENCHMARK,2024-01-14
2011,LV,IE59,PASSENGER_CAR,7188548,759622,16.17,17.37,21504.44,2.2274,640,4138,145184,1827,7604,3956754.15,11.09,CARE_ROAD_SAFETY_DB,FLASH,2025-09-18
2012,PL,SI15,MOPED,4940658,674786,28.45,11.36,56018.22,1.4063,2874,15714,31377,7128,45116,14696306.31,1.65,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-01-10
2013,ES,RO4,MOTORCYCLE,6064077,591933,30.8,14.13,4044.59,0.8699,34,307,98869,10972,41279,452209.47,33.92,EEA_TRANSPORT_EMISSIONS,SECOND,2024-04-26
2014,HR,PL71,BUS_COACH,477915,16556,6.61,7.65,42449.81,0.5868,1213,12710,76421,13928,31732,9791176.67,7.71,POLICE_ADMIN_DATA,BENCHMARK,2024-04-25
2015,FI,EE75,HEAVY_TRUCK,11474087,1954602,37.64,12.45,51740.53,0.8836,939,4572,95303,11903,46183,2987649.38,2.27,CARE_ROAD_SAFETY_DB,FLASH,2024-09-16
2016,IE,MT6,LIGHT_COMMERCIAL,9555459,1002110,19.5,7.67,28499.91,1.4557,49,550,51466,2793,51922,3786210.94,1.37,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-08-14
2017,MT,RO526,PASSENGER_CAR,4704342,477182,25.34,8.66,55782.79,2.3028,1468,9364,15073,12993,57377,10436938.68,34.97,EEA_TRANSPORT_EMISSIONS,SECOND,2025-07-31
2018,SK,HR758,MOPED,4449905,577421,18.68,15.83,38572.14,1.049,881,8295,13988,16939,43393,10026141.55,7.79,POLICE_ADMIN_DATA,BENCHMARK,2025-12-26
2019,BE,PT220,MOTORCYCLE,13457365,2062051,7.06,16.21,903.95,2.0383,3,19,83956,396,8423,281158.24,45.85,CARE_ROAD_SAFETY_DB,FLASH,2024-04-27
2020,DK,CZ90,BUS_COACH,4850558,232682,21.9,13.21,44353.15,1.9007,1041,3774,99168,24100,7560,5797160.54,68.55,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-12-23
2021,GR,SK935,HEAVY_TRUCK,3541976,153540,30.15,11.13,48605.84,0.4994,1855,7661,30550,644,6498,13196185.49,17.24,EEA_TRANSPORT_EMISSIONS,SECOND,2024-02-22
2022,LT,EE30,LIGHT_COMMERCIAL,1960463,280637,3.68,13.38,17318.51,0.6734,371,3572,11374,8718,40223,2356326.48,82.87,POLICE_ADMIN_DATA,BENCHMARK,2024-09-02
2023,PT,FI436,PASSENGER_CAR,5979926,137666,12.72,12.26,94241.52,0.5386,1157,5020,60168,19904,40250,8899363.02,14.11,CARE_ROAD_SAFETY_DB,FLASH,2024-05-24
2024,SE,SI278,MOPED,13191528,2227927,3.82,7.69,23161.18,0.3519,1572,8492,45201,12519,29690,4352326.73,20.18,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-08-09
2025,CY,AT789,MOTORCYCLE,9447832,195841,15.66,13.69,31291.45,1.8373,1446,17213,32454,17652,32169,5207747.48,85.13,EEA_TRANSPORT_EMISSIONS,SECOND,2025-02-28
2005,FR,LT34,BUS_COACH,1215376,28971,29.12,11.53,43845.53,0.6214,577,3516,88923,27664,1404,7008163.06,17.92,POLICE_ADMIN_DATA,BENCHMARK,2025-09-22
2006,IT,AT21,HEAVY_TRUCK,5431677,515159,29.21,8.7,37763.12,1.5583,515,3112,96272,6435,10855,7164899.07,41.11,CARE_ROAD_SAFETY_DB,FLASH,2024-05-18
2007,NL,PL921,LIGHT_COMMERCIAL,5121578,910532,42.52,10.42,61810.75,0.5343,1902,15880,92719,30900,76178,3662604.55,13.09,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-07-16
2008,SI,DE35,PASSENGER_CAR,12314005,1955798,24.65,12.35,30790.37,1.7574,938,2915,85725,9603,75126,3944492.46,14.99,EEA_TRANSPORT_EMISSIONS,SECOND,2025-06-07
2009,BG,FR423,MOPED,15018525,1935746,12.39,9.3,51932.08,1.3637,3487,39678,37264,15651,301,15592544.73,49.15,POLICE_ADMIN_DATA,BENCHMARK,2025-01-07
2010,EE,PT417,MOTORCYCLE,10702948,733280,38.39,15.24,52880.01,0.6724,1268,5093,66006,28653,24993,7365715.73,42.59,CARE_ROAD_SAFETY_DB,FLASH,2026-01-21
2011,HU,AT15,BUS_COACH,470925,25770,1.03,8.45,30210.01,1.339,68,760,147282,2329,13689,10081422.96,48.41,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-04-05
2012,LU,LU236,HEAVY_TRUCK,6098013,675176,38.69,14.49,29526.75,0.7155,1307,15053,36991,14385,18602,2180277.13,20.75,EEA_TRANSPORT_EMISSIONS,SECOND,2025-08-08
2013,RO,PT661,LIGHT_COMMERCIAL,562047,15646,22.43,9.63,49933.34,1.3762,820,8898,62688,17592,59380,10758102.66,54.48,POLICE_ADMIN_DATA,BENCHMARK,2024-08-20
2014,AT,DE892,PASSENGER_CAR,4949241,742797,9.96,6.55,1739.98,1.694,15,96,113380,18053,6750,475425.9,3.91,CARE_ROAD_SAFETY_DB,FLASH,2024-06-30
2015,CZ,RO599,MOPED,14034044,289727,33.3,6.02,56373.34,1.9807,1192,4259,124702,12422,35104,4062710.97,40.6,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-02-29
2016,DE,LT320,MOTORCYCLE,10096693,760387,21.29,5.64,79088.13,0.4103,2484,17592,40207,17505,12411,10748683.5,17.62,EEA_TRANSPORT_EMISSIONS,SECOND,2024-08-24
2017,LV,LV345,BUS_COACH,4961183,798445,18.91,16.66,51017.22,1.6893,1698,18373,152469,2520,27620,15146374.37,51.88,POLICE_ADMIN_DATA,BENCHMARK,2025-03-03
2018,PL,LV94,HEAVY_TRUCK,5258393,809986,14.17,10.37,72596.71,2.2074,553,5785,34538,19170,13857,7702355.46,10.25,CARE_ROAD_SAFETY_DB,FLASH,2025-06-14
2019,ES,EE399,LIGHT_COMMERCIAL,3415738,217838,13.23,13.05,27344.98,0.4673,1100,10064,50851,8607,22533,4023079.27,69.2,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-04-06
2020,HR,MT353,PASSENGER_CAR,13674037,1621480,19.79,10.53,87038.88,0.4087,3564,16762,13421,22776,48136,12101630.05,81.32,EEA_TRANSPORT_EMISSIONS,SECOND,2025-12-04
2021,FI,EE432,MOPED,11224612,1264538,33.45,12.07,4455.18,2.2482,80,859,158618,6860,48253,813249.46,65.2,POLICE_ADMIN_DATA,BENCHMARK,2024-01-01
2022,IE,MT339,MOTORCYCLE,10328056,858756,66.66,13.26,32097.06,1.1933,412,2516,95363,10903,15810,4303353.04,16.78,CARE_ROAD_SAFETY_DB,FLASH,2025-04-13
2023,MT,BE4,BUS_COACH,11037164,584518,51.72,5.74,38562.03,2.0444,1127,6077,126688,26673,36586,2880193.51,13.09,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-02-26
2024,SK,GR54,HEAVY_TRUCK,7940742,980977,16.16,12.47,35194.2,0.3655,176,563,55885,26363,17446,5615301.6,68.77,EEA_TRANSPORT_EMISSIONS,SECOND,2025-09-25
2025,BE,FR859,LIGHT_COMMERCIAL,2369981,152506,86.5,15.53,39233.97,2.1585,1727,17064,111103,27732,48969,3229325.12,86.04,POLICE_ADMIN_DATA,BENCHMARK,2025-12-21
2005,DK,LU9,PASSENGER_CAR,2780821,451397,19.83,5.39,79293.71,1.4717,1085,5401,161648,13881,72923,12355439.91,41.38,CARE_ROAD_SAFETY_DB,FLASH,2025-04-13
2006,GR,SI990,MOPED,4579047,591357,33.48,6.54,41202.47,2.2775,595,4183,122414,12550,334,8776849.65,53.9,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-10-01
2007,LT,NL21,MOTORCYCLE,1421209,210687,32.76,13.08,36110.86,1.3964,1891,12653,121148,7721,7796,7859692.13,25.58,EEA_TRANSPORT_EMISSIONS,SECOND,2024-07-08
2008,PT,HU1,BUS_COACH,2503332,396405,34.41,12.31,41262.44,1.5967,1063,11928,66118,2292,27340,8985354.85,20.84,POLICE_ADMIN_DATA,BENCHMARK,2024-08-29
2009,SE,SK680,HEAVY_TRUCK,10400509,1012443,11.12,16.03,3569.34,0.4068,77,577,56870,10937,4079,329533.92,10.6,CARE_ROAD_SAFETY_DB,FLASH,2025-04-03
2010,CY,SK369,LIGHT_COMMERCIAL,7192088,997434,11.56,15.09,21166.02,1.8913,504,2638,101242,5482,71883,5289033.16,55.51,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-12-23
2011,FR,IT20,PASSENGER_CAR,5867064,442807,24.98,8.52,28395.76,1.2841,1105,10223,41203,7537,49532,2349141.11,29.86,EEA_TRANSPORT_EMISSIONS,SECOND,2024-09-26
2012,IT,CZ7,MOPED,7043057,372232,27.11,5.49,74778.72,1.1563,4990,55652,6844,3384,22804,14485539.47,35.05,POLICE_ADMIN_DATA,BENCHMARK,2024-12-15
2013,NL,SE539,MOTORCYCLE,777386,123415,21.58,9.53,23904.88,1.0153,262,850,78723,2069,30199,5156733.43,23.81,CARE_ROAD_SAFETY_DB,FLASH,2025-01-17
2014,SI,EE1,BUS_COACH,5713587,435428,13.69,10.46,13767.41,0.6798,98,361,64715,22914,45816,1856214.22,38.93,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-09-30
2015,BG,NL9,HEAVY_TRUCK,4348694,229346,21.42,10.04,4613.13,0.6154,201,1481,9272,9540,1944,1255767.58,8.23,EEA_TRANSPORT_EMISSIONS,SECOND,2025-01-05
2016,EE,IT4,LIGHT_COMMERCIAL,10966382,256823,41.6,7.08,71047.31,2.0043,870,7166,115675,18253,32635,7906275.06,35.78,POLICE_ADMIN_DATA,BENCHMARK,2025-05-22
2017,HU,PT5,PASSENGER_CAR,2064330,366013,26.19,5.01,58645.5,0.965,2447,8454,84135,104,11250,4174763.01,49.71,CARE_ROAD_SAFETY_DB,FLASH,2025-08-07
2018,LU,SK31,MOPED,9851544,1352471,7.01,14.3,51791.04,1.035,769,4544,28760,17524,49406,16038098.35,37.03,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-12-14
2019,RO,PT948,MOTORCYCLE,7784674,937823,39.52,5.02,84954.0,0.4717,3896,38596,31670,1626,51273,19727215.44,67.15,EEA_TRANSPORT_EMISSIONS,SECOND,2024-12-15
2020,AT,SK45,BUS_COACH,7227696,782362,10.94,8.85,11870.5,0.6971,122,679,95148,26507,13682,2010805.34,28.59,POLICE_ADMIN_DATA,BENCHMARK,2024-01-01
