lab_skills_reference_year,lab_skills_country_iso2,lab_skills_region_nuts_code,lab_skills_occupation_isco_code,lab_skills_vacancies_count,lab_skills_vacancy_rate_pct,lab_skills_hard_to_fill_share_pct,lab_skills_time_to_hire_days_median,lab_skills_skill_cluster_code,lab_skills_training_places_count,lab_skills_reskilling_participants_count,lab_skills_migration_for_work_share_pct,lab_skills_qualification_mismatch_rate_pct,lab_skills_green_jobs_share_pct,lab_skills_digital_jobs_share_pct,lab_skills_ai_jobs_share_pct,lab_skills_wage_premium_pct,lab_skills_eures_job_postings_count,lab_skills_data_source,lab_skills_data_extract_date
2022,SK,PL20,3_TECHNICIANS,101502,5.46,12.67,65.44,HOSPITALITY,126744,215385,12.1,22.68,13.3,9.61,4.58,6.64,62243,EURES_EXPORT,2024-03-02
2023,BE,ES363,5_SERVICE_SALES,107598,5.73,34.39,22.41,EDUCATION,27960,135476,4.15,14.87,6.16,12.48,8.04,5.27,29719,PUBLIC_EMPLOYMENT_SERVICE,2025-01-01
2024,DK,DE84,7_CRAFT,118698,2.16,42.92,55.63,AGRI,57128,226894,14.61,8.74,3.36,5.94,1.65,18.97,91620,SECTOR_SKILLS_COUNCIL,2025-11-07
2025,GR,RO402,9_ELEMENTARY,255444,0.76,47.42,92.14,GREEN_ENERGY,202853,114452,7.18,29.17,4.28,25.35,5.44,28.8,41036,VACANCY_SCRAPE_AGGREGATE,2024-05-04
2006,LT,IT917,2_PROFESSIONALS,60145,5.9,19.87,54.77,HEALTH_CARE,135250,7465,10.2,8.71,3.43,12.65,0.41,10.08,172871,EURES_EXPORT,2026-01-03
2007,PT,FR925,4_CLERICAL,64961,3.1,17.08,50.47,MANUFACTURING,28300,37263,3.05,26.76,10.66,5.24,1.82,17.94,17494,PUBLIC_EMPLOYMENT_SERVICE,2026-01-04
2008,SE,IT98,6_AGRI,94024,2.74,50.19,15.04,LOGISTICS,216284,21113,3.34,8.79,5.02,10.61,2.51,16.79,200648,SECTOR_SKILLS_COUNCIL,2024-08-21
2009,CY,SE29,8_PLANT_MACHINE,63384,5.09,38.46,78.43,FINANCE,67324,64934,11.43,23.22,3.09,3.87,4.73,12.36,136790,VACANCY_SCRAPE_AGGREGATE,2024-06-11
2010,FR,NL631,1_MANAGERS,171189,3.04,48.75,63.93,PUBLIC_ADMIN,146096,105647,2.33,23.5,8.27,6.8,2.86,3.5,33030,EURES_EXPORT,2024-01-30
2011,IT,MT485,3_TECHNICIANS,252575,5.89,54.51,110.55,ICT,137490,155047,9.77,21.9,12.66,25.41,1.82,11.39,188023,PUBLIC_EMPLOYMENT_SERVICE,2025-09-07
2012,NL,EE729,5_SERVICE_SALES,994,2.44,34.36,47.4,CONSTRUCTION,140366,38878,4.51,9.91,7.56,11.85,2.16,15.63,147052,SECTOR_SKILLS_COUNCIL,2024-07-08
2013,SI,BG431,7_CRAFT,173662,2.76,49.28,33.41,HOSPITALITY,263694,23950,13.03,24.62,10.81,19.33,1.48,10.11,23529,VACANCY_SCRAPE_AGGREGATE,2026-02-13
2014,BG,HR69,9_ELEMENTARY,22482,4.78,15.7,16.45,EDUCATION,67718,17400,8.27,8.02,3.41,14.86,3.78,15.21,3578,EURES_EXPORT,2024-03-03
2015,EE,CZ512,2_PROFESSIONALS,79612,4.26,38.79,107.51,AGRI,198147,127775,6.68,15.36,2.62,4.53,3.82,5.88,70960,PUBLIC_EMPLOYMENT_SERVICE,2025-06-01
2016,HU,IT950,4_CLERICAL,108831,7.65,44.59,34.45,GREEN_ENERGY,128952,35251,11.38,17.46,5.6,8.52,1.64,26.28,501,SECTOR_SKILLS_COUNCIL,2024-05-09
2017,LU,BE58,6_AGRI,95869,4.52,16.45,26.86,HEALTH_CARE,72867,82348,15.97,27.93,3.35,27.28,3.17,1.42,93919,VACANCY_SCRAPE_AGGREGATE,2025-04-30
2018,RO,DE54,8_PLANT_MACHINE,247520,7.03,58.17,55.81,MANUFACTURING,212265,113838,14.46,19.01,2.72,3.62,0.66,2.2,83955,EURES_EXPORT,2025-02-19
2019,AT,SE201,1_MANAGERS,118715,1.74,46.09,50.23,LOGISTICS,55557,35115,2.03,14.63,17.41,9.5,1.66,0.31,214429,PUBLIC_EMPLOYMENT_SERVICE,2026-02-22
2020,CZ,PT784,3_TECHNICIANS,115044,1.17,14.93,72.71,FINANCE,116823,72879,10.0,22.61,12.51,22.32,15.59,1.56,39276,SECTOR_SKILLS_COUNCIL,2025-05-27
2021,DE,EE163,5_SERVICE_SALES,108065,5.51,25.04,54.69,PUBLIC_ADMIN,52398,36508,9.25,15.72,21.65,27.82,2.73,4.5,57148,VACANCY_SCRAPE_AGGREGATE,2024-12-22
2022,LV,SE597,7_CRAFT,209403,8.86,50.78,107.35,ICT,186547,180142,4.97,23.18,3.21,5.92,9.2,25.8,183819,EURES_EXPORT,2026-01-15
2023,PL,MT573,9_ELEMENTARY,266697,9.17,42.66,24.04,CONSTRUCTION,75537,158290,13.4,13.63,5.13,7.89,0.52,7.33,74816,PUBLIC_EMPLOYMENT_SERVICE,2024-08-14
2024,ES,DK5,2_PROFESSIONALS,143592,5.51,48.25,71.84,HOSPITALITY,126276,173245,11.59,28.02,4.69,30.43,5.26,13.55,147610,SECTOR_SKILLS_COUNCIL,2025-04-26
2025,HR,ES46,4_CLERICAL,213907,3.88,36.29,93.47,EDUCATION,107464,18114,13.23,29.5,18.32,16.75,3.5,16.34,25878,VACANCY_SCRAPE_AGGREGATE,2024-12-14
2006,FI,AT97,6_AGRI,20071,1.33,22.3,61.43,AGRI,27886,14288,1.8,26.82,10.42,13.47,2.13,10.4,23713,EURES_EXPORT,2025-01-13
2007,IE,LU5,8_PLANT_MACHINE,199681,5.71,57.0,96.9,GREEN_ENERGY,154042,61402,9.63,16.81,7.37,13.9,1.53,13.93,77217,PUBLIC_EMPLOYMENT_SERVICE,2025-10-08
2008,MT,DE981,1_MANAGERS,20048,7.32,27.85,13.57,HEALTH_CARE,187074,86708,16.8,27.25,9.49,8.66,4.05,19.98,55479,SECTOR_SKILLS_COUNCIL,2025-06-09
2009,SK,FI59,3_TECHNICIANS,160879,1.87,41.99,62.37,MANUFACTURING,195476,117698,5.57,17.08,2.28,11.56,0.57,3.26,60695,VACANCY_SCRAPE_AGGREGATE,2024-12-19
2010,BE,BG15,5_SERVICE_SALES,163511,2.05,50.36,73.88,LOGISTICS,244082,45219,9.11,28.7,12.69,9.77,0.44,12.81,192268,EURES_EXPORT,2024-08-28
2011,DK,GR4,7_CRAFT,178478,3.47,48.68,62.57,FINANCE,208198,79141,13.42,12.77,3.81,13.13,1.99,5.22,69809,PUBLIC_EMPLOYMENT_SERVICE,2024-02-03
2012,GR,AT82,9_ELEMENTARY,24669,1.39,15.8,66.42,PUBLIC_ADMIN,1617,28572,9.36,9.97,5.45,7.03,2.9,3.12,54890,SECTOR_SKILLS_COUNCIL,2025-11-01
2013,LT,LT22,2_PROFESSIONALS,64297,5.61,66.97,130.22,ICT,324589,26900,14.66,29.73,8.85,11.96,0.32,16.22,119363,VACANCY_SCRAPE_AGGREGATE,2025-03-11
2014,PT,CY449,4_CLERICAL,136837,5.7,28.64,14.6,CONSTRUCTION,250671,51083,2.73,25.19,12.24,18.94,0.67,0.1,81864,EURES_EXPORT,2025-03-21
2015,SE,AT11,6_AGRI,21352,1.99,39.53,112.77,HOSPITALITY,198452,31767,4.95,7.89,9.3,13.12,2.62,2.82,60494,PUBLIC_EMPLOYMENT_SERVICE,2025-09-04
2016,CY,LT13,8_PLANT_MACHINE,137729,1.51,29.42,82.87,EDUCATION,73045,14185,7.58,15.01,8.95,25.65,2.88,1.93,77294,SECTOR_SKILLS_COUNCIL,2025-07-18
2017,FR,GR45,1_MANAGERS,101232,2.35,27.45,56.25,AGRI,97908,95209,11.01,23.13,2.59,23.27,0.78,1.06,80577,VACANCY_SCRAPE_AGGREGATE,2024-08-08
2018,IT,HU67,3_TECHNICIANS,137277,5.06,25.46,76.02,GREEN_ENERGY,131018,95108,7.65,23.15,2.7,11.1,3.99,25.4,10270,EURES_EXPORT,2026-02-25
2019,NL,SK143,5_SERVICE_SALES,69972,7.01,24.7,28.41,HEALTH_CARE,275020,4015,15.18,18.79,19.41,19.28,0.52,7.54,65227,PUBLIC_EMPLOYMENT_SERVICE,2024-10-14
2020,SI,SE711,7_CRAFT,134940,4.49,48.3,106.88,MANUFACTURING,165923,227305,4.84,7.66,12.0,15.18,3.02,1.41,93874,SECTOR_SKILLS_COUNCIL,2025-04-07
2021,BG,BG32,9_ELEMENTARY,173675,3.79,59.14,37.1,LOGISTICS,162365,78639,18.23,30.22,1.57,5.98,0.98,10.57,138456,VACANCY_SCRAPE_AGGREGATE,2025-12-02
2022,EE,PL931,2_PROFESSIONALS,45595,1.41,12.39,20.79,FINANCE,241215,280715,1.8,20.58,5.01,15.38,2.26,9.36,77723,EURES_EXPORT,2025-03-02
2023,HU,DK4,4_CLERICAL,40902,0.42,36.28,34.42,PUBLIC_ADMIN,74820,279390,12.18,15.34,7.0,20.78,9.2,15.63,46916,PUBLIC_EMPLOYMENT_SERVICE,2025-10-01
2024,LU,SE988,6_AGRI,144915,7.25,48.05,38.42,ICT,322589,264860,4.67,20.23,14.84,35.91,17.74,11.33,96398,SECTOR_SKILLS_COUNCIL,2025-03-06
2025,RO,LT416,8_PLANT_MACHINE,111056,1.65,31.32,17.05,CONSTRUCTION,243035,163039,14.12,15.24,20.16,4.07,1.62,17.99,10898,VACANCY_SCRAPE_AGGREGATE,2024-03-16
2006,AT,DK936,1_MANAGERS,21588,4.99,46.05,110.88,HOSPITALITY,266471,122213,16.82,21.84,11.78,8.15,0.15,12.97,61556,EURES_EXPORT,2024-06-25
2007,CZ,FR78,3_TECHNICIANS,153839,2.99,44.4,112.2,EDUCATION,169947,91188,15.8,15.86,8.58,17.72,1.09,18.54,32542,PUBLIC_EMPLOYMENT_SERVICE,2025-02-20
2008,DE,LT476,5_SERVICE_SALES,80985,3.4,24.21,49.04,AGRI,43748,82038,7.29,20.35,6.05,9.2,3.48,1.47,151564,SECTOR_SKILLS_COUNCIL,2024-03-04
2009,LV,PL806,7_CRAFT,45934,8.84,53.07,68.65,GREEN_ENERGY,23795,4320,11.45,10.74,27.67,15.76,3.06,28.85,91002,VACANCY_SCRAPE_AGGREGATE,2025-11-03
2010,PL,EE87,9_ELEMENTARY,328856,1.31,52.08,31.67,HEALTH_CARE,181213,19138,12.8,24.5,11.31,10.36,0.6,4.42,150095,EURES_EXPORT,2025-05-29
2011,ES,BE281,2_PROFESSIONALS,206567,3.35,14.82,43.57,MANUFACTURING,64311,119799,1.81,13.01,3.57,3.81,1.95,4.98,89544,PUBLIC_EMPLOYMENT_SERVICE,2025-06-25
2012,HR,FR955,4_CLERICAL,77736,5.39,58.41,22.8,LOGISTICS,23846,124088,5.2,27.05,7.57,10.3,1.07,14.71,24601,SECTOR_SKILLS_COUNCIL,2024-12-03
2013,FI,DK97,6_AGRI,15177,3.15,10.96,26.99,FINANCE,180814,10012,16.53,10.71,2.05,9.96,6.31,6.48,24149,VACANCY_SCRAPE_AGGREGATE,2025-04-09
2014,IE,DK20,8_PLANT_MACHINE,146705,3.44,13.03,16.86,PUBLIC_ADMIN,18609,30595,5.2,27.86,9.52,6.33,2.57,9.39,53147,EURES_EXPORT,2025-12-09
2015,MT,BG919,1_MANAGERS,146728,3.81,59.25,36.04,ICT,258992,94906,15.72,29.93,4.32,5.1,2.04,17.13,119830,PUBLIC_EMPLOYMENT_SERVICE,2025-11-21
2016,SK,AT5,3_TECHNICIANS,237950,6.16,44.61,60.81,CONSTRUCTION,67284,129597,9.75,30.99,6.89,8.68,0.64,13.9,105880,SECTOR_SKILLS_COUNCIL,2024-10-28
2017,BE,SK88,5_SERVICE_SALES,101597,5.84,55.23,107.78,HOSPITALITY,17669,3906,10.0,22.8,6.99,14.4,3.98,5.39,46908,VACANCY_SCRAPE_AGGREGATE,2024-05-06
2018,DK,PT719,7_CRAFT,74906,3.1,28.43,55.42,EDUCATION,39181,122660,9.27,19.01,10.63,16.61,3.23,7.44,3554,EURES_EXPORT,2025-01-18
2019,GR,CZ7,9_ELEMENTARY,143135,2.49,29.66,76.53,AGRI,56958,40675,9.24,13.12,15.7,21.57,2.05,9.32,39637,PUBLIC_EMPLOYMENT_SERVICE,2025-09-21
2020,LT,PL2,2_PROFESSIONALS,105636,1.77,24.91,93.52,GREEN_ENERGY,210359,78139,14.48,29.82,19.71,18.61,5.24,1.65,17957,SECTOR_SKILLS_COUNCIL,2024-01-17
2021,PT,NL6,4_CLERICAL,301161,1.9,58.38,31.25,HEALTH_CARE,39994,3731,5.83,26.93,15.42,9.86,4.23,25.38,67823,VACANCY_SCRAPE_AGGREGATE,2025-11-14
2022,SE,SE928,6_AGRI,48829,6.8,43.16,80.39,MANUFACTURING,245781,123181,16.83,21.19,22.7,6.81,6.76,15.93,83864,EURES_EXPORT,2024-07-30
2023,CY,FR68,8_PLANT_MACHINE,19624,3.61,46.68,64.7,LOGISTICS,108940,27409,5.42,8.05,13.25,19.35,9.62,6.37,162433,PUBLIC_EMPLOYMENT_SERVICE,2025-12-27
2024,FR,FR93,1_MANAGERS,299592,2.26,47.4,39.84,FINANCE,153663,45036,2.25,29.51,2.59,15.05,4.97,17.25,76618,SECTOR_SKILLS_COUNCIL,2025-10-12
2025,IT,LU811,3_TECHNICIANS,246904,2.4,29.83,70.02,PUBLIC_ADMIN,9174,275340,6.7,26.88,16.28,12.89,1.87,10.19,53961,VACANCY_SCRAPE_AGGREGATE,2025-08-21
2006,NL,DK531,5_SERVICE_SALES,83393,3.11,30.96,38.72,ICT,89982,153224,2.26,32.11,6.46,18.21,3.11,6.69,154296,EURES_EXPORT,2024-09-26
2007,SI,EE16,7_CRAFT,98945,6.13,25.66,41.3,CONSTRUCTION,141686,94581,7.27,27.04,10.46,8.37,2.7,3.91,36794,PUBLIC_EMPLOYMENT_SERVICE,2024-01-19
2008,BG,LU67,9_ELEMENTARY,110663,5.49,54.1,33.77,HOSPITALITY,211378,76006,6.32,14.48,6.12,8.1,2.48,12.6,143936,SECTOR_SKILLS_COUNCIL,2024-10-09
2009,EE,RO8,2_PROFESSIONALS,103226,0.55,24.28,79.62,EDUCATION,32873,14670,10.75,15.11,11.26,15.57,2.24,7.85,96395,VACANCY_SCRAPE_AGGREGATE,2024-10-24
2010,HU,AT722,4_CLERICAL,6523,0.29,24.77,66.96,AGRI,64900,75125,1.06,14.86,4.81,10.21,2.76,5.66,92216,EURES_EXPORT,2024-05-10
2011,LU,HR32,6_AGRI,101732,1.21,23.64,86.5,GREEN_ENERGY,266832,43999,3.01,33.29,10.76,19.16,4.02,21.81,41439,PUBLIC_EMPLOYMENT_SERVICE,2026-02-01
2012,RO,DK249,8_PLANT_MACHINE,95843,7.21,13.42,62.03,HEALTH_CARE,286565,11810,6.44,21.07,6.95,13.08,2.68,24.02,58383,SECTOR_SKILLS_COUNCIL,2024-07-20
2013,AT,MT34,1_MANAGERS,27569,2.6,27.84,51.51,MANUFACTURING,250134,71663,2.05,11.26,6.02,2.9,0.72,15.72,93543,VACANCY_SCRAPE_AGGREGATE,2025-11-25
2014,CZ,NL919,3_TECHNICIANS,165412,5.73,20.23,13.41,LOGISTICS,264353,97965,2.73,30.85,3.84,13.36,1.57,6.19,61777,EURES_EXPORT,2024-06-12
2015,DE,SE476,5_SERVICE_SALES,81228,4.81,22.59,53.8,FINANCE,53479,127384,4.97,18.82,4.88,18.47,5.64,2.21,10180,PUBLIC_EMPLOYMENT_SERVICE,2024-08-17
2016,LV,LU59,7_CRAFT,3272,5.15,16.94,50.56,PUBLIC_ADMIN,226045,37945,1.72,9.74,6.64,12.86,3.46,7.34,88866,SECTOR_SKILLS_COUNCIL,2024-10-25
2017,PL,BE169,9_ELEMENTARY,65796,3.85,35.58,69.13,ICT,130230,23929,13.68,27.18,7.93,32.71,0.81,18.24,87908,VACANCY_SCRAPE_AGGREGATE,2025-12-08
2018,ES,EE9,2_PROFESSIONALS,15138,4.7,22.66,73.9,CONSTRUCTION,24884,105414,11.15,11.2,4.18,10.77,0.91,3.57,60983,EURES_EXPORT,2024-01-25
2019,HR,FR729,4_CLERICAL,221728,4.2,45.24,65.55,HOSPITALITY,211145,73521,1.58,10.55,9.37,16.26,1.43,12.16,9082,PUBLIC_EMPLOYMENT_SERVICE,2024-09-25
2020,FI,SI9,6_AGRI,56692,5.31,27.5,69.77,EDUCATION,31420,54703,16.04,28.73,8.24,17.93,7.33,3.26,155,SECTOR_SKILLS_COUNCIL,2025-09-10
2021,IE,SE3,8_PLANT_MACHINE,47812,2.11,23.5,72.24,AGRI,112319,164388,12.19,23.43,22.54,5.75,9.2,11.67,18254,VACANCY_SCRAPE_AGGREGATE,2025-01-20
2022,MT,LU78,1_MANAGERS,85080,5.18,53.35,129.68,GREEN_ENERGY,145042,57290,17.05,20.2,44.25,30.59,9.24,8.32,60273,EURES_EXPORT,2025-01-05
2023,SK,BE2,3_TECHNICIANS,217747,2.76,29.94,53.59,HEALTH_CARE,99864,144959,20.43,17.46,10.19,7.18,3.2,13.71,24718,PUBLIC_EMPLOYMENT_SERVICE,2024-04-11
2024,BE,SE4,5_SERVICE_SALES,45892,0.99,49.79,27.03,MANUFACTURING,82016,123049,3.46,31.65,4.57,10.21,1.46,6.01,140474,SECTOR_SKILLS_COUNCIL,2024-04-17
2025,DK,SE9,7_CRAFT,74497,2.07,9.6,23.44,LOGISTICS,229162,48137,6.82,21.79,12.82,12.91,6.67,8.47,183371,VACANCY_SCRAPE_AGGREGATE,2025-03-04
2006,GR,SI88,9_ELEMENTARY,152838,3.51,12.17,15.22,FINANCE,76744,84459,15.18,11.12,11.0,11.87,7.33,15.62,79725,EURES_EXPORT,2024-06-12
2007,LT,DE541,2_PROFESSIONALS,111088,4.77,26.77,72.66,PUBLIC_ADMIN,239581,32652,11.46,27.81,10.22,15.99,1.93,3.0,12039,PUBLIC_EMPLOYMENT_SERVICE,2024-04-15
2008,PT,DK204,4_CLERICAL,183573,9.9,58.07,39.32,ICT,282903,147805,5.75,16.55,7.71,13.07,2.1,2.55,175173,SECTOR_SKILLS_COUNCIL,2024-09-01
2009,SE,CZ6,6_AGRI,239778,7.52,48.13,98.93,CONSTRUCTION,248057,83694,7.64,11.67,3.75,3.31,2.81,13.84,52023,VACANCY_SCRAPE_AGGREGATE,2026-02-09
2010,CY,SK426,8_PLANT_MACHINE,167122,3.46,27.72,16.82,HOSPITALITY,126945,34541,16.61,11.42,8.35,1.8,1.55,0.29,64559,EURES_EXPORT,2024-07-08
2011,FR,NL8,1_MANAGERS,205239,3.08,24.15,22.88,EDUCATION,261278,84735,14.26,24.02,3.03,13.92,3.69,4.49,3068,PUBLIC_EMPLOYMENT_SERVICE,2025-11-08
2012,IT,CZ172,3_TECHNICIANS,207841,1.65,35.06,101.57,AGRI,156148,15899,1.84,9.72,2.53,11.32,0.52,1.21,72861,SECTOR_SKILLS_COUNCIL,2025-08-20
2013,NL,NL276,5_SERVICE_SALES,130771,6.29,57.68,40.0,GREEN_ENERGY,236019,132744,9.58,33.49,26.8,5.81,3.17,1.44,76774,VACANCY_SCRAPE_AGGREGATE,2025-07-11
2014,SI,MT5,7_CRAFT,260353,2.48,12.46,80.01,HEALTH_CARE,50915,95468,4.87,13.19,0.94,15.43,2.6,10.2,106640,EURES_EXPORT,2024-02-02
2015,BG,IT774,9_ELEMENTARY,216764,6.59,45.19,112.47,MANUFACTURING,207258,69835,3.68,18.86,6.32,13.69,0.85,11.84,18202,PUBLIC_EMPLOYMENT_SERVICE,2024-01-06
2016,EE,BE87,2_PROFESSIONALS,87051,0.64,19.31,38.95,LOGISTICS,188464,94974,2.63,16.22,5.72,13.53,3.83,8.2,103784,SECTOR_SKILLS_COUNCIL,2025-12-23
2017,HU,NL20,4_CLERICAL,108401,6.39,58.85,94.48,FINANCE,204879,30362,3.12,30.38,12.63,11.71,0.77,16.76,99057,VACANCY_SCRAPE_AGGREGATE,2025-10-01
2018,LU,RO857,6_AGRI,48754,3.63,43.72,76.02,PUBLIC_ADMIN,203670,77500,7.2,26.85,2.47,28.08,2.08,9.38,98808,EURES_EXPORT,2024-11-07
2019,RO,FI4,8_PLANT_MACHINE,65527,2.76,19.79,72.78,ICT,274137,2367,12.17,23.41,4.11,8.89,6.58,1.81,169960,PUBLIC_EMPLOYMENT_SERVICE,2025-06-27
2020,AT,PT2,1_MANAGERS,92332,3.51,53.34,37.53,CONSTRUCTION,88620,35115,13.58,26.32,12.11,11.02,4.55,15.89,67200,SECTOR_SKILLS_COUNCIL,2025-07-02
2021,CZ,HU326,3_TECHNICIANS,157959,0.57,11.46,44.25,HOSPITALITY,78220,192832,5.48,16.98,16.21,26.18,6.29,18.13,40488,VACANCY_SCRAPE_AGGREGATE,2025-09-17
2022,DE,SK1,5_SERVICE_SALES,219541,6.24,15.43,21.72,EDUCATION,98600,85129,11.23,15.31,1.92,25.97,0.41,3.93,7583,EURES_EXPORT,2025-09-17
2023,LV,FI49,7_CRAFT,71590,0.45,9.8,17.75,AGRI,156370,220660,6.77,13.56,16.66,12.91,2.21,7.11,60820,PUBLIC_EMPLOYMENT_SERVICE,2024-02-19
2024,PL,DK834,9_ELEMENTARY,315129,9.48,12.98,50.91,GREEN_ENERGY,5185,67296,10.65,30.14,43.92,15.14,2.14,19.92,143610,SECTOR_SKILLS_COUNCIL,2025-05-11
2025,ES,BE892,2_PROFESSIONALS,301774,3.77,18.43,18.17,HEALTH_CARE,234388,134335,1.2,24.18,4.57,5.18,4.94,12.06,163342,VACANCY_SCRAPE_AGGREGATE,2025-05-04
2006,HR,IT885,4_CLERICAL,84144,1.85,36.41,53.74,MANUFACTURING,138282,47542,7.59,19.1,11.83,9.09,3.94,15.75,35377,EURES_EXPORT,2024-05-03
2007,FI,CY84,6_AGRI,96182,1.04,29.6,26.74,LOGISTICS,130696,114096,13.71,16.74,0.6,18.77,3.96,10.85,119179,PUBLIC_EMPLOYMENT_SERVICE,2024-07-25
2008,IE,HU7,8_PLANT_MACHINE,76319,0.82,30.06,73.52,FINANCE,34700,84127,16.94,26.14,8.32,16.18,7.28,7.34,52718,SECTOR_SKILLS_COUNCIL,2025-05-03
2009,MT,MT659,1_MANAGERS,34939,1.75,14.9,16.89,PUBLIC_ADMIN,27597,15485,16.82,21.37,4.53,5.54,2.48,14.56,62724,VACANCY_SCRAPE_AGGREGATE,2024-07-24
2010,SK,BG7,3_TECHNICIANS,136790,2.47,35.98,94.78,ICT,31242,40404,8.28,36.98,12.01,6.95,1.0,27.35,39378,EURES_EXPORT,2025-11-08
2011,BE,AT662,5_SERVICE_SALES,105938,7.14,49.83,68.66,CONSTRUCTION,183403,45880,18.16,12.56,9.79,13.77,0.21,1.71,22858,PUBLIC_EMPLOYMENT_SERVICE,2024-12-29
2012,DK,RO69,7_CRAFT,48497,1.91,36.04,35.01,HOSPITALITY,161948,71783,6.84,27.16,7.73,18.69,2.32,18.57,56817,SECTOR_SKILLS_COUNCIL,2025-12-11
2013,GR,HR23,9_ELEMENTARY,163508,3.2,13.62,74.39,EDUCATION,249517,128327,4.08,25.51,8.3,6.56,1.85,15.01,74987,VACANCY_SCRAPE_AGGREGATE,2024-07-08
2014,LT,DK31,2_PROFESSIONALS,110055,4.57,25.53,58.06,AGRI,48691,41895,4.23,16.05,10.53,13.47,1.0,6.57,112489,EURES_EXPORT,2024-11-06
2015,PT,PT438,4_CLERICAL,213542,6.72,26.0,88.22,GREEN_ENERGY,235794,52432,11.9,29.72,11.9,3.14,3.68,20.67,32171,PUBLIC_EMPLOYMENT_SERVICE,2025-04-29
2016,SE,ES67,6_AGRI,147135,2.28,27.37,82.05,HEALTH_CARE,63248,10198,8.66,25.1,6.81,18.01,1.18,22.97,112249,SECTOR_SKILLS_COUNCIL,2024-05-19
2017,CY,ES9,8_PLANT_MACHINE,237386,4.32,35.94,16.16,MANUFACTURING,188192,42679,5.46,26.44,9.55,6.79,2.92,5.14,146860,VACANCY_SCRAPE_AGGREGATE,2024-01-16
2018,FR,PL9,1_MANAGERS,282425,4.14,25.23,80.4,LOGISTICS,18949,11644,19.08,20.41,2.36,6.48,1.39,17.88,36029,EURES_EXPORT,2025-01-03
2019,IT,RO24,3_TECHNICIANS,232002,0.67,41.46,74.43,FINANCE,32249,35966,6.98,9.15,9.11,18.68,6.68,0.39,122790,PUBLIC_EMPLOYMENT_SERVICE,2025-04-16
2020,NL,IE31,5_SERVICE_SALES,180348,3.64,20.81,51.87,PUBLIC_ADMIN,257717,11739,15.38,27.46,12.52,23.18,5.18,18.26,15831,SECTOR_SKILLS_COUNCIL,2024-06-14
2021,SI,HR51,7_CRAFT,408383,4.92,21.36,95.5,ICT,142461,314114,10.66,22.1,21.25,7.07,9.3,22.11,115178,VACANCY_SCRAPE_AGGREGATE,2024-03-27
2022,BG,BE41,9_ELEMENTARY,25819,7.72,38.21,106.19,CONSTRUCTION,139810,44762,15.89,15.05,21.6,12.2,9.29,8.19,4183,EURES_EXPORT,2024-04-07
2023,EE,BE173,2_PROFESSIONALS,195275,1.86,49.82,61.75,HOSPITALITY,25649,46328,5.07,10.91,13.9,2.64,8.22,16.27,81652,PUBLIC_EMPLOYMENT_SERVICE,2024-01-31
2024,HU,CZ45,4_CLERICAL,107273,3.41,30.62,53.02,EDUCATION,116504,255978,7.99,15.86,3.75,25.26,4.81,10.85,25106,SECTOR_SKILLS_COUNCIL,2024-01-16
2025,LU,SE5,6_AGRI,29243,2.48,29.75,40.58,AGRI,171264,41323,13.9,12.61,7.19,17.05,3.24,4.09,87195,VACANCY_SCRAPE_AGGREGATE,2024-01-02
2006,RO,EE6,8_PLANT_MACHINE,141910,3.68,19.79,56.15,GREEN_ENERGY,115231,80034,12.72,23.16,6.89,17.27,4.07,14.32,70662,EURES_EXPORT,2025-01-10
2007,AT,DE56,1_MANAGERS,177133,8.53,45.18,95.59,HEALTH_CARE,372589,130260,5.07,11.52,3.79,8.87,1.8,11.73,657,PUBLIC_EMPLOYMENT_SERVICE,2024-07-16
2008,CZ,SI205,3_TECHNICIANS,171393,4.8,58.92,55.13,MANUFACTURING,131497,28731,9.89,19.95,3.73,12.6,1.51,4.15,84563,SECTOR_SKILLS_COUNCIL,2024-07-18
2009,DE,RO92,5_SERVICE_SALES,89339,5.17,31.52,16.61,LOGISTICS,233175,61382,13.73,10.72,3.82,11.26,3.62,4.54,41043,VACANCY_SCRAPE_AGGREGATE,2025-04-24
2010,LV,HU74,7_CRAFT,20141,4.25,31.25,53.22,FINANCE,124808,113562,5.42,22.6,9.1,8.47,2.76,17.19,104382,EURES_EXPORT,2024-09-14
2011,PL,BE423,9_ELEMENTARY,120122,0.69,46.85,81.13,PUBLIC_ADMIN,39952,24517,15.87,15.41,3.35,18.39,0.19,8.97,101238,PUBLIC_EMPLOYMENT_SERVICE,2024-05-17
2012,ES,DK578,2_PROFESSIONALS,195180,9.37,71.86,98.48,ICT,72365,87867,12.12,32.87,10.23,11.63,4.44,31.51,34920,SECTOR_SKILLS_COUNCIL,2024-02-02
2013,HR,AT707,4_CLERICAL,101434,4.96,34.01,21.98,CONSTRUCTION,228521,19372,2.91,7.89,2.72,13.21,2.38,13.23,148773,VACANCY_SCRAPE_AGGREGATE,2024-01-10
2014,FI,FR9,6_AGRI,189109,2.72,18.32,42.38,HOSPITALITY,107751,125712,8.47,29.7,6.5,14.2,1.86,10.73,6620,EURES_EXPORT,2025-05-25
2015,IE,PL1,8_PLANT_MACHINE,161334,2.49,21.89,12.91,EDUCATION,70547,110192,3.82,25.95,9.62,3.25,1.06,3.05,55803,PUBLIC_EMPLOYMENT_SERVICE,2025-09-17
