imm_legal_admission_fiscal_year,imm_legal_visa_category_code,imm_legal_country_of_chargeability,imm_legal_consulate_post_code,imm_legal_applications_received,imm_legal_applications_approved,imm_legal_applications_denied,imm_legal_processing_time_days_median,imm_legal_priority_date_backlog_months,imm_legal_adjustment_of_status_flag,imm_legal_principal_applicant_flag,imm_legal_derivative_count,imm_legal_employment_based_indicator,imm_legal_family_based_indicator,imm_legal_humanitarian_indicator,imm_legal_inadmissibility_ground_code,imm_legal_waiver_granted_flag,imm_legal_age_at_admission,imm_legal_intended_state_destination_code,imm_legal_data_extract_date
2021,CR1,EG,BLR,158287,36097,72496,139.9842,50.75,0,0,4,0,0,0,212A3,0,44,OR,2020-03-18
2018,H2A,MX,PAR,41014,41014,0,133.6543,117.62,0,1,1,0,1,0,NONE,0,17,CO,2020-03-19
2018,EB1,CN,BLR,60664,60664,0,140.8644,231.61,0,0,3,0,0,0,NONE,0,30,CO,2020-03-20
2013,O1,BD,CDMX,116658,116658,0,331.4645,101.01,1,0,0,1,1,1,NONE,0,26,MD,2020-03-21
2014,PAROLE,NG,LON,25717,25717,0,315.8846,198.05,0,1,5,0,0,0,NONE,0,67,CA,2020-03-22
2019,H1B,JP,LON,107512,107512,0,38.3947,7.63,0,1,2,1,0,1,NONE,0,65,PA,2020-03-23
2016,H2A,GB,GZC,244736,60044,184684,204.8248,164.01,0,1,1,0,0,0,NONE,0,50,MI,2020-03-24
2012,IR1,MX,BJG,242659,198058,5985,344.3249,222.75,0,0,4,0,1,0,NONE,0,20,OR,2020-03-25
2025,EB2,KR,GZC,175720,57452,107991,218.155,40.99,0,1,5,1,1,0,NONE,0,81,MN,2020-03-26
2013,O1,GB,MAD,174917,34985,106637,152.3551,153.25,0,1,4,1,0,1,NONE,0,50,FL,2020-03-27
2015,EB1,CO,SHG,89484,89484,0,133.9252,93.87,0,1,4,1,1,0,NONE,0,81,MD,2020-03-28
2018,K1,CO,CHE,73014,73014,0,294.5853,8.12,0,1,0,0,1,0,NONE,0,17,MA,2020-03-29
2010,O1,KR,FRA,102399,102399,0,37.3854,92.57,0,1,0,0,1,0,212A6,0,76,NY,2020-03-30
2015,EB1,ET,BJG,1851,1851,0,49.5055,73.32,1,1,2,1,1,0,NONE,0,28,PA,2020-03-31
2016,L1,ES,CDMX,105250,105250,0,32.4856,103.16,0,0,0,1,1,1,NONE,0,41,AZ,2020-04-01
2024,J1,BR,CHE,178611,149279,11553,262.0057,102.63,0,1,4,1,0,0,212A7,0,81,GA,2020-04-02
2014,J1,PH,PAR,109536,109536,0,284.0658,169.61,0,0,2,0,1,0,212A6,0,66,TX,2020-04-03
2014,B1B2,VN,CHE,190411,52930,130604,92.7659,157.91,0,1,4,0,0,0,212A3,1,7,NJ,2020-04-04
2016,H2A,CO,HYD,38273,15033,3898,254.296,110.11,0,1,3,1,1,0,NONE,0,67,WA,2020-04-05
2024,H2B,MX,DEL,43833,43833,0,70.8661,46.41,1,1,6,0,0,0,NONE,0,85,VA,2020-04-06
2015,K1,CN,ABJ,65167,65167,0,284.0462,38.56,0,1,0,0,0,0,NONE,0,27,OH,2020-04-07
2015,PAROLE,NG,LON,208196,70202,99749,331.0863,103.0,1,0,4,0,1,0,212A1,0,24,WA,2020-04-08
2016,U,IN,MAD,7465,7465,0,242.8864,131.47,1,1,4,0,1,0,NONE,0,61,AZ,2020-04-09
2020,U,CN,BJG,180825,180825,0,151.6665,228.04,0,0,4,0,1,0,NONE,0,43,WA,2020-04-10
2022,DV,CN,LAG,67491,838,31803,317.6866,163.68,0,1,5,0,1,0,212A4,0,84,FL,2020-04-11
2017,TPS,EG,HAN,46579,46579,0,146.0867,4.89,0,1,2,0,0,0,212A6,0,74,OH,2020-04-12
2012,K1,DE,ABJ,195183,195183,0,126.5168,179.1,0,1,6,1,0,0,212A6,0,59,PA,2020-04-13
2019,U,EG,HCM,206180,145939,26116,259.3069,76.17,1,1,2,0,0,0,NONE,0,8,CO,2020-04-14
2021,CR1,EG,SHG,15963,15963,0,73.407,120.7,0,1,0,0,1,0,NONE,0,54,NY,2020-04-15
2012,L1,CN,MUM,56919,56919,0,202.0071,42.48,0,1,2,0,1,0,NONE,0,31,MI,2020-04-16
2025,B1B2,PK,MAD,58445,58445,0,333.8672,12.7,0,1,1,0,0,0,NONE,0,42,NY,2020-04-17
2022,CR1,NG,GDL,231451,35656,167873,327.5473,123.25,0,1,2,1,1,0,NONE,0,76,TX,2020-04-18
2021,L1,KR,BLR,8092,8092,0,108.7874,185.26,0,0,4,0,1,0,NONE,0,80,OR,2020-04-19
2023,H2B,MX,HCM,244402,97653,132197,51.3675,189.38,1,1,5,0,0,0,NONE,0,9,FL,2020-04-20
2016,U,AR,BJG,212079,102287,63370,277.4776,82.14,1,0,2,1,1,0,212A1,0,14,CO,2020-04-21
2018,H2B,IN,GDL,190423,4772,141569,228.1677,16.48,1,1,6,1,0,0,NONE,0,58,VA,2020-04-22
2014,H2A,NG,BJG,158316,158316,0,60.9778,146.47,0,0,1,0,0,0,NONE,0,64,NC,2020-04-23
2022,U,IN,ROM,228485,213580,0,143.0479,17.43,1,1,4,0,0,0,212A7,1,51,MI,2020-04-24
2020,PAROLE,PH,LAG,95753,95753,0,187.668,111.49,0,1,4,1,0,0,NONE,0,65,MN,2020-04-25
2025,F1,PH,HAN,9908,9908,0,216.1581,80.41,0,1,0,0,1,0,NONE,0,18,MD,2020-04-26
2023,B1B2,DE,MAD,148549,136860,0,297.1582,117.17,0,1,2,1,0,0,NONE,0,58,NY,2020-04-27
2024,EB1,NG,MNL,239916,118554,113602,220.3783,161.94,0,1,3,1,1,0,NONE,1,49,AZ,2020-04-28
2019,T,VN,BLR,18344,18344,0,215.1884,210.79,0,0,6,1,0,0,212A1,0,38,MN,2020-04-29
2018,U,CO,HYD,59980,59980,0,311.3985,222.75,0,1,5,0,1,0,NONE,0,12,PA,2020-04-30
2017,EB3,MX,LON,241241,50480,176846,189.6586,225.52,0,0,0,1,0,0,NONE,0,60,VA,2020-05-01
2018,CR1,MX,MUM,133281,21478,65164,210.2387,88.34,0,1,3,1,1,0,212A8,0,46,IL,2020-05-02
2017,T,BD,CDMX,78514,78514,0,217.6288,81.7,1,1,6,0,0,0,NONE,0,19,WA,2020-05-03
2020,TPS,CO,LAG,136509,136509,0,81.0089,179.25,0,1,5,1,1,0,NONE,0,84,MN,2020-05-04
2025,EB3,ES,GDL,149986,45844,78058,349.369,218.34,0,0,3,0,0,0,212A9,0,75,CA,2020-05-05
2017,H2B,VN,LAG,185964,11798,133189,231.5691,217.19,0,1,4,1,1,0,212A4,0,85,MA,2020-05-06
2010,F1,PH,MAD,33726,33726,0,149.5892,181.65,0,1,4,0,0,0,NONE,0,3,MA,2020-05-07
2021,B1B2,FR,HCM,23788,23788,0,205.0693,216.11,0,0,3,1,1,0,NONE,1,80,FL,2020-05-08
2023,EB3,ET,LON,191666,191666,0,36.3994,121.62,0,1,1,0,0,0,NONE,0,52,CO,2020-05-09
2025,EB2,EG,SHG,29044,29044,0,176.9795,182.56,1,1,0,0,0,0,NONE,1,21,CO,2020-05-10
2010,J1,NG,HCM,83918,80750,0,357.1496,77.79,0,1,0,1,1,0,NONE,0,83,PA,2020-05-11
2017,IR1,GB,HAN,141591,141591,0,31.4697,78.47,0,0,6,1,1,1,212A8,0,1,PA,2020-05-12
2025,EB1,EG,CHE,229055,90310,138239,156.3498,100.89,0,1,1,0,1,0,NONE,0,75,IL,2020-05-13
2016,F1,NG,HAN,59687,59687,0,205.0099,90.68,0,1,2,0,1,0,212A1,0,65,TX,2020-05-14
2010,DV,GB,PAR,199612,199612,0,53.46,18.5,1,1,3,0,0,0,212A7,0,66,IL,2020-05-15
2011,EB1,EG,BJG,21686,21686,0,354.7201,1.85,0,1,5,0,1,0,NONE,0,0,NC,2020-05-16
2024,TPS,MX,MUM,177854,135368,3655,77.5202,183.42,0,0,2,0,1,0,NONE,0,38,TX,2020-05-17
2023,IR1,EG,BJG,76098,76098,0,1.7603,52.93,0,1,4,1,0,0,NONE,0,9,AZ,2020-05-18
2022,F1,ES,CHE,66169,66169,0,108.0704,63.63,0,1,4,1,0,0,NONE,0,20,AZ,2020-05-19
2025,F1,IT,HAN,243029,152359,76035,326.3405,121.82,1,1,1,0,0,0,NONE,0,38,IL,2020-05-20
2010,H1B,JP,FRA,180876,158792,380,88.5506,5.56,1,1,1,0,0,0,NONE,0,35,NY,2020-05-21
2011,B1B2,DE,BJG,68976,68976,0,1.5207,119.56,0,1,3,0,1,0,NONE,1,84,TX,2020-05-22
2022,EB2,IT,ROM,40742,40742,0,228.3008,36.38,0,1,6,0,0,0,NONE,0,79,NJ,2020-05-23
2012,H2B,ET,HCM,2504,2504,0,98.7709,212.89,0,0,0,1,0,0,NONE,0,83,IL,2020-05-24
2023,H2A,KR,ABJ,110655,5083,102328,236.001,104.64,1,1,4,1,1,0,212A6,0,13,OR,2020-05-25
2024,J1,AR,SHG,132907,101059,17585,269.2311,47.46,1,0,3,0,1,0,NONE,0,2,CA,2020-05-26
2018,T,PH,MAD,89162,89162,0,78.3012,57.08,1,0,4,1,1,0,NONE,0,81,VA,2020-05-27
2013,TPS,JP,MAD,173380,81203,67835,313.9113,20.78,0,1,0,1,0,0,NONE,0,11,NJ,2020-05-28
2021,IR1,VN,LAG,196765,196765,0,12.5614,168.24,0,0,2,0,0,0,NONE,0,86,MI,2020-05-29
2025,IR1,CN,MAD,242784,86797,114143,105.0115,134.51,0,0,5,0,1,0,NONE,0,18,VA,2020-05-30
2014,O1,MX,HYD,93070,93070,0,86.2116,76.77,1,1,6,0,0,1,NONE,0,85,VA,2020-05-31
2019,F1,MX,DEL,134233,134233,0,181.8517,125.27,0,1,5,1,1,0,NONE,0,67,MA,2020-06-01
2025,EB2,AR,PAR,23323,23323,0,156.2818,131.78,0,1,4,0,0,0,NONE,0,20,MD,2020-06-02
2020,H2A,GB,HAN,65929,65929,0,138.1219,230.79,0,1,0,0,1,0,NONE,0,73,NC,2020-06-03
2025,K1,EG,MUM,42923,42923,0,195.562,175.62,0,1,3,0,1,0,NONE,1,52,CA,2020-06-04
2013,CR1,ET,FRA,225675,62471,115311,251.0621,210.65,1,0,4,1,0,0,NONE,0,77,VA,2020-06-05
2015,O1,CN,LON,66950,66950,0,67.5622,133.82,1,0,0,1,1,0,212A2,0,82,AZ,2020-06-06
2013,U,KR,CHE,143778,107363,31143,106.3923,0.77,0,1,0,0,0,0,NONE,0,13,IL,2020-06-07
2014,J1,KR,HCM,196689,144310,41900,274.7224,218.18,1,1,4,1,0,0,NONE,0,52,NJ,2020-06-08
2020,U,CN,HAN,71776,71776,0,98.7925,145.81,1,1,6,0,0,0,NONE,0,4,MN,2020-06-09
2021,TPS,MX,HYD,157927,134942,9274,113.3126,184.13,0,0,0,0,0,0,NONE,0,1,NJ,2020-06-10
2024,F1,JP,HAN,208591,181878,17609,315.6427,194.02,0,1,1,1,0,1,212A4,0,56,CO,2020-06-11
2021,CR1,AR,CDMX,218227,140024,69883,135.7228,195.88,0,0,6,0,1,0,NONE,0,57,CO,2020-06-12
2020,TPS,JP,GDL,84953,84953,0,113.5729,206.52,0,0,0,0,0,0,NONE,0,63,PA,2020-06-13
2020,EB2,BD,SHG,56877,10470,44384,250.883,87.34,0,1,4,1,0,0,NONE,0,86,TX,2020-06-14
2014,ASYLEE,KR,BJG,228122,66370,131407,315.9831,58.69,1,1,1,1,0,0,NONE,0,22,FL,2020-06-15
2025,EB1,IT,HCM,160018,94576,31791,260.2332,105.12,1,0,2,1,1,0,NONE,1,59,TX,2020-06-16
2020,T,NG,LAG,84603,84603,0,204.2333,108.1,0,0,3,1,1,0,NONE,0,70,MA,2020-06-17
2019,H1B,VN,HYD,168111,168111,0,188.5134,41.04,1,0,4,0,0,0,NONE,0,25,CO,2020-06-18
2025,B1B2,IT,DEL,120133,120133,0,31.3935,10.38,0,1,3,0,0,0,NONE,0,66,VA,2020-06-19
2016,EB3,BR,ROM,230985,130172,51832,330.9936,212.25,0,1,0,0,0,0,212A6,0,3,IL,2020-06-20
2014,K1,DE,FRA,58682,58682,0,341.8237,172.67,0,1,4,1,1,0,NONE,0,80,VA,2020-06-21
2023,L1,BR,MNL,116691,116691,0,74.0238,195.79,0,1,3,0,0,0,NONE,0,52,MI,2020-06-22
2024,TPS,EG,ROM,160650,84190,29136,24.5739,137.7,0,1,2,0,0,0,NONE,0,29,MN,2020-06-23
2013,K1,MX,GZC,153213,153213,0,227.634,67.88,1,1,0,0,0,1,212A2,0,49,OH,2020-06-24
2021,EB2,MX,DEL,5493,5493,0,295.0541,144.8,0,1,0,0,1,0,NONE,0,45,FL,2020-06-25
2019,PAROLE,PK,MAD,130315,130315,0,337.1742,195.65,1,1,1,0,0,0,NONE,0,14,NJ,2020-06-26
2017,O1,BD,MNL,56004,31740,0,303.7343,38.74,0,1,3,1,0,0,212A3,0,13,FL,2020-06-27
2016,CR1,AR,BLR,70765,35902,30685,180.8344,84.75,0,1,0,1,0,0,212A4,0,77,TX,2020-06-28
2019,H2A,KR,SHG,202205,202205,0,126.5245,92.62,0,1,4,0,0,0,NONE,0,6,TN,2020-06-29
2019,DV,CN,CDMX,103084,103084,0,240.2346,33.78,0,1,2,0,0,0,NONE,0,41,CA,2020-06-30
2011,IR1,BD,CDMX,110848,73662,0,163.6747,112.53,1,1,5,1,0,0,NONE,0,54,CO,2020-07-01
2014,F1,BR,CHE,63468,63468,0,145.9348,236.08,0,0,4,0,0,0,212A6,0,79,WA,2020-07-02
2014,PAROLE,AR,MAD,162115,43332,113335,115.2249,95.33,0,0,4,0,0,0,212A7,0,29,NJ,2020-07-03
2024,H2B,AR,ROM,187063,17038,166562,197.725,120.43,1,1,5,1,1,0,212A3,0,73,NY,2020-07-04
2017,H1B,IN,ABJ,113786,96456,0,315.8551,53.67,1,0,5,0,1,0,NONE,0,5,OH,2020-07-05
2025,ASYLEE,CN,SHG,229245,52562,150006,49.3052,12.82,1,1,0,1,0,0,212A6,0,81,FL,2020-07-06
2010,TPS,CN,MAD,196600,196600,0,248.3753,129.75,1,0,2,1,1,0,NONE,0,26,FL,2020-07-07
2017,ASYLEE,PK,GZC,208009,191773,10824,179.2554,136.78,1,1,4,1,1,1,NONE,0,78,NY,2020-07-08
2011,K1,FR,GZC,151554,126672,0,281.5055,175.41,0,0,0,1,0,0,NONE,0,47,MN,2020-07-09
2025,B1B2,KR,DEL,232306,53878,166178,144.9756,205.6,1,1,4,1,0,1,212A5,0,26,OR,2020-07-10
2022,PAROLE,BR,SHG,246134,205288,26478,295.7057,72.48,0,0,2,0,1,0,NONE,0,53,GA,2020-07-11
2023,B1B2,IN,BJG,195484,23243,168380,303.3958,50.48,1,1,0,0,1,0,NONE,0,61,TX,2020-07-12
2025,EB3,CO,MAD,56569,56569,0,53.7459,236.76,1,1,0,0,1,0,NONE,0,19,MA,2020-07-13
2014,F1,FR,CHE,219489,112898,61263,164.996,94.57,1,1,2,0,1,0,NONE,0,63,NY,2020-07-14
2016,K1,VN,MAD,154611,154611,0,79.5661,51.46,0,1,2,1,1,0,NONE,0,22,TX,2020-07-15
2011,H2A,BR,PAR,148406,148406,0,121.5162,60.4,1,1,0,0,0,0,212A4,0,49,AZ,2020-07-16
2019,H1B,BD,FRA,41626,41626,0,291.1063,170.12,0,1,1,0,1,0,212A2,0,59,CA,2020-07-17
2016,O1,JP,CHE,47352,7242,23051,70.6264,108.47,1,0,1,0,1,0,NONE,0,26,MD,2020-07-18
2015,H2B,MX,CHE,223623,14976,204239,74.3165,220.06,0,1,6,0,0,0,NONE,0,40,PA,2020-07-19
2021,J1,NG,MAD,55010,55010,0,113.8266,5.94,0,1,1,0,1,0,212A6,0,86,AZ,2020-07-20
2018,EB3,DE,GDL,126693,126693,0,37.7267,79.65,1,1,1,1,0,0,212A1,0,1,CO,2020-07-21
2015,O1,VN,ROM,105971,105971,0,260.3568,83.24,0,0,5,0,0,1,NONE,0,8,GA,2020-07-22
2020,IR1,KR,SHG,29585,3383,0,271.7669,30.14,0,1,6,1,1,0,NONE,1,10,MN,2020-07-23
2019,H2A,CO,DEL,212530,54343,151124,247.457,183.75,1,1,4,0,0,0,NONE,0,42,MA,2020-07-24
2020,H2A,IT,MUM,218310,218310,0,114.4271,115.91,1,1,1,1,0,0,NONE,0,66,TN,2020-07-25
2017,J1,NG,BLR,105938,105938,0,337.3072,235.15,0,1,0,0,1,0,NONE,0,89,NY,2020-07-26
2025,J1,EG,MAD,72128,1745,49749,228.1873,179.04,0,1,2,0,0,0,NONE,0,49,FL,2020-07-27
2020,EB3,EG,HAN,1056,1056,0,210.9174,25.83,0,1,6,0,0,0,NONE,0,82,VA,2020-07-28
2019,O1,EG,GDL,72059,11046,37112,4.1175,195.36,1,1,5,1,0,0,212A3,0,13,MI,2020-07-29
2011,U,BD,LAG,99094,99094,0,234.1776,236.3,0,0,3,1,0,0,NONE,0,55,WA,2020-07-30
2020,EB2,IT,MAD,23313,23313,0,23.1377,230.99,0,1,6,1,0,1,212A1,0,37,FL,2020-07-31
2023,PAROLE,ET,HYD,36442,36442,0,6.3278,89.57,1,1,0,1,1,0,212A4,0,24,OH,2020-08-01
2023,TPS,FR,HYD,152282,7200,109570,33.7079,15.87,1,1,6,1,0,0,NONE,0,33,NY,2020-08-02
2012,H2A,PH,ABJ,139708,129719,0,231.788,188.69,1,1,0,1,1,0,NONE,0,28,NC,2020-08-03
2013,B1B2,CO,MAD,234280,56775,131511,103.1981,181.28,0,0,3,1,0,0,212A7,0,58,AZ,2020-08-04
2019,H2B,CO,HYD,59749,19286,27203,10.7582,220.72,1,0,1,0,0,0,NONE,0,53,MI,2020-08-05
2025,CR1,ES,HYD,133633,133633,0,109.1283,93.51,0,1,6,0,1,0,212A7,1,2,CA,2020-08-06
2014,EB1,BD,CHE,249735,28615,220821,346.3484,100.35,1,1,0,1,0,0,NONE,0,75,MD,2020-08-07
2025,B1B2,GB,HCM,199966,69865,122549,92.7485,182.66,0,1,5,1,1,1,NONE,0,83,CA,2020-08-08
2021,J1,NG,GZC,42678,42678,0,310.3986,7.95,0,0,5,1,0,0,NONE,0,48,IL,2020-08-09
2012,PAROLE,PH,FRA,190025,174463,0,233.0987,191.63,0,1,1,0,0,0,212A1,0,29,TX,2020-08-10
2019,H2B,GB,HAN,81272,65862,0,126.0488,0.46,1,0,1,1,1,0,212A8,0,81,CO,2020-08-11
2014,EB2,AR,LON,195311,1052,175216,202.2789,210.58,0,1,2,0,1,0,212A6,0,62,NY,2020-08-12
2020,K1,JP,ROM,126797,126797,0,102.449,169.24,0,1,2,0,1,1,NONE,0,48,NJ,2020-08-13
2020,H1B,PH,ABJ,144656,144656,0,210.5691,196.54,0,0,2,0,1,0,212A9,0,88,AZ,2020-08-14
2016,K1,VN,MNL,195140,195140,0,265.2392,227.58,0,0,2,1,0,0,NONE,0,90,TN,2020-08-15
2011,EB1,ET,LAG,108668,108668,0,358.6793,31.71,0,1,6,1,0,0,212A6,0,28,VA,2020-08-16
2013,TPS,ET,BJG,186296,87019,70325,218.1594,23.42,0,1,1,1,0,0,212A7,1,30,AZ,2020-08-17
2010,TPS,CN,MNL,8267,8267,0,238.5195,193.86,0,0,6,0,1,0,NONE,0,5,NJ,2020-08-18
2013,H2A,GB,LON,222119,176960,36539,161.4896,207.34,0,1,0,1,1,0,NONE,0,24,FL,2020-08-19
2011,H2B,IN,HYD,181459,176303,0,49.1697,93.63,0,1,0,0,0,0,NONE,0,89,CO,2020-08-20
2010,H1B,GB,DEL,244485,76021,131430,192.7498,91.01,0,1,1,1,1,1,NONE,0,58,OH,2020-08-21
2011,DV,PH,ROM,159387,159387,0,346.3899,68.78,0,1,2,0,0,0,NONE,0,77,MA,2020-08-22
2023,L1,JP,ROM,196007,131498,63043,173.24,223.52,1,1,0,1,0,0,NONE,0,41,NC,2020-08-23
2020,IR1,EG,MAD,231073,229878,0,331.3601,40.98,0,1,0,0,0,0,212A6,0,15,PA,2020-08-24
2022,EB2,KR,HAN,129703,129703,0,48.3502,44.77,1,1,3,0,1,0,NONE,0,44,PA,2020-08-25
2023,ASYLEE,ET,CDMX,217391,124871,75350,86.2703,217.99,0,1,5,0,1,0,212A2,0,58,MA,2020-08-26
2013,K1,CN,MUM,22623,22623,0,78.5504,112.67,0,1,0,1,1,0,NONE,0,46,FL,2020-08-27
2018,EB2,KR,FRA,236577,24538,199125,4.5905,239.73,0,1,5,0,0,0,NONE,0,23,NY,2020-08-28
2010,K1,FR,SHG,67986,67986,0,5.0806,168.32,0,1,5,1,1,0,NONE,0,68,TX,2020-08-29
2020,H2B,ET,ABJ,191343,174752,10940,85.3607,210.66,1,0,5,0,1,0,NONE,1,79,IL,2020-08-30
2019,K1,VN,PAR,41704,41704,0,294.6808,108.06,0,1,5,1,0,0,212A9,0,66,CA,2020-08-31
2013,ASYLEE,MX,LAG,173156,173156,0,287.5109,149.63,1,0,6,0,0,0,212A6,0,25,OH,2020-09-01
2017,L1,IT,HYD,12784,12784,0,144.501,220.17,1,1,3,0,0,0,212A9,0,51,OH,2020-09-02
2013,CR1,ET,CDMX,181016,77691,74348,16.5111,200.73,0,1,1,1,1,0,212A1,0,5,CA,2020-09-03
2019,EB1,IT,GDL,135736,62582,47075,96.1812,153.6,0,0,1,0,1,0,NONE,0,42,CO,2020-09-04
2011,EB3,MX,LAG,165450,165450,0,229.9613,95.63,0,1,1,0,1,0,NONE,0,48,CO,2020-09-05
2020,DV,JP,PAR,119256,34686,63757,138.2014,33.4,0,1,0,1,1,0,NONE,0,8,MN,2020-09-06
2022,T,JP,PAR,154809,154809,0,277.0415,162.79,1,1,0,0,0,0,NONE,0,45,NJ,2020-09-07
2014,EB1,BR,GZC,82190,82190,0,58.7916,199.53,0,1,3,1,1,0,NONE,0,13,MD,2020-09-08
2010,U,ES,ABJ,214052,65625,119847,157.1217,72.67,0,1,6,0,0,0,NONE,0,13,OR,2020-09-09
2012,B1B2,PH,LAG,181593,170662,1560,162.0618,98.38,0,0,6,0,1,0,212A3,0,40,FL,2020-09-10
2011,H1B,GB,HCM,5271,5271,0,140.8819,106.08,1,1,2,1,1,0,NONE,0,46,GA,2020-09-11
2011,DV,FR,FRA,150850,7627,118006,269.772,233.0,0,0,4,1,1,0,NONE,0,59,NJ,2020-09-12
2010,H2A,BR,SHG,52983,52983,0,260.5321,189.86,1,1,5,0,0,0,NONE,0,22,OR,2020-09-13
2010,IR1,NG,LON,19583,2530,0,126.2722,114.41,0,0,2,1,0,0,NONE,0,24,TX,2020-09-14
2016,EB1,MX,BJG,227566,190284,2646,115.2323,22.4,0,1,6,1,0,0,NONE,0,34,AZ,2020-09-15
2025,L1,NG,HCM,138351,138351,0,272.5324,79.16,1,0,0,1,1,0,NONE,0,71,MI,2020-09-16
2013,EB2,GB,ROM,202284,166986,8241,312.2925,108.02,0,1,3,0,0,0,NONE,1,85,VA,2020-09-17
2025,U,AR,CDMX,246992,130225,112295,140.7626,233.1,0,1,6,1,1,0,NONE,0,7,CA,2020-09-18
2024,EB3,CO,HYD,120667,72986,43353,152.8127,14.52,0,1,2,1,0,0,212A5,0,26,NJ,2020-09-19
2011,F1,FR,BLR,133628,44008,47720,346.1728,164.27,1,1,0,0,0,0,212A5,0,58,MN,2020-09-20
2016,EB3,IN,DEL,180396,121741,19131,285.7429,173.31,1,1,2,1,1,0,212A4,0,63,OH,2020-09-21
2013,L1,IN,CDMX,28320,28320,0,125.723,225.69,0,1,3,0,0,0,212A4,0,59,WA,2020-09-22
2017,H2A,GB,SHG,122399,74780,2872,90.0431,237.36,1,0,5,1,0,0,NONE,0,57,TN,2020-09-23
2015,K1,IN,BJG,116836,38426,46070,182.9332,56.02,0,1,1,0,0,0,NONE,0,39,MN,2020-09-24
2023,U,IT,CHE,7216,7216,0,177.2533,37.51,0,0,0,0,1,1,NONE,0,53,PA,2020-09-25
2025,B1B2,ET,PAR,213063,79044,97723,146.0334,114.56,0,1,5,0,1,1,212A3,0,29,AZ,2020-09-26
2025,H2B,JP,SHG,45475,45475,0,278.6435,8.83,0,1,4,0,0,0,NONE,0,5,OH,2020-09-27
2022,DV,CN,HAN,96303,96303,0,280.7936,10.45,0,0,3,0,0,0,NONE,0,62,IL,2020-09-28
2017,B1B2,NG,MNL,187822,44957,124109,104.5137,111.18,0,1,1,0,0,0,NONE,0,39,CA,2020-09-29
2021,J1,MX,PAR,214147,214147,0,361.9138,118.31,1,1,5,1,1,0,NONE,0,32,CO,2020-09-30
2011,TPS,NG,ABJ,242150,120206,93072,62.6239,49.09,1,0,0,0,0,0,212A1,0,87,CA,2020-10-01
2015,J1,FR,DEL,154977,142245,3526,198.384,49.77,1,0,1,0,0,0,NONE,0,77,NY,2020-10-02
2013,H2A,BR,DEL,214429,102288,111786,105.6341,115.59,0,1,4,0,1,0,212A2,0,4,AZ,2020-10-03
2023,EB3,EG,MAD,185134,185134,0,27.3742,143.53,0,0,4,1,1,0,212A5,0,53,WA,2020-10-04
2021,EB2,JP,HYD,99288,68162,29280,173.8843,174.79,1,0,4,1,1,0,NONE,0,7,NC,2020-10-05
2017,T,EG,PAR,167632,45062,106178,188.3444,5.91,0,0,2,0,1,0,NONE,0,9,GA,2020-10-06
2021,DV,BR,BLR,163735,103037,28449,37.0045,192.43,0,0,6,1,0,0,NONE,0,33,NJ,2020-10-07
2015,EB2,ES,CHE,68809,68809,0,108.0546,186.76,0,1,3,1,0,0,212A2,0,23,NJ,2020-10-08
2018,T,IN,LAG,218250,73786,109349,325.5647,225.17,0,1,6,1,1,0,NONE,0,44,MA,2020-10-09
2019,B1B2,PK,MAD,211434,157591,13492,317.3748,207.37,0,1,5,1,1,0,212A1,0,56,OH,2020-10-10
2024,ASYLEE,AR,CDMX,98629,8791,42786,10.7949,152.53,0,1,6,1,1,0,NONE,0,86,PA,2020-10-11
2021,DV,ET,ROM,226071,226071,0,355.075,50.97,0,1,3,0,0,0,NONE,0,29,CO,2020-10-12
2016,F1,DE,CDMX,21267,21267,0,276.5051,173.05,0,0,4,0,1,0,212A9,0,70,MD,2020-10-13
2022,PAROLE,IT,CHE,37594,37594,0,60.5952,173.55,0,1,5,0,1,0,212A1,0,35,GA,2020-10-14
2010,DV,VN,LAG,112033,70067,5323,326.8253,211.56,1,1,3,0,0,0,NONE,0,89,TN,2020-10-15
2024,J1,KR,BJG,199972,27446,150387,234.3554,95.87,0,0,2,1,0,0,NONE,0,78,NY,2020-10-16
2011,L1,KR,MNL,103178,103178,0,78.3555,75.12,0,1,2,1,0,0,NONE,0,32,MA,2020-10-17
2021,IR1,MX,SHG,181514,181514,0,326.1956,218.49,0,1,3,1,0,0,NONE,0,77,FL,2020-10-18
2019,IR1,FR,HAN,130328,119274,0,334.1957,31.63,1,0,6,1,1,0,NONE,0,1,TX,2020-10-19
2018,ASYLEE,EG,CHE,65556,65556,0,129.4958,206.98,1,0,4,1,0,0,NONE,0,52,PA,2020-10-20
2024,H2B,JP,CDMX,73784,73784,0,9.1059,230.09,0,1,2,0,1,0,NONE,0,62,FL,2020-10-21
2010,DV,ET,FRA,507,507,0,153.696,149.06,1,1,1,0,0,0,NONE,1,61,NY,2020-10-22
2023,K1,PK,GDL,168894,168894,0,88.0561,192.41,0,0,6,0,0,0,NONE,0,27,TN,2020-10-23
2017,EB2,VN,GZC,28211,28211,0,7.6762,156.54,0,1,1,1,0,0,212A3,0,4,TN,2020-10-24
2025,EB2,IN,BLR,165678,47774,70690,134.0063,17.91,0,1,5,1,0,0,NONE,0,13,TN,2020-10-25
2018,H1B,VN,MUM,174646,109091,55293,58.2464,171.86,0,1,1,0,0,0,NONE,0,8,FL,2020-10-26
