econ_output_bea_release_quarter,econ_output_cbsa_code,econ_output_industry_naics_2,econ_output_gross_output_current_dollars,econ_output_gross_output_real_chain,econ_output_value_added_current_dollars,econ_output_value_added_real_chain,econ_output_personal_income_total,econ_output_per_capita_income,econ_output_compensation_of_employees,econ_output_proprietors_income,econ_output_rental_income_persons,econ_output_dividends_interest_rent,econ_output_transfer_receipts,econ_output_contributions_social_insurance,econ_output_price_deflator_index,econ_output_employment_full_time_equiv,econ_output_productivity_index,econ_output_data_revision_indicator,econ_output_benchmark_year
2021Q3,10979,71,242892495,207884710,137676478,117833343,115287692,93674,51967662,18015039,2416301,23043934,21246231,3979084,116.84,659136,93.21,ADV,2022
2018Q3,10980,11,511379038,408514969,359420250,287122743,359697964,42586,132404100,46972571,11602814,66090898,29995226,23825559,125.18,1193837,91.25,FINAL,2022
2020Q1,10981,45,464127212,483818630,255960898,266820492,350244611,85056,194490704,18414786,14074067,74655467,22060303,17554432,95.93,886905,77.22,2ND,2022
2022Q4,10982,51,448572400,396791154,176226485,155883667,167392188,57508,75344558,22019482,13514755,30420574,28077183,11123664,113.05,1958220,137.81,FINAL,2022
2025Q4,10983,52,439240028,420405846,307652903,294461048,322687298,81332,185367390,55421210,15188090,57586163,42759222,16527482,104.48,1262898,84.35,ADV,2017
2016Q4,10984,55,526827462,610177741,219740942,254506535,212064601,35015,122222244,16668037,9040910,34651294,20768265,10452842,86.34,1575947,111.23,3RD,2022
2025Q2,10985,72,335269187,374393285,194475212,217169416,172926922,93010,88239970,26464995,6954286,26097611,10295253,11365407,89.55,1288298,84.14,2ND,2017
2021Q3,10986,56,219127805,253092868,147598636,170476595,118971526,90636,46916844,7427292,7266902,10223086,19201217,2612970,86.58,1595355,143.47,3RD,2012
2019Q1,10987,11,595068475,544834714,398791663,365126958,341792728,100404,209547960,51665211,27062216,63110020,41195081,17235084,109.22,995278,129.94,ADV,2022
2017Q4,10988,49,838710337,689388737,379993503,312340542,384647313,45629,139925393,20229760,24325258,49368481,52450270,23011968,121.66,1617554,92.13,ADV,2022
2023Q2,10989,81,610727826,693614794,347133034,394245354,464144144,63233,200678295,71886205,44676228,59328791,33143731,15295386,88.05,571841,124.56,FINAL,2022
2022Q1,10990,21,562334807,568992014,318780111,322553993,306117340,113663,166271597,49080283,26589831,29131982,46346388,22821383,98.83,1527321,122.12,3RD,2012
2021Q4,10991,44,330378491,381103346,175694159,202669465,176117317,88446,70774895,19715796,15820391,28299601,20177454,10438024,86.69,1370995,102.19,3RD,2017
2022Q3,10992,92,746742738,789118396,549287720,580458332,697208434,78562,307691140,99633725,59299340,71800648,132134759,18083332,94.63,2080408,95.07,BENCH,2022
2018Q4,10993,21,181347460,156414922,91689875,79083901,124436111,52580,56674288,21469922,4454325,23745677,9728563,8342256,115.94,1082048,112.36,FINAL,2017
2024Q3,10994,33,1342653166,1256460009,618210251,578523536,553663733,53740,224070922,57562916,16081469,61559105,100013624,30354200,106.86,606964,132.93,2ND,2012
2017Q2,10995,62,367797441,377654216,224098300,230104015,180173578,107649,111155703,11402921,4849879,27797493,10252889,10552219,97.39,52313,100.56,2ND,2012
2018Q4,10996,48,693149219,701994348,448503953,454227216,512511118,80445,266961765,54597895,31652450,77514420,89798291,15000139,98.74,497426,143.79,FINAL,2022
2020Q3,10997,21,385939427,422576839,149220130,163385667,138089608,80268,57769603,9531380,4917977,12292347,25962308,3760788,91.33,75910,141.99,BENCH,2012
2023Q3,10998,56,512046082,438095553,299630854,256357678,417022292,80382,241800576,29860508,39313835,43008820,37585459,22304714,116.88,309228,131.24,3RD,2022
2025Q3,10999,33,408827198,330018726,145037444,117078983,197348985,111509,86689211,32101068,17913603,23507385,19530880,13792104,123.88,490945,108.01,ADV,2022
2021Q2,11000,52,178245621,156300965,67956368,59589940,54951413,76257,19260948,5148946,5254436,5263318,7500375,3221279,114.04,888092,90.99,2ND,2022
2018Q4,11001,71,664229654,631697246,431123085,410007689,449223287,46305,213281547,77832438,19176233,95036947,86847086,25931362,105.15,452735,93.76,2ND,2022
2017Q4,11002,55,284269088,303026424,191259074,203879196,249437186,80211,130942720,28020904,8391350,34568975,18771236,13348182,93.81,1736080,92.67,3RD,2012
2022Q3,11003,33,273046525,224988897,113538884,93555442,100217861,70957,38937111,8746638,3677673,14165537,7190465,3373867,121.36,1923728,75.21,BENCH,2022
2021Q3,11004,48,380498628,422870224,244029884,271204583,306804136,79909,174691691,26730369,18885541,51184471,31211586,10550197,89.98,247208,79.71,FINAL,2022
2019Q4,11005,11,420588646,434088808,161735643,166927075,182500934,109639,76614451,24327536,8982968,29931119,14440208,13681585,96.89,876903,113.2,FINAL,2022
2017Q1,11006,53,578447127,481557715,425944198,354598899,398727821,97342,185904966,54972578,20220259,85677340,77275983,28267278,120.12,1457706,137.51,FINAL,2012
2021Q1,11007,54,375773899,432172397,138549446,159343814,160356446,84651,96476648,22922782,14608503,13845889,26257174,4688555,86.95,850956,96.87,BENCH,2017
2024Q3,11008,61,1855451631,1660953926,692423698,619840389,681099169,84123,330415935,78652542,21621002,132315735,132654838,16482323,111.71,880814,128.69,ADV,2022
2024Q3,11009,21,224656043,244750020,100258431,109225875,85839727,114022,31035553,5792988,5323795,15479452,12744811,6703970,91.79,1110622,134.88,FINAL,2022
2021Q1,11010,49,412182921,355330104,204464199,176262241,221054872,77100,131127829,13620610,6896171,31081395,24484418,9110895,116.0,1815012,128.79,3RD,2022
2021Q4,11011,54,618480283,470255690,332067639,252484519,308204668,30840,165864926,22757430,20802247,29556901,29963390,21677824,131.52,439115,87.64,BENCH,2022
2020Q4,11012,56,835966869,787681965,414717009,390763223,439955827,43099,260610518,66908118,13232367,57944216,71274798,29922075,106.13,2157358,86.35,2ND,2012
2025Q2,11013,21,664456624,752243433,253097577,286536372,274451370,31720,127646505,25120115,16602435,56423849,47388882,9534006,88.33,863668,100.58,2ND,2022
2019Q4,11014,54,740857896,856186174,466627771,539267041,410284649,110579,241008557,57891112,25390120,58817694,22315466,9711765,86.53,698033,101.9,3RD,2017
2019Q1,11015,44,343054731,259949027,163741843,124075050,214343512,77669,83947398,13427081,10565623,21022172,23882846,9800999,131.97,703938,137.27,3RD,2012
2020Q3,11016,33,653350932,602611079,400626504,369513470,334438339,67562,188304146,18121945,24543372,37852118,65949988,7853643,108.42,882248,88.31,3RD,2022
2017Q4,11017,11,930657860,714132796,566077903,434375309,519799667,104600,301799548,67155624,33213452,76105462,97039664,15150185,130.32,1266140,114.46,2ND,2022
2025Q4,11018,71,620627166,587826450,398402582,377346640,534577307,41828,292708902,35743141,34639171,50020131,39571784,15420607,105.58,330313,84.39,FINAL,2017
2021Q2,11019,21,1606526869,1600923636,920636032,917425044,743325264,96562,420238541,61993216,34870871,130234836,64019151,51940234,100.35,854495,122.07,3RD,2022
2025Q2,11020,45,470969704,476931346,253781341,256993763,226983549,63879,114781754,27620818,10626123,48242800,18413505,14370356,98.75,1171342,115.18,ADV,2022
2023Q1,11021,81,411278378,372197627,164751831,149096680,177547212,70461,81193700,14003045,6669119,16949742,25759606,14091315,110.5,1579043,128.36,ADV,2022
2024Q3,11022,48,205221605,167651013,105916420,86525954,124577291,47469,65834078,11799376,10464129,22396378,15204432,8989297,122.41,1096561,114.64,BENCH,2022
2018Q4,11023,92,389317810,338066872,188219402,163441648,187042131,53209,66620852,12251895,5917209,26872642,24214133,14606482,115.16,1677304,75.51,ADV,2012
2024Q2,11024,45,627121402,540249313,260797199,224670227,301285255,73116,159343090,29705351,29031397,42277679,40731535,12883808,116.08,1479825,138.86,BENCH,2022
2017Q4,11025,49,759580877,823304657,303026338,328448231,271520656,63280,115878073,40115076,16399254,51599564,21444702,17438097,92.26,107265,107.1,3RD,2012
2022Q4,11026,44,975601813,850568276,445051610,388013609,526732238,68395,297977210,72700180,50895999,109416801,73740268,11354902,114.7,2080382,90.21,3RD,2012
2016Q1,11027,51,541663279,565233517,368046378,384061753,369480741,112573,150985570,54942887,27996086,60526522,73439581,14413532,95.83,807321,86.0,BENCH,2017
2018Q3,11028,71,365029390,293644429,211869373,170436307,249469791,60282,114666505,39737011,17597358,44413079,35070783,12361628,124.31,1730618,101.62,ADV,2017
2020Q3,11029,32,250945881,265382700,154502405,163390868,180209976,61785,72022831,13930318,17218681,27795654,17850848,6796782,94.56,2029113,123.76,BENCH,2022
2021Q2,11030,51,442923861,442968158,171474695,171491844,215193271,38010,105482579,12777659,13709363,34906369,30454287,16326589,99.99,978367,118.14,3RD,2022
2024Q3,11031,52,290356499,323986274,142386317,158877836,154292364,107183,78321224,26925614,14566921,17709631,22166640,4514358,89.62,280340,134.65,FINAL,2017
2020Q1,11032,45,439011709,337079015,296899376,227963280,310613174,69783,168916803,20983680,25107070,30912773,38231218,7303629,130.24,999419,139.29,2ND,2017
2021Q3,11033,33,242386373,250943548,143371653,148433226,120215561,99455,47100365,18553332,2556200,19475577,15635772,7290225,96.59,1238051,107.32,2ND,2017
2016Q1,11034,52,406390068,453307382,154179664,171979547,129706345,80171,72189780,13719627,12023765,12296858,18171164,6227416,89.65,540726,87.17,2ND,2012
2019Q4,11035,62,353731463,360435564,194439824,198124948,178459928,29671,81454879,21855630,11072394,31027088,28630488,9902078,98.14,808678,89.69,3RD,2022
2023Q2,11036,81,807661882,771553193,431771084,412467600,440476133,79482,234296338,30125366,10231029,85844132,42481728,22664003,104.68,1721634,114.35,3RD,2012
2018Q1,11037,21,270341114,286560435,144779436,153465588,118763572,86566,47204060,13185880,4137832,24617499,15044063,3694909,94.34,273204,122.04,BENCH,2012
2021Q2,11038,45,208851105,192365391,128706910,118547398,178716530,92304,76585971,24681436,3774812,28571729,30877277,12645272,108.57,1554098,112.76,FINAL,2017
2016Q3,11039,55,718148643,534774475,411553701,306466379,545650986,63608,213801320,75479472,21799459,68062878,73091313,20319753,134.29,622028,81.89,2ND,2017
2016Q1,11040,61,1030124074,773598734,662955321,497863714,922050733,53736,403930739,55270105,62794321,123495535,166221942,37716971,133.16,1373109,122.96,3RD,2012
2018Q1,11041,31,714165337,765450522,294668318,315828851,357303913,107552,216339388,62363894,30446117,28664046,40770178,21823263,93.3,1336389,118.67,ADV,2012
2018Q2,11042,48,451875272,371546844,319284223,262526084,365468787,107853,150074117,39111281,16740033,48298296,44330562,7743189,121.62,1173356,82.7,2ND,2022
2018Q4,11043,31,315816585,326864609,217496257,225104799,245178049,31031,97536795,21013420,13510094,43513039,18475779,10006419,96.62,1260665,104.39,2ND,2017
2023Q2,11044,62,436902704,329092124,180512835,135969294,201406008,98799,78039608,13602470,12046270,27043126,16377445,8879950,132.76,939770,116.87,2ND,2017
2024Q2,11045,92,398234087,376224929,162941088,153935841,173580985,77182,94376939,26712065,10108524,38047097,20366350,7789524,105.85,6324,126.73,ADV,2017
2017Q4,11046,49,266146117,255983569,172704337,166109779,182512263,51155,94070257,9730442,18056767,18540327,33297588,11766823,103.97,716676,91.23,3RD,2017
2016Q3,11047,33,488382337,364192645,258301569,192618620,341468196,87533,189316807,22268679,31591878,55539000,43345067,21277130,134.1,801196,130.67,ADV,2022
2025Q1,11048,32,923779037,832833607,403467188,363746113,430211844,67902,205955383,49842063,20317057,36054385,69578633,18731760,110.92,288219,143.39,ADV,2017
2023Q4,11049,52,743773101,795734568,488100530,522200203,530426127,99065,284518002,92153763,32377611,101983343,85205314,19515042,93.47,1397401,130.4,ADV,2017
2021Q2,11050,72,578855310,508124394,248315186,217973302,335891568,77886,196339867,42521226,23163597,58850344,39183278,25227360,113.92,1084555,81.27,ADV,2017
2024Q4,11051,32,471504708,387878174,215669855,177418439,285283235,46167,151923402,31216593,12692854,34197798,16574254,6063815,121.56,1316362,84.23,3RD,2017
2016Q3,11052,23,297327281,247814037,205786711,171517512,263516257,83482,135025736,19441994,7796715,56297233,28895647,12742175,119.98,460652,103.04,3RD,2012
2018Q4,11053,33,836829960,685308296,553960281,453656769,616698208,86979,257453861,33714106,31856007,128283079,49150468,27779160,122.11,1594297,97.17,FINAL,2012
2021Q3,11054,48,236503595,192373186,162994670,132580665,183109552,84869,65266981,25447779,3728878,34553029,16584153,11407873,122.94,1749573,112.51,ADV,2017
2025Q3,11055,11,166153746,125816861,94363817,71455260,80675302,100089,48947834,13025041,3012079,11807459,13673078,4508415,132.06,522603,105.23,ADV,2022
2020Q1,11056,56,470235251,410470715,239113459,208723341,273151062,102878,109184651,48314943,18555561,38684087,14467134,9308510,114.56,2146367,114.71,2ND,2017
2020Q3,11057,23,392637774,351605421,207823511,186105051,234408182,47404,142184469,41645913,10281557,50967110,31509629,5509999,111.67,2115943,99.33,ADV,2012
2017Q3,11058,81,406361409,325245245,174005833,139271517,177379729,89440,67913049,29967680,13908010,29708416,35406724,13139557,124.94,1688335,86.78,3RD,2012
2019Q1,11059,52,697187113,781249566,411855992,461515007,534385002,111811,314985535,80794279,15471111,80402776,30277270,25340039,89.24,1143491,114.22,ADV,2012
2021Q4,11060,23,635311373,614777795,399153777,386252929,433382466,31217,260852950,36830703,14804763,57308080,47818068,34439242,103.34,1868486,106.74,2ND,2017
2024Q1,11061,56,676266930,582687343,376438754,324348401,375845873,36585,205894663,29337455,17709629,75200145,37830979,23149188,116.06,617871,124.31,ADV,2017
2020Q2,11062,49,836999918,793665767,352988476,334713139,461615900,28355,206766641,30653014,18082214,41671911,45122351,17986196,105.46,1793679,78.03,3RD,2017
2018Q2,11063,56,257323364,211928318,191381826,157619689,215378667,86761,120554708,35349518,20284057,29312528,28611452,17120468,121.42,323878,104.49,2ND,2012
2024Q1,11064,61,1163311037,1036911522,675934161,602490562,752471830,83675,426465890,98826517,24129797,157473751,145524286,39014377,112.19,1613680,130.99,ADV,2017
2025Q1,11065,45,316634703,259536642,184321568,151083252,205378054,108156,121391983,36309150,5575146,43602879,16483221,11544630,122.0,1466093,132.2,FINAL,2012
2019Q4,11066,49,566391306,455958224,300132422,241613607,272491555,65010,98032589,31346829,21866731,52127390,24133855,7674819,124.22,334769,131.61,3RD,2012
2022Q3,11067,49,1238236515,1121794270,747224471,676956397,1009670682,32293,565199708,69989763,29818233,135529288,104776328,32147596,110.38,1333979,97.36,FINAL,2017
2018Q2,11068,21,1095451648,898205681,802047781,657631831,918784651,86503,534050539,81883421,90837880,94220469,147572088,21496513,121.96,729626,105.13,BENCH,2022
2025Q4,11069,23,983559436,1051372994,712748321,761890242,759467672,97366,417314276,128461511,20798714,124646908,112737997,36909925,93.55,1126470,92.64,BENCH,2012
2024Q4,11070,45,479945610,463133851,196738890,189847428,236757934,106376,131558162,36477391,23451901,46919874,13624744,13720865,103.63,145444,92.31,2ND,2017
2016Q3,11071,49,233978037,189302619,121547593,98339477,126342524,47510,44763770,16283199,10969008,18168208,10815428,5485444,123.6,919896,116.96,3RD,2012
2021Q3,11072,55,284249893,331023516,200521846,233517929,222982887,60613,136517201,13961561,20360656,41719464,20528193,8397256,85.87,1071349,133.74,2ND,2012
2016Q4,11073,72,414114160,423906398,177490463,181687443,219864817,94549,102443197,23462193,18820073,39845390,36476726,10653847,97.69,1334386,141.85,FINAL,2017
2023Q2,11074,31,344609740,339216202,224450234,220937330,299794238,77217,161443869,41867664,11056833,63012542,37648252,17284791,101.59,622599,82.24,2ND,2012
2017Q4,11075,49,338883811,264649599,222720819,173932697,208952069,63369,93170257,33758146,7797262,26441884,15415277,7112802,128.05,116280,75.12,FINAL,2012
2022Q2,11076,11,431197270,474416624,182353387,200630858,237892267,39375,108125346,33187115,20383784,32201739,43315579,14432333,90.89,1890678,85.35,FINAL,2017
2017Q3,11077,54,352389403,365776835,124164108,128881158,138698988,72705,69893373,21612932,13530628,27158033,17024522,5610648,96.34,413653,112.45,BENCH,2017
2022Q1,11078,81,374820658,347152596,217348077,201304137,275538425,100292,103591517,35558018,20744471,49475752,19715885,15627453,107.97,126202,85.01,2ND,2017
2024Q2,11079,53,508132280,478602505,212902669,200529970,220164525,86348,81976610,19955541,17634930,32960412,17288415,8625568,106.17,801081,144.48,2ND,2022
2016Q4,11080,31,295627495,276830691,174809478,163694614,166203751,93583,73511173,14106639,5360287,25301833,32367148,4040821,106.79,278685,89.92,FINAL,2022
2024Q4,11081,45,694766991,678284673,518423329,506124504,658951822,40483,294158333,85734315,55123419,98371651,120276063,32215622,102.43,1231335,136.85,3RD,2022
2023Q2,11082,55,778777830,872189305,488350834,546926682,607274857,88969,307171647,42865522,45351097,64495720,76410685,45438549,89.29,1363291,89.22,2ND,2017
2016Q4,11083,71,385898257,358908349,210846138,196099459,223438927,31621,109795895,12660704,11728371,29431725,26703186,8192994,107.52,2191909,127.52,BENCH,2017
2016Q1,11084,33,487559651,480023285,250816731,246939777,205891449,71957,93570541,13079047,16636476,28230475,33557201,8060630,101.57,166815,137.42,FINAL,2012
2024Q1,11085,81,1036569786,856669245,602015860,497533769,597653359,85114,309069611,44899101,15041407,105655653,43059266,20928106,121.0,1753165,133.68,ADV,2017
2018Q3,11086,23,724149656,540975389,313143031,233933237,336591200,34595,186960663,34413055,24554063,70762006,36039582,22406875,133.86,1726993,142.29,3RD,2022
2021Q1,11087,92,1088872134,938278444,571711761,492642620,495887037,41724,193543540,68153431,42047021,103789747,93384423,12097500,116.05,1211819,127.49,BENCH,2017
2024Q1,11088,33,713347481,610429130,494854513,423459279,541079990,72122,204403084,67525991,53313077,106105386,87337756,12557146,116.86,605340,94.86,2ND,2017
2025Q3,11089,92,812567691,927588688,438069684,500079548,439189847,70899,158187223,49594974,9209578,76999082,63443011,13488269,87.6,68444,85.73,ADV,2012
2024Q3,11090,62,365619699,313164624,157129316,134586138,138669264,82642,49349977,22475598,8036706,26689924,14026238,8796662,116.75,2060484,96.5,ADV,2022
2020Q4,11091,49,478020556,445997906,308932329,288236918,296404447,108668,180315330,35360601,19360653,51703805,44108182,23476865,107.18,1566953,127.3,ADV,2017
2019Q2,11092,31,331237421,363917184,158384276,174010411,155348906,40386,68598639,25825199,11554119,32663176,15051811,3971156,91.02,1197170,120.26,3RD,2022
2022Q4,11093,31,505944744,388083719,373850764,286761344,364287034,98395,184429804,53839004,26812471,47275705,48602708,20942033,130.37,1842405,77.8,FINAL,2022
2017Q1,11094,71,636697093,590026034,256471518,237671688,299526933,35586,180296359,35881020,21007257,23987641,52669415,8924529,107.91,1232003,116.48,ADV,2017
2021Q2,11095,56,545673208,412544952,376066851,284317571,357851448,42501,199416684,49404304,7747330,67306068,40586335,26017182,132.27,125334,82.09,ADV,2012
2016Q1,11096,54,229478320,186658793,126379543,102797741,118904329,52575,50312586,15909472,8627887,12175214,23353625,9427490,122.94,507930,133.05,BENCH,2022
2024Q1,11097,55,326875815,284437709,178321371,155170006,223056233,78370,110856420,35281999,16798846,32648714,42590193,8785359,114.92,1002763,82.81,FINAL,2012
2020Q1,11098,62,269212386,202659128,102530805,77183683,128212386,104328,54105588,19436155,4280452,16937656,13265901,4845152,132.84,1651725,116.74,ADV,2012
2018Q1,11099,92,567133632,633668863,361905394,404363569,299374107,111293,114128200,31399749,7482038,53629092,31997034,8443723,89.5,348123,100.47,FINAL,2022
2018Q4,11100,49,398700340,366621002,164556015,151315876,152764330,46723,85272225,15928896,12919025,20384428,20733555,3972258,108.75,1206996,99.54,ADV,2017
2018Q1,11101,23,555220853,498358184,217146192,194907272,234058152,76329,125105455,21674131,12708936,25678282,24842738,10940058,111.41,2085679,123.64,FINAL,2022
2023Q1,11102,31,172170982,164253942,83447137,79609938,101656835,83996,59125904,9090807,10039158,17094657,7128776,3017093,104.82,617600,100.15,ADV,2022
2021Q3,11103,44,509730766,408831221,306807107,246075639,260470763,75513,116386691,32707017,21849032,28815708,44376311,11406047,124.68,1355428,95.62,ADV,2017
2020Q4,11104,55,291235187,293495099,134702322,135747578,144002093,58917,67384093,7920483,12719664,20930284,15498387,6896485,99.23,1137583,139.99,3RD,2022
2020Q4,11105,81,693092911,707382028,303271911,309524302,366382527,63601,201168609,47409813,22488381,45404553,43141481,23767005,97.98,919047,119.04,2ND,2012
2016Q4,11106,61,713557666,801480025,481613947,540956921,508322976,59593,313683541,38692032,29415118,96199570,63772375,35209599,89.03,2157833,114.19,BENCH,2017
2022Q1,11107,22,640565690,523380742,409299309,334422182,563807256,89099,297919700,37942770,16363376,75205917,87292274,20435651,122.39,1052360,83.47,FINAL,2022
2020Q4,11108,49,777035965,758009916,320467706,312620921,314620156,46501,115363224,19344429,8735145,44055550,58120529,21113850,102.51,2114691,104.65,ADV,2022
2023Q2,11109,42,727506626,786919011,396380813,428751555,512586723,47777,307074690,53606571,20632647,47850176,80109390,22397914,92.45,124174,139.67,BENCH,2012
2024Q1,11110,92,374590378,335474098,206701373,185116759,171439890,79499,77187576,25432212,11614999,23892790,12093370,7389275,111.66,177865,105.24,FINAL,2017
2020Q2,11111,11,235533353,178596719,138529455,105042050,158783507,113859,85956773,12512860,11808774,26905583,10406438,7456201,131.88,340463,98.34,FINAL,2022
2023Q4,11112,62,693488890,519739856,475980420,356726688,415913205,100153,229245247,57678879,35845024,79341956,27092861,8901249,133.43,397391,85.55,FINAL,2017
2017Q1,11113,71,569874863,583828361,417692552,427919836,505748414,97499,216553701,51375480,42889282,49070323,85469698,33064662,97.61,509733,117.46,3RD,2012
2018Q4,11114,33,155407528,146901908,111771160,105653805,153694205,65446,59887054,26652846,10121471,30599298,23426911,9116041,105.79,1208148,85.96,3RD,2017
2025Q1,11115,49,205876464,217674417,88884948,93978587,111434247,37347,58978897,8857196,11048932,21798252,10630358,5081679,94.58,1386622,140.11,3RD,2022
2019Q4,11116,44,254029205,231524977,173972703,158560612,181413494,84259,95900606,18690839,4630078,15736967,26959695,12002973,109.72,1968503,131.76,2ND,2012
2017Q2,11117,45,466394408,409082017,277556400,243449171,283208983,99280,159387612,19175397,7297006,51445338,31155524,18477038,114.01,968390,83.56,2ND,2012
2018Q4,11118,11,240972092,225228612,97524381,91152800,127146941,112809,67365498,11082064,4441384,16243379,20671168,9509397,106.99,74163,111.4,FINAL,2012
2022Q3,11119,62,673191883,612772513,397949942,362233699,453441668,96510,242726256,26890045,10271019,82310268,84186785,10399673,109.86,1491251,81.46,2ND,2017
2020Q3,11120,53,375984282,318064700,187278405,158428564,221482419,42560,110624220,18046934,11891678,20021017,37993563,11672941,118.21,1203813,99.04,BENCH,2022
2018Q1,11121,56,1051110439,1018024638,401142732,388515963,335296852,99382,161834888,22698062,12206714,63760884,61701582,7563658,103.25,1833610,127.47,BENCH,2022
2024Q3,11122,23,600548131,480746182,398925771,319344998,339437535,77515,170745502,37059980,13257293,40904219,40636608,12507187,124.92,942514,96.26,BENCH,2012
2024Q3,11123,62,454525348,365756295,190644901,153411846,159548167,37664,73315223,20288694,13754005,25697375,26546535,8762681,124.27,897493,75.69,BENCH,2012
2019Q3,11124,61,599091166,634160227,367028509,388513294,328890894,80031,162370381,21671136,22985585,49324298,40183024,22436101,94.47,2167855,88.97,BENCH,2017
2019Q1,11125,51,304257278,284831752,187792391,175802650,175286245,88487,106342411,25776313,8623585,35859035,15018879,5520936,106.82,1646220,84.73,FINAL,2017
2023Q1,11126,54,999734869,759619230,749211778,569266604,837401299,93917,393592708,147934766,69421570,82042606,103240908,55534252,131.61,1540870,83.31,3RD,2012
2025Q4,11127,45,820329006,896240583,371772709,406175799,481387138,77587,242274599,34390754,47071926,92038301,25642854,27715363,91.53,515854,130.98,3RD,2012
2025Q1,11128,32,548821446,631846012,201049807,231464203,251818906,82633,117128145,42540354,15901182,40062017,24359402,7711579,86.86,1175935,141.93,3RD,2012
2025Q4,11129,23,1275515957,1087674560,577373616,492345541,570395249,107481,335283821,72512978,22668118,83035857,56255677,14608538,117.27,1692196,91.61,2ND,2012
2025Q2,11130,32,233183343,200277715,137202999,117841621,188473407,66626,87762460,33227471,9655074,28822594,31459732,8894224,116.43,1871669,105.32,FINAL,2022
2019Q4,11131,21,727222286,663705655,488484143,445819242,679301368,63862,323403164,45723840,65052425,111284557,50713183,15947705,109.57,1471168,117.78,BENCH,2012
2025Q4,11132,51,885858352,683111006,573412277,442174797,652623559,37143,303273912,34435399,62896447,126080041,124670994,32577643,129.68,564297,137.06,3RD,2012
2016Q2,11133,23,621928141,541985308,272252984,237257502,363909094,105667,176978954,26088990,26776742,38381724,49057897,18725516,114.75,1196113,114.53,3RD,2012
2024Q1,11134,51,448855479,386477940,322952715,278071909,387578657,41581,224541238,30285061,33426254,60982447,54749093,22048864,116.14,1753970,116.95,3RD,2012
2023Q3,11135,44,173215847,136454898,126962417,100017660,142827759,62236,79386998,24442526,4871299,23517124,20996920,9668991,126.94,314727,140.1,3RD,2017
2024Q2,11136,62,834714685,964207791,472400197,545685800,420699406,106056,242401026,30674851,37723521,85452617,61737668,27777575,86.57,1423128,111.12,2ND,2012
2025Q3,11137,54,391962904,323855989,203837546,168419025,254979972,111388,153165016,17169028,17200561,54837555,12894398,19698787,121.03,89111,90.56,BENCH,2012
2022Q3,11138,55,468157120,524017372,252046142,282120150,204353431,45062,118414295,19993198,16599236,26835095,23814901,12427299,89.34,887349,106.22,ADV,2012
2023Q1,11139,53,794483672,762679919,538216399,516671210,708071290,34940,252335345,44113155,28236273,102844525,63531292,27518800,104.17,185052,129.2,FINAL,2022
2018Q4,11140,53,795538792,719618989,311258726,281554705,291810587,55772,159408831,16463336,24613083,27917996,23509544,12750778,110.55,1067611,83.65,2ND,2022
2021Q4,11141,21,272227191,227805181,179836441,150490746,201875924,100433,104570068,23052520,7363543,22344105,16133102,8295313,119.5,1724984,99.17,3RD,2017
2020Q1,11142,72,296108927,334775497,186307452,210635898,180623797,51658,87908171,26378032,17464904,37820025,18479421,10150084,88.45,1941064,129.57,3RD,2012
2018Q2,11143,49,340566828,273503717,250347137,201049741,339313730,51635,191117509,34704865,29579415,64074719,63189651,20958031,124.52,1026872,122.78,FINAL,2022
2023Q2,11144,22,684702558,579078618,253210045,214149226,303389088,54567,168974151,23761016,18194150,32571532,60543449,22307537,118.24,694737,132.34,BENCH,2022
2021Q3,11145,55,832343202,892497536,622947732,667968831,669747405,88979,353708631,49878000,37247575,132318332,131706482,29227397,93.26,6617,82.86,2ND,2022
2019Q4,11146,92,623711368,534365463,394033848,337588972,445421509,59332,199321478,48116420,43504927,82121904,28505960,16626894,116.72,2146262,112.14,BENCH,2017
2017Q4,11147,52,389239889,322378573,207363347,171743703,253129609,97795,120480660,24052533,17864737,36926353,45775280,16230115,120.74,463910,124.28,ADV,2022
2021Q1,11148,62,451523534,413786230,308118704,282366848,429615972,41226,210065444,36479014,22550370,39661434,63462971,22421202,109.12,1825024,107.78,FINAL,2012
2017Q1,11149,49,970316843,907177303,502329684,469642562,691886496,59026,365155789,49210862,64946865,143512598,70149943,29719788,106.96,1391531,99.44,BENCH,2017
2020Q1,11150,53,276607289,223268455,148371023,119760290,134108988,103103,81249386,13589051,11116254,20806461,16629294,3008061,123.89,839551,115.99,FINAL,2022
2022Q4,11151,49,716515826,560478587,395738179,309557399,343729048,63146,184604857,44308152,28377142,62045049,36044738,17188648,127.84,1295716,90.25,3RD,2017
2018Q4,11152,72,459874545,537111125,258103963,301452888,310503303,93086,144300641,33499928,30327419,47854220,49312405,19391813,85.62,2122752,137.13,BENCH,2017
2018Q4,11153,32,619747792,703938882,446306583,506936146,496387571,99640,279104105,62006986,35514218,58716836,45667383,38902350,88.04,1672838,110.35,ADV,2022
2020Q4,11154,72,491279786,386226247,185796759,146066634,236671950,81302,94829030,29405236,9349248,26355594,31041496,9847866,127.2,68843,88.87,BENCH,2012
2020Q1,11155,92,812606145,616404570,328491140,249177835,459762171,74911,188723601,63609217,35617996,99718670,35751554,13694629,131.83,1496053,116.18,2ND,2022
2025Q4,11156,61,632600292,591879016,405734662,379617012,333605042,81856,203604223,52823147,21388512,53165582,33222880,6731887,106.88,526324,78.41,3RD,2012
