health_exp_reference_year,health_exp_country_iso2,health_exp_financing_scheme_code,health_exp_provider_type_code,health_exp_function_code,health_exp_total_expenditure_eur,health_exp_expenditure_pct_gdp,health_exp_public_share_pct,health_exp_out_of_pocket_share_pct,health_exp_per_capita_eur,health_exp_preventive_care_share_pct,health_exp_pharmaceuticals_share_pct,health_exp_long_term_care_share_pct,health_exp_admin_cost_share_pct,health_exp_unmet_need_rate_pct,health_exp_catastrophic_spending_rate_pct,health_exp_waiting_times_index,health_exp_eurostat_oecd_sha_table_code,health_exp_methodology_version,health_exp_data_extract_date
2021,MT,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,324237747453.44,10.78,81.91,19.67,9092.73,5.38,19.68,25.15,2.5,6.4,4.16,1.196,hlth_sha11_hp,SHA2011_V1,2024-10-30
2022,ES,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,135542906858.31,5.56,76.66,34.91,5310.35,6.08,14.95,12.78,6.05,3.74,2.72,0.4583,hlth_sha11_hf,SHA2011_V3,2024-06-13
2023,CZ,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,196823470917.59,11.98,86.58,13.14,6399.76,4.94,19.48,14.33,2.52,5.76,1.85,1.2896,hlth_sha11_exp,SHA2011_V2,2024-02-05
2024,HU,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,19984658213.35,8.15,61.44,40.47,3278.52,2.14,21.51,12.46,1.22,5.83,1.68,0.7146,hlth_sha11_hc,SHA2011_V1,2025-04-02
2025,NL,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,138804846160.07,12.7,66.41,33.82,5310.77,6.84,8.07,5.44,6.07,0.79,6.61,1.3075,hlth_sha11_hp,SHA2011_V3,2024-07-28
2006,SE,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,153314364857.92,8.3,84.17,17.1,5202.28,5.38,25.56,3.05,6.04,2.09,6.51,0.8153,hlth_sha11_hf,SHA2011_V2,2025-10-09
2007,DK,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,153058945547.28,5.73,71.61,37.55,7370.11,2.07,9.65,13.43,6.11,4.07,4.98,1.1351,hlth_sha11_exp,SHA2011_V1,2024-07-06
2008,IE,VOLUNTARY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,269373519817.38,6.09,81.14,17.68,3720.78,6.48,17.04,7.05,3.01,3.59,2.46,0.4335,hlth_sha11_hc,SHA2011_V3,2025-02-02
2009,PL,NPISH_SCHEME,ADMINISTRATION,GOVERNANCE,32854224068.23,7.48,81.23,16.81,5851.79,7.63,17.21,11.42,4.24,6.11,4.06,1.1347,hlth_sha11_hp,SHA2011_V2,2025-04-19
2010,AT,HOUSEHOLD_OOP,PREVENTIVE,LONG_TERM_CARE,249773452417.9,8.31,79.19,21.38,3235.64,1.84,10.17,17.53,2.49,7.19,2.01,0.4567,hlth_sha11_hf,SHA2011_V1,2024-04-04
2011,EE,GOV_SCHEME,LONG_TERM_CARE,PREVENTION,185963051067.86,6.3,63.0,45.0,4854.1,4.03,16.26,22.88,4.95,2.54,6.87,0.8916,hlth_sha11_exp,SHA2011_V3,2024-12-22
2012,IT,COMPULSORY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,65016643452.6,9.3,69.05,34.94,4050.28,3.46,18.36,10.4,6.42,1.43,3.13,1.7203,hlth_sha11_hc,SHA2011_V2,2024-10-20
2013,PT,VOLUNTARY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,112359356872.64,6.0,71.08,39.11,952.61,2.51,9.16,5.95,2.62,2.3,1.99,0.6495,hlth_sha11_hp,SHA2011_V1,2024-02-26
2014,BE,NPISH_SCHEME,HOSPITALS,CURATIVE_CARE,309396526513.58,9.45,76.82,22.04,6325.72,4.79,14.0,14.91,1.39,2.29,1.41,0.8293,hlth_sha11_hf,SHA2011_V3,2025-03-14
2015,FI,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,235067777175.32,12.32,86.67,23.92,4586.79,5.9,23.02,4.72,3.73,7.3,2.42,0.9585,hlth_sha11_exp,SHA2011_V2,2025-02-03
2016,LV,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,143890052350.45,13.7,75.28,32.34,8677.65,2.88,12.74,15.91,5.66,7.54,1.83,0.7241,hlth_sha11_hc,SHA2011_V1,2025-04-27
2017,RO,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,15275042919.77,11.35,77.64,19.96,1752.24,6.19,17.37,20.9,2.65,6.07,1.52,1.2781,hlth_sha11_hp,SHA2011_V3,2025-12-18
2018,BG,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,63734564942.04,12.29,77.63,20.91,4002.99,3.42,8.36,6.07,3.89,7.79,4.46,0.6216,hlth_sha11_hf,SHA2011_V2,2025-11-06
2019,FR,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,268105685967.32,12.98,86.76,16.0,1440.49,5.92,10.63,26.51,5.95,6.52,5.31,0.7469,hlth_sha11_exp,SHA2011_V1,2024-05-27
2020,LT,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,216694103463.57,13.69,58.38,45.0,6658.03,6.91,25.37,3.24,3.84,2.17,2.81,0.974,hlth_sha11_hc,SHA2011_V3,2024-09-12
2021,SK,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,252619225543.61,8.14,57.54,37.54,6413.51,5.98,21.26,24.15,1.15,4.55,6.98,1.697,hlth_sha11_hp,SHA2011_V2,2024-02-02
2022,HR,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,252840196526.22,13.7,75.08,36.72,3805.55,4.86,13.5,10.87,5.62,6.25,4.27,1.0781,hlth_sha11_hf,SHA2011_V1,2025-02-06
2023,DE,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,97851309517.93,13.26,71.61,37.58,2008.16,2.92,12.25,16.42,5.28,5.36,4.32,0.4682,hlth_sha11_exp,SHA2011_V3,2026-02-23
2024,LU,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,55108085639.36,8.31,60.71,33.86,4220.15,2.37,17.76,25.3,2.22,2.25,6.05,1.5894,hlth_sha11_hc,SHA2011_V2,2024-12-15
2025,SI,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,139897577428.17,8.18,55.78,38.7,2150.7,1.86,13.42,27.78,4.65,6.81,4.6,1.5019,hlth_sha11_hp,SHA2011_V1,2024-11-09
2006,CY,GOV_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,68919610484.34,13.11,86.13,18.71,4146.05,3.1,8.69,26.39,5.58,1.26,2.72,0.7902,hlth_sha11_hf,SHA2011_V3,2024-11-21
2007,GR,COMPULSORY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,86795245314.2,9.81,85.01,26.09,6257.81,5.94,22.44,24.38,4.83,5.12,2.0,1.4427,hlth_sha11_exp,SHA2011_V2,2025-09-09
2008,MT,VOLUNTARY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,102004427900.97,12.88,56.13,45.0,6090.36,7.13,15.28,7.37,1.99,5.66,3.1,0.652,hlth_sha11_hc,SHA2011_V1,2026-01-01
2009,ES,NPISH_SCHEME,OTHER,ANCILLARY_SERVICES,135313843422.11,8.58,78.01,30.92,6583.56,2.02,25.29,5.99,1.68,5.58,2.65,1.4836,hlth_sha11_hp,SHA2011_V3,2024-01-24
2010,CZ,HOUSEHOLD_OOP,ADMINISTRATION,GOVERNANCE,54267318962.7,13.17,66.1,32.11,1579.41,6.95,22.43,19.51,6.49,6.2,3.23,1.58,hlth_sha11_hf,SHA2011_V2,2024-07-14
2011,HU,GOV_SCHEME,PREVENTIVE,LONG_TERM_CARE,143570063994.35,10.02,85.61,14.67,3549.23,5.35,25.4,4.89,3.38,2.68,2.26,0.6182,hlth_sha11_exp,SHA2011_V1,2024-09-20
2012,NL,COMPULSORY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,250902204777.7,11.19,83.82,20.96,4933.8,5.89,24.74,19.92,2.06,3.69,3.12,0.6304,hlth_sha11_hc,SHA2011_V3,2025-10-12
2013,SE,VOLUNTARY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,44529096261.73,5.65,61.47,44.86,7828.25,1.66,22.39,16.26,1.91,5.88,4.75,0.8715,hlth_sha11_hp,SHA2011_V2,2024-11-11
2014,DK,NPISH_SCHEME,AMBULATORY,MEDICAL_GOODS,139023657276.36,8.4,84.9,17.67,5245.61,5.33,14.94,26.27,5.47,7.07,3.66,0.5756,hlth_sha11_hf,SHA2011_V1,2024-04-03
2015,IE,HOUSEHOLD_OOP,HOSPITALS,CURATIVE_CARE,34063459302.81,7.12,67.72,36.79,8749.19,3.73,16.7,8.21,6.41,5.49,1.32,0.7197,hlth_sha11_exp,SHA2011_V3,2025-05-19
2016,PL,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,138536912592.01,6.62,56.3,45.0,6255.26,6.1,19.57,23.62,5.8,8.1,6.72,0.7371,hlth_sha11_hc,SHA2011_V2,2025-06-26
2017,AT,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,111645684071.37,11.53,64.45,41.26,5272.12,7.61,21.39,9.27,5.17,8.26,1.32,1.181,hlth_sha11_hp,SHA2011_V1,2024-12-16
2018,EE,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,196070210186.56,7.68,80.18,17.22,3973.06,1.5,19.88,27.45,5.6,2.23,4.64,1.5348,hlth_sha11_hf,SHA2011_V3,2026-01-17
2019,IT,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,170413775673.68,13.65,55.21,45.0,4927.93,5.83,15.12,8.3,6.21,3.31,3.53,0.7739,hlth_sha11_exp,SHA2011_V2,2025-06-18
2020,PT,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,163530153144.55,7.56,76.21,24.86,6171.85,6.83,18.92,19.48,5.62,9.83,4.48,1.19,hlth_sha11_hc,SHA2011_V1,2024-07-11
2021,BE,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,278914164776.58,11.58,86.36,20.1,4636.02,7.75,23.39,18.23,2.87,7.68,4.66,0.8938,hlth_sha11_hp,SHA2011_V3,2025-11-27
2022,FI,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,103882854889.19,12.46,82.1,17.93,9742.14,1.63,10.09,17.63,6.31,5.36,3.05,1.5871,hlth_sha11_hf,SHA2011_V2,2024-08-21
2023,LV,VOLUNTARY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,1633222112.17,8.2,59.65,45.0,1674.31,3.71,21.14,25.51,2.39,6.0,2.11,1.6808,hlth_sha11_exp,SHA2011_V1,2025-10-12
2024,RO,NPISH_SCHEME,ADMINISTRATION,GOVERNANCE,475763802394.56,9.7,78.2,16.63,2645.35,2.06,24.66,4.54,4.27,3.78,2.08,0.561,hlth_sha11_hc,SHA2011_V3,2025-09-24
2025,BG,HOUSEHOLD_OOP,PREVENTIVE,LONG_TERM_CARE,226108954511.86,7.38,66.62,43.81,7356.51,5.94,8.88,26.12,4.96,8.33,6.29,0.9754,hlth_sha11_hp,SHA2011_V2,2025-04-08
2006,FR,GOV_SCHEME,LONG_TERM_CARE,PREVENTION,182225186550.42,5.99,73.55,30.5,4566.89,3.8,12.81,4.81,1.29,0.9,2.36,1.3572,hlth_sha11_hf,SHA2011_V1,2024-04-08
2007,LT,COMPULSORY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,189117361707.67,13.02,75.17,20.71,4588.18,6.26,21.98,12.63,2.98,7.26,2.19,0.4474,hlth_sha11_exp,SHA2011_V3,2025-01-04
2008,SK,VOLUNTARY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,292573099515.47,6.49,75.75,34.68,4986.48,4.55,26.58,7.19,6.38,6.78,3.91,0.4776,hlth_sha11_hc,SHA2011_V2,2025-01-15
2009,HR,NPISH_SCHEME,HOSPITALS,CURATIVE_CARE,52881385095.96,13.53,56.02,45.0,6557.57,5.9,26.35,22.13,2.31,7.49,2.52,1.4927,hlth_sha11_hp,SHA2011_V1,2024-03-08
2010,DE,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,30911636837.75,11.27,68.71,34.96,2969.84,7.82,23.1,26.93,1.07,7.46,5.69,0.526,hlth_sha11_hf,SHA2011_V3,2025-06-16
2011,LU,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,236365389359.92,7.25,76.24,23.03,5115.26,3.72,21.33,20.04,5.42,8.23,0.84,0.5137,hlth_sha11_exp,SHA2011_V2,2024-10-31
2012,SI,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,309079835643.01,7.65,66.56,32.26,10894.19,6.33,25.99,27.44,1.06,5.69,1.46,0.8382,hlth_sha11_hc,SHA2011_V1,2025-10-26
2013,CY,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,27057647344.39,11.78,79.96,17.57,1020.96,4.88,16.21,21.21,5.89,7.18,5.78,0.5508,hlth_sha11_hp,SHA2011_V3,2025-09-27
2014,GR,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,171937551499.12,8.67,75.05,21.91,1911.89,3.58,26.06,15.86,4.55,3.77,0.76,1.3933,hlth_sha11_hf,SHA2011_V2,2026-01-10
2015,MT,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,202993599267.17,7.76,60.45,45.0,4619.12,3.52,9.8,4.81,5.78,1.68,4.83,1.6228,hlth_sha11_exp,SHA2011_V1,2026-02-05
2016,ES,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,53652446392.17,13.67,81.38,13.43,2024.6,6.41,20.9,11.61,5.1,2.65,5.12,1.3538,hlth_sha11_hc,SHA2011_V3,2024-09-09
2017,CZ,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,127888346898.03,12.32,57.58,37.11,4318.35,6.15,13.27,7.05,5.14,6.31,5.32,1.1523,hlth_sha11_hp,SHA2011_V2,2024-04-16
2018,HU,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,215793778452.46,11.7,60.85,45.0,3240.54,5.9,10.33,21.4,3.48,2.23,7.08,1.4389,hlth_sha11_hf,SHA2011_V1,2024-03-19
2019,NL,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,293387536685.24,8.66,81.88,26.14,3947.2,4.17,14.72,8.01,3.17,0.55,6.09,1.3671,hlth_sha11_exp,SHA2011_V3,2025-03-20
2020,SE,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,174630969793.76,12.59,74.79,32.94,8571.41,3.56,9.65,21.77,6.13,8.95,4.61,1.6434,hlth_sha11_hc,SHA2011_V2,2024-07-04
2021,DK,GOV_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,252735729761.58,11.66,81.73,24.12,6464.47,6.75,24.9,6.42,4.4,4.78,4.28,1.5767,hlth_sha11_hp,SHA2011_V1,2026-02-09
2022,IE,COMPULSORY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,105498279602.26,8.91,75.38,25.67,7927.35,3.56,12.75,5.59,2.09,2.68,4.73,0.7744,hlth_sha11_hf,SHA2011_V3,2025-04-20
2023,PL,VOLUNTARY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,39621392361.97,8.38,59.5,37.73,10496.01,7.4,16.81,27.56,4.76,3.27,6.22,1.2255,hlth_sha11_exp,SHA2011_V2,2025-02-06
2024,AT,NPISH_SCHEME,OTHER,ANCILLARY_SERVICES,108559446796.94,10.86,70.21,26.28,11318.87,4.25,22.78,25.79,6.3,8.34,3.46,0.6624,hlth_sha11_hc,SHA2011_V1,2025-04-22
2025,EE,HOUSEHOLD_OOP,ADMINISTRATION,GOVERNANCE,208805292300.41,11.6,83.26,25.74,5847.8,4.53,23.97,24.25,2.88,3.22,2.22,0.7125,hlth_sha11_hp,SHA2011_V3,2024-09-23
2006,IT,GOV_SCHEME,PREVENTIVE,LONG_TERM_CARE,11391238970.91,10.83,83.66,16.25,5269.17,6.06,26.13,5.09,3.38,6.08,5.54,1.1264,hlth_sha11_hf,SHA2011_V2,2024-05-09
2007,PT,COMPULSORY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,184534037846.13,10.02,83.73,18.34,6415.07,5.49,12.29,26.06,4.41,0.88,0.88,1.7348,hlth_sha11_exp,SHA2011_V1,2024-08-31
2008,BE,VOLUNTARY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,170922661729.86,12.5,59.33,39.3,1212.8,5.48,17.81,23.24,2.68,0.88,1.58,0.5229,hlth_sha11_hc,SHA2011_V3,2025-10-16
2009,FI,NPISH_SCHEME,AMBULATORY,MEDICAL_GOODS,5109272951.45,7.75,64.9,38.4,4035.9,6.74,10.34,26.97,1.6,7.1,5.95,0.9836,hlth_sha11_hp,SHA2011_V2,2025-10-10
2010,LV,HOUSEHOLD_OOP,HOSPITALS,CURATIVE_CARE,155495218702.35,9.01,76.92,32.06,5666.38,3.58,25.03,7.8,3.57,5.8,7.42,0.6908,hlth_sha11_hf,SHA2011_V1,2024-09-19
2011,RO,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,257125213959.14,5.93,63.65,40.37,5494.07,4.24,24.43,8.69,1.4,1.65,5.54,1.6178,hlth_sha11_exp,SHA2011_V3,2025-06-29
2012,BG,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,215411125921.38,8.62,72.44,30.66,2186.94,6.33,20.59,17.12,1.52,1.67,4.49,0.7671,hlth_sha11_hc,SHA2011_V2,2024-08-30
2013,FR,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,25014132094.43,11.87,66.91,30.41,6814.58,6.5,20.58,16.61,1.17,4.83,2.17,0.5644,hlth_sha11_hp,SHA2011_V1,2024-06-27
2014,LT,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,147405180274.39,7.75,72.8,39.13,5187.77,7.04,21.74,8.18,4.57,4.58,4.72,1.5953,hlth_sha11_hf,SHA2011_V3,2025-10-09
2015,SK,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,40983149299.87,12.61,61.88,33.01,3930.7,5.92,12.2,19.12,3.52,3.61,6.66,0.6105,hlth_sha11_exp,SHA2011_V2,2024-10-20
2016,HR,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,310485766710.64,9.39,69.01,36.27,8536.93,2.7,17.27,23.14,5.86,7.01,3.44,0.5136,hlth_sha11_hc,SHA2011_V1,2025-11-12
2017,DE,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,270914771537.6,7.37,85.34,15.71,3518.75,4.68,19.31,15.79,1.44,0.63,6.04,0.9286,hlth_sha11_hp,SHA2011_V3,2024-04-18
2018,LU,VOLUNTARY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,187322783110.39,10.65,72.88,21.8,6221.99,5.88,24.42,23.81,1.54,2.97,2.08,1.5046,hlth_sha11_hf,SHA2011_V2,2026-02-16
2019,SI,NPISH_SCHEME,ADMINISTRATION,GOVERNANCE,76965954937.77,9.09,68.56,34.14,3991.67,4.48,23.23,7.65,5.92,2.16,2.25,1.139,hlth_sha11_exp,SHA2011_V1,2024-08-17
2020,CY,HOUSEHOLD_OOP,PREVENTIVE,LONG_TERM_CARE,137912480512.97,6.87,67.61,39.35,5741.8,6.95,26.19,22.18,1.01,3.47,5.51,0.9891,hlth_sha11_hc,SHA2011_V3,2025-01-28
2021,GR,GOV_SCHEME,LONG_TERM_CARE,PREVENTION,251028161306.06,10.06,71.89,24.51,4016.87,3.17,22.32,19.08,4.38,6.86,3.73,2.1652,hlth_sha11_hp,SHA2011_V2,2024-07-17
2022,MT,COMPULSORY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,10959683904.49,8.9,67.4,29.13,2849.39,3.1,9.0,22.7,3.17,4.43,6.02,0.4759,hlth_sha11_hf,SHA2011_V1,2025-04-28
2023,ES,VOLUNTARY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,273977666185.56,13.76,60.57,45.0,1170.33,5.18,19.81,25.23,4.66,1.68,7.03,1.6887,hlth_sha11_exp,SHA2011_V3,2024-06-14
2024,CZ,NPISH_SCHEME,HOSPITALS,CURATIVE_CARE,147922317839.99,10.73,66.62,38.59,9297.0,3.33,10.03,18.83,2.96,6.97,1.48,1.043,hlth_sha11_hc,SHA2011_V2,2024-06-27
2025,HU,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,29688800792.17,13.64,79.63,15.07,6640.92,7.52,24.03,8.37,1.33,1.18,3.51,0.6485,hlth_sha11_hp,SHA2011_V1,2024-06-01
2006,NL,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,64361531727.09,11.48,73.05,27.73,5477.27,1.97,11.02,7.55,4.38,4.59,7.4,1.1618,hlth_sha11_hf,SHA2011_V3,2026-02-05
2007,SE,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,53102690267.17,9.63,73.03,26.32,5435.63,6.03,16.44,7.54,1.34,2.64,4.21,1.0989,hlth_sha11_exp,SHA2011_V2,2025-07-21
2008,DK,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,120285741426.56,8.57,58.69,36.12,2743.79,6.33,23.76,7.68,2.46,4.16,6.23,0.4655,hlth_sha11_hc,SHA2011_V1,2025-09-01
2009,IE,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,92659483162.07,5.69,68.59,28.74,3843.19,1.61,18.91,6.4,3.86,8.4,7.8,1.2197,hlth_sha11_hp,SHA2011_V3,2024-07-08
2010,PL,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,65474171267.93,9.44,87.41,22.97,8680.37,4.06,13.7,9.85,1.49,4.0,2.39,0.6385,hlth_sha11_hf,SHA2011_V2,2024-03-06
2011,AT,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,140392195016.41,13.34,83.6,19.91,3430.01,6.57,26.8,5.31,2.26,7.93,2.19,0.6116,hlth_sha11_exp,SHA2011_V1,2025-09-04
2012,EE,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,170671078533.31,8.42,86.02,9.97,6943.54,6.77,11.34,22.53,3.95,7.07,4.83,1.153,hlth_sha11_hc,SHA2011_V3,2026-01-25
2013,IT,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,115444001094.65,7.17,57.03,44.16,5951.87,3.43,25.68,5.98,3.52,6.52,6.1,1.2179,hlth_sha11_hp,SHA2011_V2,2026-01-26
2014,PT,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,106494587186.68,10.87,68.25,28.71,4102.58,6.79,10.16,10.83,3.93,7.83,3.83,0.978,hlth_sha11_hf,SHA2011_V1,2024-06-12
2015,BE,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,353336223669.65,11.61,84.63,22.87,1828.74,7.64,24.59,14.01,5.57,3.08,3.09,1.5615,hlth_sha11_exp,SHA2011_V3,2024-07-09
2016,FI,GOV_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,170740141183.69,11.23,72.99,38.98,2061.65,6.66,15.54,6.02,3.81,4.83,3.37,0.7222,hlth_sha11_hc,SHA2011_V2,2025-01-06
2017,LV,COMPULSORY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,84112405861.13,10.01,82.69,24.7,7407.09,5.01,9.58,3.13,2.89,5.81,3.83,1.1313,hlth_sha11_hp,SHA2011_V1,2024-04-02
2018,RO,VOLUNTARY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,140477129016.23,9.87,64.77,33.37,3689.79,7.49,13.63,4.51,6.21,2.06,4.95,1.5609,hlth_sha11_hf,SHA2011_V3,2025-09-03
2019,BG,NPISH_SCHEME,OTHER,ANCILLARY_SERVICES,214539502478.21,8.43,60.24,44.42,3136.79,3.21,16.46,6.32,5.52,1.93,1.72,1.3972,hlth_sha11_exp,SHA2011_V2,2025-07-16
2020,FR,HOUSEHOLD_OOP,ADMINISTRATION,GOVERNANCE,80605095583.01,12.44,70.22,38.37,4217.87,4.25,14.52,18.24,2.87,4.24,3.57,0.9422,hlth_sha11_hc,SHA2011_V1,2025-09-09
2021,LT,GOV_SCHEME,PREVENTIVE,LONG_TERM_CARE,175529152228.01,10.1,85.6,21.87,3593.19,3.42,26.4,4.73,5.01,3.65,6.36,1.5853,hlth_sha11_hp,SHA2011_V3,2025-12-27
2022,SK,COMPULSORY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,86347622433.25,9.6,56.55,45.0,4156.94,2.39,9.73,15.07,5.33,4.48,7.64,1.0089,hlth_sha11_hf,SHA2011_V2,2024-01-30
2023,HR,VOLUNTARY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,60850425613.83,11.26,78.77,19.24,7761.54,5.16,20.86,14.64,1.63,8.07,5.5,1.471,hlth_sha11_exp,SHA2011_V1,2024-05-24
2024,DE,NPISH_SCHEME,AMBULATORY,MEDICAL_GOODS,117784756864.69,9.33,77.88,25.13,8985.57,1.56,24.86,17.2,2.79,0.78,6.52,1.6087,hlth_sha11_hc,SHA2011_V3,2025-03-01
2025,LU,HOUSEHOLD_OOP,HOSPITALS,CURATIVE_CARE,49043967336.2,6.94,83.25,19.85,6473.8,3.49,22.59,27.15,4.67,1.52,6.46,1.6678,hlth_sha11_hp,SHA2011_V2,2025-03-23
2006,SI,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,34132354135.39,10.47,64.63,45.0,3095.67,2.41,11.14,10.17,6.1,3.6,4.83,1.1541,hlth_sha11_hf,SHA2011_V1,2024-03-04
2007,CY,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,275415263262.54,13.52,55.31,45.0,3989.2,2.43,11.91,25.07,4.18,8.42,4.83,1.627,hlth_sha11_exp,SHA2011_V3,2026-01-24
2008,GR,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,19494167770.26,10.32,75.17,27.36,2434.94,1.73,23.21,17.76,4.78,5.13,3.32,1.0138,hlth_sha11_hc,SHA2011_V2,2025-10-19
2009,MT,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,66976799968.52,6.01,79.27,29.34,4965.52,3.0,18.79,23.88,6.24,2.14,3.95,1.3825,hlth_sha11_hp,SHA2011_V1,2024-11-02
2010,ES,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,75856880367.8,7.91,58.26,45.0,4982.71,7.05,13.82,18.07,3.14,7.78,5.77,0.6507,hlth_sha11_hf,SHA2011_V3,2024-10-06
2011,CZ,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,159599012246.43,8.13,60.42,35.82,1408.66,7.09,16.64,20.23,2.81,2.25,5.69,0.9578,hlth_sha11_exp,SHA2011_V2,2025-03-11
2012,HU,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,76912943143.52,6.37,68.25,42.78,3061.6,2.47,25.18,5.45,4.61,8.01,3.04,0.7736,hlth_sha11_hc,SHA2011_V1,2025-09-01
