soc_pensions_reference_year,soc_pensions_country_iso2,soc_pensions_pension_pillar_code,soc_pensions_beneficiary_age_group,soc_pensions_beneficiary_sex,soc_pensions_pension_type_code,soc_pensions_beneficiaries_count,soc_pensions_mean_benefit_eur,soc_pensions_median_benefit_eur,soc_pensions_replacement_rate_pct,soc_pensions_effective_retirement_age_years,soc_pensions_contribution_years_median,soc_pensions_indexation_rule_code,soc_pensions_old_age_poverty_rate_pct,soc_pensions_long_term_care_benefit_flag,soc_pensions_survivor_benefit_flag,soc_pensions_funded_assets_total_eur,soc_pensions_eurostat_table_code,soc_pensions_projection_scenario,soc_pensions_data_extract_date
2017,NL,PILLAR1_PUBLIC_PAYG,70-74,F,OLD_AGE,46965,17226.54,13191.18,93.21,68.2,15.78,CPI,24.09,0,1,51159303359.27,spr_pns_ben,BASELINE,2024-08-20
2018,SE,PILLAR2_OCCUPATIONAL,65-69,T,SURVIVOR,46338,23752.08,17236.42,35.55,58.5,37.47,NONE,13.44,0,1,51456895889.58,proj_pens,LOW_MIGRATION,2025-03-30
2019,DK,PILLAR3_PERSONAL,55-64,M,EARLY_RETIREMENT,46387,20551.35,14847.55,86.24,62.53,15.19,DISCRETIONARY,11.05,0,1,51791465330.57,spr_pns_mean,HIGH_MIGRATION,2024-03-21
2020,IE,MIXED,85+,F,DISABILITY,46820,22450.02,20907.73,78.16,59.63,28.45,MIXED,26.1,0,0,52138779240.56,gov_10a_main,LOW_GROWTH,2025-06-01
2021,PL,PILLAR1_PUBLIC_PAYG,80-84,T,MINIMUM_PENSION,45027,11714.24,8991.87,94.61,64.46,17.41,WAGE,24.85,1,1,52389174861.26,ilc_pnp1,HIGH_LONGEVITY,2026-02-23
2022,AT,PILLAR2_OCCUPATIONAL,75-79,M,OLD_AGE,44862,5675.88,4951.14,47.74,63.81,35.0,CPI,6.25,1,0,52567293369.66,spr_pns_ben,BASELINE,2026-01-14
2023,EE,PILLAR3_PERSONAL,70-74,F,SURVIVOR,48572,17516.53,12719.16,29.66,60.44,36.45,NONE,13.86,1,1,52914746477.77,proj_pens,LOW_MIGRATION,2024-11-29
2024,IT,MIXED,65-69,T,EARLY_RETIREMENT,47808,7633.46,6552.7,27.13,67.4,37.92,DISCRETIONARY,25.01,0,0,53076317712.49,spr_pns_mean,HIGH_MIGRATION,2024-08-10
2025,PT,PILLAR1_PUBLIC_PAYG,55-64,M,DISABILITY,45667,14253.08,10951.72,27.55,59.9,41.63,MIXED,19.95,0,0,53513817246.75,gov_10a_main,LOW_GROWTH,2024-02-18
2026,BE,PILLAR2_OCCUPATIONAL,85+,F,MINIMUM_PENSION,47436,14576.32,11090.38,26.08,68.32,21.0,WAGE,27.23,1,0,53713950694.58,ilc_pnp1,HIGH_LONGEVITY,2025-02-25
2008,FI,PILLAR3_PERSONAL,80-84,T,OLD_AGE,44800,18545.22,15793.09,63.28,67.22,39.38,CPI,15.1,1,0,54071594371.09,spr_pns_ben,BASELINE,2026-02-24
2009,LV,MIXED,75-79,M,SURVIVOR,44295,7527.42,6744.7,81.89,59.89,25.71,NONE,11.36,0,1,54358589477.7,proj_pens,LOW_MIGRATION,2025-12-02
2010,RO,PILLAR1_PUBLIC_PAYG,70-74,F,EARLY_RETIREMENT,49141,6984.67,6532.32,74.36,59.75,30.54,DISCRETIONARY,22.66,0,0,54659594017.54,spr_pns_mean,HIGH_MIGRATION,2025-11-04
2011,BG,PILLAR2_OCCUPATIONAL,65-69,T,DISABILITY,46433,7321.29,6428.02,48.26,62.86,22.2,MIXED,16.78,1,0,54854412797.86,gov_10a_main,LOW_GROWTH,2025-05-24
2012,FR,PILLAR3_PERSONAL,55-64,M,MINIMUM_PENSION,48383,24078.78,18732.15,43.29,63.77,33.07,WAGE,21.03,1,0,55209179439.89,ilc_pnp1,HIGH_LONGEVITY,2026-01-25
2013,LT,MIXED,85+,F,OLD_AGE,48835,21973.65,17300.96,55.53,59.27,17.86,CPI,8.38,1,0,55340789428.29,spr_pns_ben,BASELINE,2024-07-04
2014,SK,PILLAR1_PUBLIC_PAYG,80-84,T,SURVIVOR,45004,15624.48,12282.13,35.39,58.07,32.05,NONE,4.38,1,1,55617944731.45,proj_pens,LOW_MIGRATION,2024-08-23
2015,HR,PILLAR2_OCCUPATIONAL,75-79,M,EARLY_RETIREMENT,45709,9078.27,6648.08,77.32,60.81,35.36,DISCRETIONARY,20.98,1,0,55982414866.13,spr_pns_mean,HIGH_MIGRATION,2024-09-07
2016,DE,PILLAR3_PERSONAL,70-74,F,DISABILITY,46895,19779.08,17490.39,30.79,61.49,34.67,MIXED,17.11,1,0,56215018874.75,gov_10a_main,LOW_GROWTH,2025-11-12
2017,LU,MIXED,65-69,T,MINIMUM_PENSION,46477,14174.4,11024.92,52.62,62.37,19.33,WAGE,5.43,0,0,56467534682.58,ilc_pnp1,HIGH_LONGEVITY,2025-10-05
2018,SI,PILLAR1_PUBLIC_PAYG,55-64,M,OLD_AGE,44904,20143.59,15190.55,80.72,64.6,34.46,CPI,19.31,0,0,56871602305.78,spr_pns_ben,BASELINE,2025-02-13
2019,CY,PILLAR2_OCCUPATIONAL,85+,F,SURVIVOR,48957,23759.23,21920.8,35.76,58.49,17.11,NONE,25.57,0,1,57125410839.01,proj_pens,LOW_MIGRATION,2024-10-16
2020,GR,PILLAR3_PERSONAL,80-84,T,EARLY_RETIREMENT,45157,11605.32,10272.62,92.67,63.81,32.94,DISCRETIONARY,4.58,0,0,57316838757.49,spr_pns_mean,HIGH_MIGRATION,2024-11-18
2021,MT,MIXED,75-79,M,DISABILITY,45543,19049.13,17401.99,37.05,61.08,13.71,MIXED,18.28,0,0,57558108923.16,gov_10a_main,LOW_GROWTH,2024-11-27
2022,ES,PILLAR1_PUBLIC_PAYG,70-74,F,MINIMUM_PENSION,45700,18548.26,14185.15,86.16,60.21,38.79,WAGE,14.07,1,1,57829255030.87,ilc_pnp1,HIGH_LONGEVITY,2024-11-23
2023,CZ,PILLAR2_OCCUPATIONAL,65-69,T,OLD_AGE,48389,14785.88,12867.4,83.79,65.2,18.5,CPI,14.72,1,1,58131538900.76,spr_pns_ben,BASELINE,2024-01-30
2024,HU,PILLAR3_PERSONAL,55-64,M,SURVIVOR,45505,13702.44,12617.41,81.18,67.91,34.25,NONE,6.8,0,1,58467505198.0,proj_pens,LOW_MIGRATION,2024-12-06
2025,NL,MIXED,85+,F,EARLY_RETIREMENT,45897,18359.4,17352.91,36.81,60.14,36.43,DISCRETIONARY,27.95,0,0,58695671215.77,spr_pns_mean,HIGH_MIGRATION,2025-10-12
2026,SE,PILLAR1_PUBLIC_PAYG,80-84,T,DISABILITY,46145,12013.13,10999.76,36.24,60.37,17.04,MIXED,17.86,1,1,58944311421.59,gov_10a_main,LOW_GROWTH,2025-02-14
2008,DK,PILLAR2_OCCUPATIONAL,75-79,M,MINIMUM_PENSION,48269,7753.46,6741.08,74.94,64.46,27.44,WAGE,25.61,0,0,59352271533.8,ilc_pnp1,HIGH_LONGEVITY,2024-08-08
2009,IE,PILLAR3_PERSONAL,70-74,F,OLD_AGE,48533,21939.67,15878.82,80.18,59.4,19.67,CPI,27.42,0,1,59643193106.34,spr_pns_ben,BASELINE,2025-08-23
2010,PL,MIXED,65-69,T,SURVIVOR,44983,23602.64,19096.03,57.38,59.73,15.01,NONE,10.8,1,1,59809911515.04,proj_pens,LOW_MIGRATION,2024-07-01
2011,AT,PILLAR1_PUBLIC_PAYG,55-64,M,EARLY_RETIREMENT,47990,22806.57,18775.49,85.71,68.24,36.25,DISCRETIONARY,7.19,1,0,60166169745.01,spr_pns_mean,HIGH_MIGRATION,2024-01-02
2012,EE,PILLAR2_OCCUPATIONAL,85+,F,DISABILITY,44886,25944.43,24812.76,92.42,61.77,39.45,MIXED,24.21,0,0,60441120613.53,gov_10a_main,LOW_GROWTH,2025-12-02
2013,IT,PILLAR3_PERSONAL,80-84,T,MINIMUM_PENSION,48770,17125.41,14396.8,69.97,60.68,27.0,WAGE,18.14,1,0,60712752515.8,ilc_pnp1,HIGH_LONGEVITY,2025-07-16
2014,PT,MIXED,75-79,M,OLD_AGE,48823,14374.07,12067.21,80.86,65.23,39.93,CPI,20.46,0,0,60987438911.33,spr_pns_ben,BASELINE,2026-01-25
2015,BE,PILLAR1_PUBLIC_PAYG,70-74,F,SURVIVOR,46764,5797.35,4430.44,43.65,65.07,36.06,NONE,6.96,0,1,61235462698.13,proj_pens,LOW_MIGRATION,2025-03-14
2016,FI,PILLAR2_OCCUPATIONAL,65-69,T,EARLY_RETIREMENT,46198,23283.42,19128.65,90.29,66.12,34.33,DISCRETIONARY,14.31,0,0,61619410621.16,spr_pns_mean,HIGH_MIGRATION,2025-03-12
2017,LV,PILLAR3_PERSONAL,55-64,M,DISABILITY,45409,6199.82,4968.53,30.62,67.11,23.64,MIXED,17.88,1,0,61867864977.21,gov_10a_main,LOW_GROWTH,2026-01-05
2018,RO,MIXED,85+,F,MINIMUM_PENSION,49556,7946.97,6545.37,46.03,66.27,19.61,WAGE,24.89,0,0,62104579242.69,ilc_pnp1,HIGH_LONGEVITY,2025-02-11
2019,BG,PILLAR1_PUBLIC_PAYG,80-84,T,OLD_AGE,47555,18816.92,14184.59,90.06,58.62,33.3,CPI,21.67,0,0,62371191774.92,spr_pns_ben,BASELINE,2024-08-05
2020,FR,PILLAR2_OCCUPATIONAL,75-79,M,SURVIVOR,47202,18319.5,13963.62,84.48,61.85,15.05,NONE,15.54,1,1,62602933113.58,proj_pens,LOW_MIGRATION,2024-08-27
2021,LT,PILLAR3_PERSONAL,70-74,F,EARLY_RETIREMENT,44974,11083.64,8865.15,34.08,60.17,33.9,DISCRETIONARY,14.23,0,0,62868879046.14,spr_pns_mean,HIGH_MIGRATION,2025-10-13
2022,SK,MIXED,65-69,T,DISABILITY,47043,19211.77,14290.4,87.37,62.96,26.75,MIXED,16.62,0,0,63286272324.94,gov_10a_main,LOW_GROWTH,2024-01-18
2023,HR,PILLAR1_PUBLIC_PAYG,55-64,M,MINIMUM_PENSION,49352,23022.42,21065.79,65.23,60.06,16.27,WAGE,10.18,0,0,63603163280.46,ilc_pnp1,HIGH_LONGEVITY,2025-01-30
2024,DE,PILLAR2_OCCUPATIONAL,85+,F,OLD_AGE,44954,8979.5,8356.35,37.55,61.72,37.34,CPI,22.07,0,0,63773482986.02,spr_pns_ben,BASELINE,2024-10-15
2025,LU,PILLAR3_PERSONAL,80-84,T,SURVIVOR,47915,25454.05,21991.85,72.94,61.49,41.93,NONE,10.87,0,1,64135864517.31,proj_pens,LOW_MIGRATION,2024-05-31
2026,SI,MIXED,75-79,M,EARLY_RETIREMENT,48393,11753.37,9690.69,34.42,65.88,19.7,DISCRETIONARY,22.08,0,1,64312383892.17,spr_pns_mean,HIGH_MIGRATION,2025-09-25
2008,CY,PILLAR1_PUBLIC_PAYG,70-74,F,DISABILITY,48239,13873.77,10049.07,92.42,60.51,22.47,MIXED,26.79,1,0,64702112532.54,gov_10a_main,LOW_GROWTH,2024-08-17
2009,GR,PILLAR2_OCCUPATIONAL,65-69,T,MINIMUM_PENSION,46914,13174.0,11273.78,82.2,68.14,17.85,WAGE,7.83,1,0,64948837157.15,ilc_pnp1,HIGH_LONGEVITY,2024-08-19
2010,MT,PILLAR3_PERSONAL,55-64,M,OLD_AGE,46350,25929.58,22274.01,67.24,63.3,36.72,CPI,7.52,0,0,65143982009.03,spr_pns_ben,BASELINE,2024-01-15
2011,ES,MIXED,85+,F,SURVIVOR,47819,25240.75,18920.4,90.2,61.72,30.12,NONE,16.94,1,1,65435780411.95,proj_pens,LOW_MIGRATION,2024-09-16
2012,CZ,PILLAR1_PUBLIC_PAYG,80-84,T,EARLY_RETIREMENT,48213,23368.68,21702.73,92.36,65.32,26.24,DISCRETIONARY,9.66,1,0,65664835160.92,spr_pns_mean,HIGH_MIGRATION,2025-10-04
2013,HU,PILLAR2_OCCUPATIONAL,75-79,M,DISABILITY,49544,11832.56,11312.73,36.78,58.76,38.15,MIXED,16.97,0,1,65959079089.48,gov_10a_main,LOW_GROWTH,2024-05-14
2014,NL,PILLAR3_PERSONAL,70-74,F,MINIMUM_PENSION,48784,24536.04,21515.46,89.7,59.08,26.93,WAGE,8.34,0,0,66311655582.4,ilc_pnp1,HIGH_LONGEVITY,2025-04-15
2015,SE,MIXED,65-69,T,OLD_AGE,49081,15696.79,11915.0,83.41,61.84,23.94,CPI,10.41,0,0,66662949347.65,spr_pns_ben,BASELINE,2025-11-11
2016,DK,PILLAR1_PUBLIC_PAYG,55-64,M,SURVIVOR,46100,18269.77,16445.56,63.18,61.86,28.29,NONE,20.4,0,1,66939019448.98,proj_pens,LOW_MIGRATION,2024-07-04
2017,IE,PILLAR2_OCCUPATIONAL,85+,F,EARLY_RETIREMENT,45619,16637.61,13383.49,40.76,58.06,33.46,DISCRETIONARY,10.63,0,0,67234375758.75,spr_pns_mean,HIGH_MIGRATION,2025-11-22
2018,PL,PILLAR3_PERSONAL,80-84,T,DISABILITY,47748,23485.58,17621.89,48.31,62.55,33.13,MIXED,18.52,0,0,67368903685.15,gov_10a_main,LOW_GROWTH,2024-05-18
2019,AT,MIXED,75-79,M,MINIMUM_PENSION,48266,18584.29,13902.66,55.34,65.25,13.07,WAGE,19.59,0,1,67628269218.7,ilc_pnp1,HIGH_LONGEVITY,2024-05-13
2020,EE,PILLAR1_PUBLIC_PAYG,70-74,F,OLD_AGE,48719,14576.83,13810.61,25.72,64.47,20.77,CPI,14.96,0,0,68082166368.89,spr_pns_ben,BASELINE,2025-06-14
2021,IT,PILLAR2_OCCUPATIONAL,65-69,T,SURVIVOR,46035,5886.94,4867.87,40.78,62.69,35.23,NONE,26.75,1,1,68317328685.97,proj_pens,LOW_MIGRATION,2024-10-13
2022,PT,PILLAR3_PERSONAL,55-64,M,EARLY_RETIREMENT,46890,8741.87,6414.56,84.99,63.22,37.99,DISCRETIONARY,13.35,1,0,68482945757.15,spr_pns_mean,HIGH_MIGRATION,2024-05-07
2023,BE,MIXED,85+,F,DISABILITY,46267,21610.22,15957.11,93.94,63.58,39.44,MIXED,10.64,0,0,68877815187.79,gov_10a_main,LOW_GROWTH,2024-02-16
2024,FI,PILLAR1_PUBLIC_PAYG,80-84,T,MINIMUM_PENSION,49927,13176.61,12482.63,32.37,59.87,35.52,WAGE,10.72,0,0,69087864095.79,ilc_pnp1,HIGH_LONGEVITY,2025-05-25
2025,LV,PILLAR2_OCCUPATIONAL,75-79,M,OLD_AGE,48629,12166.28,11145.02,44.83,66.96,25.96,CPI,15.73,0,0,69466413000.07,spr_pns_ben,BASELINE,2024-02-14
2026,RO,PILLAR3_PERSONAL,70-74,F,SURVIVOR,45130,20977.62,15409.28,39.12,63.51,36.82,NONE,9.85,0,1,69646887492.26,proj_pens,LOW_MIGRATION,2025-01-22
2008,BG,MIXED,65-69,T,EARLY_RETIREMENT,50070,15075.27,13804.08,93.67,63.06,18.09,DISCRETIONARY,18.92,0,1,69985191691.94,spr_pns_mean,HIGH_MIGRATION,2025-09-24
2009,FR,PILLAR1_PUBLIC_PAYG,55-64,M,DISABILITY,49734,25158.31,18347.02,47.21,68.26,12.65,MIXED,10.33,0,0,70269146075.82,gov_10a_main,LOW_GROWTH,2024-01-03
2010,LT,PILLAR2_OCCUPATIONAL,85+,F,MINIMUM_PENSION,45296,14037.57,12255.17,58.68,63.89,39.32,WAGE,18.95,0,1,70512585839.33,ilc_pnp1,HIGH_LONGEVITY,2024-01-28
2011,SK,PILLAR3_PERSONAL,80-84,T,OLD_AGE,46738,10495.89,9491.74,72.5,65.23,28.45,CPI,18.58,0,0,70803455323.81,spr_pns_ben,BASELINE,2024-04-04
2012,HR,MIXED,75-79,M,SURVIVOR,48203,10726.82,8410.33,88.92,59.26,32.03,NONE,5.89,1,1,71151893914.44,proj_pens,LOW_MIGRATION,2025-11-26
2013,DE,PILLAR1_PUBLIC_PAYG,70-74,F,EARLY_RETIREMENT,48157,16443.34,15176.85,46.13,62.16,40.78,DISCRETIONARY,17.19,0,0,71317118054.99,spr_pns_mean,HIGH_MIGRATION,2025-05-20
2014,LU,PILLAR2_OCCUPATIONAL,65-69,T,DISABILITY,48136,6272.29,5576.19,60.85,58.73,14.74,MIXED,4.13,0,0,71639832639.88,gov_10a_main,LOW_GROWTH,2025-05-24
2015,SI,PILLAR3_PERSONAL,55-64,M,MINIMUM_PENSION,45324,24694.47,23476.08,30.18,60.25,14.7,WAGE,10.87,0,1,71861729934.42,ilc_pnp1,HIGH_LONGEVITY,2025-06-21
2016,CY,MIXED,85+,F,OLD_AGE,49827,20624.59,19620.47,89.18,62.69,20.06,CPI,23.23,1,0,72293243238.99,spr_pns_ben,BASELINE,2025-12-14
2017,GR,PILLAR1_PUBLIC_PAYG,80-84,T,SURVIVOR,47766,14406.37,11231.87,93.49,58.49,24.02,NONE,25.08,1,1,72492707332.66,proj_pens,LOW_MIGRATION,2025-01-15
2018,MT,PILLAR2_OCCUPATIONAL,75-79,M,EARLY_RETIREMENT,45626,25043.49,20900.5,39.52,64.9,36.67,DISCRETIONARY,21.64,0,0,72674120565.79,spr_pns_mean,HIGH_MIGRATION,2025-07-30
2019,ES,PILLAR3_PERSONAL,70-74,F,DISABILITY,45438,18037.4,14452.07,48.95,65.01,41.92,MIXED,18.23,0,1,73016109620.85,gov_10a_main,LOW_GROWTH,2024-02-08
2020,CZ,MIXED,65-69,T,MINIMUM_PENSION,49920,7054.94,6428.41,51.45,68.31,33.18,WAGE,25.89,0,0,73338317150.19,ilc_pnp1,HIGH_LONGEVITY,2024-01-10
2021,HU,PILLAR1_PUBLIC_PAYG,55-64,M,OLD_AGE,47542,13540.4,11144.09,39.81,59.35,32.59,CPI,7.47,0,0,73521883238.79,spr_pns_ben,BASELINE,2024-10-28
2022,NL,PILLAR2_OCCUPATIONAL,85+,F,SURVIVOR,46277,26147.23,19822.75,25.4,64.05,38.1,NONE,14.56,1,1,73831500941.59,proj_pens,LOW_MIGRATION,2024-12-17
2023,SE,PILLAR3_PERSONAL,80-84,T,EARLY_RETIREMENT,47667,9729.83,9245.61,65.5,59.7,17.44,DISCRETIONARY,5.95,0,0,74184185879.36,spr_pns_mean,HIGH_MIGRATION,2025-08-17
2024,DK,MIXED,75-79,M,DISABILITY,49102,16424.68,15491.35,74.92,67.55,35.81,MIXED,13.79,0,1,74513392793.21,gov_10a_main,LOW_GROWTH,2024-08-14
2025,IE,PILLAR1_PUBLIC_PAYG,70-74,F,MINIMUM_PENSION,47059,8221.01,6144.38,61.32,63.59,22.47,WAGE,21.69,0,0,74814261419.16,ilc_pnp1,HIGH_LONGEVITY,2025-12-27
2026,PL,PILLAR2_OCCUPATIONAL,65-69,T,OLD_AGE,48919,6742.24,5766.9,65.72,67.11,23.39,CPI,25.1,0,0,74947930312.26,spr_pns_ben,BASELINE,2025-11-27
2008,AT,PILLAR3_PERSONAL,55-64,M,SURVIVOR,48483,20729.93,19389.65,90.54,68.07,38.38,NONE,5.98,0,1,75240673164.71,proj_pens,LOW_MIGRATION,2024-05-25
2009,EE,MIXED,85+,F,EARLY_RETIREMENT,46020,10685.34,8689.95,92.62,60.07,21.27,DISCRETIONARY,20.14,1,0,75506329703.83,spr_pns_mean,HIGH_MIGRATION,2025-04-07
2010,IT,PILLAR1_PUBLIC_PAYG,80-84,T,DISABILITY,49127,14547.54,11586.25,49.04,63.0,12.35,MIXED,23.62,0,0,75922387975.91,gov_10a_main,LOW_GROWTH,2025-04-30
2011,PT,PILLAR2_OCCUPATIONAL,75-79,M,MINIMUM_PENSION,48652,13614.99,12643.19,49.39,66.77,23.15,WAGE,6.72,0,0,76130132621.68,ilc_pnp1,HIGH_LONGEVITY,2024-01-18
2012,BE,PILLAR3_PERSONAL,70-74,F,OLD_AGE,46324,16046.13,11564.54,85.13,64.25,29.55,CPI,10.31,0,0,76308875160.01,spr_pns_ben,BASELINE,2024-08-29
2013,FI,MIXED,65-69,T,SURVIVOR,46284,13531.32,11208.33,94.89,64.25,32.84,NONE,5.48,0,1,76771760922.51,proj_pens,LOW_MIGRATION,2024-06-16
2014,LV,PILLAR1_PUBLIC_PAYG,55-64,M,EARLY_RETIREMENT,49583,26497.38,21965.9,90.98,66.61,12.46,DISCRETIONARY,15.88,0,0,76864242381.99,spr_pns_mean,HIGH_MIGRATION,2025-04-08
2015,RO,PILLAR2_OCCUPATIONAL,85+,F,DISABILITY,47291,15898.99,13679.02,54.67,62.41,23.47,MIXED,12.25,0,0,77271949689.99,gov_10a_main,LOW_GROWTH,2024-06-01
2016,BG,PILLAR3_PERSONAL,80-84,T,MINIMUM_PENSION,48301,7911.55,6508.74,52.49,63.53,21.05,WAGE,25.44,0,0,77557415650.23,ilc_pnp1,HIGH_LONGEVITY,2025-10-17
2017,FR,MIXED,75-79,M,OLD_AGE,49781,16810.27,12193.85,71.51,62.57,22.42,CPI,19.9,0,1,77818305302.31,spr_pns_ben,BASELINE,2024-05-29
2018,LT,PILLAR1_PUBLIC_PAYG,70-74,F,SURVIVOR,48328,17831.03,16421.9,87.28,59.13,13.26,NONE,5.39,0,1,77984563106.05,proj_pens,LOW_MIGRATION,2025-08-08
2019,SK,PILLAR2_OCCUPATIONAL,65-69,T,EARLY_RETIREMENT,48556,16838.38,15188.24,88.35,58.97,15.62,DISCRETIONARY,12.15,1,0,78458375145.64,spr_pns_mean,HIGH_MIGRATION,2024-05-31
2020,HR,PILLAR3_PERSONAL,55-64,M,DISABILITY,49807,18705.6,17316.79,72.94,64.36,12.54,MIXED,14.59,0,0,78709295581.71,gov_10a_main,LOW_GROWTH,2025-04-28
2021,DE,MIXED,85+,F,MINIMUM_PENSION,46613,14548.25,12944.82,29.18,61.4,30.57,WAGE,10.22,0,0,78980415902.54,ilc_pnp1,HIGH_LONGEVITY,2026-02-19
2022,LU,PILLAR1_PUBLIC_PAYG,80-84,T,OLD_AGE,45813,9603.75,8751.35,58.5,66.19,31.01,CPI,11.07,0,0,79143717813.99,spr_pns_ben,BASELINE,2025-12-18
2023,SI,PILLAR2_OCCUPATIONAL,75-79,M,SURVIVOR,50486,22077.15,20801.31,56.01,58.02,25.6,NONE,23.62,0,1,79412547784.26,proj_pens,LOW_MIGRATION,2025-09-25
2024,CY,PILLAR3_PERSONAL,70-74,F,EARLY_RETIREMENT,47095,17528.73,15186.26,84.93,63.53,18.62,DISCRETIONARY,20.24,0,0,79852034927.4,spr_pns_mean,HIGH_MIGRATION,2025-01-22
2025,GR,MIXED,65-69,T,DISABILITY,46101,7994.42,5836.1,57.26,61.31,22.74,MIXED,20.91,1,0,80032853923.32,gov_10a_main,LOW_GROWTH,2024-07-30
2026,MT,PILLAR1_PUBLIC_PAYG,55-64,M,MINIMUM_PENSION,48840,6663.15,4889.4,60.69,60.52,40.9,WAGE,11.73,0,0,80414650257.02,ilc_pnp1,HIGH_LONGEVITY,2025-09-02
2008,ES,PILLAR2_OCCUPATIONAL,85+,F,OLD_AGE,45765,12428.42,8953.74,32.61,67.01,29.04,CPI,8.15,1,0,80596179515.0,spr_pns_ben,BASELINE,2024-12-03
2009,CZ,PILLAR3_PERSONAL,80-84,T,SURVIVOR,49357,9032.0,6571.95,78.05,62.65,32.35,NONE,21.08,0,1,80954256768.53,proj_pens,LOW_MIGRATION,2024-03-20
2010,HU,MIXED,75-79,M,EARLY_RETIREMENT,50252,17181.4,15397.18,76.15,63.04,38.9,DISCRETIONARY,25.17,0,0,81117712584.73,spr_pns_mean,HIGH_MIGRATION,2024-08-28
2011,NL,PILLAR1_PUBLIC_PAYG,70-74,F,DISABILITY,46839,21171.31,15848.91,62.37,66.82,14.22,MIXED,10.61,0,1,81488583622.47,gov_10a_main,LOW_GROWTH,2025-11-28
2012,SE,PILLAR2_OCCUPATIONAL,65-69,T,MINIMUM_PENSION,49525,24982.15,23584.88,27.64,62.2,29.04,WAGE,5.08,0,0,81724100186.49,ilc_pnp1,HIGH_LONGEVITY,2025-12-12
2013,DK,PILLAR3_PERSONAL,55-64,M,OLD_AGE,47170,6467.6,4924.98,37.17,63.84,29.87,CPI,7.73,1,0,81909323392.0,spr_pns_ben,BASELINE,2025-05-21
2014,IE,MIXED,85+,F,SURVIVOR,45996,21296.84,17588.06,29.74,60.04,37.88,NONE,26.3,0,1,82231411155.96,proj_pens,LOW_MIGRATION,2026-01-31
2015,PL,PILLAR1_PUBLIC_PAYG,80-84,T,EARLY_RETIREMENT,48637,23478.95,19802.01,75.49,66.58,23.94,DISCRETIONARY,7.51,0,0,82620198389.78,spr_pns_mean,HIGH_MIGRATION,2025-11-10
2016,AT,PILLAR2_OCCUPATIONAL,75-79,M,DISABILITY,50400,10451.56,8186.21,35.84,60.8,21.97,MIXED,8.3,0,0,82819365013.31,gov_10a_main,LOW_GROWTH,2024-02-01
2017,EE,PILLAR3_PERSONAL,70-74,F,MINIMUM_PENSION,49944,20512.8,19289.6,35.35,67.31,39.62,WAGE,18.88,0,0,83161538580.01,ilc_pnp1,HIGH_LONGEVITY,2025-10-10
2018,IT,MIXED,65-69,T,OLD_AGE,46949,6031.04,4871.02,26.67,66.58,26.88,CPI,19.1,0,0,83388816134.5,spr_pns_ben,BASELINE,2025-11-05
2019,PT,PILLAR1_PUBLIC_PAYG,55-64,M,SURVIVOR,49508,15818.65,12628.15,33.35,61.38,18.58,NONE,16.34,1,1,83712400604.24,proj_pens,LOW_MIGRATION,2025-02-10
2020,BE,PILLAR2_OCCUPATIONAL,85+,F,EARLY_RETIREMENT,50756,22027.38,20710.3,71.71,59.16,14.07,DISCRETIONARY,9.43,0,0,84028154334.29,spr_pns_mean,HIGH_MIGRATION,2024-07-06
2021,FI,PILLAR3_PERSONAL,80-84,T,DISABILITY,49950,17378.33,15337.12,48.86,62.31,24.52,MIXED,5.24,1,0,84233473546.79,gov_10a_main,LOW_GROWTH,2025-05-16
2022,LV,MIXED,75-79,M,MINIMUM_PENSION,46086,24558.76,22876.45,37.05,62.11,21.49,WAGE,15.74,0,0,84428448470.27,ilc_pnp1,HIGH_LONGEVITY,2025-08-05
2023,RO,PILLAR1_PUBLIC_PAYG,70-74,F,OLD_AGE,47672,19662.98,15709.79,45.77,65.71,26.67,CPI,23.08,0,0,84869388489.68,spr_pns_ben,BASELINE,2024-12-31
2024,BG,PILLAR2_OCCUPATIONAL,65-69,T,SURVIVOR,48005,12211.86,9535.1,66.81,60.91,19.11,NONE,18.58,1,1,85017779037.73,proj_pens,LOW_MIGRATION,2025-10-22
2025,FR,PILLAR3_PERSONAL,55-64,M,EARLY_RETIREMENT,46580,25238.0,18725.38,65.86,59.98,32.11,DISCRETIONARY,18.47,0,1,85453745357.07,spr_pns_mean,HIGH_MIGRATION,2024-04-04
2026,LT,MIXED,85+,F,DISABILITY,46875,12664.34,11202.01,49.26,58.28,21.44,MIXED,25.31,1,0,85669182542.0,gov_10a_main,LOW_GROWTH,2024-05-08
2008,SK,PILLAR1_PUBLIC_PAYG,80-84,T,MINIMUM_PENSION,46703,20747.16,16802.81,64.24,64.01,40.84,WAGE,5.89,1,0,85997778468.62,ilc_pnp1,HIGH_LONGEVITY,2025-03-23
2009,HR,PILLAR2_OCCUPATIONAL,75-79,M,OLD_AGE,46805,13870.55,11403.92,89.69,65.97,28.34,CPI,5.63,0,0,86112784389.85,spr_pns_ben,BASELINE,2025-06-03
2010,DE,PILLAR3_PERSONAL,70-74,F,SURVIVOR,46609,12446.28,11944.44,36.9,58.23,13.55,NONE,7.54,1,1,86513122069.68,proj_pens,LOW_MIGRATION,2024-12-10
2011,LU,MIXED,65-69,T,EARLY_RETIREMENT,46915,10484.74,9990.38,63.0,66.59,28.26,DISCRETIONARY,17.61,1,0,86840008163.65,spr_pns_mean,HIGH_MIGRATION,2025-07-06
