gov_contract_contract_award_date,gov_contract_contracting_office_code,gov_contract_nic_code_contract,gov_contract_psc_code,gov_contract_vendor_duns_hash,gov_contract_contract_vehicle_type,gov_contract_competition_type,gov_contract_contract_value_inr,gov_contract_ceiling_value_inr,gov_contract_obligated_amount_inr,gov_contract_period_of_performance_start,gov_contract_period_of_performance_end,gov_contract_small_business_set_aside,gov_contract_ncoioeconomic_category,gov_contract_subcontracting_plan_flag,gov_contract_labor_standards_clause_flag,gov_contract_buy_american_clause_flag,gov_contract_performance_based_flag,gov_contract_termination_for_default_flag,gov_contract_past_performance_score
2024-06-10,GOVNOKP8,GOVE1S1R,GOVCNFF3,GOV136c6eef7e75,GOVM4LO6,GOVG28BR,65851,251172,364007,val_eb89_01069,val_eb89_01069,GOVeb801069,GOVEZRKG,0,0,0,0,1,0.93
2018-02-08,GOVWENT9,GOV9X49R,GOVUIMEO,GOV4fe51d749823,GOV2E3S0,GOV0C2F6,67678,51448960,56662091,val_eb89_01070,val_eb89_01070,GOVeb801070,GOVYPNED,1,1,1,0,1,0.28
2023-05-02,GOVPYQDN,GOVVG3UG,GOVRE0JW,GOVfaaa377c5c1b,GOV7ZB97,GOVMG556,67945,21183,1487453,val_eb89_01071,val_eb89_01071,GOVeb801071,GOVY3NWY,1,0,1,0,1,86.7
2020-04-20,GOVYZ705,GOVLLTOE,GOVN4VHP,GOVbac3ca85ce55,GOV6KQGN,GOV2SUI4,486916,530894,384733916,val_eb89_01072,val_eb89_01072,GOVeb801072,GOVUFVH6,0,1,0,1,0,5.68
2023-02-20,GOVYZR9C,GOVMY7JH,GOV02WAJ,GOVaf12651b2d63,GOVX1KF4,GOVF01DZ,59379337,69741892,21352,val_eb89_01073,val_eb89_01073,GOVeb801073,GOVMLA2J,1,1,1,1,1,39.63
2024-08-24,GOVG3S9N,GOVYULLQ,GOV0J491,GOV535cb08a3dc1,GOVJYNMM,GOVQTOMT,385861849,695959808,588906364,val_eb89_01074,val_eb89_01074,GOVeb801074,GOV5LQ4Q,1,1,0,1,0,26.55
2025-04-07,GOVPLF9W,GOVYMGY7,GOVJB899,GOV34527ae4ce36,GOVDFDGS,GOVPP61J,3598318,17567,39934358,val_eb89_01075,val_eb89_01075,GOVeb801075,GOVYPWSC,0,0,1,1,1,22.59
2025-04-26,GOV5NQHZ,GOVE9V5S,GOVUP6N5,GOVaa30968a92d9,GOV3PY3R,GOVFY32Z,61340,27550164,2654778,val_eb89_01076,val_eb89_01076,GOVeb801076,GOVKI1J7,0,1,1,0,1,30.53
2023-01-20,GOVAOWI7,GOVPWQX4,GOVPY99L,GOV5f73832f4284,GOVCR8AL,GOVRP61O,64041,269492,75580,val_eb89_01077,val_eb89_01077,GOVeb801077,GOVJ56MF,1,1,0,1,0,87.81
2023-08-08,GOVACLZK,GOVQF9OR,GOVXNCWS,GOV113deb0578fb,GOVH4VQA,GOV39HPB,634746,432654484,68009,val_eb89_01078,val_eb89_01078,GOVeb801078,GOVEYB4O,1,0,0,1,1,27.13
2018-06-09,GOVBPUGU,GOV8S4H5,GOVV5WQO,GOVc3fc265bef98,GOVTLJUE,GOVHFZ7N,547889,435122,66333922,val_eb89_01079,val_eb89_01079,GOVeb801079,GOVR3JVP,1,0,0,0,0,46.39
2024-08-28,GOVNHJD6,GOVBMU08,GOVCFR3L,GOVea1acf2ba236,GOVR2V99,GOV3PP7Q,5133302,134618255,39910,val_eb89_01080,val_eb89_01080,GOVeb801080,GOVGXTVQ,0,1,1,0,1,36.73
2020-03-19,GOV6I6N3,GOVHAUSN,GOVOI3RA,GOV5b32fdd26a84,GOVA4GLX,GOV5LJ6M,350169,510376854,66549,val_eb89_01081,val_eb89_01081,GOVeb801081,GOVD4RA0,1,0,1,0,0,62.75
2018-12-09,GOV824KE,GOVZMWME,GOV9L65K,GOVcbef0199f3ca,GOVHPNOL,GOVCKV09,70248120,349059,68436748,val_eb89_01082,val_eb89_01082,GOVeb801082,GOV41SQO,0,0,0,1,1,70.57
2021-03-25,GOVXB28F,GOVXGIVT,GOVF0IY9,GOV64ef8a3ef26d,GOVHZ9NE,GOV560W0,648001,47268,187340,val_eb89_01083,val_eb89_01083,GOVeb801083,GOV9HHV7,0,0,1,1,0,89.53
2024-12-19,GOVGT4Q2,GOVLB9G6,GOVY4F52,GOVce180233e9d8,GOVX68NI,GOVPND1C,19688503,40265,395922286,val_eb89_01084,val_eb89_01084,GOVeb801084,GOVMYI6N,1,0,1,0,0,4.7
2018-08-02,GOVH20A5,GOVFQL1N,GOVK0QD9,GOV6014d8c6f6e8,GOV1BZPT,GOVY4F5E,737490,539555,4061755,val_eb89_01085,val_eb89_01085,GOVeb801085,GOVAPBAI,0,0,0,0,1,92.07
2025-01-15,GOVT2CIU,GOVYHDT9,GOVNPSA6,GOVc9e27beaafb2,GOV1YER2,GOVF9HYP,38669089,737748905,89597781,val_eb89_01086,val_eb89_01086,GOVeb801086,GOVM07ZI,1,1,1,1,0,64.85
2019-05-22,GOVE8IEO,GOVCS61U,GOV4VEOJ,GOVbe4b61829d9a,GOV3OOMD,GOVNDL38,304248,38531796,387496417,val_eb89_01087,val_eb89_01087,GOVeb801087,GOVP8JXD,1,1,0,0,1,88.86
2018-03-02,GOVNSZMT,GOVEPVUP,GOV4TMIH,GOV6fe9852d7c17,GOVRJOID,GOVH6AOM,547546700,344278499,18259190,val_eb89_01088,val_eb89_01088,GOVeb801088,GOVT4KKC,1,1,0,0,0,6.95
2018-12-01,GOVVL0KR,GOV70B9O,GOVJ8VFJ,GOV1c9f5d6f9b91,GOVV04VV,GOVKGWTG,812416,3103223,22938,val_eb89_01089,val_eb89_01089,GOVeb801089,GOVZZ7TN,1,1,1,0,0,92.21
2019-12-14,GOV43BSB,GOV5UR4P,GOVD6CTX,GOV9a30787ea225,GOVZJ9W1,GOVW2H06,69110,70518,799419,val_eb89_01090,val_eb89_01090,GOVeb801090,GOVS5SMD,1,1,0,1,0,48.77
2023-03-23,GOVOWJJM,GOVRZSJW,GOVGEJ4W,GOV3a1d71d1a852,GOV58M0M,GOVWMCZH,51578,70254072,233810,val_eb89_01091,val_eb89_01091,GOVeb801091,GOVA0HX7,1,0,1,0,1,99.23
2025-02-07,GOVHGTNI,GOV0HGLH,GOV879B0,GOVf495053c1d0b,GOVP07OY,GOVB1U4W,53127,472806046,6027225,val_eb89_01092,val_eb89_01092,GOVeb801092,GOV5ROP4,1,1,0,1,1,18.9
2018-09-25,GOV810OA,GOVAYOZA,GOVO2WS1,GOVf108ef990d59,GOV25291,GOV87UXB,76735792,870077,263854,val_eb89_01093,val_eb89_01093,GOVeb801093,GOVPYZMY,1,0,0,0,0,42.58
2022-05-24,GOVYV2HN,GOVXI5UF,GOVOIG3I,GOV2ccd58d1108d,GOVIQ2GK,GOVWKUHU,6007167,329635,30908,val_eb89_01094,val_eb89_01094,GOVeb801094,GOVIXV60,0,0,1,0,0,88.03
2019-09-02,GOV48JLS,GOVLHQ3R,GOV2MQN0,GOV26d92e4caa20,GOVF1RUO,GOVIETI6,47500,69483,62868016,val_eb89_01095,val_eb89_01095,GOVeb801095,GOVLSGWV,1,0,0,1,1,9.42
2019-01-08,GOVKVBFR,GOV4TVPR,GOVKBK0Z,GOV728e15133175,GOV4UVOY,GOVGZJFI,6159315,113629981,459968,val_eb89_01096,val_eb89_01096,GOVeb801096,GOV38IY3,0,0,0,0,1,69.41
2019-04-26,GOV1T7IO,GOVVL4S8,GOVOI7WF,GOV28dc46a1391f,GOV2YEZZ,GOVJ0I77,109370,31038,4090485,val_eb89_01097,val_eb89_01097,GOVeb801097,GOVV2WEF,1,0,0,0,0,52.74
2019-05-09,GOV7P5GX,GOVMV5C0,GOVUY3N8,GOV43bb6e17e4f0,GOV3MWA7,GOVT61A4,3639963,286809,59914,val_eb89_01098,val_eb89_01098,GOVeb801098,GOVD0HMS,0,0,0,0,0,91.86
2020-07-27,GOV7L3KV,GOV3SEAF,GOVCFE19,GOV82864c9e16e6,GOVLLAXJ,GOV7VP9O,6921158,20741568,94405,val_eb89_01099,val_eb89_01099,GOVeb801099,GOV3V1AS,0,0,1,1,0,78.84
2023-11-10,GOVP37MY,GOV0KGK5,GOVGQTRX,GOVff2587b09867,GOVXC39D,GOV7Y8HC,71671,206988,558106,val_eb89_01100,val_eb89_01100,GOVeb801100,GOV1631N,1,1,1,0,0,5.39
2025-04-24,GOVK4388,GOVZ4DOI,GOVN0HVB,GOV4aced77255b7,GOVUE7K0,GOV3Z1A3,5786300,203093896,62878145,val_eb89_01101,val_eb89_01101,GOVeb801101,GOV4D073,0,0,0,1,0,9.82
2023-06-20,GOV1AHA9,GOVF01ZX,GOV431DW,GOV2bf9a89c54c1,GOVATTUS,GOV5CD0N,62563874,545171,5294550,val_eb89_01102,val_eb89_01102,GOVeb801102,GOV7AQRQ,0,1,0,1,0,72.79
2018-06-15,GOVNT2CB,GOVTX8Q0,GOVEXYH8,GOVa00e02efdc54,GOVCQT4Z,GOVSJMBY,11851818,46929853,9269,val_eb89_01103,val_eb89_01103,GOVeb801103,GOVVIZDZ,0,1,0,1,0,48.46
2018-07-20,GOV6FZIE,GOV8O7VX,GOV4P9G9,GOV9d66756f146c,GOVAZ2J8,GOVIY4ON,93420677,127173,1553022,val_eb89_01104,val_eb89_01104,GOVeb801104,GOV62K7X,0,0,0,0,1,86.12
2025-05-08,GOVNPI3I,GOVYQJ6O,GOV5I213,GOVb0800f208bb8,GOV1XGS3,GOVH3EZ0,464817,498496,569526220,val_eb89_01105,val_eb89_01105,GOVeb801105,GOVU8FBQ,1,0,0,0,0,52.42
2023-08-26,GOVPV0WU,GOVAI9ED,GOVUISD4,GOV3078b3c5913b,GOVM3O7J,GOVUAMKK,47022085,2068884,574791645,val_eb89_01106,val_eb89_01106,GOVeb801106,GOVISVMY,1,1,0,1,0,29.79
2024-06-14,GOVLLH6P,GOV95GXL,GOVEPKZ4,GOVe1fc3a829dbc,GOVRUYKG,GOVM53QJ,333598,41124158,2749174,val_eb89_01107,val_eb89_01107,GOVeb801107,GOVR0AVY,0,1,0,0,0,17.44
2021-02-08,GOVG2EO3,GOVSX909,GOVJ3LMX,GOVd5a6b8823d0d,GOVBDOH3,GOVMLI72,8063,6955993,493172,val_eb89_01108,val_eb89_01108,GOVeb801108,GOVJ21IM,0,0,1,1,0,20.46
2019-09-22,GOVNM8OT,GOV0UT0P,GOV6WPRI,GOVc143d9fe2c87,GOVE7LIR,GOVXKH7F,51135732,55907,24979,val_eb89_01109,val_eb89_01109,GOVeb801109,GOVEIRYY,1,0,1,0,1,61.14
2020-07-26,GOV769S9,GOVRHEO2,GOVCY05T,GOV7847a1bb0a11,GOVNB6NQ,GOVYQWMZ,628501976,8554134,692114152,val_eb89_01110,val_eb89_01110,GOVeb801110,GOVNARR9,1,0,1,0,0,75.31
2018-08-13,GOV4AYZO,GOVTFDGW,GOV4MKYP,GOV76a09b97a2f6,GOVXZY9N,GOVS9DNS,777320,43471,7220867,val_eb89_01111,val_eb89_01111,GOVeb801111,GOV2KIHI,0,0,0,0,0,51.75
2023-11-07,GOVJIZ66,GOV7YM10,GOV1LUYU,GOVb04c8a5455da,GOVONHNK,GOV9I8H0,340933218,3622528,347002704,val_eb89_01112,val_eb89_01112,GOVeb801112,GOVBJW58,1,1,1,0,0,18.52
2024-09-01,GOVSJTBC,GOVODD47,GOVRGGW8,GOVf42419f8c1e5,GOVESF6Q,GOV8H4LK,36572,67141295,484282,val_eb89_01113,val_eb89_01113,GOVeb801113,GOV4JP2S,1,1,0,0,1,66.74
2019-03-04,GOVXY7AM,GOVF78W0,GOVRMXX5,GOV143b07f157c0,GOVIIAHX,GOVS1D2K,4566455,739063,646600634,val_eb89_01114,val_eb89_01114,GOVeb801114,GOV90SM2,0,0,1,0,1,11.31
2022-03-22,GOVOJ3CT,GOVQBJAV,GOVLIOK9,GOV4dce62378a90,GOVKMEDU,GOVKW33O,423549706,40796,4235876,val_eb89_01115,val_eb89_01115,GOVeb801115,GOV4QETK,0,0,0,1,0,43.6
2018-03-17,GOV8ZY2Z,GOV20O9U,GOVL3JUR,GOVc27e56c76fbd,GOVOVMQY,GOVNLGI5,3059326,260964619,5888541,val_eb89_01116,val_eb89_01116,GOVeb801116,GOVVINJA,0,0,0,0,0,14.64
2022-05-22,GOV7YX72,GOVGOUM6,GOVVVBNZ,GOVabe6c2cd5282,GOVPT0F9,GOV64PHC,77557,465436848,52757995,val_eb89_01117,val_eb89_01117,GOVeb801117,GOVOB3JN,0,0,1,1,1,22.25
2022-08-28,GOVHS1LD,GOV6A3XS,GOV3TZMJ,GOV37d46c91c24e,GOVEJ5E3,GOVLWJEE,131353,2556906,416559734,val_eb89_01118,val_eb89_01118,GOVeb801118,GOV6LZTI,1,1,1,1,1,74.02
2019-04-04,GOV836SF,GOV58UKK,GOV0FA36,GOV285cf7e0882f,GOVDN2LD,GOVMSCUW,14860,315130,65160811,val_eb89_01119,val_eb89_01119,GOVeb801119,GOVBIRCP,0,0,0,1,1,51.74
2018-08-27,GOVGWCD9,GOVKY8KD,GOV9V5G5,GOVc1264d0531e4,GOV76ATG,GOV069L3,55810548,286823066,3548,val_eb89_01120,val_eb89_01120,GOVeb801120,GOVHNQTC,1,0,1,1,1,38.95
2023-07-10,GOVK123O,GOVYC2OL,GOVJM1SW,GOV6719030992ea,GOV2MIMU,GOVHAEH7,794187780,29882829,5319537,val_eb89_01121,val_eb89_01121,GOVeb801121,GOVYFL6G,0,0,0,0,0,92.25
2020-08-25,GOVE9B72,GOVRK4TN,GOVFQDOZ,GOV96ae983b05a8,GOVTDQZQ,GOVUN1SJ,61151003,53499,721225,val_eb89_01122,val_eb89_01122,GOVeb801122,GOVQBSNQ,1,1,0,0,0,24.18
2025-09-19,GOVJOTIO,GOVAKDSP,GOVT30S1,GOV9192f6af90b1,GOVN1LUJ,GOVNOQS7,5881014,332662,66770578,val_eb89_01123,val_eb89_01123,GOVeb801123,GOV9J9IU,1,0,1,1,0,91.14
2024-12-04,GOVJKJNZ,GOV2IH12,GOV0K3O1,GOV52857fadbaa6,GOVXLDIG,GOV4TC7H,70158560,115656971,83785494,val_eb89_01124,val_eb89_01124,GOVeb801124,GOVPWGJJ,1,1,0,0,1,76.0
2022-11-16,GOVZ4SCI,GOV4FWKA,GOVK7MMH,GOVf4edd433c6d3,GOVF098V,GOVN1QQP,4827109,42073642,441339010,val_eb89_01125,val_eb89_01125,GOVeb801125,GOVEM6F7,0,1,0,0,1,9.63
2018-08-08,GOVD5I8Y,GOV9IIHG,GOV60O89,GOV44e81b595997,GOV6OWF8,GOVNB218,51198,43279005,43649977,val_eb89_01126,val_eb89_01126,GOVeb801126,GOVYVXLP,1,0,1,0,1,72.02
2022-01-22,GOVYYRYK,GOVRB3XJ,GOVK8NRP,GOVfddc53514cfc,GOVIPD2O,GOV5X70C,94627892,687057,4039,val_eb89_01127,val_eb89_01127,GOVeb801127,GOV7JQZU,1,0,0,0,0,98.74
2024-09-15,GOVVN9OY,GOVONQ9R,GOV7QF9J,GOV0afadcc89676,GOV088UC,GOVFYK3V,239055,57458,681043726,val_eb89_01128,val_eb89_01128,GOVeb801128,GOVGUKUX,1,0,0,0,1,68.99
2022-09-25,GOV4LDTW,GOVJJG55,GOVW1IBM,GOV4d82e8fea96e,GOVTDKSH,GOVCYCAI,636353,400710101,63554,val_eb89_01129,val_eb89_01129,GOVeb801129,GOV8QGPJ,1,0,1,0,0,30.72
2018-09-23,GOVFRHZX,GOVFK3PC,GOVZPJLD,GOV54b13990ced6,GOVY1JCE,GOVNF0KW,5396579,529452,399306203,val_eb89_01130,val_eb89_01130,GOVeb801130,GOVJF1AM,1,1,0,1,1,16.85
2024-10-16,GOV7F9TB,GOVCP6HX,GOV14FIG,GOV565b31c70a7c,GOVAOZQC,GOVEGPGI,16243683,5100709,80744766,val_eb89_01131,val_eb89_01131,GOVeb801131,GOVJBP7L,0,0,0,0,1,22.88
2024-05-22,GOVBDC12,GOVJB7FV,GOVWIUZ6,GOVd2e046968c70,GOVKF8XR,GOVNOIZV,2484063,5935918,4932576,val_eb89_01132,val_eb89_01132,GOVeb801132,GOVX17MZ,0,0,1,0,0,42.32
2023-01-17,GOV98KNO,GOVSYNM9,GOVHEHQG,GOVba614f2f7a5b,GOV2Y8VF,GOVTKWR0,2966405,39741,2293866,val_eb89_01133,val_eb89_01133,GOVeb801133,GOV0FFSX,0,1,0,1,0,73.07
2021-07-17,GOVCHZI7,GOV50D32,GOVHHE88,GOV731857a1b3ef,GOV1MVU5,GOVJRRB4,65766403,8399784,193205810,val_eb89_01134,val_eb89_01134,GOVeb801134,GOVTMMF8,1,1,1,0,0,4.51
2025-12-01,GOVPI3M6,GOVQNNBN,GOVZ7NXC,GOV1a0ab624723a,GOVBZNVF,GOVLFOTW,3783786,67853918,716227,val_eb89_01135,val_eb89_01135,GOVeb801135,GOVD5OSS,1,1,1,0,1,16.03
2025-12-02,GOVNBJJ5,GOVK9UKB,GOVRMNY0,GOVd8da018b7195,GOVFIXB7,GOVHZKQJ,4488534,65297,257353602,val_eb89_01136,val_eb89_01136,GOVeb801136,GOVCSUX7,0,1,1,0,1,1.7
2018-07-09,GOV7FQIK,GOVIYYPA,GOVAOG58,GOVd9991138385e,GOV5I0UB,GOVCZ750,19836,709782042,21787,val_eb89_01137,val_eb89_01137,GOVeb801137,GOVIT4OL,1,0,1,0,0,87.67
2021-08-18,GOVZH629,GOVXJPUR,GOVYSCI0,GOV89bdb7319f9c,GOVAWZQC,GOVIAWR8,5791641,36890221,375048,val_eb89_01138,val_eb89_01138,GOVeb801138,GOVN4GOV,1,1,1,1,0,71.13
2025-08-04,GOVM9K0O,GOV2TJ3K,GOVWSPGW,GOV5b9db2b5c684,GOVEB3RL,GOV99TKV,490837922,54203644,398700,val_eb89_01139,val_eb89_01139,GOVeb801139,GOVRAU72,1,1,0,0,0,48.89
2019-12-15,GOVZGU7O,GOVC2AVX,GOVG61M7,GOV062d5628c777,GOV6KKQY,GOV1BLE6,5123324,51733027,5506080,val_eb89_01140,val_eb89_01140,GOVeb801140,GOVOWMB4,0,1,1,0,0,20.83
2025-05-15,GOVZI6ZW,GOVVPUAQ,GOVBOVOA,GOV4ce67db5b12b,GOVM2ER6,GOV9IHWB,4257622,315516,52199,val_eb89_01141,val_eb89_01141,GOVeb801141,GOVD5Z94,1,1,1,0,1,21.09
2018-08-20,GOVUFJYZ,GOVZF2GH,GOVCEL8K,GOVb90e96173103,GOV98W7U,GOVK0RLI,236315674,336257,662406215,val_eb89_01142,val_eb89_01142,GOVeb801142,GOVGH8TS,0,0,1,0,1,50.99
2021-02-07,GOV5PUZY,GOVVVKJY,GOVHZNLA,GOVdbbcf7bc0c19,GOV9660Y,GOVLNE5Y,2476375,73096,499489,val_eb89_01143,val_eb89_01143,GOVeb801143,GOV46ABJ,0,0,1,1,0,41.63
2023-01-13,GOVWKR7K,GOVGKUI4,GOVUY1YR,GOVd79f8cd0a2d5,GOV6OFW1,GOVR3AZ8,258517,656234,2837082,val_eb89_01144,val_eb89_01144,GOVeb801144,GOVJSOX2,0,1,1,0,1,69.01
2024-03-12,GOVMUSDD,GOV4CK2M,GOVMOEEG,GOVfc3f95d4cd15,GOVXE4E6,GOVQ6HET,52649,54738512,323011145,val_eb89_01145,val_eb89_01145,GOVeb801145,GOVQ9TQW,1,0,1,1,0,66.68
2019-08-05,GOVAK5BG,GOV1W28I,GOVH7QLR,GOVf2a133eedc5a,GOVIYLI1,GOVU81VP,66536342,29733,568203717,val_eb89_01146,val_eb89_01146,GOVeb801146,GOVD1FZB,0,1,0,1,0,23.12
2023-11-23,GOV4IN9R,GOVTUPQ4,GOVFPM7K,GOVe4b69a28b6e4,GOVUGECJ,GOVNHSED,6844460,432908602,9972858,val_eb89_01147,val_eb89_01147,GOVeb801147,GOVG3TXJ,1,0,1,1,1,5.59
2019-02-21,GOVONIDI,GOVTDWDR,GOV4FM2P,GOV6093590bf1ec,GOV4WOF6,GOV8ZZAS,36266801,55521161,52564,val_eb89_01148,val_eb89_01148,GOVeb801148,GOVY6MNM,1,1,0,0,0,56.47
2020-11-30,GOVGHA2V,GOVFSJBP,GOVGWB29,GOVd8fa706884fe,GOVEGD4M,GOVL4S1B,8255192,554623,44223,val_eb89_01149,val_eb89_01149,GOVeb801149,GOVTI0Z8,0,1,1,1,0,11.4
2018-01-17,GOVBZM78,GOVUV4CE,GOVGV1TP,GOV7b1b3a71f3ca,GOVHR0JE,GOVY31TP,91797,2784722,3177267,val_eb89_01150,val_eb89_01150,GOVeb801150,GOVV6HOA,1,1,0,1,0,67.89
2021-01-02,GOV88U2Z,GOVWLNSD,GOV8B3ZI,GOVf2cc81beb48d,GOV9G8HK,GOVZD7G4,53591032,479474604,590729,val_eb89_01151,val_eb89_01151,GOVeb801151,GOVPEJNR,1,1,1,0,0,54.31
2024-02-09,GOVDI73I,GOVURKML,GOVVDDVV,GOV16dc6840df02,GOVFYQUZ,GOVKTEK2,42607,523081559,733567,val_eb89_01152,val_eb89_01152,GOVeb801152,GOVDNF6E,0,1,1,1,1,84.75
2019-08-12,GOVTS3Y5,GOVFT56R,GOVWW9W3,GOV4e96db91b65c,GOVTQLBN,GOVL2NS5,40253,80873,35067614,val_eb89_01153,val_eb89_01153,GOVeb801153,GOV6JDDN,1,1,0,1,0,29.87
2018-12-27,GOVYJ6X1,GOVI8XTF,GOVCY0SX,GOVd635decf4c63,GOVTRL2K,GOV3ABL7,6508072,3342692,2058383,val_eb89_01154,val_eb89_01154,GOVeb801154,GOVZVM0E,1,0,1,1,0,73.44
2023-05-16,GOVS9HZ9,GOVQWBSE,GOV788K7,GOV474fddcc10f4,GOVEXQRL,GOVFT6BB,2933193,82104,44682,val_eb89_01155,val_eb89_01155,GOVeb801155,GOVBOLIC,0,1,1,1,0,38.62
2025-04-08,GOVYPZ0P,GOVBN4NQ,GOVG1JPF,GOV2e1ff1d4e171,GOVFTW7Q,GOV5TQD7,4864222,62781,591324,val_eb89_01156,val_eb89_01156,GOVeb801156,GOVB7PNF,1,0,0,0,1,89.83
2018-05-20,GOV22ZJ8,GOVTS4JP,GOVXXQ5F,GOV98b8c8ab74e5,GOVG1LQH,GOV2389K,310166,7650,6286132,val_eb89_01157,val_eb89_01157,GOVeb801157,GOV79C7D,1,0,0,0,0,53.98
2022-02-04,GOVWTW46,GOVYHMS3,GOVP8UUG,GOVd60d1dba1421,GOVX8M8Z,GOVLS93G,51434141,626542,807747,val_eb89_01158,val_eb89_01158,GOVeb801158,GOVCUTVD,0,1,0,0,1,37.4
2024-09-11,GOV7K85I,GOVKWXNY,GOVR9NI7,GOV4c2238b73a41,GOVWGUZY,GOVKMOTW,64296066,399175,49266,val_eb89_01159,val_eb89_01159,GOVeb801159,GOVULTBY,0,0,0,0,1,32.6
2019-04-27,GOVXXR1K,GOVZM84Q,GOVGE42B,GOV2d54f37b1420,GOVEN6GP,GOV0V1SB,233570,970985700,570034791,val_eb89_01160,val_eb89_01160,GOVeb801160,GOVGR4Q0,0,0,0,0,0,26.66
2022-02-10,GOVLVWAD,GOVVJQCL,GOVCVQIF,GOV76b097bba9ce,GOVQFYFI,GOVUPLV9,72264776,238139,5946682,val_eb89_01161,val_eb89_01161,GOVeb801161,GOVOF4GG,0,0,0,1,0,77.32
2022-04-01,GOV54J8P,GOVPTWPB,GOVPYE01,GOVb64c8eb8d9e0,GOV43DXV,GOV4H34K,40111171,668391423,303033,val_eb89_01162,val_eb89_01162,GOVeb801162,GOV1Y2YS,1,1,1,1,0,35.62
2019-10-01,GOVU122D,GOV81KC5,GOVXYFYH,GOV3e64077fd1e4,GOV1S70G,GOVD6R90,511205616,282813,142874856,val_eb89_01163,val_eb89_01163,GOVeb801163,GOVKJYC6,0,0,1,1,0,73.87
2019-03-02,GOV63HQH,GOVY74VX,GOVJTR04,GOV7000c709663e,GOVNSE8H,GOVGDT8K,63840089,362853972,305753992,val_eb89_01164,val_eb89_01164,GOVeb801164,GOV4GX6Z,0,0,0,1,1,98.65
2022-02-12,GOVMNZUE,GOV3KFBR,GOVO7ATZ,GOV9ba839696664,GOVVGGC4,GOV920A9,41827,57866516,7290674,val_eb89_01165,val_eb89_01165,GOVeb801165,GOVUZT61,1,0,1,1,1,86.63
2024-07-31,GOVLXIYR,GOVDDYQS,GOVIS8OL,GOVb7de4681fac8,GOVX1SU2,GOVN0NIE,521633307,625820947,646466,val_eb89_01166,val_eb89_01166,GOVeb801166,GOVF9GLF,1,1,0,1,0,66.69
2018-11-21,GOV6TI5E,GOVUS67D,GOVJKZSJ,GOVde2624401988,GOV4H3Q2,GOVQR2SB,18220,24898450,465594,val_eb89_01167,val_eb89_01167,GOVeb801167,GOVKZ93V,1,1,0,0,0,78.35
2024-01-23,GOVJHZ2A,GOVRJFXP,GOVDJTEX,GOV899d33178f4c,GOVUD13S,GOVHNJSX,5707955,49676,252272,val_eb89_01168,val_eb89_01168,GOVeb801168,GOV4DIRG,1,1,1,1,0,69.17
2019-02-28,GOVE7RVW,GOV28LPT,GOVO5TJY,GOV1fa49d6981bf,GOVAI5TC,GOVVY2QV,626035,50897461,63034495,val_eb89_01169,val_eb89_01169,GOVeb801169,GOV6S5G3,1,0,1,1,0,29.13
2025-06-04,GOV7RQC5,GOVLCRK8,GOVEA9OL,GOV70a58c8c6382,GOV5KWM1,GOVPXLQ2,10021960,394350,355137,val_eb89_01170,val_eb89_01170,GOVeb801170,GOV81RH7,0,0,0,1,1,81.51
2019-09-29,GOVC8GAG,GOVVS4DV,GOVQAMRG,GOVacd756f67f91,GOV9VMVA,GOV7RD0K,550087,45010,71369064,val_eb89_01171,val_eb89_01171,GOVeb801171,GOVO3BVN,1,0,0,1,0,15.65
2020-11-18,GOV2F23W,GOVEDEM0,GOVXSETJ,GOVfa4124911a23,GOV1RIUF,GOVSTYCO,561938,448505,4487602,val_eb89_01172,val_eb89_01172,GOVeb801172,GOVRVFPZ,0,0,0,0,0,88.29
2025-04-26,GOVMIP0W,GOVZVXT6,GOV57DGD,GOV9ef3470fb493,GOV3ZHXT,GOVU00C7,58762,50919410,709264958,val_eb89_01173,val_eb89_01173,GOVeb801173,GOVIJLM6,1,1,1,1,1,53.19
2019-12-11,GOVOK4XD,GOVVR5WI,GOVBP23C,GOVe13dadf52ff7,GOVP4L7A,GOVOW3JB,8499403,53177209,47090,val_eb89_01174,val_eb89_01174,GOVeb801174,GOV1OJ90,0,1,1,0,0,73.81
2023-04-16,GOV6T4RK,GOVY0QPP,GOVDI37D,GOVa71591ab9241,GOVB2R3U,GOV1KVK6,21572,4825403,2461569,val_eb89_01175,val_eb89_01175,GOVeb801175,GOVODNZU,1,0,1,1,1,20.62
2019-09-17,GOVH544W,GOVKGZDJ,GOV2XG7F,GOV9f5912e4d9ed,GOVHOKR7,GOVILWEO,77427495,51218,755985,val_eb89_01176,val_eb89_01176,GOVeb801176,GOVK8OXN,1,1,0,1,1,70.59
2020-08-26,GOV25EPX,GOVCQKSN,GOVGFRFE,GOV31f05575cb1c,GOV99K0F,GOVD3950,40918,79198891,634299784,val_eb89_01177,val_eb89_01177,GOVeb801177,GOVCYI7C,0,1,1,0,1,57.15
2021-02-03,GOVYBBNY,GOVCANAH,GOVVQE7E,GOV1ef2cf1871aa,GOVXCMI7,GOVO28HE,454498955,62910,4713512,val_eb89_01178,val_eb89_01178,GOVeb801178,GOVJDOX5,1,1,0,1,0,34.34
2019-03-09,GOVQH285,GOV7OR6I,GOVPW9TB,GOV1c1a21699d94,GOVKCEW6,GOVPEA74,49693,5233405,4524104,val_eb89_01179,val_eb89_01179,GOVeb801179,GOVTJ0MW,1,0,1,0,0,80.94
