soc_family_reference_year,soc_family_country_iso2,soc_family_region_nuts_code,soc_family_household_type_code,soc_family_children_count,soc_family_benefit_program_code,soc_family_beneficiaries_count,soc_family_mean_benefit_monthly_eur,soc_family_childcare_subsidy_flag,soc_family_parental_leave_weeks_entitled,soc_family_parental_leave_takeup_rate_pct,soc_family_birth_grant_flag,soc_family_housing_support_flag,soc_family_income_test_threshold_eur,soc_family_digital_application_rate_pct,soc_family_processing_time_days_median,soc_family_fertility_policy_index_score,soc_family_child_poverty_rate_pct,soc_family_eurostat_table_code,soc_family_data_extract_date
2021,HR,HR916,EXTENDED_FAMILY,4,HOUSING_TOPUP,8208,474.97,0,40,61.31,0,1,47213.07,86.49,62,1.115,28.88,ilc_di07,2024-10-08
2022,DK,SK312,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8462,645.68,1,18,26.33,0,0,76997.62,73.92,69,1.295,15.03,spr_fam_ben,2024-01-20
2023,FR,CY438,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8365,422.38,0,8,71.78,0,0,78359.41,94.91,61,1.049,33.86,ilc_lvho14,2024-03-18
2024,HU,LV30,OTHER,1,CHILDCARE_SUBSIDY,9340,329.25,1,52,43.1,0,1,14533.82,97.75,52,0.89,10.71,lfso_14a,2025-10-30
2025,LV,LV510,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8160,257.66,1,26,19.31,0,1,35247.61,46.33,54,1.05,18.85,spr_fam_sum,2025-02-17
2026,MT,CZ991,GUARDIANSHIP,3,BIRTH_GRANT,8325,491.49,0,14,82.65,1,0,63020.26,40.06,70,1.725,26.24,ilc_di07,2025-05-30
2010,PT,LU248,EXTENDED_FAMILY,4,HOUSING_TOPUP,8409,418.35,0,0,62.98,0,1,14235.85,60.28,54,1.901,18.81,spr_fam_ben,2024-09-29
2011,SI,LV3,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7885,405.36,1,40,42.24,0,0,60820.37,53.19,56,2.192,28.54,ilc_lvho14,2024-11-15
2012,AT,SE3,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8814,49.54,1,18,34.33,0,0,62487.23,19.21,71,2.181,17.16,lfso_14a,2025-09-01
2013,HR,EE212,OTHER,1,CHILDCARE_SUBSIDY,8580,243.17,1,8,30.08,1,0,31787.53,58.12,62,1.724,16.94,spr_fam_sum,2024-02-09
2014,DK,MT5,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9002,269.06,0,52,63.13,0,0,57177.01,26.12,75,1.427,29.14,ilc_di07,2024-10-29
2015,FR,LU98,GUARDIANSHIP,3,BIRTH_GRANT,9062,513.57,0,26,58.11,1,0,60687.29,56.92,78,1.946,31.9,spr_fam_ben,2025-10-01
2016,HU,EE608,EXTENDED_FAMILY,4,HOUSING_TOPUP,8136,273.87,0,14,54.03,0,1,13183.8,30.07,71,0.984,18.41,ilc_lvho14,2024-08-06
2017,LV,CZ820,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8098,424.26,0,0,87.51,1,0,22629.87,78.66,80,1.691,27.22,lfso_14a,2025-06-21
2018,MT,PL5,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8652,257.83,0,40,26.7,0,1,18729.48,56.14,68,1.559,28.26,spr_fam_sum,2025-07-09
2019,PT,CZ327,OTHER,1,CHILDCARE_SUBSIDY,7992,181.66,1,18,30.18,1,0,74228.27,41.69,63,0.915,16.72,ilc_di07,2024-01-22
2020,SI,SK79,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9283,449.26,0,8,81.9,0,0,35141.97,17.89,69,2.128,20.9,spr_fam_ben,2025-02-12
2021,AT,SI17,GUARDIANSHIP,3,BIRTH_GRANT,8708,757.06,0,52,24.74,1,0,27721.97,64.91,71,1.721,17.61,ilc_lvho14,2024-05-08
2022,HR,FI472,EXTENDED_FAMILY,4,HOUSING_TOPUP,8800,709.59,0,26,46.86,0,1,13724.41,17.27,74,1.427,16.57,lfso_14a,2024-03-30
2023,DK,PL602,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,9146,617.77,1,14,84.05,1,0,74248.09,90.09,78,1.536,26.82,spr_fam_sum,2024-04-16
2024,FR,PL71,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8291,587.23,0,0,73.27,1,0,60276.52,25.77,73,0.812,8.7,ilc_di07,2025-08-06
2025,HU,DK7,OTHER,1,CHILDCARE_SUBSIDY,8142,575.77,1,40,69.01,0,1,53079.87,39.84,77,1.613,10.03,spr_fam_ben,2024-10-31
2026,LV,FR67,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8352,195.06,0,18,15.58,0,0,20953.98,34.48,86,1.063,7.11,ilc_lvho14,2025-06-07
2010,MT,SK121,GUARDIANSHIP,3,BIRTH_GRANT,8536,457.74,1,8,65.24,1,0,18449.43,48.93,87,1.205,25.88,lfso_14a,2024-09-04
2011,PT,AT616,EXTENDED_FAMILY,4,HOUSING_TOPUP,9387,352.89,0,52,82.34,1,1,72904.78,31.84,74,0.875,19.14,spr_fam_sum,2025-09-27
2012,SI,SE15,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8802,305.49,0,26,82.63,0,0,52706.05,85.33,79,1.254,22.14,ilc_di07,2024-02-11
2013,AT,BE2,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8151,71.61,1,14,81.62,0,0,68677.45,36.53,88,1.786,22.17,spr_fam_ben,2024-07-15
2014,HR,BE842,OTHER,1,CHILDCARE_SUBSIDY,9283,174.5,1,0,27.01,0,0,54939.13,92.74,90,1.41,33.06,ilc_lvho14,2024-12-16
2015,DK,PL68,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9037,425.68,0,40,87.95,0,0,71100.49,68.51,83,2.029,22.42,lfso_14a,2024-03-29
2016,FR,SI389,GUARDIANSHIP,3,BIRTH_GRANT,8455,327.8,1,18,54.92,1,0,76203.92,70.73,2,1.842,19.35,spr_fam_sum,2025-12-03
2017,HU,LT5,EXTENDED_FAMILY,4,HOUSING_TOPUP,7934,299.89,0,8,52.21,0,1,19834.52,49.29,8,1.186,17.57,ilc_di07,2025-05-22
2018,LV,SI24,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8848,466.35,0,52,74.35,0,1,56088.0,50.6,10,1.218,18.57,spr_fam_ben,2025-05-22
2019,MT,CY752,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7966,446.09,0,26,12.51,1,0,73110.2,18.78,19,1.966,28.75,ilc_lvho14,2025-01-24
2020,PT,MT181,OTHER,1,CHILDCARE_SUBSIDY,8564,107.18,1,14,83.61,0,0,14478.63,35.81,10,1.621,6.29,lfso_14a,2024-02-10
2021,SI,BE835,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9278,480.11,0,0,17.07,0,0,47819.93,26.86,8,1.904,19.43,spr_fam_sum,2025-08-23
2022,AT,CZ29,GUARDIANSHIP,3,BIRTH_GRANT,8860,365.45,0,40,41.41,1,0,51842.42,29.29,19,2.099,11.06,ilc_di07,2024-12-20
2023,HR,SK169,EXTENDED_FAMILY,4,HOUSING_TOPUP,9418,525.6,0,18,39.36,0,1,13007.82,75.34,24,1.25,15.36,spr_fam_ben,2024-01-26
2024,DK,LU432,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8552,77.95,0,8,21.88,0,0,61912.29,87.81,13,0.838,22.06,ilc_lvho14,2025-10-19
2025,FR,DE82,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,9103,526.59,0,52,85.32,0,0,21604.49,28.77,23,0.806,30.53,lfso_14a,2025-12-14
2026,HU,CZ6,OTHER,1,CHILDCARE_SUBSIDY,8829,725.63,1,26,29.37,0,0,69859.82,23.51,19,1.731,24.35,spr_fam_sum,2026-01-06
2010,LV,PT66,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9292,373.9,0,14,74.54,0,0,56704.4,26.69,14,1.052,28.7,ilc_di07,2024-05-09
2011,MT,NL29,GUARDIANSHIP,3,BIRTH_GRANT,9268,705.31,0,0,25.41,1,0,12727.63,38.93,22,1.021,16.33,spr_fam_ben,2024-10-05
2012,PT,CZ670,EXTENDED_FAMILY,4,HOUSING_TOPUP,8162,134.15,1,40,12.09,1,1,67134.91,22.38,23,1.529,28.22,ilc_lvho14,2025-01-17
2013,SI,SK272,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8999,661.75,0,18,34.86,0,0,40498.04,48.82,16,2.035,12.2,lfso_14a,2024-07-03
2014,AT,HU18,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8786,516.45,1,8,66.5,0,0,68404.76,90.09,28,1.363,22.15,spr_fam_sum,2024-07-22
2015,HR,DK943,OTHER,1,CHILDCARE_SUBSIDY,8406,658.1,1,52,19.11,1,0,48726.66,74.92,22,1.352,29.78,ilc_di07,2025-01-28
2016,DK,EE207,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9116,638.73,1,26,22.92,0,1,77077.47,45.63,21,1.558,24.88,spr_fam_ben,2025-12-24
2017,FR,AT290,GUARDIANSHIP,3,BIRTH_GRANT,9270,301.84,0,14,62.47,1,0,23968.53,31.46,39,1.889,9.0,ilc_lvho14,2025-07-18
2018,HU,MT937,EXTENDED_FAMILY,4,HOUSING_TOPUP,9207,736.48,0,0,42.06,0,1,23614.71,35.31,21,0.826,12.72,lfso_14a,2024-03-26
2019,LV,SI40,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8074,362.83,0,40,25.03,0,1,52773.42,16.15,41,1.134,33.72,spr_fam_sum,2025-10-06
2020,MT,CY190,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,9021,387.68,0,18,90.71,0,0,75727.79,77.41,29,0.9,20.5,ilc_di07,2025-04-01
2021,PT,DE509,OTHER,1,CHILDCARE_SUBSIDY,8969,649.81,1,8,40.08,0,0,16644.78,47.38,27,2.118,30.49,spr_fam_ben,2024-11-18
2022,SI,ES33,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8630,216.87,1,52,67.8,0,0,20392.26,17.92,34,1.447,29.5,ilc_lvho14,2025-09-14
2023,AT,EE484,GUARDIANSHIP,3,BIRTH_GRANT,8027,106.67,0,26,87.47,1,0,62337.75,29.53,37,0.993,16.59,lfso_14a,2026-02-21
2024,HR,SI85,EXTENDED_FAMILY,4,HOUSING_TOPUP,8758,567.6,0,14,79.75,0,1,80545.68,67.92,46,1.42,7.75,spr_fam_sum,2025-06-16
2025,DK,IT28,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,9347,105.74,1,0,85.92,0,1,67928.83,82.02,28,1.201,23.19,ilc_di07,2025-05-03
2026,FR,BE63,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8198,247.55,0,40,58.07,0,0,22576.79,41.09,48,1.701,14.43,spr_fam_ben,2024-02-12
2010,HU,IE156,OTHER,1,CHILDCARE_SUBSIDY,9237,46.57,1,18,26.9,0,0,30434.59,60.51,49,1.042,6.28,ilc_lvho14,2025-11-19
2011,LV,FI2,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8486,168.04,0,8,50.82,0,1,81876.03,35.97,39,0.93,15.65,lfso_14a,2024-03-26
2012,MT,ES58,GUARDIANSHIP,3,BIRTH_GRANT,8876,298.12,0,52,79.68,1,0,20353.87,16.59,36,0.826,9.21,spr_fam_sum,2025-03-06
2013,PT,FR127,EXTENDED_FAMILY,4,HOUSING_TOPUP,9332,93.01,1,26,76.53,0,1,19639.01,44.17,43,1.564,13.46,ilc_di07,2024-08-09
2014,SI,NL212,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,9462,185.35,1,14,38.47,0,0,62647.06,78.99,39,1.319,17.11,spr_fam_ben,2024-02-22
2015,AT,FI192,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8177,555.85,1,0,85.43,0,1,65347.55,92.62,45,1.128,15.56,ilc_lvho14,2024-11-05
2016,HR,HU35,OTHER,1,CHILDCARE_SUBSIDY,8705,81.73,1,40,42.67,0,0,39603.51,96.93,52,1.426,13.75,lfso_14a,2024-02-06
2017,DK,DK96,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8296,677.07,0,18,75.3,0,0,28841.9,64.28,42,2.106,31.1,spr_fam_sum,2024-10-03
2018,FR,SE90,GUARDIANSHIP,3,BIRTH_GRANT,9449,397.01,1,8,56.14,1,0,15689.54,80.32,46,1.224,26.38,ilc_di07,2025-12-18
2019,HU,LV36,EXTENDED_FAMILY,4,HOUSING_TOPUP,8156,685.33,0,52,72.96,0,1,16459.18,84.11,39,2.124,20.57,spr_fam_ben,2024-11-17
2020,LV,NL8,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,9253,299.59,0,26,16.74,0,0,19570.27,95.59,42,1.745,13.96,ilc_lvho14,2024-11-06
2021,MT,EE4,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8383,618.04,0,14,85.36,1,1,31183.43,93.0,50,1.308,10.83,lfso_14a,2025-01-14
2022,PT,MT630,OTHER,1,CHILDCARE_SUBSIDY,9406,174.99,1,0,85.5,1,0,78589.0,79.34,43,1.229,22.82,spr_fam_sum,2024-04-02
2023,SI,LT749,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8420,544.07,0,40,90.81,0,0,79156.91,52.49,50,0.855,15.79,ilc_di07,2025-08-23
2024,AT,BE496,GUARDIANSHIP,3,BIRTH_GRANT,8228,273.69,0,18,19.08,1,0,50357.41,73.43,58,1.441,19.49,spr_fam_ben,2025-09-13
2025,HR,LT72,EXTENDED_FAMILY,4,HOUSING_TOPUP,8271,531.29,0,8,48.59,1,1,19887.55,61.97,49,1.032,22.61,ilc_lvho14,2024-04-11
2026,DK,CY617,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8777,718.81,0,52,63.26,0,1,46672.04,35.58,66,2.164,17.45,lfso_14a,2024-11-15
2010,FR,HU185,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8510,230.65,0,26,73.83,0,0,70208.54,88.16,49,1.456,8.48,spr_fam_sum,2025-09-08
2011,HU,PT57,OTHER,1,CHILDCARE_SUBSIDY,8281,133.69,1,14,48.22,0,0,41240.59,45.97,66,0.84,30.46,ilc_di07,2024-02-10
2012,LV,RO997,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9486,679.17,0,0,22.37,0,0,55827.12,28.87,53,2.123,25.62,spr_fam_ben,2024-03-14
2013,MT,CZ2,GUARDIANSHIP,3,BIRTH_GRANT,8972,414.32,1,40,78.18,1,0,33497.69,97.73,50,1.882,11.76,ilc_lvho14,2025-03-15
2014,PT,BE38,EXTENDED_FAMILY,4,HOUSING_TOPUP,9183,143.07,0,18,16.65,1,1,27301.89,70.14,65,1.475,12.34,lfso_14a,2025-11-30
2015,SI,BE80,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,9045,682.97,1,8,86.74,0,0,72295.94,81.41,61,1.708,17.37,spr_fam_sum,2024-01-19
2016,AT,RO63,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8646,729.11,0,52,49.55,0,0,69285.79,44.28,73,1.354,12.82,ilc_di07,2025-04-18
2017,HR,PL504,OTHER,1,CHILDCARE_SUBSIDY,8745,669.79,1,26,38.45,0,0,65804.85,67.22,72,1.731,7.74,spr_fam_ben,2025-01-26
2018,DK,PL876,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8542,778.63,1,14,72.25,0,0,46706.55,56.29,60,1.712,13.64,ilc_lvho14,2024-05-02
2019,FR,PT969,GUARDIANSHIP,3,BIRTH_GRANT,9171,725.89,0,0,55.68,1,0,73867.43,55.65,69,1.878,13.67,lfso_14a,2024-05-21
2020,HU,NL9,EXTENDED_FAMILY,4,HOUSING_TOPUP,9142,268.45,0,40,47.92,0,1,48654.32,89.72,76,1.78,19.41,spr_fam_sum,2024-08-17
2021,LV,HR2,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8136,635.74,1,18,53.13,0,0,25291.76,59.35,59,1.026,32.24,ilc_di07,2025-12-02
2022,MT,NL190,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,9117,403.02,0,8,21.21,0,0,80436.4,53.79,77,0.938,12.78,spr_fam_ben,2025-08-26
2023,PT,FI72,OTHER,1,CHILDCARE_SUBSIDY,8682,149.42,1,52,19.36,0,0,69753.31,51.83,60,1.156,7.94,ilc_lvho14,2026-02-07
2024,SI,GR3,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8206,680.54,1,26,48.39,0,0,48719.78,90.85,77,1.746,23.81,lfso_14a,2024-03-18
2025,AT,FR18,GUARDIANSHIP,3,BIRTH_GRANT,8781,345.29,0,14,33.94,1,0,46746.04,22.15,63,0.993,27.01,spr_fam_sum,2025-05-22
2026,HR,HU717,EXTENDED_FAMILY,4,HOUSING_TOPUP,9396,217.32,0,0,56.76,1,1,12635.05,87.76,83,1.91,21.99,ilc_di07,2025-01-13
2010,DK,MT62,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,9422,400.09,0,40,43.97,1,0,61795.73,25.71,71,1.469,12.99,spr_fam_ben,2025-05-26
2011,FR,PT823,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,9571,280.78,1,18,40.74,0,0,80424.56,88.98,69,1.126,27.89,ilc_lvho14,2024-12-03
2012,HU,SE82,OTHER,1,CHILDCARE_SUBSIDY,8693,731.94,1,8,40.5,0,0,64677.29,35.77,84,1.072,10.59,lfso_14a,2024-07-02
2013,LV,LV292,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9467,41.08,1,52,48.55,0,0,41841.04,50.48,70,0.808,26.81,spr_fam_sum,2025-07-01
2014,MT,LT2,GUARDIANSHIP,3,BIRTH_GRANT,8800,124.8,0,26,68.81,1,0,70104.91,87.3,88,1.473,11.6,ilc_di07,2025-02-08
2015,PT,BE953,EXTENDED_FAMILY,4,HOUSING_TOPUP,8597,526.0,0,14,88.82,1,1,59473.26,81.11,76,2.082,19.78,spr_fam_ben,2025-10-13
2016,SI,GR135,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8131,134.27,0,0,37.4,1,0,72194.82,23.18,79,1.791,7.16,ilc_lvho14,2024-03-05
2017,AT,CZ21,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,9533,402.64,1,40,89.92,0,0,79747.27,78.15,86,0.925,6.09,lfso_14a,2024-07-09
2018,HR,IE7,OTHER,1,CHILDCARE_SUBSIDY,8590,44.91,1,18,29.52,0,0,76229.94,63.6,74,1.092,26.27,spr_fam_sum,2024-06-30
2019,DK,BG71,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8167,95.33,1,8,67.23,0,0,27597.36,41.6,88,0.987,31.87,ilc_di07,2024-04-13
2020,FR,DK85,GUARDIANSHIP,3,BIRTH_GRANT,9229,309.99,0,52,55.0,1,1,56027.75,72.74,77,0.938,15.06,spr_fam_ben,2024-11-18
2021,HU,SI5,EXTENDED_FAMILY,4,HOUSING_TOPUP,9338,496.68,1,26,61.02,1,1,59088.92,59.3,77,1.793,8.78,ilc_lvho14,2025-08-31
2022,LV,GR71,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8426,365.28,0,14,57.91,1,0,63040.73,78.16,89,1.516,33.05,lfso_14a,2025-04-21
2023,MT,DE9,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,9436,670.18,0,0,56.73,0,1,13465.21,55.14,18,1.348,20.57,spr_fam_sum,2025-04-02
2024,PT,EE722,OTHER,1,CHILDCARE_SUBSIDY,8651,481.06,1,40,85.72,1,1,74320.4,24.99,10,1.973,8.56,ilc_di07,2024-08-30
2025,SI,DK11,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9203,724.75,0,18,17.41,0,0,41913.59,48.03,15,1.041,24.94,spr_fam_ben,2025-01-12
2026,AT,BE545,GUARDIANSHIP,3,BIRTH_GRANT,9318,639.79,0,8,31.77,1,0,49959.22,41.9,15,1.861,7.03,ilc_lvho14,2026-01-14
2010,HR,CZ84,EXTENDED_FAMILY,4,HOUSING_TOPUP,9314,556.82,0,52,81.9,1,1,57722.36,29.53,25,1.628,15.64,lfso_14a,2024-10-01
2011,DK,PL726,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8434,102.28,0,26,72.24,0,1,52169.68,68.89,25,1.961,7.78,spr_fam_sum,2024-03-03
2012,FR,IE5,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8637,625.61,0,14,31.72,1,0,54848.92,75.91,22,1.359,17.34,ilc_di07,2025-09-15
2013,HU,SK22,OTHER,1,CHILDCARE_SUBSIDY,8998,117.35,1,0,28.0,0,0,34061.68,66.58,25,0.972,33.36,spr_fam_ben,2025-12-06
2014,LV,NL937,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9013,519.08,1,40,79.71,1,0,59692.38,60.9,14,1.955,26.31,ilc_lvho14,2025-07-12
2015,MT,ES94,GUARDIANSHIP,3,BIRTH_GRANT,9040,668.65,0,18,68.61,1,0,40093.45,75.36,26,2.115,22.56,lfso_14a,2024-07-15
2016,PT,BG49,EXTENDED_FAMILY,4,HOUSING_TOPUP,9172,357.92,1,8,71.99,0,1,71148.18,41.73,21,1.051,14.84,spr_fam_sum,2024-04-05
2017,SI,ES1,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8721,744.8,0,52,67.04,0,0,38240.35,85.81,29,2.086,6.48,ilc_di07,2024-03-12
2018,AT,IE9,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8929,396.25,0,26,52.68,0,0,29627.18,69.29,22,1.904,27.14,spr_fam_ben,2025-07-04
2019,HR,MT585,OTHER,1,CHILDCARE_SUBSIDY,9142,252.69,1,14,34.3,0,1,36433.02,30.2,30,0.879,26.82,ilc_lvho14,2025-02-02
2020,DK,DE8,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9256,375.75,0,0,15.67,1,0,63081.44,68.3,25,0.992,14.26,lfso_14a,2024-09-30
2021,FR,SK765,GUARDIANSHIP,3,BIRTH_GRANT,8747,112.7,1,40,17.01,1,0,70194.77,23.29,18,1.772,33.75,spr_fam_sum,2025-01-05
2022,HU,SI609,EXTENDED_FAMILY,4,HOUSING_TOPUP,8363,237.89,0,18,30.32,0,1,38584.78,59.87,38,2.016,13.61,ilc_di07,2024-05-29
2023,LV,HR26,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8672,330.5,0,8,25.05,1,0,50782.12,25.13,38,2.175,12.56,spr_fam_ben,2024-06-06
2024,MT,LU63,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,9171,246.38,0,52,13.27,0,0,65312.23,67.61,38,1.573,22.63,ilc_lvho14,2025-03-13
2025,PT,DE1,OTHER,1,CHILDCARE_SUBSIDY,9490,707.07,1,26,33.44,0,0,48733.25,39.96,40,1.59,11.26,lfso_14a,2026-01-29
2026,SI,BE327,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9250,279.68,0,14,72.17,1,0,69679.09,54.77,26,1.614,10.62,spr_fam_sum,2025-04-12
2010,AT,RO676,GUARDIANSHIP,3,BIRTH_GRANT,9161,149.45,0,0,61.04,1,0,60406.4,77.0,38,1.036,23.74,ilc_di07,2024-01-14
2011,HR,HR772,EXTENDED_FAMILY,4,HOUSING_TOPUP,8507,294.56,0,40,80.79,1,1,13356.64,97.61,38,0.978,14.38,spr_fam_ben,2025-10-07
2012,DK,DE7,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,9698,389.47,1,18,22.24,1,0,75148.82,39.37,43,1.917,33.01,ilc_lvho14,2026-01-24
2013,FR,AT158,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,9239,706.47,1,8,42.04,0,0,38945.53,26.94,46,1.443,28.55,lfso_14a,2025-06-17
2014,HU,PL38,OTHER,1,CHILDCARE_SUBSIDY,9538,202.67,1,52,61.39,0,0,49214.13,48.93,32,1.994,31.85,spr_fam_sum,2025-12-21
2015,LV,PL13,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8378,644.24,0,26,21.37,0,0,79080.83,52.01,35,1.544,8.03,ilc_di07,2025-12-19
2016,MT,HR322,GUARDIANSHIP,3,BIRTH_GRANT,9249,467.54,0,14,28.25,1,0,20124.4,78.35,43,0.821,26.98,spr_fam_ben,2024-07-08
2017,PT,MT706,EXTENDED_FAMILY,4,HOUSING_TOPUP,9032,254.35,0,0,49.27,0,1,75693.98,67.4,41,1.506,30.06,ilc_lvho14,2025-07-23
2018,SI,GR4,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,9534,146.11,0,40,58.01,0,0,77639.02,40.95,40,2.148,12.0,lfso_14a,2024-03-23
2019,AT,AT83,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,9536,266.56,1,18,78.38,1,0,42519.13,92.81,42,1.446,11.45,spr_fam_sum,2024-07-28
2020,HR,BG17,OTHER,1,CHILDCARE_SUBSIDY,8766,244.56,1,8,54.1,0,1,72993.55,57.47,34,2.067,28.47,ilc_di07,2024-06-15
2021,DK,AT22,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8546,110.04,0,52,25.84,0,0,16357.7,76.81,47,2.083,14.91,spr_fam_ben,2025-01-11
2022,FR,SK43,GUARDIANSHIP,3,BIRTH_GRANT,9291,676.8,1,26,80.5,1,0,64478.51,19.0,41,1.93,16.64,ilc_lvho14,2025-05-04
2023,HU,AT471,EXTENDED_FAMILY,4,HOUSING_TOPUP,9331,334.17,0,14,72.83,0,1,61626.71,49.32,54,1.551,24.37,lfso_14a,2024-06-02
2024,LV,FR311,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,9062,295.69,1,0,36.89,0,0,38372.37,23.2,51,0.947,27.54,spr_fam_sum,2025-07-21
2025,MT,DK50,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8910,414.89,1,40,14.75,0,0,34571.02,44.89,44,2.039,27.55,ilc_di07,2024-03-26
2026,PT,ES945,OTHER,1,CHILDCARE_SUBSIDY,9361,347.72,1,18,61.17,0,0,64974.52,20.49,44,1.291,17.01,spr_fam_ben,2024-11-03
2010,SI,PL784,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9521,480.56,0,8,56.52,0,0,80717.28,24.1,59,1.228,16.34,ilc_lvho14,2025-09-12
2011,AT,IE588,GUARDIANSHIP,3,BIRTH_GRANT,9717,560.95,1,52,19.47,1,0,71029.92,46.48,57,1.236,12.93,lfso_14a,2024-11-18
2012,HR,BE411,EXTENDED_FAMILY,4,HOUSING_TOPUP,9131,367.89,0,26,45.86,0,1,68942.26,17.89,45,2.126,28.19,spr_fam_sum,2025-05-03
2013,DK,CY5,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8643,543.63,1,14,74.62,1,1,32737.89,34.92,45,1.497,6.33,ilc_di07,2024-05-27
2014,FR,BE717,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8290,363.41,1,0,36.91,0,1,34962.97,62.96,59,0.846,29.7,spr_fam_ben,2024-04-30
2015,HU,HU85,OTHER,1,CHILDCARE_SUBSIDY,8626,50.02,1,40,29.58,0,0,69165.56,60.6,54,2.024,25.86,ilc_lvho14,2025-02-02
2016,LV,BE8,FOSTER,2,PARENTAL_LEAVE_BENEFIT,9283,514.6,1,18,13.31,0,0,44808.83,91.93,48,1.8,18.8,lfso_14a,2025-07-03
2017,MT,SK50,GUARDIANSHIP,3,BIRTH_GRANT,8509,557.31,1,8,37.49,1,0,68936.58,53.29,53,1.693,6.27,spr_fam_sum,2025-09-11
