house_homeless_reference_year,house_homeless_country_iso2,house_homeless_region_nuts_code,house_homeless_measurement_method_code,house_homeless_total_count,house_homeless_sheltered_count,house_homeless_unsheltered_count,house_homeless_temporary_accommodation_count,house_homeless_youth_share_pct,house_homeless_women_share_pct,house_homeless_migrant_share_pct,house_homeless_duration_long_term_share_pct,house_homeless_health_needs_share_pct,house_homeless_housing_first_programme_flag,house_homeless_support_service_capacity,house_homeless_evictions_count,house_homeless_rent_arrears_share_pct,house_homeless_data_source,house_homeless_revision_round,house_homeless_data_extract_date
2013,SE,LU33,SURVEY_ESTIMATE,7905,6758,1071,3653,12.99,13.91,46.55,29.14,12.4,0,3267,21542,14.52,SURVEY_ESTIMATE,BENCHMARK,2025-06-29
2014,DK,DK71,SERVICE_USE_ADMIN,83889,45142,22336,10859,19.43,12.62,12.47,38.73,25.22,1,52016,7988,12.77,FEANTSA_REPORTING,FLASH,2025-12-27
2015,IE,SK85,MODELLED_ESTIMATE,81609,44045,33279,25052,9.33,32.24,47.85,59.8,6.84,1,66224,10528,11.79,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-02-10
2016,PL,HU78,POINT_IN_TIME,65353,55374,9552,26067,11.04,41.09,35.62,42.69,19.69,0,61465,3298,11.84,CITY_HOMELESSNESS_CENSUS,SECOND,2025-02-13
2017,AT,FI81,ADMIN_REGISTER,41813,32378,7438,10454,8.33,42.71,16.13,11.61,13.25,1,31093,176,20.74,SURVEY_ESTIMATE,BENCHMARK,2025-10-21
2018,EE,BG950,SURVEY_ESTIMATE,49027,25434,14370,25455,25.7,42.38,27.89,52.37,47.12,0,49004,9418,19.64,FEANTSA_REPORTING,FLASH,2025-11-15
2019,IT,MT485,SERVICE_USE_ADMIN,37028,32168,2954,19005,7.42,38.12,12.22,30.96,25.8,0,25673,7809,11.13,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-07-16
2020,PT,PT697,MODELLED_ESTIMATE,15626,11220,3137,3347,10.69,20.33,30.97,10.9,29.23,0,13752,12893,19.42,CITY_HOMELESSNESS_CENSUS,SECOND,2024-01-19
2021,BE,IT5,POINT_IN_TIME,1372,815,314,689,5.06,13.85,50.39,27.95,30.16,0,1070,12122,14.09,SURVEY_ESTIMATE,BENCHMARK,2024-05-05
2022,FI,DE77,ADMIN_REGISTER,42247,27797,12284,6474,23.95,43.39,49.58,47.15,12.7,0,48229,8799,21.51,FEANTSA_REPORTING,FLASH,2025-06-19
2023,LV,LU709,SURVEY_ESTIMATE,41042,27577,12507,4846,19.55,26.89,51.78,22.18,35.13,0,31564,4387,20.77,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-03-20
2024,RO,LV9,SERVICE_USE_ADMIN,2188,1036,1015,822,11.68,40.43,55.82,35.74,6.36,1,1730,4821,1.04,CITY_HOMELESSNESS_CENSUS,SECOND,2024-04-29
2025,BG,CZ23,MODELLED_ESTIMATE,51260,35521,14209,13761,23.87,12.14,35.45,49.75,13.38,0,20587,12749,8.29,SURVEY_ESTIMATE,BENCHMARK,2024-02-18
2006,FR,IT950,POINT_IN_TIME,20695,10365,9601,7415,8.76,23.67,40.17,48.76,26.11,0,16302,23349,18.56,FEANTSA_REPORTING,FLASH,2024-10-01
2007,LT,HU100,ADMIN_REGISTER,26376,16021,7185,5426,17.97,17.27,23.45,12.44,6.63,0,16743,613,19.98,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-04-27
2008,SK,CY555,SURVEY_ESTIMATE,54604,46272,6585,7881,15.2,44.45,25.24,49.95,32.9,0,62680,5148,19.87,CITY_HOMELESSNESS_CENSUS,SECOND,2024-04-20
2009,HR,EE1,SERVICE_USE_ADMIN,18401,11806,4493,2387,12.61,29.98,36.51,43.43,38.19,1,21012,8832,10.97,SURVEY_ESTIMATE,BENCHMARK,2024-06-29
2010,DE,LT285,MODELLED_ESTIMATE,53276,39582,14013,9348,14.91,28.51,11.24,49.15,8.78,0,20142,10293,5.82,FEANTSA_REPORTING,FLASH,2025-10-05
2011,LU,FR89,POINT_IN_TIME,72186,37346,27339,15532,17.96,19.31,34.3,40.48,42.89,1,32936,13182,11.4,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-10-18
2012,SI,FI837,ADMIN_REGISTER,40178,18161,17734,15447,15.55,34.22,10.52,57.53,6.29,1,25267,8781,0.88,CITY_HOMELESSNESS_CENSUS,SECOND,2025-07-10
2013,CY,EE163,SURVEY_ESTIMATE,2147,1544,428,862,14.58,34.94,52.68,17.05,19.22,1,775,9784,15.96,SURVEY_ESTIMATE,BENCHMARK,2024-12-17
2014,GR,BG52,SERVICE_USE_ADMIN,29422,14946,10767,10137,22.93,22.65,20.46,49.35,32.51,0,22418,10031,7.03,FEANTSA_REPORTING,FLASH,2024-12-22
2015,MT,IT27,MODELLED_ESTIMATE,28264,13721,13693,12473,6.93,15.51,41.63,60.34,24.73,1,20273,12593,3.38,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-12-29
2016,ES,EE692,POINT_IN_TIME,83462,57489,21123,11291,16.41,26.1,30.42,28.19,30.91,1,46944,1324,4.24,CITY_HOMELESSNESS_CENSUS,SECOND,2024-03-11
2017,CZ,RO59,ADMIN_REGISTER,79327,49560,18537,35178,26.65,30.06,28.98,28.08,32.87,0,49344,7044,6.07,SURVEY_ESTIMATE,BENCHMARK,2024-03-26
2018,HU,LU99,SURVEY_ESTIMATE,13428,11809,1288,4136,11.49,16.19,55.42,46.81,23.28,1,9709,6887,10.39,FEANTSA_REPORTING,FLASH,2024-03-03
2019,NL,CZ3,SERVICE_USE_ADMIN,44250,38041,4654,13213,22.94,31.91,23.09,19.9,43.22,0,44359,19139,13.11,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-12-31
2020,SE,AT97,MODELLED_ESTIMATE,33883,25092,7463,6857,18.44,40.91,19.38,53.25,48.91,1,21926,4718,6.94,CITY_HOMELESSNESS_CENSUS,SECOND,2025-03-01
2021,DK,FI64,POINT_IN_TIME,54068,45286,8405,23023,14.94,38.67,20.41,45.26,49.61,1,32685,9654,14.47,SURVEY_ESTIMATE,BENCHMARK,2025-03-02
2022,IE,ES934,ADMIN_REGISTER,8077,4855,2164,2151,16.47,34.16,50.42,11.59,28.78,1,3004,17240,19.97,FEANTSA_REPORTING,FLASH,2024-01-24
2023,PL,IE252,SURVEY_ESTIMATE,58430,47487,10809,24617,12.84,22.79,42.28,12.63,36.74,0,44692,15111,4.2,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-05-01
2024,AT,SI96,SERVICE_USE_ADMIN,38585,27776,9023,18338,7.36,31.83,56.67,39.88,23.11,1,15277,12497,18.62,CITY_HOMELESSNESS_CENSUS,SECOND,2024-02-01
2025,EE,ES73,MODELLED_ESTIMATE,23603,20299,3082,7384,9.57,20.75,34.92,48.57,26.0,1,17753,14793,14.44,SURVEY_ESTIMATE,BENCHMARK,2025-08-28
2006,IT,RO77,POINT_IN_TIME,37883,32608,3529,17011,12.09,16.45,18.24,60.39,51.04,1,39660,13829,1.93,FEANTSA_REPORTING,FLASH,2025-11-11
2007,PT,GR4,ADMIN_REGISTER,20032,16670,3157,5009,17.96,22.69,48.65,32.3,6.92,1,21516,2285,13.66,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-01-19
2008,BE,SE43,SURVEY_ESTIMATE,26599,14184,12576,4188,26.4,43.6,10.66,38.29,22.96,1,23023,10426,15.9,CITY_HOMELESSNESS_CENSUS,SECOND,2024-06-08
2009,FI,EE96,SERVICE_USE_ADMIN,4721,2472,2329,548,17.43,39.45,27.55,36.2,20.19,1,2729,13109,13.98,SURVEY_ESTIMATE,BENCHMARK,2024-02-14
2010,LV,CY783,MODELLED_ESTIMATE,36321,26636,10138,4805,21.42,44.71,50.25,48.82,6.98,1,15048,403,18.06,FEANTSA_REPORTING,FLASH,2024-08-22
2011,RO,HR76,POINT_IN_TIME,64596,43377,15499,11869,22.78,14.41,19.62,12.08,38.59,0,46336,7626,18.86,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-09-13
2012,BG,LU595,ADMIN_REGISTER,78581,48608,26737,31939,16.57,27.65,27.04,24.51,49.2,0,71850,10913,12.44,CITY_HOMELESSNESS_CENSUS,SECOND,2025-08-28
2013,FR,RO9,SURVEY_ESTIMATE,40160,21718,14042,11673,8.25,15.69,11.86,58.5,34.0,1,15842,2801,5.97,SURVEY_ESTIMATE,BENCHMARK,2025-06-05
2014,LT,LT13,SERVICE_USE_ADMIN,57408,28581,20604,22048,17.41,35.66,32.86,48.41,21.22,0,43505,11808,4.4,FEANTSA_REPORTING,FLASH,2024-04-27
2015,SK,RO486,MODELLED_ESTIMATE,93,62,30,24,12.68,27.37,25.52,52.95,23.75,1,50,1207,9.36,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2026-01-07
2016,HR,PL168,POINT_IN_TIME,62721,42776,12172,30994,18.58,21.74,17.45,23.56,35.11,1,59170,9953,1.71,CITY_HOMELESSNESS_CENSUS,SECOND,2025-06-24
2017,DE,FR794,ADMIN_REGISTER,4567,3729,797,1389,19.69,19.73,11.43,48.35,14.69,0,3775,7333,18.05,SURVEY_ESTIMATE,BENCHMARK,2025-10-31
2018,LU,SE66,SURVEY_ESTIMATE,35108,27859,6322,18339,27.15,14.45,39.75,34.21,51.03,1,18595,13080,14.46,FEANTSA_REPORTING,FLASH,2024-01-07
2019,SI,DK642,SERVICE_USE_ADMIN,99718,56566,27601,33145,10.2,40.04,29.1,20.81,12.84,0,53461,12252,10.42,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-10-09
2020,CY,RO534,MODELLED_ESTIMATE,64080,37067,26899,23744,6.48,13.37,12.38,12.91,43.99,1,64983,17969,2.92,CITY_HOMELESSNESS_CENSUS,SECOND,2025-08-01
2021,GR,BG32,POINT_IN_TIME,42048,32659,6652,12200,8.11,46.82,32.12,36.84,23.66,0,16658,4514,19.26,SURVEY_ESTIMATE,BENCHMARK,2025-01-20
2022,MT,CY31,ADMIN_REGISTER,11398,6248,4499,5432,27.7,41.8,42.28,13.46,22.67,1,11781,7642,21.66,FEANTSA_REPORTING,FLASH,2024-07-08
2023,ES,GR778,SURVEY_ESTIMATE,42062,31828,7738,4632,13.34,25.08,44.86,21.32,19.95,1,37916,21665,14.65,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-08-12
2024,CZ,LU468,SERVICE_USE_ADMIN,22472,17059,5033,3632,15.21,22.44,22.93,44.41,25.27,1,18847,3713,13.32,CITY_HOMELESSNESS_CENSUS,SECOND,2024-06-06
2025,HU,DK727,MODELLED_ESTIMATE,46832,36868,9373,14818,6.37,32.41,53.42,61.37,26.88,1,53520,5614,9.42,SURVEY_ESTIMATE,BENCHMARK,2025-04-23
2006,NL,CZ453,POINT_IN_TIME,46427,22673,18834,15407,18.98,46.05,48.57,49.14,46.96,1,18589,11513,2.47,FEANTSA_REPORTING,FLASH,2025-02-15
2007,SE,PT76,ADMIN_REGISTER,132,76,54,15,7.2,18.87,33.81,47.34,11.92,1,47,895,2.63,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-01-16
2008,DK,DK936,SURVEY_ESTIMATE,25052,13678,8613,3290,21.97,31.3,40.52,35.01,49.0,0,16500,13312,16.15,CITY_HOMELESSNESS_CENSUS,SECOND,2025-08-13
2009,IE,CY653,SERVICE_USE_ADMIN,95615,61085,20295,28025,15.4,21.17,49.89,13.85,24.12,0,96015,20921,2.84,SURVEY_ESTIMATE,BENCHMARK,2025-06-15
2010,PL,BG93,MODELLED_ESTIMATE,39506,20684,14852,11383,8.44,25.29,22.39,44.89,45.74,0,20893,3731,2.43,FEANTSA_REPORTING,FLASH,2025-07-31
2011,AT,PT22,POINT_IN_TIME,95600,64597,19087,45067,17.22,32.01,12.96,46.21,33.6,0,102313,9371,1.19,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-05-31
2012,EE,ES916,ADMIN_REGISTER,3403,2533,697,1639,16.45,15.29,28.39,55.46,14.73,0,1689,21139,13.1,CITY_HOMELESSNESS_CENSUS,SECOND,2025-06-02
2013,IT,DE330,SURVEY_ESTIMATE,82355,59722,12679,36828,13.13,46.24,24.8,34.05,41.57,1,44524,1355,8.23,SURVEY_ESTIMATE,BENCHMARK,2025-04-19
2014,PT,LU762,SERVICE_USE_ADMIN,74235,61169,9650,38789,15.68,29.4,53.06,21.12,34.92,1,38624,13665,16.82,FEANTSA_REPORTING,FLASH,2025-09-03
2015,BE,BE281,MODELLED_ESTIMATE,87977,59929,19609,33742,16.48,46.58,42.52,59.59,35.53,1,91649,13610,21.36,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-01-09
2016,FI,FI898,POINT_IN_TIME,94685,65790,21706,30458,22.73,42.45,44.75,17.32,45.79,1,45528,14618,12.15,CITY_HOMELESSNESS_CENSUS,SECOND,2025-02-23
2017,LV,LV377,ADMIN_REGISTER,5468,3145,1369,736,6.17,17.85,45.75,11.57,45.04,1,4303,8219,14.7,SURVEY_ESTIMATE,BENCHMARK,2024-12-21
2018,RO,NL849,SURVEY_ESTIMATE,51587,37079,11242,20303,14.33,25.08,55.75,57.75,23.24,1,49154,1978,7.43,FEANTSA_REPORTING,FLASH,2025-05-30
2019,BG,AT47,SERVICE_USE_ADMIN,10035,7384,2729,2178,8.85,25.19,31.3,29.83,47.59,1,11462,5250,12.88,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-07-18
2020,FR,CY19,MODELLED_ESTIMATE,31823,18439,11207,9924,5.84,15.21,22.64,21.99,48.87,0,36551,7248,16.78,CITY_HOMELESSNESS_CENSUS,SECOND,2024-10-02
2021,LT,AT3,POINT_IN_TIME,89519,42833,32179,47597,14.85,35.7,54.18,12.67,16.25,1,82134,21287,2.65,SURVEY_ESTIMATE,BENCHMARK,2025-11-30
2022,SK,AT5,ADMIN_REGISTER,45466,20928,13949,13030,7.96,29.33,34.03,24.05,15.22,0,30666,9607,1.85,FEANTSA_REPORTING,FLASH,2024-04-04
2023,HR,ES121,SURVEY_ESTIMATE,58997,42331,10612,13005,10.99,32.05,36.25,58.11,21.67,0,35032,6995,1.74,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-12-26
2024,DE,GR5,SERVICE_USE_ADMIN,2390,1115,721,783,6.28,27.19,35.73,58.66,11.32,1,2620,5721,18.97,CITY_HOMELESSNESS_CENSUS,SECOND,2024-08-01
2025,LU,BE505,MODELLED_ESTIMATE,71398,55518,12386,29528,24.74,15.55,56.26,58.12,30.42,1,67069,10464,20.88,SURVEY_ESTIMATE,BENCHMARK,2025-08-26
2006,SI,CY531,POINT_IN_TIME,7225,3862,1944,1583,13.94,36.33,28.56,39.78,41.77,1,3532,2153,15.62,FEANTSA_REPORTING,FLASH,2025-05-02
2007,CY,IT454,ADMIN_REGISTER,51601,35247,9794,9346,14.6,15.81,40.25,14.3,42.65,0,35343,9178,15.36,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-11-18
2008,GR,FR8,SURVEY_ESTIMATE,44709,23740,19338,7057,26.86,36.42,52.63,43.16,14.54,0,45371,10150,19.52,CITY_HOMELESSNESS_CENSUS,SECOND,2025-09-17
2009,MT,NL6,SERVICE_USE_ADMIN,49414,31860,16794,10241,5.16,18.76,35.13,35.93,23.58,0,34230,16396,4.48,SURVEY_ESTIMATE,BENCHMARK,2024-11-13
2010,ES,RO893,MODELLED_ESTIMATE,16543,12018,4616,3147,11.22,38.56,15.19,11.82,17.87,0,7166,15574,5.76,FEANTSA_REPORTING,FLASH,2025-04-22
2011,CZ,AT149,POINT_IN_TIME,33212,24209,8276,3810,5.42,32.3,16.67,10.77,11.79,0,38107,1272,17.59,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-06-02
2012,HU,PL4,ADMIN_REGISTER,53187,32199,18915,20530,5.44,20.1,23.94,56.17,23.49,0,25391,5106,20.48,CITY_HOMELESSNESS_CENSUS,SECOND,2025-07-05
2013,NL,RO40,SURVEY_ESTIMATE,95563,49143,30843,32544,20.33,36.79,22.87,31.52,48.67,0,42254,10462,11.16,SURVEY_ESTIMATE,BENCHMARK,2025-07-17
2014,SE,SI163,SERVICE_USE_ADMIN,11843,9496,2226,6074,10.66,13.96,12.11,37.76,6.66,1,6417,5146,5.19,FEANTSA_REPORTING,FLASH,2024-10-30
2015,DK,AT463,MODELLED_ESTIMATE,67308,43524,13399,24984,23.65,32.9,32.04,23.71,33.96,1,65065,16630,4.07,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-10-02
2016,IE,DK531,POINT_IN_TIME,61982,42376,11123,33704,19.9,21.15,26.58,20.78,21.3,1,41712,33,11.24,CITY_HOMELESSNESS_CENSUS,SECOND,2024-02-11
2017,PL,LU955,ADMIN_REGISTER,7097,3642,2609,1332,8.37,24.98,54.65,24.35,18.32,0,3644,11660,21.84,SURVEY_ESTIMATE,BENCHMARK,2024-06-07
2018,AT,HU2,SURVEY_ESTIMATE,22993,13843,5836,4520,26.07,21.6,45.53,51.2,40.36,1,21980,6830,9.12,FEANTSA_REPORTING,FLASH,2026-01-05
2019,EE,RO30,SERVICE_USE_ADMIN,16606,8636,5583,6948,21.1,28.49,51.07,12.79,14.97,1,18982,3966,11.45,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-02-19
2020,IT,RO2,MODELLED_ESTIMATE,79561,39540,39189,30194,7.53,28.61,24.87,58.94,20.18,1,41151,8651,20.88,CITY_HOMELESSNESS_CENSUS,SECOND,2024-03-21
2021,PT,NL33,POINT_IN_TIME,44370,20547,24028,16866,10.71,40.24,8.63,47.96,29.6,1,23125,3579,11.18,SURVEY_ESTIMATE,BENCHMARK,2025-10-07
2022,BE,LU1,ADMIN_REGISTER,92739,50110,30867,15915,15.06,38.31,21.9,13.61,7.84,0,39155,18435,15.33,FEANTSA_REPORTING,FLASH,2024-09-20
2023,FI,HR32,SURVEY_ESTIMATE,9806,7780,1725,3970,10.24,27.97,14.47,19.35,28.5,1,8337,17029,18.93,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-03-21
2024,LV,IT76,SERVICE_USE_ADMIN,8707,4744,3185,4232,16.59,36.59,44.61,14.41,34.19,0,9705,10169,16.19,CITY_HOMELESSNESS_CENSUS,SECOND,2024-11-05
2025,RO,PT671,MODELLED_ESTIMATE,1719,1370,201,325,24.85,31.7,17.15,32.55,41.36,0,1423,12325,10.2,SURVEY_ESTIMATE,BENCHMARK,2024-07-15
2006,BG,AT58,POINT_IN_TIME,12281,7361,3145,5939,17.17,32.44,45.6,39.69,41.02,1,7807,20226,15.06,FEANTSA_REPORTING,FLASH,2024-11-08
2007,FR,GR254,ADMIN_REGISTER,66494,38187,19315,17206,14.71,23.89,44.47,42.88,27.74,0,73854,1426,13.03,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-06-03
2008,LT,DE819,SURVEY_ESTIMATE,24255,11945,8850,4911,8.49,30.8,9.58,38.07,50.38,0,18138,11661,18.56,CITY_HOMELESSNESS_CENSUS,SECOND,2024-05-14
2009,SK,DK51,SERVICE_USE_ADMIN,35510,19098,12511,15376,19.94,33.19,44.42,13.54,50.34,0,19299,11436,15.85,SURVEY_ESTIMATE,BENCHMARK,2024-12-07
2010,HR,LU59,MODELLED_ESTIMATE,42660,28401,11665,11625,14.3,26.95,31.82,40.19,17.09,1,43325,14563,12.29,FEANTSA_REPORTING,FLASH,2024-03-23
2011,DE,MT232,POINT_IN_TIME,10539,6230,3831,1780,17.01,22.55,34.14,46.1,48.9,0,5275,12451,15.78,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-04-17
2012,LU,ES2,ADMIN_REGISTER,14705,7853,6194,3797,7.59,22.33,10.01,11.94,38.85,0,15541,4803,18.08,CITY_HOMELESSNESS_CENSUS,SECOND,2024-06-24
2013,SI,LV66,SURVEY_ESTIMATE,94355,78119,11021,28801,22.93,17.2,43.72,25.25,8.19,1,42787,3267,10.29,SURVEY_ESTIMATE,BENCHMARK,2024-04-05
2014,CY,PT17,SERVICE_USE_ADMIN,39798,32147,6068,5653,11.73,42.45,38.58,21.39,26.75,1,21321,6019,13.57,FEANTSA_REPORTING,FLASH,2025-01-19
2015,GR,EE601,MODELLED_ESTIMATE,4297,3471,627,612,21.87,17.21,17.53,15.93,12.6,0,1820,9468,4.3,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-03-01
2016,MT,AT83,POINT_IN_TIME,72190,40776,30514,10877,11.99,32.83,31.96,37.31,16.86,1,64125,15006,6.45,CITY_HOMELESSNESS_CENSUS,SECOND,2024-11-29
2017,ES,SE3,ADMIN_REGISTER,5092,3159,1663,1155,19.57,47.96,35.54,61.67,33.68,0,4111,22024,17.74,SURVEY_ESTIMATE,BENCHMARK,2025-09-25
2018,CZ,FI207,SURVEY_ESTIMATE,49113,28163,17975,24089,12.67,27.81,41.9,19.5,34.06,0,43383,14955,3.98,FEANTSA_REPORTING,FLASH,2026-01-22
2019,HU,LT5,SERVICE_USE_ADMIN,55502,31595,15146,17128,19.38,31.34,26.09,17.33,29.75,0,41884,7379,18.33,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-09-08
2020,NL,CZ4,MODELLED_ESTIMATE,59675,29703,20445,13847,27.87,44.64,40.06,42.17,44.53,0,67557,6278,1.22,CITY_HOMELESSNESS_CENSUS,SECOND,2024-02-27
2021,SE,MT109,POINT_IN_TIME,11687,6017,3709,1495,16.49,43.99,50.69,30.8,11.39,0,5039,10127,3.64,SURVEY_ESTIMATE,BENCHMARK,2024-02-20
2022,DK,SK9,ADMIN_REGISTER,46061,32092,8775,4698,9.29,44.42,36.64,41.24,36.67,0,46456,10626,20.73,FEANTSA_REPORTING,FLASH,2024-05-01
2023,IE,SE90,SURVEY_ESTIMATE,16467,7893,8808,1749,6.21,21.91,42.73,32.44,34.6,0,16412,15740,13.72,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-06-01
2024,PL,SI88,SERVICE_USE_ADMIN,19681,17124,2471,2057,11.04,16.62,12.3,24.92,19.09,1,13858,6746,11.4,CITY_HOMELESSNESS_CENSUS,SECOND,2025-02-23
2025,AT,GR828,MODELLED_ESTIMATE,4485,2556,1263,1365,17.12,12.49,23.58,46.97,26.67,1,4583,8627,15.8,SURVEY_ESTIMATE,BENCHMARK,2025-01-22
2006,EE,CY5,POINT_IN_TIME,20692,13715,6977,4920,27.15,25.25,50.24,56.16,24.55,0,21689,19045,17.49,FEANTSA_REPORTING,FLASH,2024-03-10
2007,IT,SK4,ADMIN_REGISTER,56022,35330,14157,23097,26.27,19.26,49.74,42.83,23.83,1,20761,9444,3.42,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-03-31
2008,PT,IE89,SURVEY_ESTIMATE,64793,37125,23968,12859,11.51,39.97,55.72,26.24,45.78,0,32315,11933,21.1,CITY_HOMELESSNESS_CENSUS,SECOND,2024-02-13
2009,BE,NL970,SERVICE_USE_ADMIN,38640,32025,6592,17213,25.5,18.66,34.36,15.18,41.72,0,35648,1542,6.83,SURVEY_ESTIMATE,BENCHMARK,2025-07-11
2010,FI,SK45,MODELLED_ESTIMATE,43458,35594,5222,19138,27.8,28.19,25.82,40.35,7.79,0,32226,9703,19.57,FEANTSA_REPORTING,FLASH,2025-09-04
2011,LV,NL8,POINT_IN_TIME,109146,56953,38274,17028,15.91,23.84,27.66,44.31,39.57,1,51994,20697,7.6,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-10-21
2012,RO,FR22,ADMIN_REGISTER,20136,15672,3962,9165,12.23,40.12,38.94,47.64,16.18,0,21585,5342,12.61,CITY_HOMELESSNESS_CENSUS,SECOND,2024-03-30
2013,BG,BG3,SURVEY_ESTIMATE,61080,41541,12316,24846,11.06,47.63,50.1,16.7,26.01,0,34242,4788,10.24,SURVEY_ESTIMATE,BENCHMARK,2025-07-21
2014,FR,BG96,SERVICE_USE_ADMIN,85848,45333,30618,37220,24.76,40.71,40.44,31.19,21.28,0,94157,13932,2.09,FEANTSA_REPORTING,FLASH,2024-06-05
2015,LT,HU465,MODELLED_ESTIMATE,18223,9777,7157,9300,16.63,26.55,34.84,19.93,34.14,0,15213,6181,20.93,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-01-28
2016,SK,HR29,POINT_IN_TIME,76922,49447,28010,32687,8.2,19.92,18.84,28.77,40.12,0,40011,14156,13.05,CITY_HOMELESSNESS_CENSUS,SECOND,2024-12-18
2017,HR,BE7,ADMIN_REGISTER,47317,30229,10047,23020,17.39,35.82,20.64,40.78,26.31,0,22673,13575,5.54,SURVEY_ESTIMATE,BENCHMARK,2025-02-27
2018,DE,BE87,SURVEY_ESTIMATE,74595,43023,18089,27756,19.41,37.78,51.1,21.9,17.85,0,59027,16227,7.62,FEANTSA_REPORTING,FLASH,2024-10-03
2019,LU,HR81,SERVICE_USE_ADMIN,37171,21799,12114,17865,10.54,41.92,24.18,10.48,23.96,1,36047,17032,1.08,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-10-13
2020,SI,AT816,MODELLED_ESTIMATE,25059,15980,7980,6617,12.31,25.37,50.64,43.6,14.64,1,12996,13236,13.78,CITY_HOMELESSNESS_CENSUS,SECOND,2024-02-14
2021,CY,MT937,POINT_IN_TIME,65266,54835,9531,18690,20.53,14.93,43.43,23.15,26.23,1,43882,4689,11.77,SURVEY_ESTIMATE,BENCHMARK,2024-02-07
2022,GR,AT431,ADMIN_REGISTER,49702,33886,9968,23899,9.87,20.33,10.75,29.06,41.43,1,26477,5702,12.91,FEANTSA_REPORTING,FLASH,2025-12-23
2023,MT,GR848,SURVEY_ESTIMATE,27904,15626,7897,11788,27.86,36.22,32.08,43.23,44.44,1,15603,18794,19.2,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-08-12
2024,ES,SK69,SERVICE_USE_ADMIN,91610,47856,37835,14622,24.02,47.18,14.74,41.36,24.39,1,83497,14402,4.08,CITY_HOMELESSNESS_CENSUS,SECOND,2024-06-02
2025,CZ,HU326,MODELLED_ESTIMATE,87750,52280,34667,43938,17.57,31.1,23.57,32.94,13.21,1,56832,2095,4.03,SURVEY_ESTIMATE,BENCHMARK,2024-01-16
2006,HU,SE619,POINT_IN_TIME,79170,60961,15627,21886,5.57,31.76,20.88,56.08,30.63,1,65789,10013,21.84,FEANTSA_REPORTING,FLASH,2024-02-16
2007,NL,HR8,ADMIN_REGISTER,19083,9527,6749,8688,19.57,21.9,20.06,18.08,8.43,0,8618,5473,20.31,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-07-05
2008,SE,PL42,SURVEY_ESTIMATE,26605,14198,12072,12570,11.05,35.84,40.84,32.26,39.8,0,28205,6731,13.76,CITY_HOMELESSNESS_CENSUS,SECOND,2025-07-16
2009,DK,BG365,SERVICE_USE_ADMIN,80201,61532,12233,20097,17.84,35.86,55.83,58.16,43.98,0,41932,7088,20.0,SURVEY_ESTIMATE,BENCHMARK,2025-02-15
2010,IE,CZ5,MODELLED_ESTIMATE,26374,16377,6731,3992,24.01,42.76,31.59,29.24,44.46,0,15173,6527,18.01,FEANTSA_REPORTING,FLASH,2024-08-02
2011,PL,LV533,POINT_IN_TIME,64093,51726,12219,24583,16.95,39.24,48.39,22.15,28.63,0,31881,5739,7.89,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-03-23
