demo_migflow_move_year,demo_migflow_origin_geoid,demo_migflow_destination_geoid,demo_migflow_move_type_code,demo_migflow_age_at_move,demo_migflow_household_size_at_move,demo_migflow_primary_reason_for_move,demo_migflow_housing_tenure_before_move,demo_migflow_housing_tenure_after_move,demo_migflow_distance_miles_estimate,demo_migflow_commute_change_minutes,demo_migflow_income_bracket_before_move,demo_migflow_income_bracket_after_move,demo_migflow_education_level,demo_migflow_citizenship_status,demo_migflow_foreign_born_indicator,demo_migflow_interstate_flow_count,demo_migflow_intrastate_flow_count,demo_migflow_survey_weight,demo_migflow_data_collection_wave
2020,21030,06030,INTERNATIONAL_IN,9,1,HOUSING_COST,RENT,RENT,703.0,26,50_75K,75_100K,BACH,CITIZEN,1,93,136,2.7656,W3
2025,21031,06031,INTERSTATE,45,3,SCHOOL,OTHER,OWN,2545.5,-21,LT25K,75_100K,SOME_COLLEGE,NATURALIZED,1,78,136,3.1951,W2
2017,21032,06032,INTERSTATE,88,3,RETIREMENT,OWN,RENT,2404.3,-5,50_75K,50_75K,GRAD,CITIZEN,1,84,136,0.2418,W4
2021,21033,06033,INTERNATIONAL_OUT,69,6,RETIREMENT,OTHER,OTHER,2822.8,-26,150K_PLUS,75_100K,HS,NATURALIZED,0,105,108,1.0489,W4
2022,21034,06034,INTERNATIONAL_IN,79,2,JOB,OWN,OWN,1845.0,-12,25_50K,50_75K,BACH,NONCITIZEN,1,80,129,0.2838,W4
2017,21035,06035,INTERNATIONAL_OUT,43,5,MILITARY,RENT,RENT,2869.5,46,100_150K,100_150K,LT_HS,CITIZEN,1,91,143,3.0421,W1
2025,21036,06036,INTERSTATE,32,6,MILITARY,OTHER,OWN,85.2,35,50_75K,25_50K,SOME_COLLEGE,NONCITIZEN,1,69,108,0.8558,W2
2023,21037,06037,INTERNATIONAL_IN,35,1,MILITARY,RENT,RENT,812.3,61,150K_PLUS,25_50K,BACH,NATURALIZED,1,91,145,2.7433,W2
2020,21038,06038,INTERNATIONAL_OUT,24,4,MILITARY,OWN,RENT,2574.4,34,LT25K,LT25K,BACH,NATURALIZED,1,79,111,0.3099,W2
2023,21039,06039,INTERSTATE,12,1,HOUSING_COST,OTHER,OWN,1356.0,111,100_150K,75_100K,GRAD,NATURALIZED,0,61,120,1.5147,W2
2018,21040,06040,INTRASTATE,38,5,OTHER,OTHER,OTHER,766.4,-30,150K_PLUS,LT25K,HS,NATURALIZED,0,89,117,1.3835,W5
2017,21041,06041,INTERNATIONAL_IN,78,4,SCHOOL,OWN,OWN,2547.7,64,25_50K,LT25K,SOME_COLLEGE,NATURALIZED,1,94,129,1.2868,W4
2022,21042,06042,INTERSTATE,37,3,MILITARY,OWN,OTHER,2631.3,15,25_50K,25_50K,BACH,NONCITIZEN,0,90,120,2.0816,W4
2020,21043,06043,INTERNATIONAL_IN,29,2,FAMILY,OTHER,OWN,1460.3,65,75_100K,75_100K,BACH,CITIZEN,1,87,120,1.4913,W4
2020,21044,06044,INTERSTATE,13,2,FAMILY,OTHER,OWN,1493.4,85,100_150K,25_50K,ASSOC,NATURALIZED,0,83,108,1.5307,W3
2023,21045,06045,INTERNATIONAL_IN,49,5,HEALTH,OTHER,OWN,2499.1,27,25_50K,150K_PLUS,LT_HS,NATURALIZED,0,92,111,0.8244,W2
2024,21046,06046,INTRASTATE,67,6,HEALTH,OWN,RENT,2468.4,-25,50_75K,LT25K,LT_HS,NATURALIZED,0,83,120,1.5679,W5
2023,21047,06047,INTERNATIONAL_OUT,0,5,RETIREMENT,RENT,RENT,2773.1,96,25_50K,75_100K,HS,NONCITIZEN,0,74,132,2.6456,W5
2025,21048,06048,INTERNATIONAL_OUT,60,2,SCHOOL,OTHER,OTHER,2065.9,90,25_50K,150K_PLUS,SOME_COLLEGE,NATURALIZED,1,76,137,1.2662,W3
2017,21049,06049,INTERNATIONAL_OUT,2,7,FAMILY,OWN,OWN,595.3,-58,25_50K,150K_PLUS,GRAD,NATURALIZED,0,80,109,3.0284,W3
2025,21050,06050,INTRASTATE,49,4,JOB,OTHER,RENT,1759.3,-31,75_100K,150K_PLUS,GRAD,NATURALIZED,1,78,141,0.7482,W4
2022,21051,06051,INTERNATIONAL_IN,60,4,SCHOOL,OWN,RENT,1223.9,-16,150K_PLUS,25_50K,BACH,CITIZEN,0,78,119,2.9939,W4
2020,21052,06052,INTERNATIONAL_IN,35,6,RETIREMENT,OTHER,OWN,87.0,116,LT25K,50_75K,GRAD,CITIZEN,0,110,105,2.232,W4
2022,21053,06053,INTERSTATE,3,1,HEALTH,OWN,OWN,629.2,52,150K_PLUS,150K_PLUS,SOME_COLLEGE,NATURALIZED,0,72,121,1.5985,W4
2018,21054,06054,INTERSTATE,42,3,HOUSING_COST,OWN,OWN,658.2,61,25_50K,50_75K,HS,CITIZEN,1,98,126,0.3163,W4
2019,21055,06055,INTERNATIONAL_IN,13,6,JOB,OTHER,OTHER,263.9,-42,LT25K,100_150K,ASSOC,NATURALIZED,0,84,132,0.6177,W2
2022,21056,06056,INTRASTATE,88,4,JOB,OWN,OWN,1450.9,72,100_150K,100_150K,HS,NATURALIZED,0,86,102,1.5671,W5
2017,21057,06057,INTRASTATE,66,3,OTHER,OWN,RENT,1626.0,-5,LT25K,75_100K,LT_HS,CITIZEN,0,80,113,3.0972,W2
2017,21058,06058,INTERNATIONAL_OUT,6,5,MILITARY,OWN,RENT,1088.4,101,100_150K,100_150K,ASSOC,CITIZEN,1,85,122,3.3575,W5
2016,21059,06059,INTERNATIONAL_OUT,7,4,SCHOOL,OWN,OWN,1319.8,12,75_100K,75_100K,BACH,NATURALIZED,0,74,109,3.2679,W1
2016,21060,06060,INTERNATIONAL_OUT,43,4,OTHER,OWN,OTHER,1758.6,42,100_150K,LT25K,HS,CITIZEN,0,88,115,1.1045,W1
2016,21061,06061,INTERNATIONAL_IN,63,4,HEALTH,OWN,OTHER,386.0,115,100_150K,50_75K,SOME_COLLEGE,CITIZEN,1,82,123,1.0466,W1
2021,21062,06062,INTERSTATE,6,1,HOUSING_COST,OWN,RENT,1799.5,-35,50_75K,75_100K,SOME_COLLEGE,CITIZEN,0,93,131,2.6404,W5
2020,21063,06063,INTERNATIONAL_IN,47,6,JOB,OWN,OTHER,2271.9,72,75_100K,LT25K,LT_HS,NONCITIZEN,0,81,106,3.3038,W3
2025,21064,06064,INTERNATIONAL_IN,61,5,HOUSING_COST,OTHER,OWN,2799.3,27,25_50K,50_75K,LT_HS,NONCITIZEN,1,76,131,0.64,W2
2023,21065,06065,INTRASTATE,24,2,OTHER,OWN,OTHER,965.4,98,75_100K,25_50K,GRAD,NONCITIZEN,0,72,115,1.446,W3
2020,21066,06066,INTRASTATE,80,1,RETIREMENT,RENT,OTHER,2391.8,-37,50_75K,LT25K,LT_HS,NONCITIZEN,1,79,117,2.9601,W5
2016,21067,06067,INTERSTATE,89,1,JOB,OTHER,RENT,1939.5,24,100_150K,25_50K,LT_HS,NONCITIZEN,1,80,124,1.8236,W4
2023,21068,06068,INTERSTATE,67,4,HEALTH,OTHER,RENT,1609.2,-39,150K_PLUS,100_150K,BACH,NATURALIZED,1,88,115,2.9798,W3
2021,21069,06069,INTERNATIONAL_IN,63,1,FAMILY,RENT,RENT,2942.6,41,75_100K,75_100K,ASSOC,CITIZEN,0,99,129,0.5853,W5
2023,21070,06070,INTERNATIONAL_IN,17,6,HEALTH,OWN,OTHER,1984.2,89,50_75K,50_75K,GRAD,NONCITIZEN,1,82,116,2.7642,W1
2017,21071,06071,INTERNATIONAL_IN,3,6,RETIREMENT,RENT,RENT,1171.7,-4,150K_PLUS,100_150K,LT_HS,CITIZEN,1,74,113,1.4857,W4
2025,21072,06072,INTERNATIONAL_IN,16,6,RETIREMENT,RENT,RENT,2281.5,97,25_50K,LT25K,HS,NATURALIZED,0,79,123,2.4871,W1
2023,21073,06073,INTRASTATE,46,2,MILITARY,RENT,OTHER,3071.6,52,100_150K,100_150K,BACH,CITIZEN,0,91,113,1.1674,W3
2021,21074,06074,INTERNATIONAL_OUT,80,1,OTHER,OTHER,OTHER,2938.2,-14,75_100K,25_50K,ASSOC,CITIZEN,0,87,150,2.4833,W3
2016,21075,06075,INTERNATIONAL_OUT,44,7,JOB,OWN,OTHER,3136.9,106,75_100K,25_50K,BACH,NATURALIZED,1,65,118,2.5169,W2
2016,21076,06076,INTERNATIONAL_OUT,88,6,FAMILY,OTHER,OWN,304.7,28,150K_PLUS,150K_PLUS,SOME_COLLEGE,NATURALIZED,1,88,116,1.5838,W2
2025,21077,06077,INTERSTATE,57,1,OTHER,OWN,OWN,1419.3,30,100_150K,75_100K,BACH,CITIZEN,1,75,144,3.3983,W5
2020,21078,06078,INTERSTATE,2,4,HOUSING_COST,RENT,OTHER,1384.9,96,75_100K,100_150K,GRAD,CITIZEN,0,73,124,0.2016,W3
2022,21079,06079,INTERSTATE,11,5,FAMILY,OTHER,RENT,1228.5,81,100_150K,150K_PLUS,BACH,NATURALIZED,1,68,133,2.4249,W1
2019,21080,06080,INTERSTATE,16,6,OTHER,OWN,OTHER,571.6,-57,50_75K,50_75K,SOME_COLLEGE,NONCITIZEN,1,83,120,3.1988,W2
2025,21081,06081,INTRASTATE,21,2,RETIREMENT,OWN,OWN,2663.1,-56,100_150K,25_50K,SOME_COLLEGE,NONCITIZEN,0,92,125,3.0297,W1
2020,21082,06082,INTERNATIONAL_IN,38,4,JOB,RENT,RENT,2154.0,-17,25_50K,LT25K,SOME_COLLEGE,NONCITIZEN,1,77,98,2.0636,W5
2025,21083,06083,INTERSTATE,38,1,FAMILY,OTHER,OWN,1939.4,30,100_150K,100_150K,GRAD,NONCITIZEN,0,89,107,3.156,W1
2018,21084,06084,INTERNATIONAL_OUT,15,6,HEALTH,OTHER,OWN,1430.2,-37,150K_PLUS,50_75K,GRAD,CITIZEN,0,88,130,0.5562,W1
2017,21085,06085,INTERSTATE,50,2,FAMILY,OTHER,OWN,1243.6,-33,75_100K,50_75K,BACH,NONCITIZEN,1,95,131,1.9935,W4
2017,21086,06086,INTERNATIONAL_OUT,28,7,RETIREMENT,OTHER,OWN,2516.8,91,150K_PLUS,50_75K,SOME_COLLEGE,NONCITIZEN,1,86,133,3.4383,W5
2020,21087,06087,INTERNATIONAL_IN,77,3,OTHER,OTHER,RENT,1686.1,67,100_150K,50_75K,LT_HS,NATURALIZED,1,86,120,3.4721,W2
2019,21088,06088,INTRASTATE,70,6,HOUSING_COST,OTHER,OTHER,1944.7,-56,100_150K,150K_PLUS,HS,NATURALIZED,1,65,124,2.4412,W4
2017,21089,06089,INTRASTATE,40,7,OTHER,OTHER,RENT,320.5,-48,100_150K,25_50K,HS,NATURALIZED,0,89,133,0.7533,W3
2020,21090,06090,INTERSTATE,56,7,FAMILY,RENT,OTHER,1509.0,-6,25_50K,75_100K,SOME_COLLEGE,NATURALIZED,0,69,109,0.5727,W3
2025,21091,06091,INTERSTATE,27,6,MILITARY,OWN,OTHER,417.4,-31,150K_PLUS,100_150K,ASSOC,CITIZEN,1,68,115,3.2441,W2
2024,21092,06092,INTERNATIONAL_OUT,76,1,OTHER,RENT,RENT,172.7,41,25_50K,25_50K,BACH,CITIZEN,0,84,109,3.1062,W5
2023,21093,06093,INTERSTATE,79,5,OTHER,OWN,OTHER,2205.9,22,75_100K,75_100K,HS,CITIZEN,0,77,98,1.2408,W3
2024,21094,06094,INTRASTATE,20,1,OTHER,OWN,RENT,879.8,116,150K_PLUS,50_75K,GRAD,NONCITIZEN,1,83,120,3.2742,W3
2024,21095,06095,INTERSTATE,3,5,FAMILY,OWN,RENT,3088.2,52,75_100K,LT25K,GRAD,NONCITIZEN,0,76,127,0.6307,W3
2023,21096,06096,INTERNATIONAL_OUT,14,3,SCHOOL,OTHER,OTHER,1937.8,21,100_150K,50_75K,LT_HS,CITIZEN,1,79,122,1.1718,W5
2024,21097,06097,INTERNATIONAL_IN,52,4,RETIREMENT,OTHER,OTHER,2064.7,29,LT25K,75_100K,ASSOC,NONCITIZEN,1,84,128,2.3256,W3
2019,21098,06098,INTRASTATE,89,4,SCHOOL,OWN,OWN,630.2,-46,150K_PLUS,75_100K,ASSOC,NONCITIZEN,0,90,124,0.7632,W2
2023,21099,06099,INTRASTATE,45,7,RETIREMENT,OWN,OTHER,412.9,-31,50_75K,LT25K,LT_HS,NONCITIZEN,1,75,118,3.4639,W2
2017,21100,06100,INTERNATIONAL_IN,6,6,RETIREMENT,OTHER,OTHER,1681.5,-33,100_150K,150K_PLUS,BACH,NONCITIZEN,0,83,118,0.9345,W2
2024,21101,06101,INTERNATIONAL_IN,17,4,SCHOOL,OTHER,OTHER,2961.8,71,50_75K,25_50K,BACH,NONCITIZEN,0,78,125,1.0096,W4
2024,21102,06102,INTRASTATE,88,2,HEALTH,OWN,RENT,178.9,7,25_50K,150K_PLUS,SOME_COLLEGE,NATURALIZED,0,86,148,1.7662,W2
2018,21103,06103,INTERNATIONAL_OUT,20,5,HOUSING_COST,OWN,OWN,1626.4,40,75_100K,LT25K,LT_HS,CITIZEN,0,82,104,2.769,W1
2021,21104,06104,INTERNATIONAL_OUT,7,1,HOUSING_COST,RENT,OWN,636.3,82,LT25K,50_75K,LT_HS,CITIZEN,1,84,118,0.5976,W3
2022,21105,06105,INTERSTATE,58,2,RETIREMENT,OTHER,RENT,2502.5,-27,75_100K,100_150K,GRAD,NONCITIZEN,1,89,136,2.4026,W2
2018,21106,06106,INTERNATIONAL_OUT,19,2,HEALTH,OTHER,OTHER,2182.4,38,25_50K,25_50K,LT_HS,NONCITIZEN,0,75,122,0.5279,W5
2020,21107,06107,INTRASTATE,81,1,HEALTH,OWN,OTHER,311.5,110,100_150K,100_150K,SOME_COLLEGE,NATURALIZED,0,86,114,0.5126,W5
2016,21108,06108,INTERSTATE,82,3,SCHOOL,RENT,RENT,1972.5,0,25_50K,100_150K,HS,CITIZEN,1,78,121,0.3366,W5
2018,21109,06109,INTERNATIONAL_OUT,66,7,FAMILY,OTHER,OWN,3147.5,-59,LT25K,25_50K,BACH,NATURALIZED,1,80,110,1.9972,W4
2023,21110,06110,INTERNATIONAL_IN,54,4,RETIREMENT,RENT,RENT,1690.3,57,100_150K,50_75K,SOME_COLLEGE,NATURALIZED,0,82,120,1.6387,W5
2018,21111,06111,INTERNATIONAL_OUT,61,3,MILITARY,RENT,RENT,913.8,-9,150K_PLUS,150K_PLUS,SOME_COLLEGE,CITIZEN,1,88,111,1.2143,W4
2023,21112,06112,INTERSTATE,17,3,RETIREMENT,OTHER,OTHER,487.3,-9,100_150K,75_100K,GRAD,NATURALIZED,0,91,122,1.9395,W3
2024,21113,06113,INTERNATIONAL_IN,78,4,JOB,OWN,RENT,3166.9,-46,LT25K,50_75K,SOME_COLLEGE,NATURALIZED,1,70,109,1.8561,W1
2021,21114,06114,INTERSTATE,55,3,HOUSING_COST,RENT,RENT,1804.4,107,75_100K,150K_PLUS,GRAD,CITIZEN,0,95,122,1.7638,W5
2022,21115,06115,INTERSTATE,84,2,SCHOOL,OWN,RENT,1199.3,-33,100_150K,75_100K,GRAD,CITIZEN,1,81,116,0.7691,W5
2021,21116,06116,INTERNATIONAL_IN,21,6,FAMILY,OTHER,OTHER,686.2,35,75_100K,75_100K,LT_HS,CITIZEN,1,77,126,3.1599,W4
2023,21117,06117,INTERSTATE,7,1,MILITARY,RENT,OTHER,3040.7,37,50_75K,25_50K,SOME_COLLEGE,NATURALIZED,1,95,93,2.2461,W4
2022,21118,06118,INTRASTATE,10,6,HEALTH,OWN,OWN,2006.7,-6,LT25K,25_50K,HS,NONCITIZEN,0,74,118,0.6201,W1
2025,21119,06119,INTERSTATE,11,2,FAMILY,RENT,OWN,185.0,117,50_75K,LT25K,ASSOC,NONCITIZEN,0,89,124,1.043,W2
2016,21120,06120,INTRASTATE,47,6,MILITARY,RENT,OWN,190.7,-39,100_150K,150K_PLUS,SOME_COLLEGE,NONCITIZEN,0,81,110,2.7231,W4
2018,21121,06121,INTERNATIONAL_IN,62,2,RETIREMENT,RENT,OTHER,3006.2,96,LT25K,100_150K,GRAD,NATURALIZED,1,83,152,2.7622,W1
2018,21122,06122,INTERSTATE,26,5,OTHER,OTHER,OWN,2272.5,11,100_150K,100_150K,HS,NATURALIZED,0,66,128,2.5949,W3
2018,21123,06123,INTERNATIONAL_OUT,34,4,OTHER,OWN,RENT,331.4,79,LT25K,100_150K,GRAD,NONCITIZEN,1,79,128,2.8085,W5
2019,21124,06124,INTERSTATE,1,4,FAMILY,RENT,OWN,1996.2,-23,75_100K,100_150K,LT_HS,CITIZEN,0,81,137,2.1741,W5
2016,21125,06125,INTRASTATE,7,6,FAMILY,OWN,RENT,1342.5,59,25_50K,LT25K,ASSOC,CITIZEN,0,94,106,1.1529,W1
2017,21126,06126,INTRASTATE,19,2,RETIREMENT,OTHER,OWN,2524.0,-59,150K_PLUS,75_100K,BACH,NATURALIZED,0,76,121,1.3803,W1
2020,21127,06127,INTERNATIONAL_OUT,7,4,HOUSING_COST,RENT,OTHER,876.2,79,25_50K,LT25K,BACH,NONCITIZEN,1,79,119,1.8818,W5
2021,21128,06128,INTERNATIONAL_IN,62,5,JOB,RENT,RENT,1225.4,65,LT25K,150K_PLUS,LT_HS,NATURALIZED,0,69,128,1.0119,W4
2024,21129,06129,INTRASTATE,67,6,HOUSING_COST,RENT,RENT,536.1,79,50_75K,25_50K,LT_HS,NATURALIZED,1,77,98,3.0159,W2
2017,21130,06130,INTRASTATE,30,1,HOUSING_COST,OWN,OTHER,808.3,48,LT25K,50_75K,BACH,NONCITIZEN,1,74,126,2.665,W3
2024,21131,06131,INTRASTATE,31,3,JOB,OWN,RENT,605.7,-52,75_100K,75_100K,LT_HS,NATURALIZED,1,82,112,3.434,W2
2022,21132,06132,INTERSTATE,12,7,OTHER,RENT,OWN,78.2,-29,150K_PLUS,75_100K,BACH,CITIZEN,1,81,107,1.5703,W2
2024,21133,06133,INTERSTATE,85,4,RETIREMENT,OWN,OTHER,148.2,12,50_75K,LT25K,LT_HS,CITIZEN,0,82,123,3.0735,W2
2019,21134,06134,INTERSTATE,25,2,HOUSING_COST,OWN,RENT,2674.1,75,LT25K,25_50K,BACH,NONCITIZEN,1,84,106,2.7711,W5
2022,21135,06135,INTERSTATE,80,4,SCHOOL,RENT,OTHER,2572.3,55,150K_PLUS,25_50K,HS,NATURALIZED,1,64,136,2.9454,W2
2016,21136,06136,INTERSTATE,28,2,SCHOOL,RENT,RENT,450.7,95,150K_PLUS,150K_PLUS,LT_HS,CITIZEN,0,65,109,2.4709,W4
2023,21137,06137,INTERNATIONAL_OUT,85,6,JOB,RENT,RENT,2137.4,21,LT25K,75_100K,BACH,NONCITIZEN,1,85,122,1.3518,W4
2022,21138,06138,INTRASTATE,17,6,SCHOOL,OTHER,OTHER,2386.2,46,100_150K,LT25K,LT_HS,NONCITIZEN,1,88,128,1.0049,W4
2022,21139,06139,INTERNATIONAL_OUT,68,3,OTHER,RENT,RENT,164.6,-25,75_100K,100_150K,BACH,NONCITIZEN,0,80,118,1.0986,W1
2017,21140,06140,INTRASTATE,11,4,RETIREMENT,RENT,OWN,283.8,56,75_100K,75_100K,BACH,NATURALIZED,1,68,133,2.0711,W3
2025,21141,06141,INTERSTATE,1,3,FAMILY,RENT,OWN,1801.9,104,25_50K,100_150K,GRAD,NONCITIZEN,0,78,118,3.1029,W4
2024,21142,06142,INTERSTATE,41,2,OTHER,RENT,RENT,1197.6,-29,100_150K,50_75K,GRAD,NATURALIZED,1,91,128,1.682,W2
2023,21143,06143,INTERNATIONAL_IN,6,5,RETIREMENT,RENT,RENT,2238.2,106,50_75K,25_50K,ASSOC,NONCITIZEN,1,85,112,2.1762,W1
2016,21144,06144,INTERNATIONAL_IN,46,5,JOB,RENT,OWN,1784.8,-12,150K_PLUS,75_100K,LT_HS,NATURALIZED,0,89,115,2.6215,W5
2016,21145,06145,INTERNATIONAL_OUT,89,7,FAMILY,RENT,RENT,99.8,85,25_50K,50_75K,HS,CITIZEN,1,78,131,3.0224,W4
2020,21146,06146,INTRASTATE,53,1,SCHOOL,RENT,RENT,2187.9,-38,75_100K,100_150K,SOME_COLLEGE,NATURALIZED,0,65,130,2.34,W2
2017,21147,06147,INTERNATIONAL_OUT,14,2,HOUSING_COST,OTHER,OTHER,652.9,-28,LT25K,75_100K,SOME_COLLEGE,CITIZEN,1,99,138,2.2767,W2
2016,21148,06148,INTERNATIONAL_IN,57,2,HEALTH,OWN,OTHER,1000.7,51,100_150K,50_75K,GRAD,CITIZEN,0,90,108,3.4591,W5
2025,21149,06149,INTRASTATE,32,2,OTHER,OTHER,OWN,2356.6,118,75_100K,75_100K,LT_HS,NONCITIZEN,1,67,127,3.046,W1
2023,21150,06150,INTERNATIONAL_OUT,66,6,SCHOOL,OTHER,OWN,2468.1,110,75_100K,50_75K,GRAD,CITIZEN,0,78,113,2.6203,W2
2019,21151,06151,INTERNATIONAL_IN,62,6,RETIREMENT,RENT,OTHER,1106.9,-57,100_150K,50_75K,BACH,NATURALIZED,1,78,115,2.9454,W3
2017,21152,06152,INTERSTATE,47,5,RETIREMENT,RENT,OTHER,286.0,19,75_100K,100_150K,BACH,CITIZEN,1,94,107,3.4997,W4
2020,21153,06153,INTERNATIONAL_OUT,65,5,HEALTH,RENT,OWN,2463.1,64,25_50K,25_50K,HS,NATURALIZED,0,85,115,1.8689,W1
2021,21154,06154,INTERSTATE,80,7,OTHER,RENT,OWN,2784.7,-59,100_150K,LT25K,LT_HS,NATURALIZED,1,72,118,2.5283,W4
2023,21155,06155,INTERNATIONAL_OUT,64,7,JOB,OWN,OWN,3085.8,-16,75_100K,50_75K,SOME_COLLEGE,NATURALIZED,1,82,109,2.8843,W4
2022,21156,06156,INTRASTATE,35,5,HOUSING_COST,OWN,OTHER,1017.4,27,75_100K,25_50K,HS,NONCITIZEN,1,69,135,1.6658,W5
2022,21157,06157,INTRASTATE,16,4,HOUSING_COST,OTHER,OTHER,396.8,54,100_150K,150K_PLUS,LT_HS,NATURALIZED,0,79,108,3.3513,W3
2016,21158,06158,INTRASTATE,1,4,FAMILY,OWN,RENT,3000.5,107,LT25K,LT25K,LT_HS,NONCITIZEN,1,83,116,1.4613,W3
2018,21159,06159,INTRASTATE,32,5,OTHER,OTHER,OWN,1279.6,69,50_75K,100_150K,GRAD,CITIZEN,1,70,131,1.0021,W5
2018,21160,06160,INTERNATIONAL_IN,5,3,FAMILY,RENT,RENT,299.8,99,100_150K,75_100K,GRAD,CITIZEN,1,86,111,2.4344,W4
2022,21161,06161,INTERSTATE,42,4,RETIREMENT,OTHER,OWN,1596.3,-60,LT25K,25_50K,LT_HS,NONCITIZEN,0,91,119,0.4665,W3
2017,21162,06162,INTERNATIONAL_IN,87,6,JOB,OTHER,OTHER,610.1,-43,150K_PLUS,75_100K,ASSOC,CITIZEN,0,73,117,0.6179,W4
2025,21163,06163,INTERNATIONAL_OUT,10,4,HEALTH,OWN,OWN,1137.2,99,75_100K,75_100K,HS,CITIZEN,0,79,95,3.4026,W1
2022,21164,06164,INTERNATIONAL_OUT,4,4,RETIREMENT,OTHER,OWN,1025.5,-52,25_50K,LT25K,LT_HS,CITIZEN,1,79,131,1.1294,W5
2024,21165,06165,INTERSTATE,29,4,MILITARY,RENT,OTHER,3159.3,-6,150K_PLUS,150K_PLUS,GRAD,CITIZEN,1,83,118,0.3094,W5
2016,21166,06166,INTERSTATE,9,7,OTHER,RENT,OTHER,2046.6,6,75_100K,25_50K,HS,NATURALIZED,1,74,129,1.7663,W3
2017,21167,06167,INTERNATIONAL_IN,23,7,HOUSING_COST,RENT,OWN,1574.0,-37,75_100K,50_75K,SOME_COLLEGE,CITIZEN,0,82,132,3.0622,W1
2021,21168,06168,INTRASTATE,58,1,HOUSING_COST,RENT,OWN,1644.3,60,150K_PLUS,150K_PLUS,LT_HS,NATURALIZED,0,72,123,1.2999,W4
2017,21169,06169,INTERNATIONAL_IN,66,4,RETIREMENT,OWN,OWN,1933.3,-50,LT25K,LT25K,BACH,CITIZEN,1,89,116,1.5838,W3
2017,21170,06170,INTERNATIONAL_IN,60,3,HEALTH,OTHER,OWN,2792.9,95,100_150K,25_50K,LT_HS,NONCITIZEN,0,83,115,0.7176,W4
2020,21171,06171,INTERNATIONAL_OUT,25,7,HOUSING_COST,OTHER,OWN,467.6,-45,50_75K,50_75K,LT_HS,NONCITIZEN,1,77,110,1.3421,W1
2022,21172,06172,INTERNATIONAL_IN,38,1,OTHER,OTHER,OTHER,1919.0,32,50_75K,75_100K,HS,NATURALIZED,0,83,114,3.3859,W2
2019,21173,06173,INTERSTATE,81,6,HEALTH,OTHER,OWN,1031.3,44,100_150K,100_150K,HS,NONCITIZEN,0,85,109,3.0948,W3
2021,21174,06174,INTRASTATE,2,6,OTHER,RENT,OTHER,1828.7,-49,100_150K,100_150K,GRAD,NATURALIZED,1,72,127,2.6415,W3
2018,21175,06175,INTERNATIONAL_OUT,37,4,FAMILY,OWN,RENT,1657.0,60,25_50K,LT25K,ASSOC,CITIZEN,1,85,102,2.7945,W5
2019,21176,06176,INTERSTATE,41,2,HOUSING_COST,OTHER,RENT,96.3,29,100_150K,150K_PLUS,LT_HS,NONCITIZEN,1,106,138,2.4088,W2
2019,21177,06177,INTERNATIONAL_OUT,47,1,FAMILY,OTHER,OWN,1864.1,71,25_50K,50_75K,GRAD,NATURALIZED,0,65,110,0.5892,W3
2019,21178,06178,INTERNATIONAL_IN,88,7,SCHOOL,OWN,RENT,2269.6,14,100_150K,50_75K,SOME_COLLEGE,NATURALIZED,0,78,112,0.5876,W4
2016,21179,06179,INTERNATIONAL_IN,12,6,HEALTH,OTHER,OTHER,787.6,5,25_50K,100_150K,HS,CITIZEN,0,80,129,1.9727,W1
2019,21180,06180,INTERSTATE,88,4,JOB,OWN,RENT,342.4,-30,100_150K,50_75K,ASSOC,CITIZEN,0,77,116,2.165,W2
2019,21181,06181,INTERSTATE,87,3,JOB,OTHER,RENT,677.7,117,100_150K,25_50K,BACH,NONCITIZEN,0,74,96,3.407,W5
2021,21182,06182,INTERNATIONAL_OUT,55,5,HOUSING_COST,OWN,OTHER,2036.7,28,50_75K,25_50K,BACH,NATURALIZED,0,58,121,1.6889,W5
2024,21183,06183,INTRASTATE,58,6,OTHER,OTHER,OWN,1500.4,37,75_100K,100_150K,ASSOC,CITIZEN,1,87,119,3.2277,W4
2025,21184,06184,INTERNATIONAL_OUT,62,4,JOB,RENT,OTHER,2769.0,68,75_100K,75_100K,GRAD,NONCITIZEN,0,90,109,3.4681,W1
2021,21185,06185,INTERNATIONAL_IN,79,2,MILITARY,OTHER,OTHER,912.3,-22,25_50K,75_100K,BACH,NATURALIZED,0,76,116,2.9869,W5
2021,21186,06186,INTERSTATE,42,3,SCHOOL,RENT,OWN,1168.6,119,LT25K,75_100K,LT_HS,CITIZEN,0,76,115,1.5166,W5
2022,21187,06187,INTERSTATE,74,6,OTHER,OWN,OTHER,1690.0,34,150K_PLUS,100_150K,HS,NONCITIZEN,0,87,130,2.6863,W1
2022,21188,06188,INTERNATIONAL_OUT,56,1,HOUSING_COST,RENT,OWN,1472.3,103,50_75K,LT25K,SOME_COLLEGE,NONCITIZEN,0,72,128,2.0,W2
2016,21189,06189,INTERSTATE,20,3,FAMILY,OTHER,OTHER,1753.1,79,100_150K,50_75K,BACH,CITIZEN,1,73,152,0.8561,W3
2023,21190,06190,INTERSTATE,53,4,SCHOOL,RENT,RENT,999.0,0,50_75K,25_50K,LT_HS,CITIZEN,0,79,109,0.628,W3
2016,21191,06191,INTERNATIONAL_IN,78,7,HEALTH,RENT,OWN,533.8,11,LT25K,150K_PLUS,GRAD,NATURALIZED,1,101,156,0.4313,W1
