health_mch_birth_cohort_year,health_mch_prenatal_visit_adequacy_index,health_mch_maternal_mortality_ratio,health_mch_severe_maternal_morbidity_rate,health_mch_preterm_birth_rate,health_mch_low_birthweight_rate,health_mch_breastfeeding_initiation_rate,health_mch_breastfeeding_6mo_rate,health_mch_postpartum_care_rate,health_mch_infant_sleep_safe_rate,health_mch_immunization_series_completion,health_mch_well_child_visit_rate,health_mch_teen_birth_rate,health_mch_fertility_rate_age_specific,health_mch_nicu_admission_rate,health_mch_postnatal_depression_screen_rate,health_mch_substance_exposure_flag_rate,health_mch_doula_support_rate,health_mch_medicaid_eligibility_category,health_mch_home_visiting_program_uptake
2017,2.79,36.06,200.77,14.92,13.18,50.43,49.86,76.21,70.7,39.23,40.36,33.61,134.47,2.38,48.24,0.71,27.18,OTHER,28.8
2025,8.44,27.11,195.81,12.94,8.19,55.1,54.97,68.54,72.03,47.5,70.94,31.78,36.19,17.89,81.68,14.88,14.89,PREGNANCY,54.45
2023,1.39,39.93,228.92,13.57,10.45,80.25,17.48,43.17,94.48,41.65,59.33,8.34,27.96,2.22,85.72,16.9,5.26,POSTPARTUM,51.64
2010,2.04,43.22,217.81,5.18,13.44,82.12,35.15,54.34,46.36,87.71,79.32,37.48,100.36,14.22,42.71,17.38,25.43,FAMILY,21.01
2016,8.7,39.29,110.19,7.14,4.66,67.54,37.98,76.35,77.63,64.07,50.39,16.08,47.46,14.93,39.53,5.29,1.02,OTHER,44.91
2009,0.68,37.88,238.49,6.34,11.92,86.35,23.52,51.82,80.24,84.05,64.59,4.67,50.7,5.06,79.4,5.89,0.64,CHILD,32.36
2010,5.87,43.24,191.58,11.81,13.36,81.61,46.01,43.28,60.76,50.16,46.08,31.84,120.4,8.7,44.88,5.67,18.19,OTHER,44.1
2025,9.63,32.03,73.7,8.98,10.31,80.35,22.42,56.94,48.04,57.0,59.27,3.47,66.61,5.45,37.84,5.84,27.47,OTHER,34.8
2012,2.45,23.74,124.6,13.8,9.09,62.94,49.32,90.24,48.48,37.61,49.35,18.23,126.24,4.99,45.61,13.72,10.51,POSTPARTUM,6.47
2016,6.55,21.59,83.25,8.84,11.2,55.15,59.81,85.91,64.29,69.7,71.78,3.65,94.8,3.63,24.9,7.74,18.69,CHILD,51.92
2005,9.37,12.8,92.17,5.1,9.96,52.15,50.57,62.27,66.56,85.46,88.83,31.47,92.23,15.55,75.42,10.22,27.68,OTHER,36.71
2023,6.61,23.19,142.33,14.2,9.49,68.66,25.96,81.93,86.7,47.57,79.84,29.4,42.65,14.55,38.75,11.94,16.03,POSTPARTUM,50.38
2023,0.14,20.62,165.54,12.56,10.52,84.12,55.59,46.23,81.25,85.05,44.48,15.32,41.51,4.94,76.67,5.75,0.91,PREGNANCY,6.03
2016,4.85,38.45,55.7,9.32,12.72,55.46,59.11,69.16,77.14,72.7,80.85,20.75,81.42,11.37,48.89,16.68,27.01,OTHER,33.61
2024,8.17,43.88,133.88,13.7,7.45,66.58,27.96,89.62,52.3,67.2,55.72,38.97,6.42,3.6,68.41,9.58,14.14,POSTPARTUM,27.2
2022,9.43,37.78,243.65,5.8,12.55,61.27,47.01,71.04,88.12,71.23,74.59,8.55,34.66,17.09,52.4,15.38,25.38,EXPANSION,27.78
2011,2.65,12.18,178.99,13.89,12.25,52.99,16.26,54.69,76.23,79.99,88.37,18.05,57.8,15.23,56.16,12.13,19.18,CHILD,43.35
2018,0.72,5.14,117.35,13.24,7.49,72.98,41.77,78.96,60.99,77.47,87.57,36.58,15.97,15.6,51.49,2.31,20.16,PREGNANCY,32.74
2014,5.63,19.49,168.26,5.48,11.83,71.4,50.97,65.56,73.36,59.88,58.71,31.29,52.11,15.09,70.72,0.41,16.49,OTHER,44.07
2005,1.37,27.41,55.65,6.77,8.83,50.84,19.47,50.81,48.55,77.91,45.29,40.39,85.67,4.25,55.81,8.04,17.3,POSTPARTUM,32.91
2009,2.03,11.26,203.38,6.48,8.16,64.61,34.75,62.78,69.63,57.48,59.75,9.47,121.24,12.58,77.22,10.05,12.95,PREGNANCY,11.17
2010,5.99,14.74,50.52,7.04,4.89,89.81,42.76,63.51,66.51,56.69,87.75,32.9,92.28,9.53,47.63,13.45,9.26,CHILD,44.35
2010,3.14,19.87,157.33,7.33,8.97,86.43,22.57,57.58,55.66,36.1,72.76,43.79,36.69,7.94,69.04,16.3,4.4,FAMILY,36.88
2012,7.06,44.08,185.16,5.91,10.2,62.91,25.67,41.17,74.82,52.99,79.1,3.21,118.71,2.2,70.67,8.15,13.93,OTHER,50.69
2014,9.96,11.36,214.63,5.43,7.45,69.39,33.26,54.47,54.21,67.56,46.68,39.69,40.92,5.69,57.12,10.25,11.34,FAMILY,54.27
2009,4.12,32.97,175.3,11.87,6.1,62.86,62.1,80.14,59.02,85.19,47.25,13.11,124.17,14.29,31.48,6.96,6.67,POSTPARTUM,47.88
2025,2.13,28.87,67.39,5.35,12.99,74.75,21.72,48.98,53.57,90.99,40.6,10.6,59.37,8.27,52.22,10.89,8.89,EXPANSION,7.52
2017,2.73,17.61,64.52,10.65,6.58,70.33,21.89,41.61,49.66,36.79,50.64,26.34,64.14,12.94,43.51,9.25,3.7,CHILD,48.26
2006,3.35,9.11,58.41,7.59,9.53,86.67,48.23,43.84,40.38,35.52,57.14,29.23,96.44,7.78,64.91,10.4,21.61,PREGNANCY,49.55
2022,4.63,19.06,98.73,8.01,7.09,65.91,54.93,56.41,85.36,49.0,57.53,30.58,23.81,16.12,20.48,7.66,2.65,CHILD,10.31
2023,0.11,18.73,83.26,13.08,11.33,57.07,61.08,59.44,49.28,69.36,62.99,42.93,71.9,6.54,36.3,14.0,1.39,FAMILY,43.7
2015,0.52,34.81,223.72,7.57,7.99,91.08,47.38,79.63,86.0,83.43,57.3,26.03,103.45,8.85,86.85,6.15,3.92,CHILD,49.81
2017,4.52,30.06,184.7,14.8,13.74,76.46,49.7,56.85,51.35,44.42,41.55,3.52,126.59,6.21,67.49,15.46,11.57,FAMILY,26.68
2012,4.05,43.22,206.95,6.82,12.2,72.45,48.96,83.61,95.0,41.3,41.8,5.57,76.11,15.56,69.88,10.64,24.79,FAMILY,40.56
2007,7.48,42.81,83.4,5.24,5.65,53.55,63.04,87.4,52.72,67.6,55.38,20.41,12.25,14.61,58.15,2.16,27.79,FAMILY,36.11
2025,6.63,43.44,58.17,11.19,10.29,76.7,49.04,55.47,62.87,85.03,63.48,37.99,23.51,17.02,76.37,10.28,28.0,CHILD,40.24
2022,6.08,29.12,243.2,9.08,6.45,56.14,17.06,80.63,86.64,85.07,55.21,35.52,88.52,2.97,68.84,8.31,4.85,POSTPARTUM,51.25
2006,5.72,41.39,48.29,6.9,10.82,76.89,36.48,46.68,56.12,35.63,75.65,10.03,109.6,7.26,77.67,9.89,24.37,FAMILY,10.67
2021,7.42,33.72,73.74,9.61,13.31,68.15,61.13,91.88,88.8,42.52,42.74,6.38,82.27,2.57,41.32,16.8,17.75,FAMILY,7.74
2025,4.94,42.02,180.95,15.65,5.34,67.35,54.92,51.89,74.21,47.86,92.67,6.31,81.76,4.81,51.85,16.95,24.07,POSTPARTUM,28.74
2013,2.78,24.33,87.74,13.01,8.87,91.91,16.66,38.93,68.7,54.55,65.46,13.01,122.89,15.05,41.94,14.19,0.98,EXPANSION,18.07
2011,4.95,39.4,121.46,13.76,7.45,82.23,41.03,39.17,51.22,86.64,86.89,40.87,48.86,7.01,73.63,10.49,0.26,PREGNANCY,23.54
2025,0.87,35.94,60.54,6.71,13.21,61.74,50.1,64.81,74.62,51.47,58.94,13.53,65.18,12.14,45.64,0.86,0.08,POSTPARTUM,4.03
2012,5.46,41.38,238.48,14.31,5.45,78.09,39.65,63.13,81.84,88.42,79.43,36.6,9.25,16.14,80.32,14.92,20.65,FAMILY,3.36
2011,9.56,27.33,83.86,12.53,8.11,75.69,25.42,41.76,76.98,89.78,45.3,2.16,13.18,11.08,68.2,13.99,8.2,PREGNANCY,33.93
2017,5.5,11.11,106.46,6.68,11.07,75.68,50.29,60.3,47.93,38.85,49.97,12.1,53.1,16.34,65.3,10.03,5.96,EXPANSION,30.59
2020,5.05,40.28,145.24,7.24,11.8,77.1,52.04,87.68,67.98,73.74,76.37,36.03,135.05,9.2,71.56,3.07,5.5,CHILD,7.64
2015,9.43,34.86,124.47,13.14,13.65,81.59,16.87,86.16,61.26,39.26,81.37,27.66,74.34,6.17,50.78,12.35,7.94,OTHER,26.77
2023,6.91,40.15,208.87,7.3,8.24,71.87,32.13,62.02,60.52,71.64,73.57,23.33,90.65,3.5,44.11,0.96,26.32,FAMILY,12.07
2015,3.94,34.63,62.37,15.99,7.08,80.13,57.63,87.27,40.25,82.98,83.8,25.22,13.47,15.71,61.48,11.44,27.8,OTHER,30.46
2020,6.9,29.12,219.33,5.23,6.24,61.93,32.13,63.55,73.03,78.73,45.7,13.46,105.0,10.5,37.05,3.0,9.32,OTHER,17.2
2018,2.1,10.6,132.62,15.72,13.54,91.16,52.48,36.55,74.81,87.86,40.12,41.63,96.66,14.19,32.64,10.4,17.66,PREGNANCY,35.76
2024,5.88,27.27,100.36,14.53,13.1,55.2,60.27,45.33,58.58,57.42,83.16,26.77,119.13,17.43,42.93,1.1,7.49,OTHER,35.64
2019,8.2,34.36,75.89,14.69,8.89,84.86,51.26,61.79,61.89,67.74,40.16,13.77,95.34,4.74,42.74,0.63,24.82,EXPANSION,5.48
2011,6.26,26.28,139.92,13.96,10.06,71.0,19.62,40.49,75.66,81.35,55.98,17.12,16.86,7.0,38.14,4.73,7.41,CHILD,53.94
2025,0.43,36.33,45.71,7.2,6.52,70.71,24.59,64.68,79.88,51.2,61.2,20.59,72.53,10.81,65.47,8.88,12.45,POSTPARTUM,10.42
2022,2.03,13.88,63.43,8.83,9.02,53.06,43.78,44.43,52.03,39.96,56.56,36.91,87.52,2.26,82.07,10.54,5.38,PREGNANCY,21.13
2019,8.15,7.76,249.06,11.13,11.45,81.37,52.69,37.14,40.58,70.49,76.65,17.69,44.47,11.31,26.39,8.74,27.0,EXPANSION,23.45
2013,8.48,11.55,189.81,9.12,8.59,81.13,15.65,89.67,85.74,40.55,42.36,39.32,116.53,8.76,89.77,6.69,27.15,CHILD,30.36
2011,4.09,18.75,258.94,14.6,13.01,85.96,41.4,40.2,62.28,69.93,93.27,33.48,48.72,12.68,20.73,1.22,0.37,OTHER,30.63
2016,1.18,16.69,85.21,6.27,13.86,75.54,61.1,44.05,81.25,88.37,59.91,27.46,34.74,14.85,68.77,5.3,23.7,PREGNANCY,20.46
2013,6.99,42.69,85.9,15.36,9.92,76.66,45.8,86.63,41.11,60.96,70.1,13.85,20.8,4.58,73.49,16.9,8.7,POSTPARTUM,22.61
2014,5.06,12.67,253.63,10.38,5.08,65.94,27.87,90.58,82.97,55.7,84.98,26.97,65.2,15.04,64.18,10.74,0.38,EXPANSION,21.06
2025,8.16,17.5,113.79,14.08,9.28,77.25,24.24,72.61,66.18,41.67,68.48,13.77,71.96,3.67,52.56,8.76,15.01,FAMILY,49.58
2024,3.47,6.03,176.29,10.08,9.25,52.63,35.14,86.47,77.61,76.76,49.43,31.58,42.39,10.02,69.63,15.84,4.35,POSTPARTUM,32.05
2008,5.38,33.66,170.88,9.17,6.19,59.82,16.91,75.07,45.73,58.02,50.27,37.9,124.77,2.49,45.22,5.19,3.3,OTHER,27.83
2019,4.68,5.88,58.2,7.89,6.43,75.29,29.92,90.26,42.02,39.5,92.95,25.66,41.08,15.97,68.37,5.63,10.46,CHILD,54.98
2006,4.72,26.44,238.51,12.22,11.01,79.71,50.93,85.57,45.21,64.06,73.27,21.55,54.0,14.34,53.66,3.09,27.96,CHILD,11.81
2006,2.1,5.61,207.8,5.51,13.79,88.82,61.06,51.18,54.69,51.74,70.89,23.73,128.66,12.37,39.35,5.11,19.4,PREGNANCY,6.84
2011,3.18,43.49,72.75,8.19,5.61,51.98,16.11,56.66,58.14,76.66,42.99,27.33,16.72,11.49,51.38,2.04,14.68,POSTPARTUM,28.62
2018,6.43,24.14,217.75,14.04,8.56,61.66,49.11,69.51,74.63,88.86,87.85,43.5,60.45,13.95,80.4,13.88,18.57,PREGNANCY,17.54
2011,2.53,15.02,226.93,15.81,11.16,64.6,20.93,55.79,86.57,42.57,89.24,25.63,78.37,11.25,33.64,8.9,5.3,PREGNANCY,13.54
2023,3.84,18.24,235.86,9.19,12.72,85.58,60.18,54.65,59.36,69.42,66.94,18.01,47.62,5.4,69.22,13.66,2.92,EXPANSION,8.88
2007,9.9,17.93,259.95,10.57,13.96,87.67,15.62,88.92,41.46,70.54,68.06,16.49,56.01,11.51,29.69,4.08,6.77,FAMILY,30.58
2022,6.02,25.49,130.45,14.68,7.57,67.37,42.36,54.07,47.1,86.44,55.52,37.88,66.25,2.8,77.17,11.13,26.68,EXPANSION,18.05
2005,6.65,37.08,239.97,13.95,8.84,89.76,55.37,39.07,85.59,63.32,70.35,8.67,63.75,14.22,79.02,8.25,1.3,FAMILY,54.51
2020,6.32,28.93,171.67,12.49,9.25,83.25,37.49,54.66,44.14,90.23,76.3,29.74,89.01,4.47,43.99,2.63,19.71,PREGNANCY,30.36
2016,3.51,32.63,182.65,9.35,5.05,80.9,24.83,72.33,79.6,77.2,94.56,30.92,48.45,8.46,25.84,11.45,21.09,POSTPARTUM,14.2
2024,2.42,41.31,63.35,14.01,12.05,76.09,30.03,67.44,41.62,52.36,75.44,4.25,123.3,10.79,64.34,9.51,7.34,FAMILY,52.75
2016,5.33,22.58,235.05,12.96,5.44,72.47,62.65,82.71,70.7,43.04,75.49,34.0,106.94,5.54,83.63,11.77,10.31,OTHER,9.45
2008,0.55,37.56,80.19,13.12,7.78,84.11,53.52,78.97,80.07,48.66,43.97,29.35,55.34,5.06,76.87,8.82,21.31,PREGNANCY,35.13
2024,0.65,43.32,238.09,8.58,10.15,72.83,44.1,45.68,87.94,81.67,72.85,15.25,119.58,10.65,83.45,2.47,7.16,EXPANSION,3.36
2006,3.47,11.31,141.09,8.28,4.65,82.72,18.75,68.81,75.81,66.6,50.27,43.88,102.08,9.83,48.74,11.57,17.75,EXPANSION,20.99
2024,3.61,34.63,52.38,14.91,9.37,77.11,19.39,83.66,48.47,44.14,57.0,15.54,9.91,8.39,52.95,0.92,8.03,PREGNANCY,32.34
2014,2.55,9.93,165.54,14.33,9.56,73.55,29.46,72.58,72.65,48.73,62.12,6.52,54.89,3.52,86.0,5.5,11.29,FAMILY,3.77
2015,4.47,38.65,143.74,5.59,5.29,85.17,56.95,36.55,58.32,57.0,71.53,29.32,137.47,17.33,78.91,4.29,10.89,FAMILY,42.29
2025,9.6,25.0,41.41,11.85,12.39,76.68,50.87,75.67,83.11,55.6,77.08,31.34,89.79,15.15,74.43,17.37,11.18,OTHER,28.92
2005,2.58,15.45,66.9,12.28,10.07,70.64,62.74,45.51,53.95,63.81,54.46,18.75,14.32,7.49,56.72,8.82,26.95,OTHER,24.75
2006,0.5,6.69,218.37,11.48,5.96,79.22,42.75,86.4,57.27,48.29,92.22,41.58,59.69,12.73,33.22,1.45,6.03,POSTPARTUM,11.22
2020,9.58,37.14,129.51,11.07,8.07,52.68,55.56,39.59,64.32,84.38,76.3,41.43,119.67,9.29,34.01,15.71,1.08,POSTPARTUM,21.94
2020,4.67,31.4,200.13,14.87,12.58,74.01,42.02,83.14,93.76,36.27,82.12,35.09,87.33,13.45,60.98,13.68,15.2,POSTPARTUM,15.99
2009,3.61,25.12,195.92,15.48,13.16,74.89,37.6,72.33,84.22,54.1,51.69,11.58,55.14,4.08,52.39,12.23,22.92,POSTPARTUM,14.81
2023,0.73,6.65,209.71,7.54,7.28,69.06,33.05,72.04,77.19,70.79,51.75,3.94,23.37,15.88,88.91,5.07,12.66,OTHER,54.16
2014,6.12,35.96,172.88,12.32,12.89,61.97,21.41,58.81,70.32,91.18,58.36,41.18,32.88,14.77,35.67,0.32,28.69,POSTPARTUM,54.64
2006,7.61,21.21,51.34,7.63,8.08,83.94,18.61,74.09,66.46,77.7,50.36,12.81,118.54,10.06,27.79,4.5,28.98,EXPANSION,18.25
2012,9.95,38.96,212.55,5.06,5.49,62.9,35.52,70.43,77.97,77.27,67.49,33.98,55.83,8.46,22.07,14.64,14.41,CHILD,52.22
2016,2.28,23.67,46.92,6.74,10.43,61.68,50.53,52.14,61.43,57.35,45.21,34.86,7.23,6.1,86.53,16.01,19.76,EXPANSION,30.56
2008,2.75,30.94,110.18,6.17,12.71,87.61,17.37,77.42,68.24,36.45,64.65,44.62,139.01,11.15,27.66,2.05,28.38,FAMILY,26.47
2023,5.86,41.93,62.74,15.98,10.52,50.41,23.95,83.24,49.2,41.15,51.36,10.9,15.85,7.41,79.14,15.2,19.64,POSTPARTUM,5.55
2015,1.7,15.05,195.55,10.57,10.64,89.59,32.12,78.24,86.18,54.5,55.75,30.35,29.18,2.36,33.74,13.26,20.47,EXPANSION,51.81
2019,2.53,32.68,123.4,9.88,7.09,78.65,39.69,58.54,59.27,68.08,51.76,26.23,8.48,2.6,64.58,2.52,29.2,EXPANSION,49.27
2014,1.8,23.74,214.6,13.18,8.37,72.68,50.0,70.44,58.72,81.06,77.83,7.85,127.24,9.23,42.85,2.02,6.93,OTHER,42.32
2014,4.85,32.59,105.51,9.6,5.02,67.97,48.49,83.28,65.99,87.2,84.87,4.89,16.06,11.23,77.52,0.31,16.7,FAMILY,19.3
2015,0.72,38.95,52.06,8.82,10.66,90.05,57.47,78.0,72.03,61.81,53.15,43.69,127.93,10.14,37.17,4.33,27.16,PREGNANCY,51.63
2024,6.88,39.34,116.81,5.66,11.57,76.34,29.44,85.36,47.61,35.73,85.09,5.92,86.11,10.49,81.61,12.89,13.39,EXPANSION,23.84
2014,9.17,9.31,74.58,9.06,7.97,76.52,47.4,59.05,89.68,68.11,90.46,32.72,29.05,6.75,29.23,14.55,22.26,POSTPARTUM,42.31
2008,0.14,9.16,129.59,12.41,6.86,54.09,28.0,65.73,71.7,82.83,51.13,34.28,126.15,17.36,71.32,14.97,13.27,CHILD,17.06
2024,8.95,6.99,221.62,5.83,9.32,61.33,58.81,52.37,66.23,78.48,47.34,43.89,12.15,13.45,66.82,0.66,16.69,PREGNANCY,38.85
2015,2.02,9.08,53.58,14.52,7.69,85.88,22.2,77.31,74.35,41.02,68.51,42.16,18.19,15.52,54.03,3.93,12.11,POSTPARTUM,6.97
2009,4.5,33.29,228.05,8.04,7.67,86.75,55.7,72.13,46.98,79.23,82.1,8.4,134.18,7.2,22.89,8.4,12.97,FAMILY,45.69
2017,9.5,24.54,68.04,6.99,5.05,52.86,33.61,56.31,79.62,55.45,72.63,26.51,24.98,12.45,79.92,13.89,26.46,OTHER,29.28
2018,9.16,29.98,60.55,5.21,8.06,52.95,59.73,61.06,87.07,58.42,52.04,26.65,65.95,7.32,88.48,12.59,6.9,CHILD,49.52
2015,1.24,23.32,41.7,6.59,7.21,87.8,54.77,80.07,71.33,86.24,55.47,43.0,132.15,6.75,85.63,6.89,19.39,FAMILY,38.13
2007,0.85,14.41,42.87,13.09,10.14,61.55,18.33,89.6,79.59,44.24,86.1,31.01,30.6,10.36,43.27,13.84,14.34,EXPANSION,39.48
2011,5.05,33.34,110.36,10.9,6.71,65.78,54.25,77.23,73.53,37.67,87.58,44.84,75.44,8.05,82.18,17.89,19.19,POSTPARTUM,9.01
2021,0.99,33.96,43.43,8.47,5.78,64.29,27.78,40.38,73.18,55.36,81.71,6.27,97.15,13.47,33.55,17.26,18.35,EXPANSION,14.21
2016,6.36,28.49,43.8,10.22,10.11,87.11,55.31,56.9,50.36,73.29,48.28,44.67,134.01,11.38,37.82,16.15,5.1,OTHER,19.9
2024,2.77,16.56,234.88,10.64,11.09,60.7,29.17,51.34,65.72,86.15,57.3,12.62,46.24,7.52,42.25,4.41,28.43,CHILD,3.68
2024,2.32,22.8,147.36,9.73,11.71,78.38,37.19,44.8,62.32,61.72,86.2,20.36,115.42,7.32,24.32,15.89,22.86,POSTPARTUM,9.52
2013,5.26,5.95,116.25,10.86,6.03,87.15,42.92,50.71,61.3,87.39,60.66,18.2,38.89,17.25,47.58,13.29,29.3,PREGNANCY,21.5
2020,5.58,7.12,85.97,15.47,5.58,87.06,64.59,61.51,82.78,53.1,78.31,25.08,31.13,3.28,44.95,7.21,1.32,POSTPARTUM,13.47
2022,5.04,19.21,133.45,7.32,9.4,86.67,24.88,83.15,74.46,84.91,55.44,41.7,45.07,12.13,72.6,2.25,9.24,OTHER,15.18
2006,3.29,42.56,99.61,9.56,5.89,69.24,41.73,77.7,91.29,83.59,88.12,20.92,6.26,3.79,83.6,17.2,11.26,FAMILY,26.8
2021,8.27,28.01,187.23,14.64,8.92,54.98,46.9,76.27,56.72,47.45,41.15,38.74,76.44,17.5,61.79,17.39,28.21,EXPANSION,14.57
2016,0.69,19.27,49.14,13.42,5.01,56.45,28.05,91.65,90.91,88.98,43.57,35.63,90.53,9.01,48.43,6.02,14.75,OTHER,54.43
2020,4.34,44.58,253.11,9.77,13.74,74.29,48.36,62.5,68.44,90.31,93.44,17.1,9.6,5.27,62.27,11.98,15.12,CHILD,28.83
2024,4.66,31.47,150.29,7.38,11.19,76.21,58.46,47.77,94.85,44.91,77.2,27.3,33.17,16.23,59.82,16.11,7.63,CHILD,37.21
2024,3.73,15.26,236.04,12.16,8.79,91.57,64.28,78.6,58.07,54.36,46.52,5.66,15.1,15.25,40.6,14.27,11.81,PREGNANCY,30.89
2006,9.14,38.63,82.04,5.18,12.99,90.4,17.74,64.31,59.11,43.37,87.1,11.55,13.49,10.73,88.77,3.72,29.76,FAMILY,19.76
2011,9.07,39.11,172.7,14.86,9.15,52.61,63.43,63.84,68.96,67.8,44.51,26.51,36.58,12.23,31.39,7.44,0.45,OTHER,9.17
2017,5.24,30.63,178.12,7.42,13.31,55.51,41.91,57.21,66.36,57.68,52.14,40.43,24.02,10.54,61.66,16.85,27.25,CHILD,34.11
2023,3.42,34.79,82.81,13.7,6.02,90.08,38.35,58.59,87.59,77.08,43.02,2.21,90.14,3.65,41.18,3.94,1.3,EXPANSION,32.63
2010,7.67,18.15,184.27,15.01,12.6,60.25,21.6,64.3,71.16,50.84,94.53,27.04,49.43,6.43,37.37,15.46,0.66,CHILD,51.55
2016,3.84,15.11,124.31,10.21,12.35,68.47,39.34,51.8,59.54,79.86,58.71,15.53,19.93,3.59,68.05,8.88,4.25,CHILD,9.91
2008,8.5,10.7,179.74,8.25,7.08,76.52,27.83,42.48,48.84,40.21,78.52,25.53,50.78,17.69,52.29,17.76,0.53,CHILD,52.56
2008,6.98,10.74,219.76,6.77,13.02,52.73,18.42,82.61,57.63,90.03,50.04,23.76,100.07,11.0,60.95,1.09,25.45,CHILD,27.79
2008,6.95,9.71,184.74,7.42,10.65,70.95,64.2,58.89,49.26,67.97,83.43,26.43,75.73,5.58,67.73,7.74,17.88,POSTPARTUM,22.27
2011,4.76,22.32,60.73,14.65,11.17,57.06,28.03,87.64,91.99,36.27,86.2,35.35,41.43,2.08,43.13,3.62,21.06,CHILD,52.99
2021,3.54,34.68,81.0,8.36,7.16,71.66,20.45,60.65,88.55,61.5,85.15,2.28,100.02,5.78,86.66,11.88,12.11,EXPANSION,44.54
2018,5.25,29.01,98.72,9.13,8.04,65.25,30.4,88.93,51.61,89.06,58.02,40.93,89.98,12.7,86.46,13.4,10.99,CHILD,2.99
2022,4.92,28.16,229.59,12.52,12.63,80.52,49.49,67.52,47.97,51.57,78.71,26.28,122.15,11.11,83.05,9.28,1.33,EXPANSION,9.63
2008,9.48,40.77,154.38,8.99,8.57,53.77,58.89,44.87,79.37,87.3,56.07,11.54,46.31,11.76,27.16,16.66,8.42,EXPANSION,11.51
2020,8.89,6.3,46.84,12.85,13.02,61.92,64.31,43.69,85.04,65.25,80.11,33.37,88.03,5.37,41.5,4.6,19.48,EXPANSION,28.92
2025,4.31,43.97,88.65,15.97,10.45,88.48,24.66,40.81,61.13,85.17,56.52,42.07,85.2,14.69,34.14,7.98,17.78,FAMILY,6.03
2005,7.04,31.76,111.67,10.98,11.48,86.87,61.45,49.63,51.5,58.05,60.48,23.47,85.49,8.66,61.83,12.54,8.63,OTHER,28.27
2014,6.61,20.96,152.16,13.33,5.16,51.78,58.15,82.97,69.77,38.75,76.81,20.07,137.65,8.15,78.78,10.73,17.06,FAMILY,18.72
2011,9.18,22.5,121.18,13.75,12.88,74.07,57.24,86.4,43.55,87.33,76.82,16.74,5.6,7.49,58.12,4.2,14.1,FAMILY,45.06
2025,3.43,34.71,215.13,12.19,5.28,56.93,59.51,59.85,69.6,70.8,81.43,32.3,61.53,17.58,64.98,13.18,0.51,CHILD,53.87
2022,0.47,20.53,125.65,11.61,13.14,59.05,62.14,37.18,92.56,50.1,79.45,39.38,30.51,14.86,80.27,16.95,27.09,FAMILY,35.07
2023,3.11,26.22,127.31,9.05,8.3,85.48,37.65,83.18,43.33,60.3,84.38,30.49,9.98,16.95,20.3,9.85,20.77,OTHER,49.31
2019,5.76,36.29,45.76,7.1,9.73,57.44,61.56,70.5,76.26,66.84,43.96,34.41,119.27,13.06,57.35,3.42,0.74,EXPANSION,20.13
2009,7.42,5.48,165.7,6.63,8.09,83.77,55.49,52.42,68.07,55.14,81.99,14.32,68.09,8.09,30.7,10.48,11.57,PREGNANCY,29.22
2025,3.57,30.74,248.43,8.69,13.21,86.18,62.27,50.03,58.09,61.55,72.33,27.72,10.6,14.48,50.11,2.2,12.82,CHILD,7.98
2019,3.92,29.98,131.29,15.89,10.04,80.98,34.7,87.02,77.98,85.73,66.7,31.21,61.49,14.67,63.45,16.97,26.23,EXPANSION,29.91
2011,0.9,25.7,88.12,11.47,4.51,69.7,25.15,47.4,44.73,76.13,87.36,42.41,48.11,17.04,22.3,17.49,25.4,OTHER,45.33
2006,2.57,8.11,222.95,7.33,9.13,56.06,59.02,70.19,63.17,57.84,68.22,34.99,86.83,4.16,54.81,9.23,29.84,FAMILY,15.91
2015,5.35,23.89,200.64,10.78,12.93,59.21,32.24,89.75,68.18,77.69,60.57,17.6,85.35,17.54,48.41,16.89,29.42,POSTPARTUM,38.37
2025,2.69,40.5,88.45,7.53,10.01,72.18,22.73,50.62,47.1,64.08,56.37,16.37,21.81,15.41,65.06,3.37,27.64,EXPANSION,10.48
2019,7.72,39.61,74.43,8.56,6.21,61.99,44.6,68.8,40.95,41.23,40.16,18.83,23.16,7.87,22.0,17.17,2.96,PREGNANCY,16.51
2005,9.14,18.79,48.87,10.48,12.9,87.47,17.39,48.89,85.41,58.13,41.53,22.92,111.13,15.79,20.22,11.71,10.52,POSTPARTUM,7.03
2019,6.8,41.73,251.59,6.12,7.61,74.63,56.65,56.99,71.18,61.35,65.98,36.17,105.24,10.75,79.5,7.92,16.27,FAMILY,34.08
2009,4.8,9.76,64.42,10.94,10.63,56.51,64.65,89.0,86.41,78.2,49.56,43.43,99.82,12.03,56.77,7.21,21.16,EXPANSION,24.5
2018,1.49,16.04,258.26,15.69,10.47,50.13,24.42,83.39,65.09,35.33,47.94,4.88,25.41,2.59,24.63,8.16,25.57,FAMILY,8.27
2007,7.89,41.25,137.52,14.14,6.55,88.2,58.85,86.23,58.42,76.86,65.47,18.42,31.78,14.6,58.92,6.83,28.97,PREGNANCY,53.95
2019,6.4,24.72,195.25,10.8,7.87,84.57,60.84,55.62,87.16,62.55,89.05,19.61,17.11,7.14,42.06,10.55,15.56,CHILD,10.5
2014,6.9,24.07,73.22,13.48,11.96,67.53,59.57,65.95,74.83,44.44,80.85,16.86,6.74,14.18,59.89,9.54,10.65,CHILD,4.24
2012,1.05,13.95,135.4,10.35,9.47,78.6,37.65,40.76,77.93,79.67,74.96,6.29,53.21,14.12,65.31,9.86,1.42,POSTPARTUM,10.64
