imm_legal_admission_fiscal_year,imm_legal_visa_category_code,imm_legal_country_of_chargeability,imm_legal_consulate_post_code,imm_legal_applications_received,imm_legal_applications_approved,imm_legal_applications_denied,imm_legal_processing_time_days_median,imm_legal_priority_date_backlog_months,imm_legal_adjustment_of_status_flag,imm_legal_principal_applicant_flag,imm_legal_derivative_count,imm_legal_employment_based_indicator,imm_legal_family_based_indicator,imm_legal_humanitarian_indicator,imm_legal_inadmissibility_ground_code,imm_legal_waiver_granted_flag,imm_legal_age_at_admission,imm_legal_intended_state_destination_code,imm_legal_data_extract_date
2024,J1,JPN,INCHN,4936,19644,3400,510,80,0,1,2,0,1,0,NONE,1,27,KA,2025-08-11
2023,IR1,IND,INDEL,20369,4913,2659,148,43,0,1,1,0,1,0,212E,0,40,AR,2025-05-06
2021,REF,FRA,INMUM,4669,9496,255,112,9,0,1,3,1,1,0,212C,1,8,HP,2025-09-22
2018,H4,CAN,INMUM,21625,17290,1502,171,19,1,1,3,1,1,0,212A,0,28,TN,2025-01-07
2020,CR1,USA,INDEL,14006,21722,560,221,69,1,0,3,1,0,1,212F,0,77,DL,2025-07-25
2015,J1,SGP,INAMD,10395,18662,3984,77,7,1,1,3,1,1,0,212F,0,37,OD,2025-06-28
2024,EB3,ARE,INBLR,6925,4402,2110,96,44,0,1,3,1,1,0,212D,0,61,MP,2025-07-02
2015,CR1,USA,INLKO,10150,1805,1334,234,33,0,1,4,1,0,0,212B,1,53,MH,2025-08-16
2012,EB2,SAU,INMUM,7906,13050,406,85,95,0,0,6,1,1,0,NONE,1,51,DD,2025-08-24
2019,F1,SGP,INAMD,5451,11755,2849,355,50,1,0,2,1,0,0,212E,1,33,SK,2025-05-26
2025,L2,LKA,INMUM,3072,16699,3176,252,117,1,0,1,0,0,1,212D,0,36,PB,2025-02-27
2025,EB3,BGD,INDEL,11725,10265,3688,278,105,1,0,3,0,0,0,212D,0,48,DL,2025-10-23
2023,E1,MDV,INBLR,10962,2617,1860,409,3,0,0,4,1,1,0,NONE,0,41,CG,2025-08-29
2014,J1,USA,INBLR,5788,17084,2062,122,107,1,1,5,0,0,1,212A,1,13,PB,2025-12-11
2018,SIV,CAN,INAMD,15176,21294,1710,441,113,0,0,4,1,0,0,212E,0,81,MH,2025-10-14
2023,H4,ARE,INDEL,22418,20702,258,536,38,0,1,4,0,0,0,212B,1,32,UK,2025-06-12
2013,DV,MMR,INAMD,1820,344,722,448,83,0,0,2,0,1,1,NONE,1,16,UP,2025-01-26
2013,IR1,SAU,INBLR,12355,15180,3483,178,23,0,1,3,1,0,1,212E,0,74,DD,2025-04-16
2018,J1,SGP,INLKO,10019,12634,1282,22,87,0,0,4,0,0,1,212D,0,31,CH,2025-08-28
2017,E2,SAU,INBLR,12454,1006,613,62,54,0,1,6,1,0,1,212D,0,78,UK,2025-12-06
2014,L1,BTN,INCHN,9039,19522,3331,109,25,0,0,4,1,1,1,NONE,0,67,UP,2025-11-28
2020,K1,CAN,INLKO,3265,780,3927,290,24,1,1,3,0,0,1,212E,0,38,NL,2025-02-11
2021,E1,MDV,INAMD,12030,11905,1694,523,35,0,1,2,1,0,1,212D,1,9,TN,2025-05-13
2025,L1,SAU,INCHN,6744,9248,3116,284,70,1,1,4,0,1,1,NONE,1,23,TS,2025-11-13
2024,IR1,IND,INDEL,19410,17310,1978,275,73,0,1,1,0,1,1,212F,0,57,BR,2025-02-13
2017,L1,IND,INKOL,20171,5519,812,406,57,0,1,0,1,1,1,NONE,0,68,AS,2025-02-04
2021,DV,SGP,INMUM,17186,384,1786,509,110,0,1,5,1,0,0,212B,0,63,CH,2025-12-30
2021,E1,NPL,INCHN,10711,19817,330,92,11,1,0,0,1,0,1,NONE,1,18,ML,2025-12-13
2017,E1,USA,INMUM,1442,8047,2212,326,0,0,0,0,1,0,1,212F,1,7,GJ,2025-01-01
2012,J1,BTN,INHYD,6839,13552,1216,38,115,0,1,2,1,0,1,212E,1,70,SK,2025-08-14
2015,J1,SAU,INDEL,14435,14428,1544,342,49,1,1,4,0,1,1,212E,1,39,DN,2025-10-26
2021,L1,USA,INKOL,17111,16125,3472,57,24,1,1,0,1,0,1,212D,0,12,MP,2025-10-15
2017,H1B,IND,INHYD,155,7959,1397,85,79,1,1,0,0,1,0,212C,1,26,AN,2025-08-24
2017,K1,JPN,INHYD,11529,13956,3136,180,4,1,1,5,1,0,0,212B,1,81,WB,2025-12-25
2022,IR1,BGD,INBLR,21187,9281,386,507,82,0,1,3,0,0,0,212E,0,1,OD,2025-02-02
2023,E1,SGP,INHYD,1996,15883,1518,82,67,0,1,6,0,0,1,212D,0,15,TN,2025-04-05
2016,EB2,AUS,INDEL,5594,12581,1817,322,5,1,0,6,0,1,1,212D,1,13,HR,2025-07-24
2012,IR1,IND,INCHN,17529,10467,3764,379,25,0,1,4,0,1,0,212B,0,16,TR,2025-04-19
2019,O1,BGD,INDEL,13325,14192,3486,87,112,1,1,4,0,1,1,212B,0,59,LA,2025-11-18
2016,O1,DEU,INCHN,7035,11898,1817,77,102,1,0,5,1,1,1,212D,0,69,UP,2025-01-30
2023,EB2,SAU,INHYD,1832,12431,1814,77,119,1,0,3,0,0,0,212F,1,16,AS,2025-09-23
2023,E1,AUS,INHYD,20975,19485,3101,52,54,0,1,4,1,0,1,212C,1,44,AR,2025-01-23
2023,E1,DEU,INLKO,19691,5468,3337,53,38,1,0,6,0,0,1,212F,0,37,CG,2025-04-07
2016,L2,FRA,INKOL,6263,19662,2375,428,8,0,0,6,1,0,1,212A,0,63,PB,2025-02-08
2018,EB3,MMR,INCHN,14535,2127,1515,155,44,0,0,1,0,0,1,212F,1,5,KL,2025-06-22
2015,DV,FRA,INHYD,15655,7948,1240,136,115,0,1,5,0,1,1,212D,1,59,ML,2025-09-05
2017,B1,MMR,INBLR,4919,15254,319,462,13,1,1,2,1,1,1,212B,0,48,PY,2025-06-11
2024,J1,AUS,INLKO,17995,19337,3989,511,111,0,0,3,1,0,1,NONE,0,20,LD,2025-06-29
2015,SIV,PAK,INMUM,20440,16330,398,250,54,1,1,5,0,0,0,NONE,1,22,AN,2025-04-13
2025,REF,FRA,INLKO,9917,19233,1914,480,8,0,1,0,0,0,0,212B,0,75,LA,2025-07-28
2014,J1,NPL,INKOL,4031,13548,104,388,14,0,1,4,1,0,1,212F,1,56,PY,2025-01-22
2018,L1,MMR,INDEL,9543,21410,695,109,36,0,0,1,0,1,1,212B,0,63,RJ,2025-01-05
2019,E1,FRA,INKOL,5732,13333,3064,495,49,1,0,6,0,0,0,212A,1,28,RJ,2025-05-19
2015,SIV,MMR,INMUM,5832,1579,329,43,116,1,0,1,1,0,0,212E,0,26,WB,2025-08-02
2024,REF,IND,INLKO,17377,18145,659,526,83,1,0,2,0,0,0,212B,1,5,GA,2025-06-09
2013,J1,FRA,INCHN,20984,15187,3688,339,71,1,1,5,0,0,0,NONE,0,20,PB,2025-05-19
2023,E1,FRA,INDEL,9187,15363,3118,403,95,0,1,1,1,1,0,212C,0,70,LD,2025-05-25
2021,H1B,CAN,INDEL,17034,5850,2646,302,110,0,1,5,0,0,0,212B,0,40,MP,2025-06-09
2025,SIV,NPL,INCHN,13062,7543,820,113,20,1,0,4,1,1,0,212A,0,79,KA,2025-03-24
2014,B1,SAU,INAMD,22810,17029,1972,536,56,1,0,4,1,1,1,212C,1,4,TS,2025-06-04
2012,EB2,CAN,INAMD,1574,18094,2688,89,104,1,1,6,0,0,0,212A,0,14,OD,2025-10-15
2019,DV,DEU,INKOL,20200,15544,1793,294,18,1,0,1,0,0,0,212C,1,20,TN,2025-11-13
2014,F1,MDV,INHYD,16684,13305,2361,467,92,0,0,4,1,0,0,212B,1,57,DN,2025-10-08
2023,K1,IND,INAMD,128,10993,3218,221,57,1,1,5,1,0,1,NONE,0,3,PY,2025-03-05
2021,H4,DEU,INKOL,3173,3026,461,287,94,1,0,6,0,0,1,212C,1,68,PY,2025-07-11
2018,H1B,MDV,INAMD,7114,4322,1607,465,117,0,0,4,1,1,1,212D,0,6,AS,2025-06-05
2021,DV,SGP,INMUM,13118,17492,2533,350,5,1,1,6,0,1,0,212E,1,34,JK,2025-04-01
2016,EB3,GBR,INBLR,8467,4631,1675,200,3,0,0,0,1,1,0,212A,0,35,AN,2025-05-22
2021,B1,SGP,INHYD,13412,9392,2457,164,42,1,1,5,1,1,0,212C,0,14,AS,2025-02-11
2016,EB2,MDV,INKOL,1259,14100,2074,471,92,0,1,6,1,1,1,212A,1,1,MN,2025-09-06
2025,F1,MMR,INBLR,5203,15102,3100,110,41,1,0,3,0,0,1,NONE,1,56,GJ,2025-10-22
2018,L1,ARE,INBLR,4948,14661,270,40,2,1,1,4,1,0,1,212A,0,4,AS,2025-09-15
2020,E2,SGP,INLKO,18612,10113,2733,108,0,1,0,4,1,1,1,212A,1,70,ML,2025-12-03
2023,E1,SGP,INAMD,10921,20894,2548,331,107,1,0,5,1,0,1,212D,0,85,JK,2025-01-01
2016,O1,BGD,INLKO,7660,8398,3324,147,54,1,0,2,1,0,1,212A,0,31,PB,2025-04-19
2012,CR1,MDV,INCHN,11127,1617,384,480,14,0,0,3,0,1,0,212C,1,71,DL,2025-05-05
2021,IR1,AUS,INMUM,15841,11620,59,37,46,1,0,6,1,1,1,212A,0,40,MH,2025-03-05
2021,H4,SAU,INMUM,2594,3767,1130,69,84,0,0,3,0,1,1,212B,1,41,LA,2025-07-25
2012,F1,NPL,INMUM,5572,13899,219,93,45,0,0,6,1,0,1,212A,0,74,KA,2025-12-04
2013,L1,CAN,INHYD,2420,19074,1464,310,57,0,0,3,1,1,1,212B,0,64,PB,2025-09-01
2025,SIV,ARE,INDEL,19715,13037,2818,67,94,0,0,1,0,1,0,212E,0,39,CH,2025-03-19
2017,F1,BTN,INHYD,4760,18984,1906,402,70,1,1,0,0,0,0,212A,1,82,WB,2025-04-21
2020,E1,JPN,INKOL,378,7452,3729,340,80,1,1,0,1,0,1,212F,0,37,MN,2025-05-22
2019,L1,SGP,INBLR,13733,18910,2611,417,119,1,0,2,1,1,0,212E,0,41,MP,2025-08-04
2024,O1,DEU,INBLR,5629,4745,1595,290,82,1,0,3,1,0,0,212F,1,36,LA,2025-01-16
2016,DV,BGD,INLKO,20662,10457,2593,472,38,0,0,3,0,1,0,212A,0,55,TS,2025-02-23
2012,E2,BTN,INDEL,13172,20704,95,86,2,0,1,4,1,0,0,212C,1,70,AP,2025-05-21
2024,L1,AFG,INKOL,6844,13289,988,83,29,0,1,6,0,1,0,212F,1,54,TS,2025-12-02
2018,CR1,GBR,INDEL,170,13112,1112,367,34,1,0,5,1,0,0,212B,1,53,UK,2025-03-20
2016,REF,SAU,INBLR,6799,7022,2875,83,56,1,0,1,0,0,0,212E,0,21,NL,2025-05-29
2017,J1,BTN,INAMD,13813,6151,1945,515,28,1,0,1,0,0,1,212E,1,26,UP,2025-05-07
2024,B2,LKA,INHYD,17398,13281,2278,170,49,1,1,2,0,1,0,212B,0,46,AN,2025-06-07
2018,E1,SAU,INMUM,20658,12632,967,15,61,0,0,0,1,1,1,212D,1,37,HR,2025-10-06
2014,L1,FRA,INBLR,15500,4557,2322,181,51,1,1,3,1,1,0,212A,0,38,UP,2025-02-07
2023,IR1,AUS,INCHN,3725,13111,245,468,117,1,1,5,0,0,0,212A,1,14,CG,2025-06-06
2021,CR1,JPN,INMUM,22128,2355,2158,313,13,0,0,2,0,0,0,212C,1,65,DL,2025-11-29
2014,J1,BGD,INBLR,18510,4341,233,251,34,0,1,6,0,0,1,212D,1,60,CG,2025-10-15
2016,L2,AUS,INHYD,23299,13274,3349,128,27,1,0,1,1,1,0,212D,0,59,LD,2025-04-22
2017,B1,AUS,INDEL,5693,19389,3548,191,57,1,1,1,1,0,1,212F,1,7,MP,2025-07-09
2020,H1B,SAU,INAMD,24958,579,2464,38,29,0,1,1,1,1,0,212C,0,43,MZ,2025-04-16
2024,J1,USA,INAMD,11610,733,2725,316,89,1,0,3,0,1,0,212E,0,42,MP,2025-04-01
2025,F1,NPL,INMUM,21683,4613,1151,378,6,0,0,3,1,1,1,212B,0,5,TR,2025-12-20
2023,O1,SGP,INHYD,17750,15204,1260,62,38,0,1,3,1,1,0,212E,0,83,AR,2025-10-28
2016,L2,NPL,INAMD,17630,15281,802,279,94,1,1,4,1,1,0,NONE,0,26,TS,2025-02-18
2012,H1B,ARE,INAMD,15433,20392,2666,470,68,0,1,0,0,0,0,212C,0,44,LD,2025-06-10
2025,B2,BTN,INKOL,3220,276,3199,462,34,1,0,6,1,0,1,212B,1,22,TR,2025-01-04
2025,O1,LKA,INCHN,405,14594,2754,255,113,1,0,1,1,0,0,212E,1,80,JK,2025-07-17
2025,L1,CAN,INMUM,9768,57,2898,84,110,1,0,1,1,0,0,212E,0,12,KL,2025-11-16
2015,J1,CAN,INDEL,78,10284,1417,540,51,1,0,4,1,0,0,212D,0,67,OD,2025-12-30
2016,IR1,CAN,INAMD,14881,12717,2522,114,13,0,1,1,1,0,1,212C,1,83,CH,2025-09-11
2023,DV,BGD,INKOL,17447,8672,654,279,62,1,1,6,0,1,0,NONE,1,63,PY,2025-03-31
2021,H4,FRA,INHYD,10944,15950,2442,21,35,1,1,1,0,0,1,212A,0,24,AP,2025-11-08
2021,B1,MDV,INAMD,9069,1852,110,376,90,0,1,3,0,1,0,212C,1,85,AS,2025-01-20
2016,K1,BGD,INLKO,12688,15537,89,310,23,1,1,3,0,1,0,NONE,0,51,UP,2025-03-18
2018,L2,SAU,INCHN,14939,5187,762,211,39,1,0,0,1,1,1,NONE,1,47,MN,2025-08-08
2015,B2,DEU,INDEL,2074,452,1303,119,28,1,0,6,1,1,1,212C,1,60,WB,2025-06-11
2012,L2,LKA,INHYD,24924,4171,1356,259,52,1,1,6,0,1,1,212B,1,16,BR,2025-12-09
2025,SIV,BTN,INHYD,5889,14932,3295,447,108,0,1,1,0,0,1,212C,1,39,OD,2025-04-25
2025,F1,MDV,INMUM,13553,6431,3172,192,21,0,1,2,0,0,1,212E,1,74,TS,2025-04-04
2016,K1,PAK,INAMD,22225,18155,2179,233,71,1,1,1,1,0,0,212F,0,68,GA,2025-05-13
2018,F1,DEU,INMUM,10353,21401,1036,534,14,0,1,1,1,1,0,212D,0,84,ML,2025-06-21
2021,B2,AUS,INDEL,17188,276,2504,360,112,0,1,0,1,0,1,212E,1,25,DD,2025-04-24
2021,H4,MMR,INLKO,20169,691,1464,7,68,0,1,2,0,0,0,NONE,0,79,CH,2025-01-09
2017,K1,FRA,INAMD,17672,509,97,426,115,0,1,1,0,1,0,NONE,0,55,LA,2025-10-26
2016,H4,NPL,INBLR,1956,6909,1143,167,63,1,0,5,0,1,1,212A,1,39,HR,2025-09-17
2015,B2,PAK,INAMD,7449,11926,292,167,3,0,1,5,1,0,1,NONE,0,84,CG,2025-06-19
2013,DV,SGP,INLKO,8011,18500,1839,134,74,1,1,6,1,1,1,212F,0,67,PY,2025-11-17
2015,F1,GBR,INBLR,21035,18086,1734,157,17,1,0,6,0,1,0,212A,1,7,KL,2025-04-08
2021,H4,MMR,INHYD,12081,12623,1024,450,41,0,0,2,0,1,1,NONE,0,72,TR,2025-06-18
2021,L2,MDV,INMUM,15178,2480,2619,477,112,1,1,5,1,0,0,NONE,1,44,DL,2025-11-07
2014,K1,AFG,INCHN,15713,4549,2297,469,29,0,0,3,1,1,1,212C,1,16,TS,2025-08-06
2021,J1,FRA,INAMD,1510,21525,651,36,14,1,0,3,0,1,1,212C,0,40,KA,2025-12-09
2012,B1,DEU,INCHN,15732,1995,2196,479,69,1,1,2,0,1,1,212D,1,76,LA,2025-12-12
2019,IR1,NPL,INAMD,24103,3236,3466,86,54,0,0,1,1,1,1,212E,0,8,AP,2025-02-13
2016,EB2,LKA,INHYD,15243,14287,2091,45,52,1,1,6,0,1,0,212B,0,69,HR,2025-09-18
2024,EB3,USA,INMUM,17850,9601,1906,246,15,0,1,2,0,0,0,212D,1,23,TN,2025-10-12
2015,E1,PAK,INDEL,11095,4535,1721,343,110,1,1,5,1,0,0,NONE,0,72,PB,2025-05-06
2019,EB3,USA,INDEL,7816,12068,3691,286,103,1,0,2,0,1,1,212D,0,10,DD,2025-09-17
2018,K1,GBR,INDEL,17862,9796,1067,122,72,0,0,5,1,1,0,212C,0,34,KA,2025-12-21
2013,DV,USA,INAMD,4428,21343,3149,275,106,0,1,6,0,0,0,212E,0,28,GJ,2025-08-02
2012,EB3,AUS,INAMD,7579,21967,3297,341,33,0,1,3,1,0,0,NONE,0,7,CH,2025-11-01
2023,K1,CAN,INCHN,20908,2983,2209,318,26,1,0,2,0,1,1,NONE,0,16,MP,2025-07-19
2022,L2,DEU,INMUM,3121,20933,1816,59,12,0,1,6,0,1,0,212D,0,70,AS,2025-08-24
2015,F1,BTN,INLKO,16989,6806,252,74,99,0,0,6,0,0,1,212E,1,11,GJ,2025-12-07
2019,EB3,BTN,INAMD,24981,13886,131,40,26,0,0,4,1,1,1,212F,0,78,MP,2025-05-16
2023,IR1,BTN,INMUM,17997,6220,3519,392,72,0,0,5,0,1,0,212A,1,49,PY,2025-04-26
2013,REF,AUS,INCHN,11742,17380,1907,255,68,1,0,4,0,0,0,212F,1,23,TR,2025-06-04
2014,L2,BGD,INAMD,1090,7365,1910,117,114,1,0,3,1,0,1,212B,0,36,TN,2025-12-07
2023,B1,GBR,INDEL,2736,65,2521,100,85,1,0,6,0,0,1,212E,1,77,DL,2025-11-13
2012,L2,USA,INDEL,12716,1213,1679,416,30,1,1,6,1,0,1,212D,1,10,CG,2025-12-08
2012,K1,GBR,INHYD,2603,4532,3849,185,2,1,1,1,1,1,0,212F,1,80,DD,2025-01-18
2024,H1B,CAN,INBLR,1829,21347,1132,53,29,1,0,5,1,1,1,212D,0,58,CH,2025-01-04
2014,B2,SAU,INKOL,13236,16650,2753,382,20,0,0,1,0,1,1,212B,1,54,DN,2025-06-14
2022,SIV,DEU,INLKO,16509,19623,1058,208,98,1,1,3,1,1,1,NONE,1,26,MP,2025-05-07
2016,L2,FRA,INBLR,20760,9003,3538,451,5,0,1,1,0,0,0,NONE,1,66,CG,2025-08-01
2023,L1,BGD,INAMD,22269,656,1925,303,91,0,1,6,1,0,1,212A,1,59,TN,2025-02-17
2014,H1B,JPN,INMUM,5107,3795,2322,314,31,0,1,5,0,1,1,212D,1,1,AP,2025-02-15
2012,EB3,GBR,INAMD,18783,2441,186,499,41,0,1,0,1,1,1,212B,1,67,JH,2025-02-15
2012,K1,SGP,INMUM,19207,13045,948,344,100,1,1,5,1,1,1,212D,0,17,UK,2025-02-17
2019,B2,JPN,INMUM,2312,9300,2290,72,61,1,1,5,0,0,1,212C,1,19,HR,2025-07-06
2021,H4,FRA,INBLR,19663,4203,263,428,88,1,1,4,1,0,0,212D,1,84,AS,2025-04-30
2022,CR1,AFG,INKOL,10358,11371,1997,499,31,0,0,0,0,0,0,212D,0,62,OD,2025-05-12
2023,J1,SAU,INHYD,16826,17116,521,323,98,1,1,0,1,1,1,212C,0,77,AR,2025-01-19
2024,H1B,NPL,INBLR,17542,5343,3010,81,85,1,0,0,0,1,1,212C,1,71,DN,2025-10-02
2024,SIV,AFG,INKOL,20796,12908,3749,65,87,1,1,5,1,1,1,212F,1,1,JH,2025-08-20
2023,IR1,NPL,INDEL,5238,3664,1564,392,38,1,1,3,1,0,1,212B,0,82,ML,2025-02-11
2025,H4,IND,INDEL,8852,16162,782,21,63,1,1,0,0,1,1,212F,1,41,PY,2025-04-02
2013,O1,AUS,INMUM,5107,7793,3158,237,117,1,1,2,1,0,1,NONE,1,27,PB,2025-09-18
2024,H4,ARE,INCHN,4048,10798,534,205,29,0,1,1,0,1,0,212A,0,28,AS,2025-02-17
2014,O1,AUS,INAMD,8914,12521,209,360,62,0,0,3,0,1,1,212F,1,68,LA,2025-10-09
2013,H1B,LKA,INAMD,23000,14429,2093,41,113,1,1,2,1,0,1,212C,0,27,JK,2025-03-15
2014,E2,MMR,INMUM,3727,2128,3538,168,95,0,0,5,1,0,0,NONE,1,59,RJ,2025-08-04
2018,F1,USA,INCHN,5846,3634,1563,477,30,0,0,5,1,1,0,212B,1,4,LD,2025-08-09
2012,J1,MMR,INLKO,14500,10271,25,537,86,1,1,2,0,0,0,212E,0,14,DD,2025-04-19
2021,SIV,SAU,INKOL,6413,11698,3337,429,39,0,0,4,0,0,0,212D,0,72,NL,2025-05-15
2019,B2,SAU,INLKO,8173,14387,174,354,32,1,1,4,1,0,1,212B,1,31,JK,2025-12-09
2024,F1,LKA,INLKO,8272,21683,1539,153,62,0,1,2,0,0,0,212B,1,51,AS,2025-08-26
2021,E2,AFG,INDEL,24124,4352,1334,380,24,1,1,4,1,0,0,212C,1,36,AS,2025-06-04
2021,EB2,PAK,INLKO,13704,12022,321,422,35,0,0,1,1,1,0,212A,0,14,UK,2025-11-25
2021,B1,GBR,INAMD,17834,20304,1602,500,23,0,1,1,1,1,1,212F,0,40,AR,2025-02-25
2025,E1,IND,INBLR,4121,15720,1158,262,94,0,0,5,0,1,1,212C,0,3,AS,2025-07-17
2013,K1,BTN,INCHN,8858,13789,54,109,57,0,1,4,0,1,1,212D,0,52,MZ,2025-11-11
2014,EB2,IND,INKOL,2836,6983,1566,127,38,1,1,0,1,0,0,212C,0,83,OD,2025-02-07
2020,DV,PAK,INDEL,23603,20972,1609,425,45,0,0,2,0,1,1,212D,0,26,OD,2025-12-07
2018,E1,AFG,INLKO,920,7858,3602,356,76,1,0,1,1,0,0,212C,1,20,CG,2025-12-05
2015,B2,NPL,INBLR,4246,12419,3227,48,9,1,0,6,1,1,0,212E,0,59,CG,2025-08-05
2021,SIV,SAU,INCHN,11846,12263,1872,373,86,0,0,4,0,1,0,212A,0,85,MH,2025-08-19
2016,IR1,PAK,INMUM,2789,1865,2715,35,81,0,0,6,1,0,0,212E,0,63,UK,2025-12-08
2013,F1,ARE,INMUM,990,13962,2194,20,31,1,0,4,1,1,1,NONE,0,70,LD,2025-09-14
2024,E1,JPN,INMUM,390,16786,1508,491,96,0,1,1,1,1,1,212A,1,46,LA,2025-07-28
2022,CR1,DEU,INAMD,23856,4132,2646,195,35,1,0,1,1,1,1,212F,0,53,RJ,2025-07-20
2024,B2,AFG,INKOL,4183,12800,2067,301,27,0,1,0,1,1,1,212C,1,30,CG,2025-05-17
2019,F1,ARE,INMUM,17093,15710,3340,189,15,1,1,4,0,1,0,212B,0,16,TS,2025-05-08
2015,EB3,BTN,INAMD,10275,20214,332,43,15,0,1,4,0,1,0,NONE,1,49,TS,2025-02-22
2020,L1,MMR,INHYD,9802,10108,1578,20,17,0,1,3,1,1,0,212B,0,6,MP,2025-12-10
2016,CR1,BTN,INAMD,3507,1529,906,165,7,1,1,5,0,0,0,212E,0,82,AP,2025-03-25
2024,O1,AUS,INDEL,9898,12424,2991,500,105,1,0,0,1,1,0,212F,0,27,JH,2025-07-28
2020,EB2,AFG,INAMD,19409,1598,910,335,79,1,1,1,1,1,1,212A,0,9,AR,2025-11-29
2015,F1,JPN,INKOL,9291,17283,400,89,118,0,1,6,1,1,1,212F,1,26,ML,2025-10-12
2021,H4,BGD,INBLR,503,18566,949,28,119,0,1,1,1,1,0,NONE,1,12,PY,2025-02-05
2016,H4,BTN,INLKO,9946,14126,1329,138,74,0,0,2,0,1,0,212E,0,65,ML,2025-08-03
2020,F1,CAN,INAMD,24618,9860,2075,471,69,0,0,5,0,1,1,212C,0,85,TN,2025-01-27
2019,SIV,IND,INMUM,21876,12951,2514,462,0,1,0,1,1,0,1,212B,1,83,UP,2025-05-26
2014,CR1,AFG,INDEL,11026,1379,3331,308,61,1,0,4,0,1,0,212C,1,59,ML,2025-01-18
2012,SIV,DEU,INCHN,15922,20835,3605,273,75,0,1,1,1,1,1,212D,1,42,UK,2025-04-28
2014,E1,GBR,INMUM,868,20364,3029,401,120,0,0,4,0,0,1,212F,0,68,CH,2025-05-17
2015,H4,CAN,INDEL,4918,20215,1910,126,37,0,1,4,1,0,0,NONE,1,62,DL,2025-03-08
2013,H1B,USA,INHYD,16446,4262,100,252,91,1,0,0,1,1,0,212B,0,69,DD,2025-11-10
2012,J1,NPL,INLKO,12221,20621,550,44,44,1,0,1,1,1,1,212A,0,64,HP,2025-01-30
2018,CR1,AUS,INCHN,24161,16484,2849,251,57,0,0,0,0,1,1,212A,1,66,KA,2025-03-14
2019,H1B,NPL,INHYD,970,19136,2400,27,80,1,0,6,0,0,0,212A,0,53,PY,2025-05-03
2018,CR1,SAU,INBLR,21354,2729,3371,116,0,0,1,6,1,0,1,212E,0,35,GA,2025-08-16
2025,EB3,DEU,INDEL,18852,18826,1705,400,31,0,0,5,0,1,1,212A,1,70,CH,2025-12-04
2016,CR1,AUS,INHYD,9556,20045,2343,416,7,1,1,4,0,1,1,212B,0,14,MN,2025-09-30
2023,F1,FRA,INLKO,6525,12811,352,14,117,1,1,6,0,0,0,212F,1,74,CH,2025-09-03
2012,F1,NPL,INLKO,2067,17071,2955,450,39,1,1,5,0,0,1,212F,1,17,NL,2025-02-08
2018,O1,CAN,INBLR,8007,18900,3201,334,55,1,1,1,0,0,1,212F,1,3,KL,2025-06-19
2024,B2,SGP,INLKO,16280,3519,1018,296,62,0,1,5,0,0,0,212E,0,10,BR,2025-11-11
2018,IR1,CAN,INDEL,9470,11710,1179,517,106,1,1,5,0,1,0,212D,1,5,ML,2025-04-12
2020,H4,DEU,INDEL,4842,8100,1097,367,109,1,1,1,0,0,1,212A,1,50,TN,2025-10-21
2014,L2,NPL,INLKO,23264,1209,3413,225,87,1,0,0,0,0,0,212F,0,57,KA,2025-08-31
2020,H4,AFG,INHYD,13287,13928,3536,412,73,1,1,0,0,1,0,212A,0,59,TS,2025-06-06
2025,J1,ARE,INDEL,18868,12771,3161,226,110,0,0,4,0,0,1,212E,1,17,SK,2025-12-26
2012,EB2,JPN,INMUM,16301,14734,3650,113,102,0,0,4,0,1,0,212A,0,78,MN,2025-09-22
2012,J1,FRA,INLKO,19302,1045,2502,292,102,1,1,1,0,0,1,212D,0,66,MN,2025-09-14
2025,IR1,LKA,INDEL,10757,91,3819,14,73,1,1,1,1,1,1,212E,0,16,JH,2025-12-24
2015,K1,SAU,INKOL,1488,5566,2759,195,35,0,0,3,1,0,0,212E,0,33,WB,2025-12-09
2020,IR1,CAN,INBLR,3593,2705,979,87,88,0,0,3,0,1,1,NONE,0,29,LD,2025-05-03
2017,CR1,NPL,INLKO,11417,9405,1355,114,113,1,1,2,0,1,1,212E,1,18,MZ,2025-02-16
2024,SIV,NPL,INDEL,18215,18252,738,327,56,0,1,6,0,0,1,212A,1,8,LD,2025-11-28
2022,B2,DEU,INKOL,15570,10596,976,352,73,0,0,4,1,1,1,212E,1,39,SK,2025-01-10
2014,E2,PAK,INDEL,6393,2042,1371,334,82,0,0,5,1,1,1,212A,0,43,TN,2025-05-24
2012,H4,USA,INDEL,2313,15851,2280,308,109,0,1,6,0,0,0,212A,0,58,AN,2025-10-26
2015,REF,SGP,INHYD,10211,20145,1801,206,44,1,0,2,0,1,0,212F,1,24,SK,2025-06-01
2023,REF,LKA,INMUM,261,12960,3669,425,78,0,0,6,0,1,1,212E,1,70,KA,2025-05-16
2024,B1,SGP,INLKO,22593,17702,3071,45,79,0,1,2,0,0,1,NONE,1,52,LD,2025-03-16
2020,REF,CAN,INBLR,13859,4122,2149,313,1,1,0,0,0,0,0,212A,0,47,AN,2025-12-27
2014,H4,BGD,INLKO,7077,17308,952,10,92,1,1,5,1,1,1,212F,1,70,DD,2025-01-26
2023,E1,USA,INMUM,381,3046,480,83,67,1,1,0,0,1,1,NONE,0,83,MH,2025-01-07
2020,H4,CAN,INCHN,23294,6729,1237,474,116,0,1,3,1,1,1,NONE,1,52,NL,2025-03-20
